DateOfMeet,MeetName,Location
1-Jan,Epiphany Meet,"New Bern, NC"
1-Jan,NCAC-Woods Charter,"Chapel Hill, NC"
18-Mar,"FF, Cam,Eden,Mant, Perq","Kill Devil Hills, NC"
18-Mar,Piedmont Triad Conference,"Kernersville, NC"
30-Mar,Community Christian Home Meet,", NC"
31-Mar,Mid-Piedmont Conference Meet,"Greensboro, NC"
9-Apr,Durham Academy Home Meet,"Durham, NC"
15-Aug,Metrolina Christian Trail & Sale 5K,"Indian Trail, NC"
15-Aug,Wake County Kickoff Classic (scrimmage),"Cary, NC"
15-Aug,Watermelon Run,"Durham, NC"
17-Aug,Community Christian School Home Meet,"Wilson, NC"
17-Aug,South Davidson Home Meet #1 Entries Closed,"Denton, NC"
18-Aug,Northwestern 3A/4A Conference Relays,"Newton, NC"
18-Aug,Orange Home Meet,"Hillsborough, NC"
18-Aug,Tiger Challenge 3K Kick Off,"Hope Mills, NC"
18-Aug,Trojan Relaypalooza,"Concord, NC"
18-Aug,Wonder Relays (5 X 1 mile Relay),"Concord, NC"
19-Aug,JH Rose Intersquad Scrimmage,"Greenville, NC"
19-Aug,Scrimmage 5k,"Pleasant Garden, NC"
20-Aug,East Wake Academy Home Meet,"Wendell, NC"
20-Aug,Forbush 2 Mile Race,"Yadkinville, NC"
20-Aug,Hoggard 5K Time Trial,"Wilmington, NC"
20-Aug,North Forsyth 2 Mile Scrimmage,"Winston-Salem, NC"
20-Aug,Piedmont Classic,"Clemmons, NC"
21-Aug,Fike Night Relays,"Wilson, NC"
22-Aug,Mecklenburg County 2-Mile Preview,"Charlotte, NC"
22-Aug,Pioneer Clash of the Classes Entries Closed,"Boone, NC"
25-Aug,CISAA Regular Season Meet,"Charlotte, NC"
25-Aug,Metrolina Christian Meet No. 1,"Indian Trail, NC"
25-Aug,Rocky River Pre-Conference Meet,"Marshville, NC"
26-Aug,Alamance County Meet 2.8 Miles Warm Up,"Graham, NC"
26-Aug,Apex Home Meet,"Apex, NC"
26-Aug,Bond Park 3K,"Cary, NC"
26-Aug,CHHS XC Scimmage,"Wendell, NC"
26-Aug,Greene Central Home Meet #1,"Snow Hill, NC"
26-Aug,Hobbton Invitational,"Newton Grove, NC"
26-Aug,Ledford vs. East Davidson,"Thomasville , NC"
26-Aug,New Bern/JH Rose/SC,"New Bern, NC"
26-Aug,Norman Trzaskoma Invitational (Forsyth County Championships),"Kernersville, NC"
26-Aug,Watermelon Run-Scrimmage,"Durham, NC"
27-Aug,Ashbrook Luminary Run Entries Closed,"Gastonia, NC"
27-Aug,Laney Home Meet,"Wilmington, NC"
27-Aug,Lee Christian Meet #1,", NC"
27-Aug,Northwest Invitational,"Kernersville, NC"
27-Aug,Wheatmore Home Meet,"Trinity, NC"
29-Aug,Leesville Road Twilight Invite Entries Closed,"Raleigh, NC"
29-Aug,Providence Invitational,"Charlotte, NC"
29-Aug,Spartans Cross Country Invitational,"Smithfield, NC"
29-Aug,Wendell Park Early Bird Invitational,"Wendell, NC"
29-Aug,WNC Carnival,"Hendersonville, NC"
31-Aug,Farmville Central / Greene Central,"Farmville, NC"
31-Aug,Guilford County Championship Entries Closed,"Pleasant Garden, NC"
1-Sep,Central Davidson Home Meet,"Lexington, NC"
1-Sep,Central Tar Heel Preseason Meet,"Denton, NC"
1-Sep,CISAA Regular Season Meet,"Charlotte, NC"
1-Sep,Community Christian School Home Meet,"Wilson, NC"
1-Sep,Forrestview Home Meet,"Gastonia, NC"
1-Sep,Northern Carolina Meet 1,"Durham, NC"
1-Sep,Northern High School,"Durham, NC"
1-Sep,Randolph County Championship,"Randleman, NC"
1-Sep,Rosewood Home Meet,"Goldsboro, NC"
1-Sep,SPC Pre-Conference Meet,"Concord, NC"
1-Sep,Weddington Home Meet,"Matthews, NC"
1-Sep,West Iredell Home Meet,"Statesville, NC"
2-Sep,Alamance County CC Championships Entries Closed,"Burlington, NC"
2-Sep,Caldwell County Invitational,"Lenoir, NC"
2-Sep,Camden County Home Meet,"Camden, NC"
2-Sep,ECC CBA/DHC/JH Rose,"Pikeville, NC"
2-Sep,Forestview Meet,"Gastonia, NC"
2-Sep,Goldsboro Home Meet,"Goldsboro, NC"
2-Sep,Goldsboro Home Meet,"Goldsboro, NC"
2-Sep,Hyder-McMahill Invitational,"Black Mountain, NC"
2-Sep,Lincoln County Championships,"Lincolnton, NC"
2-Sep,MEC @ West Brunswick,"Shallote, NC"
