"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,11.6,35.57028,-77.04972,43,87,7.33333333333333,333.333333333333,"09:22:00",2010,"Beaufort"
"2",2010-01-02,11.6,35.57028,-77.04972,29,59,9.33333333333333,310,"09:22:00",2010,"Beaufort"
"3",2010-01-03,11.6,35.57028,-77.04972,22,40.5,12.6666666666667,300,"09:22:00",2010,"Beaufort"
"4",2010-01-04,11.6,35.57028,-77.04972,24,56,6,293.333333333333,"09:22:00",2010,"Beaufort"
"5",2010-01-05,11.6,35.57028,-77.04972,27,64,6.5,300,"09:22:00",2010,"Beaufort"
"6",2010-01-06,11.6,35.57028,-77.04972,28,61.5,7,290,"09:22:00",2010,"Beaufort"
"7",2010-01-07,11.6,35.57028,-77.04972,28,74,2.5,140,"09:22:00",2010,"Beaufort"
"8",2010-01-08,11.6,35.57028,-77.04972,36.5,87,6.33333333333333,296.666666666667,"09:22:00",2010,"Beaufort"
"9",2010-01-09,11.6,35.57028,-77.04972,24,56,6,330,"09:22:00",2010,"Beaufort"
"10",2010-01-10,11.6,35.57028,-77.04972,26,61,13.3333333333333,360,"09:22:00",2010,"Beaufort"
"11",2010-01-11,11.6,35.57028,-77.04972,26,61,2,183.333333333333,"09:22:00",2010,"Beaufort"
"12",2010-01-12,11.6,35.57028,-77.04972,36,65,5,325,"09:22:00",2010,"Beaufort"
"13",2010-01-13,11.6,35.57028,-77.04972,29,71.5,5,336.666666666667,"09:22:00",2010,"Beaufort"
"14",2010-01-14,11.6,35.57028,-77.04972,36,70,6.5,220,"09:22:00",2010,"Beaufort"
"15",2010-01-15,11.6,35.57028,-77.04972,36.5,78,5.66666666666667,233.333333333333,"09:22:00",2010,"Beaufort"
"16",2010-01-16,11.6,35.57028,-77.04972,36.5,87,0,0,"09:22:00",2010,"Beaufort"
"17",2010-01-17,11.6,35.57028,-77.04972,59,88,8.66666666666667,153.333333333333,"09:22:00",2010,"Beaufort"
"18",2010-01-18,11.6,35.57028,-77.04972,45.5,90,7.66666666666667,310,"09:22:00",2010,"Beaufort"
"19",2010-01-19,11.6,35.57028,-77.04972,49,84.5,6,196.666666666667,"09:22:00",2010,"Beaufort"
"20",2010-01-20,11.6,35.57028,-77.04972,47,87,1,70,"09:22:00",2010,"Beaufort"
"21",2010-01-21,11.6,35.57028,-77.04972,39,87,8,36.6666666666667,"09:22:00",2010,"Beaufort"
"22",2010-01-22,11.6,35.57028,-77.04972,43,87,6.66666666666667,313.333333333333,"09:22:00",2010,"Beaufort"
"23",2010-01-23,11.6,35.57028,-77.04972,36.5,90,6,233.333333333333,"09:22:00",2010,"Beaufort"
"24",2010-01-24,11.6,35.57028,-77.04972,53,85,6,126.666666666667,"09:22:00",2010,"Beaufort"
"25",2010-01-25,11.6,35.57028,-77.04972,57,88,18.3333333333333,246.666666666667,"09:22:00",2010,"Beaufort"
"26",2010-01-26,11.6,35.57028,-77.04972,44,53,8.33333333333333,253.333333333333,"09:22:00",2010,"Beaufort"
"27",2010-01-27,11.6,35.57028,-77.04972,37,62.5,7.33333333333333,310,"09:22:00",2010,"Beaufort"
"28",2010-01-28,11.6,35.57028,-77.04972,42,71,7,230,"09:22:00",2010,"Beaufort"
"29",2010-01-29,11.6,35.57028,-77.04972,33,51,12.3333333333333,43.3333333333333,"09:22:00",2010,"Beaufort"
"30",2010-01-30,11.6,35.57028,-77.04972,30,93,6.33333333333333,40,"09:22:00",2010,"Beaufort"
"31",2010-01-31,11.6,35.57028,-77.04972,21,86,2,233.333333333333,"09:22:00",2010,"Beaufort"
"32",2010-02-01,11.6,35.57028,-77.04972,30,86,0,0,"09:22:00",2010,"Beaufort"
"33",2010-02-02,11.6,35.57028,-77.04972,37,62.5,6,90,"09:22:00",2010,"Beaufort"
"34",2010-02-03,11.6,35.57028,-77.04972,36,93,7.66666666666667,343.333333333333,"09:22:00",2010,"Beaufort"
"35",2010-02-04,11.6,35.57028,-77.04972,37,84,8,25,"09:22:00",2010,"Beaufort"
"36",2010-02-05,11.6,35.57028,-77.04972,37,87,9,50,"09:22:00",2010,"Beaufort"
"37",2010-02-06,11.6,35.57028,-77.04972,36,93,10,290,"09:22:00",2010,"Beaufort"
"38",2010-02-07,11.6,35.57028,-77.04972,29,64,11,353.333333333333,"09:22:00",2010,"Beaufort"
"39",2010-02-08,11.6,35.57028,-77.04972,30,83,5.33333333333333,133.333333333333,"09:22:00",2010,"Beaufort"
"40",2010-02-09,11.6,35.57028,-77.04972,36.5,75,8.33333333333333,90,"09:22:00",2010,"Beaufort"
"41",2010-02-10,11.6,35.57028,-77.04972,30,38.5,16,276.666666666667,"09:22:00",2010,"Beaufort"
"42",2010-02-11,11.6,35.57028,-77.04972,36,50,13,296.666666666667,"09:22:00",2010,"Beaufort"
"43",2010-02-12,11.6,35.57028,-77.04972,30,72,1.66666666666667,10,"09:22:00",2010,"Beaufort"
"44",2010-02-13,11.6,35.57028,-77.04972,30,86,8.66666666666667,323.333333333333,"09:22:00",2010,"Beaufort"
"45",2010-02-14,11.6,35.57028,-77.04972,30,61.5,7.33333333333333,286.666666666667,"09:22:00",2010,"Beaufort"
"46",2010-02-15,11.6,35.57028,-77.04972,41,84,6.5,180,"09:22:00",2010,"Beaufort"
"47",2010-02-16,11.6,35.57028,-77.04972,34,41,11.5,270,"09:22:00",2010,"Beaufort"
"48",2010-02-17,11.6,35.57028,-77.04972,34,56,8.5,275,"09:22:00",2010,"Beaufort"
"49",2010-02-18,11.6,35.57028,-77.04972,36,56,9.66666666666667,290,"09:22:00",2010,"Beaufort"
"50",2010-02-19,11.6,35.57028,-77.04972,40,59,8.33333333333333,290,"09:22:00",2010,"Beaufort"
"51",2010-02-20,11.6,35.57028,-77.04972,38,52.5,3,276.666666666667,"09:22:00",2010,"Beaufort"
"52",2010-02-21,11.6,35.57028,-77.04972,44,51.5,2,193.333333333333,"09:22:00",2010,"Beaufort"
"53",2010-02-22,11.6,35.57028,-77.04972,54.5,82,6.33333333333333,150,"09:22:00",2010,"Beaufort"
"54",2010-02-23,11.6,35.57028,-77.04972,43,81,7,326.666666666667,"09:22:00",2010,"Beaufort"
"55",2010-02-24,11.6,35.57028,-77.04972,41,76,4,55,"09:22:00",2010,"Beaufort"
"56",2010-02-25,11.6,35.57028,-77.04972,37,87,8.5,310,"09:22:00",2010,"Beaufort"
