"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,645.3,35.4319,-82.5375,36,75.3333333333333,18.6666666666667,356.666666666667,"09:38:40",2010,"Buncombe"
"2",2010-01-02,645.3,35.4319,-82.5375,18,69,20.75,347.5,"09:38:40",2010,"Buncombe"
"3",2010-01-03,645.3,35.4319,-82.5375,16,49,16,350,"09:38:40",2010,"Buncombe"
"4",2010-01-04,645.3,35.4319,-82.5375,16.5,65.5,17,345,"09:38:40",2010,"Buncombe"
"5",2010-01-05,645.3,35.4319,-82.5375,18,68,14,350,"09:38:40",2010,"Buncombe"
"6",2010-01-06,645.3,35.4319,-82.5375,21,71,20,330,"09:38:40",2010,"Buncombe"
"7",2010-01-07,645.3,35.4319,-82.5375,27,55,0,0,"09:38:40",2010,"Buncombe"
"8",2010-01-08,645.3,35.4319,-82.5375,11,65.5,19,345,"09:38:40",2010,"Buncombe"
"9",2010-01-09,645.3,35.4319,-82.5375,18,62,13,350,"09:38:40",2010,"Buncombe"
"10",2010-01-10,645.3,35.4319,-82.5375,18.5,63.5,18.5,345,"09:38:40",2010,"Buncombe"
"11",2010-01-11,645.3,35.4319,-82.5375,22,57,9,360,"09:38:40",2010,"Buncombe"
"12",2010-01-12,645.3,35.4319,-82.5375,27,80.2,14.8,354,"09:38:40",2010,"Buncombe"
"13",2010-01-13,645.3,35.4319,-82.5375,25,69,6,340,"09:38:40",2010,"Buncombe"
"14",2010-01-14,645.3,35.4319,-82.5375,32,61,5,340,"09:38:40",2010,"Buncombe"
"15",2010-01-15,645.3,35.4319,-82.5375,39,46,6,360,"09:38:40",2010,"Buncombe"
"16",2010-01-16,645.3,35.4319,-82.5375,34,64,0,0,"09:38:40",2010,"Buncombe"
"17",2010-01-17,645.3,35.4319,-82.5375,42.6666666666667,98.3333333333333,1.83333333333333,85,"09:38:40",2010,"Buncombe"
"18",2010-01-18,645.3,35.4319,-82.5375,45,74,15,350,"09:38:40",2010,"Buncombe"
"19",2010-01-19,645.3,35.4319,-82.5375,45,66,7,340,"09:38:40",2010,"Buncombe"
"20",2010-01-20,645.3,35.4319,-82.5375,44,83,0,0,"09:38:40",2010,"Buncombe"
