"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,348.4,35.7425,-81.3819,41,82,6,320,"09:53:00",2010,"Burke"
"2",2010-01-02,348.4,35.7425,-81.3819,26,38,15,330,"09:53:00",2010,"Burke"
"3",2010-01-03,348.4,35.7425,-81.3819,24,35,6,NA,"09:53:00",2010,"Burke"
"4",2010-01-04,348.4,35.7425,-81.3819,26,40,5,300,"09:53:00",2010,"Burke"
"5",2010-01-05,348.4,35.7425,-81.3819,27,46,11,320,"09:53:00",2010,"Burke"
"6",2010-01-06,348.4,35.7425,-81.3819,27,53,7,330,"09:53:00",2010,"Burke"
"7",2010-01-07,348.4,35.7425,-81.3819,33,40,3,NA,"09:53:00",2010,"Burke"
"8",2010-01-08,348.4,35.7425,-81.3819,20,41,10,350,"09:53:00",2010,"Burke"
"9",2010-01-09,348.4,35.7425,-81.3819,26,42,10,320,"09:53:00",2010,"Burke"
"10",2010-01-10,348.4,35.7425,-81.3819,25,50,10,300,"09:53:00",2010,"Burke"
"11",2010-01-11,348.4,35.7425,-81.3819,24,50,5,280,"09:53:00",2010,"Burke"
"12",2010-01-12,348.4,35.7425,-81.3819,34,59,8,310,"09:53:00",2010,"Burke"
"13",2010-01-13,348.4,35.7425,-81.3819,28,66,3,260,"09:53:00",2010,"Burke"
"14",2010-01-14,348.4,35.7425,-81.3819,34,64,5,260,"09:53:00",2010,"Burke"
"15",2010-01-15,348.4,35.7425,-81.3819,39,50,0,0,"09:53:00",2010,"Burke"
"16",2010-01-16,348.4,35.7425,-81.3819,39,50,0,0,"09:53:00",2010,"Burke"
"17",2010-01-17,348.4,35.7425,-81.3819,46,93.6,1.2,80,"09:53:00",2010,"Burke"
"18",2010-01-18,348.4,35.7425,-81.3819,51,69,5,290,"09:53:00",2010,"Burke"
"19",2010-01-19,348.4,35.7425,-81.3819,50,54,6,280,"09:53:00",2010,"Burke"
"20",2010-01-20,348.4,35.7425,-81.3819,50,68,5,310,"09:53:00",2010,"Burke"
"21",2010-01-21,348.4,35.7425,-81.3819,35.5,93,11,60,"09:53:00",2010,"Burke"
"22",2010-01-22,348.4,35.7425,-81.3819,37,96,0,0,"09:53:00",2010,"Burke"
"23",2010-01-23,348.4,35.7425,-81.3819,39.5,91,4,80,"09:53:00",2010,"Burke"
"24",2010-01-24,348.4,35.7425,-81.3819,37.2,99.4,3.8,262,"09:53:00",2010,"Burke"
"25",2010-01-25,348.4,35.7425,-81.3819,53,72,14,220,"09:53:00",2010,"Burke"
"26",2010-01-26,348.4,35.7425,-81.3819,39,46,9,270,"09:53:00",2010,"Burke"
"27",2010-01-27,348.4,35.7425,-81.3819,35,61,7,280,"09:53:00",2010,"Burke"
"28",2010-01-28,348.4,35.7425,-81.3819,42,58,0,0,"09:53:00",2010,"Burke"
"29",2010-01-29,348.4,35.7425,-81.3819,37,37,9,80,"09:53:00",2010,"Burke"
"30",2010-01-30,348.4,35.7425,-81.3819,25.4,84.6,12.6,48,"09:53:00",2010,"Burke"
"31",2010-01-31,348.4,35.7425,-81.3819,26,75,0,0,"09:53:00",2010,"Burke"
"32",2010-02-01,348.4,35.7425,-81.3819,27,75,0,0,"09:53:00",2010,"Burke"
"33",2010-02-02,348.4,35.7425,-81.3819,34,98.5,4,165,"09:53:00",2010,"Burke"
"34",2010-02-03,348.4,35.7425,-81.3819,38,83,5,330,"09:53:00",2010,"Burke"
"35",2010-02-04,348.4,35.7425,-81.3819,33,82,3,340,"09:53:00",2010,"Burke"
"36",2010-02-05,348.4,35.7425,-81.3819,33.5,89.5,7,20,"09:53:00",2010,"Burke"
"37",2010-02-06,348.4,35.7425,-81.3819,34,91,1.5,25,"09:53:00",2010,"Burke"
"38",2010-02-07,348.4,35.7425,-81.3819,36,82,0,0,"09:53:00",2010,"Burke"
"39",2010-02-08,348.4,35.7425,-81.3819,33,66,0,0,"09:53:00",2010,"Burke"
"40",2010-02-09,348.4,35.7425,-81.3819,36,73,0,0,"09:53:00",2010,"Burke"
"41",2010-02-10,348.4,35.7425,-81.3819,29,45,20,310,"09:53:00",2010,"Burke"
"42",2010-02-11,348.4,35.7425,-81.3819,32,50,5,230,"09:53:00",2010,"Burke"
"43",2010-02-12,348.4,35.7425,-81.3819,30,64,0,0,"09:53:00",2010,"Burke"
"44",2010-02-13,348.4,35.7425,-81.3819,29,61,7,300,"09:53:00",2010,"Burke"
"45",2010-02-14,348.4,35.7425,-81.3819,30,49,10,320,"09:53:00",2010,"Burke"
"46",2010-02-15,348.4,35.7425,-81.3819,36.3333333333333,93,9,190,"09:53:00",2010,"Burke"
"47",2010-02-16,348.4,35.7425,-81.3819,29,45,15,300,"09:53:00",2010,"Burke"
"48",2010-02-17,348.4,35.7425,-81.3819,33,45,10,330,"09:53:00",2010,"Burke"
"49",2010-02-18,348.4,35.7425,-81.3819,36,42,7,300,"09:53:00",2010,"Burke"
"50",2010-02-19,348.4,35.7425,-81.3819,42,45,5,270,"09:53:00",2010,"Burke"
"51",2010-02-20,348.4,35.7425,-81.3819,42,47,0,0,"09:53:00",2010,"Burke"
"52",2010-02-21,348.4,35.7425,-81.3819,45,52,0,0,"09:53:00",2010,"Burke"
"53",2010-02-22,348.4,35.7425,-81.3819,42,92,4.66666666666667,210,"09:53:00",2010,"Burke"
"54",2010-02-23,348.4,35.7425,-81.3819,46.3333333333333,99,0,0,"09:53:00",2010,"Burke"
"55",2010-02-24,348.4,35.7425,-81.3819,38,83,6,70,"09:53:00",2010,"Burke"
"56",2010-02-25,348.4,35.7425,-81.3819,29,41,17,310,"09:53:00",2010,"Burke"
"57",2010-02-26,348.4,35.7425,-81.3819,36,35,14,280,"09:53:00",2010,"Burke"
"58",2010-02-27,348.4,35.7425,-81.3819,39,41,3,310,"09:53:00",2010,"Burke"
"59",2010-02-28,348.4,35.7425,-81.3819,39,57,9,270,"09:53:00",2010,"Burke"
"60",2010-03-01,348.4,35.7425,-81.3819,37,59,3,260,"09:53:00",2010,"Burke"
"61",2010-03-02,348.4,35.7425,-81.3819,38,57,14,50,"09:53:00",2010,"Burke"
"62",2010-03-03,348.4,35.7425,-81.3819,37,57,9,340,"09:53:00",2010,"Burke"
"63",2010-03-04,348.4,35.7425,-81.3819,41,45,9,310,"09:53:00",2010,"Burke"
"64",2010-03-05,348.4,35.7425,-81.3819,41,29,6,NA,"09:53:00",2010,"Burke"
"65",2010-03-06,348.4,35.7425,-81.3819,43,31,9,300,"09:53:00",2010,"Burke"
"66",2010-03-07,348.4,35.7425,-81.3819,46,31,0,0,"09:53:00",2010,"Burke"
"67",2010-03-08,348.4,35.7425,-81.3819,54,40,0,0,"09:53:00",2010,"Burke"
"68",2010-03-09,348.4,35.7425,-81.3819,55,49,3,330,"09:53:00",2010,"Burke"
"69",2010-03-10,348.4,35.7425,-81.3819,57,55,10,190,"09:53:00",2010,"Burke"
"70",2010-03-11,348.4,35.7425,-81.3819,49.3333333333333,95.6666666666667,3,16.6666666666667,"09:53:00",2010,"Burke"
"71",2010-03-12,348.4,35.7425,-81.3819,55.25,100,7.25,57.5,"09:53:00",2010,"Burke"
"72",2010-03-13,348.4,35.7425,-81.3819,56,75,3,NA,"09:53:00",2010,"Burke"
"73",2010-03-14,348.4,35.7425,-81.3819,50,52,0,0,"09:53:00",2010,"Burke"
"74",2010-03-15,348.4,35.7425,-81.3819,54,51,15,320,"09:53:00",2010,"Burke"
