"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,214.9,35.38222,-80.49056,NA,NA,3,350,"09:55:00",2010,"Cabarrus"
"2",2010-01-03,214.9,35.38222,-80.49056,NA,NA,9,350,"09:55:00",2010,"Cabarrus"
"3",2010-01-04,214.9,35.38222,-80.49056,NA,NA,7,320,"09:55:00",2010,"Cabarrus"
"4",2010-01-05,214.9,35.38222,-80.49056,NA,NA,3,280,"09:55:00",2010,"Cabarrus"
"5",2010-01-06,214.9,35.38222,-80.49056,NA,NA,9,310,"09:55:00",2010,"Cabarrus"
"6",2010-01-07,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"7",2010-01-08,214.9,35.38222,-80.49056,NA,NA,18,350,"09:55:00",2010,"Cabarrus"
"8",2010-01-09,214.9,35.38222,-80.49056,NA,NA,9,350,"09:55:00",2010,"Cabarrus"
"9",2010-01-11,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"10",2010-01-12,214.9,35.38222,-80.49056,NA,NA,5,340,"09:55:00",2010,"Cabarrus"
"11",2010-01-13,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"12",2010-01-14,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"13",2010-01-15,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"14",2010-01-16,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"15",2010-01-17,214.9,35.38222,-80.49056,52,88,0,0,"09:55:00",2010,"Cabarrus"
"16",2010-01-18,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"17",2010-01-19,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"18",2010-01-20,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"19",2010-01-21,214.9,35.38222,-80.49056,NA,NA,18,60,"09:55:00",2010,"Cabarrus"
"20",2010-01-22,214.9,35.38222,-80.49056,NA,NA,6,10,"09:55:00",2010,"Cabarrus"
"21",2010-01-23,214.9,35.38222,-80.49056,NA,NA,3,50,"09:55:00",2010,"Cabarrus"
"22",2010-01-24,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"23",2010-01-27,214.9,35.38222,-80.49056,NA,NA,0,0,"09:55:00",2010,"Cabarrus"
"24",2010-01-28,214.9,35.38222,-80.49056,NA,NA,6,200,"09:55:00",2010,"Cabarrus"
