,DATE,ELEVATION,LATITUDE,LONGITUDE,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,time,year,county
1,1/1/2010,29.9,34.27278,-78.71472,46.5,92.75,3.25,247.5,9:30:00,2010,Columbus
2,1/2/2010,29.9,34.27278,-78.71472,31.5,53.75,7,350,9:30:00,2010,Columbus
3,1/3/2010,29.9,34.27278,-78.71472,26.75,39.75,6.25,300,9:30:00,2010,Columbus
4,1/8/2010,29.9,34.27278,-78.71472,40.25,73,6,272.5,9:30:00,2010,Columbus
5,1/9/2010,29.9,34.27278,-78.71472,26.5,50.25,3.25,262.5,9:30:00,2010,Columbus
6,1/10/2010,29.9,34.27278,-78.71472,29.5,50.75,6.25,20,9:30:00,2010,Columbus
7,1/11/2010,29.9,34.27278,-78.71472,30,54.75,0,0,9:30:00,2010,Columbus
8,1/12/2010,29.9,34.27278,-78.71472,38.5,46.5,5.5,262.5,9:30:00,2010,Columbus
9,1/13/2010,29.9,34.27278,-78.71472,31.25,58.75,2.75,100,9:30:00,2010,Columbus
10,1/14/2010,29.9,34.27278,-78.71472,36,79.25,1.25,52.5,9:30:00,2010,Columbus
11,1/15/2010,29.9,34.27278,-78.71472,43.5,69.75,0,0,9:30:00,2010,Columbus
12,1/16/2010,29.9,34.27278,-78.71472,44.75,75.5,0,0,9:30:00,2010,Columbus
13,1/17/2010,29.9,34.27278,-78.71472,68.5,86,12.75,212.5,9:30:00,2010,Columbus
14,1/18/2010,29.9,34.27278,-78.71472,53.25,77.75,4,222.5,9:30:00,2010,Columbus
15,1/19/2010,29.9,34.27278,-78.71472,51.75,83.75,1.5,92.5,9:30:00,2010,Columbus
16,1/20/2010,29.9,34.27278,-78.71472,53.75,71.75,2.75,182.5,9:30:00,2010,Columbus
17,1/21/2010,29.9,34.27278,-78.71472,42.5,87.25,11,55,9:30:00,2010,Columbus
18,1/22/2010,29.9,34.27278,-78.71472,43,95.25,3.5,252.5,9:30:00,2010,Columbus
19,1/23/2010,29.9,34.27278,-78.71472,42,75.5,6.75,140,9:30:00,2010,Columbus
20,1/24/2010,29.9,34.27278,-78.71472,54.5,85.5,6.25,100,9:30:00,2010,Columbus
21,1/25/2010,29.9,34.27278,-78.71472,55.5,93,8,217.5,9:30:00,2010,Columbus
22,1/26/2010,29.9,34.27278,-78.71472,45.5,47.5,10,255,9:30:00,2010,Columbus
23,1/27/2010,29.9,34.27278,-78.71472,40.25,55,2.25,237.5,9:30:00,2010,Columbus
24,1/28/2010,29.9,34.27278,-78.71472,45.75,67,6,215,9:30:00,2010,Columbus
25,1/29/2010,29.9,34.27278,-78.71472,44.25,54,9.75,53.33333333,9:30:00,2010,Columbus
26,1/30/2010,29.9,34.27278,-78.71472,33,96.25,4.75,30,9:30:00,2010,Columbus
27,1/31/2010,29.9,34.27278,-78.71472,26.5,81.5,4.75,236.6666667,9:30:00,2010,Columbus
28,2/1/2010,29.9,34.27278,-78.71472,34.25,87,2.25,25,9:30:00,2010,Columbus
29,2/2/2010,29.9,34.27278,-78.71472,41,93,5.5,42.5,9:30:00,2010,Columbus
30,2/3/2010,29.9,34.27278,-78.71472,40.75,89,2.75,257.5,9:30:00,2010,Columbus
31,2/4/2010,29.9,34.27278,-78.71472,39,80.5,7,57.5,9:30:00,2010,Columbus
32,2/5/2010,29.9,34.27278,-78.71472,40,85.5,8,50,9:30:00,2010,Columbus
33,2/6/2010,29.9,34.27278,-78.71472,42.5,89.25,3.75,197.5,9:30:00,2010,Columbus
34,2/7/2010,29.9,34.27278,-78.71472,34.5,50.25,7.5,32.5,9:30:00,2010,Columbus
35,2/8/2010,29.9,34.27278,-78.71472,38.75,66,3.25,45,9:30:00,2010,Columbus
36,2/9/2010,29.9,34.27278,-78.71472,47.25,72,8.5,65,9:30:00,2010,Columbus
37,2/10/2010,29.9,34.27278,-78.71472,35.25,32.5,11.25,270,9:30:00,2010,Columbus
38,2/11/2010,29.9,34.27278,-78.71472,36.5,48.75,6.25,295,9:30:00,2010,Columbus
39,2/12/2010,29.9,34.27278,-78.71472,34,57.75,4.75,30,9:30:00,2010,Columbus
40,2/13/2010,29.9,34.27278,-78.71472,33,90,2.666666667,206.6666667,9:30:00,2010,Columbus
41,2/14/2010,29.9,34.27278,-78.71472,34.5,58.25,3.5,215,9:30:00,2010,Columbus
42,2/15/2010,29.9,34.27278,-78.71472,47.75,73.5,7,187.5,9:30:00,2010,Columbus
43,2/16/2010,29.9,34.27278,-78.71472,35.75,56.5,7.5,262.5,9:30:00,2010,Columbus
44,2/17/2010,29.9,34.27278,-78.71472,34.75,57,4.75,265,9:30:00,2010,Columbus
45,2/18/2010,29.9,34.27278,-78.71472,37.25,51.25,6,285,9:30:00,2010,Columbus
46,2/19/2010,29.9,34.27278,-78.71472,42.5,57.25,4,252.5,9:30:00,2010,Columbus
47,2/20/2010,29.9,34.27278,-78.71472,47.25,35.5,4.25,30,9:30:00,2010,Columbus
48,2/21/2010,29.9,34.27278,-78.71472,51.5,56.5,1.5,30,9:30:00,2010,Columbus
49,2/22/2010,29.9,34.27278,-78.71472,57.75,82.5,4.75,152.5,9:30:00,2010,Columbus
50,2/23/2010,29.9,34.27278,-78.71472,51.75,89.25,1.5,162.5,9:30:00,2010,Columbus
51,2/24/2010,29.9,34.27278,-78.71472,48.25,77.5,5.5,85,9:30:00,2010,Columbus
52,2/25/2010,29.9,34.27278,-78.71472,37,83,7.75,283.3333333,9:30:00,2010,Columbus
53,2/26/2010,29.9,34.27278,-78.71472,37.5,37.5,10,NA,9:30:00,2010,Columbus
