"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,56.7,34.99139,-78.88028,46,79,9,350,"09:53:00",2010,"Cumberland"
"2",2010-01-02,56.7,34.99139,-78.88028,32,41,18,320,"09:53:00",2010,"Cumberland"
"3",2010-01-03,56.7,34.99139,-78.88028,28,31,16,300,"09:53:00",2010,"Cumberland"
"4",2010-01-04,56.7,34.99139,-78.88028,29,41,9,300,"09:53:00",2010,"Cumberland"
"5",2010-01-05,56.7,34.99139,-78.88028,32,43,8,290,"09:53:00",2010,"Cumberland"
"6",2010-01-06,56.7,34.99139,-78.88028,32,47,9,290,"09:53:00",2010,"Cumberland"
"7",2010-01-07,56.7,34.99139,-78.88028,33,49,3,260,"09:53:00",2010,"Cumberland"
"8",2010-01-08,56.7,34.99139,-78.88028,37.5,46.25,17.5,317.5,"09:53:00",2010,"Cumberland"
"9",2010-01-09,56.7,34.99139,-78.88028,28,44,8,330,"09:53:00",2010,"Cumberland"
"10",2010-01-10,56.7,34.99139,-78.88028,31,47,10,10,"09:53:00",2010,"Cumberland"
"11",2010-01-11,56.7,34.99139,-78.88028,31,47,3,210,"09:53:00",2010,"Cumberland"
"12",2010-01-12,56.7,34.99139,-78.88028,38,48,9,330,"09:53:00",2010,"Cumberland"
"13",2010-01-13,56.7,34.99139,-78.88028,35,44,3,360,"09:53:00",2010,"Cumberland"
"14",2010-01-14,56.7,34.99139,-78.88028,40,49,6,240,"09:53:00",2010,"Cumberland"
"15",2010-01-15,56.7,34.99139,-78.88028,47,54,8,240,"09:53:00",2010,"Cumberland"
"16",2010-01-16,56.7,34.99139,-78.88028,45,56,0,0,"09:53:00",2010,"Cumberland"
"17",2010-01-17,56.7,34.99139,-78.88028,67.3333333333333,84,12.6666666666667,210,"09:53:00",2010,"Cumberland"
"18",2010-01-18,56.7,34.99139,-78.88028,56,65,14,320,"09:53:00",2010,"Cumberland"
"19",2010-01-19,56.7,34.99139,-78.88028,52,75,5,250,"09:53:00",2010,"Cumberland"
"20",2010-01-20,56.7,34.99139,-78.88028,53,66,5,230,"09:53:00",2010,"Cumberland"
"21",2010-01-21,56.7,34.99139,-78.88028,41,82,13,50,"09:53:00",2010,"Cumberland"
"22",2010-01-22,56.7,34.99139,-78.88028,41,88,8.5,185,"09:53:00",2010,"Cumberland"
"23",2010-01-23,56.7,34.99139,-78.88028,42,68,9,30,"09:53:00",2010,"Cumberland"
"24",2010-01-24,56.7,34.99139,-78.88028,52,75,5,160,"09:53:00",2010,"Cumberland"
"25",2010-01-25,56.7,34.99139,-78.88028,57,81,18,220,"09:53:00",2010,"Cumberland"
"26",2010-01-26,56.7,34.99139,-78.88028,46,42,16,250,"09:53:00",2010,"Cumberland"
"27",2010-01-27,56.7,34.99139,-78.88028,43,43,9,310,"09:53:00",2010,"Cumberland"
"28",2010-01-28,56.7,34.99139,-78.88028,48,52,6,220,"09:53:00",2010,"Cumberland"
"29",2010-01-29,56.7,34.99139,-78.88028,42,45,14,30,"09:53:00",2010,"Cumberland"
