"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,41.8,35,-77.98167,46,93,0,0,"09:21:00",2010,"Duplin"
"2",2010-01-02,41.8,35,-77.98167,30,47,13,313.333333333333,"09:21:00",2010,"Duplin"
"3",2010-01-03,41.8,35,-77.98167,27,41,15.3333333333333,306.666666666667,"09:21:00",2010,"Duplin"
"4",2010-01-04,41.8,35,-77.98167,27.5,50.5,8.33333333333333,296.666666666667,"09:21:00",2010,"Duplin"
"5",2010-01-05,41.8,35,-77.98167,29,57,5.33333333333333,283.333333333333,"09:21:00",2010,"Duplin"
"6",2010-01-06,41.8,35,-77.98167,30,59,6.33333333333333,283.333333333333,"09:21:00",2010,"Duplin"
"7",2010-01-07,41.8,35,-77.98167,31,62,0,0,"09:21:00",2010,"Duplin"
"8",2010-01-08,41.8,35,-77.98167,41,63.5,11,293.333333333333,"09:21:00",2010,"Duplin"
"9",2010-01-09,41.8,35,-77.98167,27,54,5,340,"09:21:00",2010,"Duplin"
"10",2010-01-10,41.8,35,-77.98167,28,53,11.3333333333333,243.333333333333,"09:21:00",2010,"Duplin"
"11",2010-01-11,41.8,35,-77.98167,29,53,1,100,"09:21:00",2010,"Duplin"
"12",2010-01-12,41.8,35,-77.98167,38,52,8.33333333333333,336.666666666667,"09:21:00",2010,"Duplin"
"13",2010-01-13,41.8,35,-77.98167,31,62,0,0,"09:21:00",2010,"Duplin"
"14",2010-01-14,41.8,35,-77.98167,35.5,70,0,0,"09:21:00",2010,"Duplin"
"15",2010-01-15,41.8,35,-77.98167,38,81,0,0,"09:21:00",2010,"Duplin"
"16",2010-01-16,41.8,35,-77.98167,39,84,0,0,"09:21:00",2010,"Duplin"
"17",2010-01-17,41.8,35,-77.98167,66,97,4.66666666666667,210,"09:21:00",2010,"Duplin"
"18",2010-01-18,41.8,35,-77.98167,54,79.5,11,320,"09:21:00",2010,"Duplin"
"19",2010-01-19,41.8,35,-77.98167,53,79.5,2.25,112.5,"09:21:00",2010,"Duplin"
"20",2010-01-20,41.8,35,-77.98167,53,74.5,3.5,242.5,"09:21:00",2010,"Duplin"
"21",2010-01-21,41.8,35,-77.98167,43,87,6.66666666666667,53.3333333333333,"09:21:00",2010,"Duplin"
"22",2010-01-22,41.8,35,-77.98167,43,100,8,352.5,"09:21:00",2010,"Duplin"
