"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2013-01-01,16.2,35.937,-77.547,47,73.5,8.25,215,"09:27:30",2013,"Edgecombe"
"2",2013-01-02,16.2,35.937,-77.547,45,87,6.75,42.5,"09:27:30",2013,"Edgecombe"
"3",2013-01-03,16.2,35.937,-77.547,38,78,5.5,60,"09:27:30",2013,"Edgecombe"
"4",2013-01-04,16.2,35.937,-77.547,36,79.5,6,297.5,"09:27:30",2013,"Edgecombe"
"5",2013-01-05,16.2,35.937,-77.547,36.5,64,0,0,"09:27:30",2013,"Edgecombe"
"6",2013-01-06,16.2,35.937,-77.547,44,73.5,4,212.5,"09:27:30",2013,"Edgecombe"
"7",2013-01-07,16.2,35.937,-77.547,40,78.75,4.5,95,"09:27:30",2013,"Edgecombe"
"8",2013-01-08,16.2,35.937,-77.547,37.25,87,0,0,"09:27:30",2013,"Edgecombe"
"9",2013-01-09,16.2,35.937,-77.547,44.5,83,0,0,"09:27:30",2013,"Edgecombe"
"10",2013-01-10,16.2,35.937,-77.547,54.5,77.5,5.75,70,"09:27:30",2013,"Edgecombe"
"11",2013-01-11,16.2,35.937,-77.547,51,78,3.25,52.5,"09:27:30",2013,"Edgecombe"
"12",2013-01-12,16.2,35.937,-77.547,55,95.5,0.75,45,"09:27:30",2013,"Edgecombe"
"13",2013-01-13,16.2,35.937,-77.547,58,95.5,3.5,160,"09:27:30",2013,"Edgecombe"
"14",2013-01-14,16.2,35.937,-77.547,64,80.5,5.75,207.5,"09:27:30",2013,"Edgecombe"
"15",2013-01-15,16.2,35.937,-77.547,46,88.5,4.25,57.5,"09:27:30",2013,"Edgecombe"
"16",2013-01-16,16.2,35.937,-77.547,47,97,5,350,"09:27:30",2013,"Edgecombe"
"17",2013-01-17,16.2,35.937,-77.547,51,94,6.25,37.5,"09:27:30",2013,"Edgecombe"
"18",2013-01-18,16.2,35.937,-77.547,37.3333333333333,87,5.33333333333333,216.666666666667,"09:27:30",2013,"Edgecombe"
"19",2013-01-19,16.2,35.937,-77.547,33.3333333333333,89,0,0,"09:27:30",2013,"Edgecombe"
"20",2013-01-20,16.2,35.937,-77.547,49.5,57,8.25,242.5,"09:27:30",2013,"Edgecombe"
"21",2013-01-21,16.2,35.937,-77.547,41.75,72.5,2.75,57.5,"09:27:30",2013,"Edgecombe"
"22",2013-01-22,16.2,35.937,-77.547,35,31,12.5,327.5,"09:27:30",2013,"Edgecombe"
"23",2013-01-23,16.2,35.937,-77.547,27,47.75,0.75,22.5,"09:27:30",2013,"Edgecombe"
"24",2013-01-24,16.2,35.937,-77.547,34.5,55,13,355,"09:27:30",2013,"Edgecombe"
"25",2013-01-25,16.2,35.937,-77.547,24.5,62.25,0.75,20,"09:27:30",2013,"Edgecombe"
"26",2013-01-26,16.2,35.937,-77.547,30.5,96.5,4,207.5,"09:27:30",2013,"Edgecombe"
"27",2013-01-27,16.2,35.937,-77.547,28.75,96.5,1.25,12.5,"09:27:30",2013,"Edgecombe"
"28",2013-01-28,16.2,35.937,-77.547,35,84,0,0,"09:27:30",2013,"Edgecombe"
"29",2013-01-29,16.2,35.937,-77.547,56.25,75.75,8.75,245,"09:27:30",2013,"Edgecombe"
"30",2013-01-30,16.2,35.937,-77.547,65.5,84.25,11.5,187.5,"09:27:30",2013,"Edgecombe"
"31",2013-01-31,16.2,35.937,-77.547,52,51,19.25,267.5,"09:27:30",2013,"Edgecombe"
"32",2013-02-01,16.2,35.937,-77.547,39.5,60.75,17,302.5,"09:27:30",2013,"Edgecombe"
"33",2013-02-02,16.2,35.937,-77.547,28.75,50,2.5,67.5,"09:27:30",2013,"Edgecombe"
"34",2013-02-03,16.2,35.937,-77.547,40,81.5,6.75,280,"09:27:30",2013,"Edgecombe"
"35",2013-02-04,16.2,35.937,-77.547,36.5,56.75,4.75,257.5,"09:27:30",2013,"Edgecombe"
"36",2013-02-05,16.2,35.937,-77.547,48.5,52.75,8.25,220,"09:27:30",2013,"Edgecombe"
"37",2013-02-06,16.2,35.937,-77.547,48.25,62.75,3.75,232.5,"09:27:30",2013,"Edgecombe"
"38",2013-02-07,16.2,35.937,-77.547,42.5,74.75,7.5,47.5,"09:27:30",2013,"Edgecombe"
"39",2013-02-08,16.2,35.937,-77.547,45,93,12.25,327.5,"09:27:30",2013,"Edgecombe"
"40",2013-02-09,16.2,35.937,-77.547,42,45.5,11,305,"09:27:30",2013,"Edgecombe"
"41",2013-02-10,16.2,35.937,-77.547,36,67.75,1.5,40,"09:27:30",2013,"Edgecombe"
"42",2013-02-11,16.2,35.937,-77.547,55,94,6,172.5,"09:27:30",2013,"Edgecombe"
"43",2013-02-12,16.2,35.937,-77.547,53.25,41.75,9.5,297.5,"09:27:30",2013,"Edgecombe"
"44",2013-02-13,16.2,35.937,-77.547,46,93,1.5,30,"09:27:30",2013,"Edgecombe"
"45",2013-02-14,16.2,35.937,-77.547,43.5,79,4,180,"09:27:30",2013,"Edgecombe"
"46",2013-02-15,16.2,35.937,-77.547,44,79,0.75,67.5,"09:27:30",2013,"Edgecombe"
"47",2013-02-16,16.2,35.937,-77.547,44.5,64.75,10.75,22.5,"09:27:30",2013,"Edgecombe"
"48",2013-02-17,16.2,35.937,-77.547,30,60.25,16,297.5,"09:27:30",2013,"Edgecombe"
"49",2013-02-18,16.2,35.937,-77.547,33,52,0,0,"09:27:30",2013,"Edgecombe"
"50",2013-02-19,16.2,35.937,-77.547,45.5,74.75,6.5,170,"09:27:30",2013,"Edgecombe"
"51",2013-02-20,16.2,35.937,-77.547,44,33,13.25,275,"09:27:30",2013,"Edgecombe"
"52",2013-02-21,16.2,35.937,-77.547,37,51.25,1.25,60,"09:27:30",2013,"Edgecombe"
"53",2013-02-22,16.2,35.937,-77.547,36,75,0,0,"09:27:30",2013,"Edgecombe"
"54",2013-02-23,16.2,35.937,-77.547,41,93,0,0,"09:27:30",2013,"Edgecombe"
"55",2013-02-24,16.2,35.937,-77.547,49,87.5,6.75,292.5,"09:27:30",2013,"Edgecombe"
"56",2013-02-25,16.2,35.937,-77.547,37.25,53,8.25,37.5,"09:27:30",2013,"Edgecombe"
"57",2013-02-26,16.2,35.937,-77.547,42,88.5,7.25,65,"09:27:30",2013,"Edgecombe"
"58",2013-02-27,16.2,35.937,-77.547,50,73.75,10.5,255,"09:27:30",2013,"Edgecombe"
"59",2013-02-28,16.2,35.937,-77.547,45.5,70,6,292.5,"09:27:30",2013,"Edgecombe"
"60",2013-03-01,16.2,35.937,-77.547,45.5,55.25,9,315,"09:27:30",2013,"Edgecombe"
"61",2013-03-02,16.2,35.937,-77.547,44,49.5,2,105,"09:27:30",2013,"Edgecombe"
"62",2013-03-03,16.2,35.937,-77.547,39,49.25,7.75,337.5,"09:27:30",2013,"Edgecombe"
"63",2013-03-04,16.2,35.937,-77.547,36.5,40.25,9.25,315,"09:27:30",2013,"Edgecombe"
"64",2013-03-05,16.2,35.937,-77.547,45,44.25,6,130,"09:27:30",2013,"Edgecombe"
"65",2013-03-06,16.2,35.937,-77.547,39,75,20.75,270,"09:27:30",2013,"Edgecombe"
"66",2013-03-07,16.2,35.937,-77.547,46.25,50.75,11.25,340,"09:27:30",2013,"Edgecombe"
"67",2013-03-08,16.2,35.937,-77.547,44.75,49.5,13.75,335,"09:27:30",2013,"Edgecombe"
"68",2013-03-09,16.2,35.937,-77.547,48,43,10.25,260,"09:27:30",2013,"Edgecombe"
"69",2013-03-10,16.2,35.937,-77.547,50.5,46.25,1.5,50,"09:27:30",2013,"Edgecombe"
"70",2013-03-11,16.2,35.937,-77.547,56.25,74.75,7.75,135,"09:27:30",2013,"Edgecombe"
"71",2013-03-12,16.2,35.937,-77.547,63,89.5,11,182.5,"09:27:30",2013,"Edgecombe"
"72",2013-03-13,16.2,35.937,-77.547,49.5,51.25,0.75,10,"09:27:30",2013,"Edgecombe"
"73",2013-03-14,16.2,35.937,-77.547,40.5,39.75,9.75,320,"09:27:30",2013,"Edgecombe"
"74",2013-03-15,16.2,35.937,-77.547,46.3333333333333,37.6666666666667,6.33333333333333,263.333333333333,"09:27:30",2013,"Edgecombe"
"75",2013-03-16,16.2,35.937,-77.547,56,65.25,4.25,217.5,"09:27:30",2013,"Edgecombe"
"76",2013-03-17,16.2,35.937,-77.547,52,72,8.25,45,"09:27:30",2013,"Edgecombe"
"77",2013-03-18,16.2,35.937,-77.547,41,91.5,7.75,42.5,"09:27:30",2013,"Edgecombe"
"78",2013-03-19,16.2,35.937,-77.547,48,87.25,8.75,265,"09:27:30",2013,"Edgecombe"
"79",2013-03-20,16.2,35.937,-77.547,48.5,22.25,6.5,320,"09:27:30",2013,"Edgecombe"
"80",2013-03-21,16.2,35.937,-77.547,42,55,11.25,342.5,"09:27:30",2013,"Edgecombe"
"81",2013-03-22,16.2,35.937,-77.547,37.25,36,5.25,285,"09:27:30",2013,"Edgecombe"
"82",2013-03-23,16.2,35.937,-77.547,43.75,48.5,2,170,"09:27:30",2013,"Edgecombe"
"83",2013-03-24,16.2,35.937,-77.547,42,87,9.5,67.5,"09:27:30",2013,"Edgecombe"
"84",2013-03-25,16.2,35.937,-77.547,39,87,9.5,260,"09:27:30",2013,"Edgecombe"
"85",2013-03-26,16.2,35.937,-77.547,45.75,49.75,11.5,300,"09:27:30",2013,"Edgecombe"
"86",2013-03-27,16.2,35.937,-77.547,46.5,43,12.25,300,"09:27:30",2013,"Edgecombe"
"87",2013-03-28,16.2,35.937,-77.547,48,40.75,11.5,300,"09:27:30",2013,"Edgecombe"
"88",2013-03-29,16.2,35.937,-77.547,51.5,40,6,305,"09:27:30",2013,"Edgecombe"
"89",2013-03-30,16.2,35.937,-77.547,55.75,40.5,4.5,227.5,"09:27:30",2013,"Edgecombe"
"90",2013-03-31,16.2,35.937,-77.547,52,91,5.5,150,"09:27:30",2013,"Edgecombe"
"91",2013-04-01,16.2,35.937,-77.547,59.5,66.75,5.75,282.5,"09:27:30",2013,"Edgecombe"
"92",2013-04-02,16.2,35.937,-77.547,52,30.5,9.5,350,"09:27:30",2013,"Edgecombe"
"93",2013-04-03,16.2,35.937,-77.547,52,29.75,7.25,192.5,"09:27:30",2013,"Edgecombe"
"94",2013-04-04,16.2,35.937,-77.547,49.5,41.5,10.25,65,"09:27:30",2013,"Edgecombe"
"95",2013-04-05,16.2,35.937,-77.547,46,87,7.5,337.5,"09:27:30",2013,"Edgecombe"
"96",2013-04-06,16.2,35.937,-77.547,54.5,37,12,25,"09:27:30",2013,"Edgecombe"
"97",2013-04-07,16.2,35.937,-77.547,55.75,61.25,3.5,152.5,"09:27:30",2013,"Edgecombe"
"98",2013-04-08,16.2,35.937,-77.547,69,62.25,8.75,230,"09:27:30",2013,"Edgecombe"
"99",2013-04-09,16.2,35.937,-77.547,73.25,60.25,8.5,245,"09:27:30",2013,"Edgecombe"
"100",2013-04-10,16.2,35.937,-77.547,77,55.75,11.5,235,"09:27:30",2013,"Edgecombe"
"101",2013-04-11,16.2,35.937,-77.547,73.75,64,13.25,235,"09:27:30",2013,"Edgecombe"
"102",2013-04-12,16.2,35.937,-77.547,70,88.25,11,180,"09:27:30",2013,"Edgecombe"
"103",2013-04-13,16.2,35.937,-77.547,61.5,63.5,4.5,105,"09:27:30",2013,"Edgecombe"
