"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,271.3,36.0969,-79.9432,41,82,0,0,"09:57:00",2010,"Guilford"
"2",2010-01-02,271.3,36.0969,-79.9432,27,41,17,330,"09:57:00",2010,"Guilford"
"3",2010-01-03,271.3,36.0969,-79.9432,22,36,16,320,"09:57:00",2010,"Guilford"
"4",2010-01-04,271.3,36.0969,-79.9432,26,44,19.5,300,"09:57:00",2010,"Guilford"
"5",2010-01-05,271.3,36.0969,-79.9432,28,44,19.5,320,"09:57:00",2010,"Guilford"
"6",2010-01-06,271.3,36.0969,-79.9432,30,49,22,300,"09:57:00",2010,"Guilford"
"7",2010-01-07,271.3,36.0969,-79.9432,32,50,3,300,"09:57:00",2010,"Guilford"
"8",2010-01-08,271.3,36.0969,-79.9432,23,42,21,320,"09:57:00",2010,"Guilford"
"9",2010-01-09,271.3,36.0969,-79.9432,25,50,6,340,"09:57:00",2010,"Guilford"
"10",2010-01-10,271.3,36.0969,-79.9432,26,48,6,360,"09:57:00",2010,"Guilford"
"11",2010-01-11,271.3,36.0969,-79.9432,29,41,5,230,"09:57:00",2010,"Guilford"
"12",2010-01-12,271.3,36.0969,-79.9432,36,55,11,330,"09:57:00",2010,"Guilford"
"13",2010-01-13,271.3,36.0969,-79.9432,30,56,6,230,"09:57:00",2010,"Guilford"
"14",2010-01-14,271.3,36.0969,-79.9432,41,45,0,0,"09:57:00",2010,"Guilford"
"15",2010-01-15,271.3,36.0969,-79.9432,43,49,0,0,"09:57:00",2010,"Guilford"
"16",2010-01-16,271.3,36.0969,-79.9432,44,45,0,0,"09:57:00",2010,"Guilford"
"17",2010-01-17,271.3,36.0969,-79.9432,44.5,100,7.25,17.5,"09:57:00",2010,"Guilford"
"18",2010-01-18,271.3,36.0969,-79.9432,52,64,5,330,"09:57:00",2010,"Guilford"
"19",2010-01-19,271.3,36.0969,-79.9432,55,47,5,270,"09:57:00",2010,"Guilford"
"20",2010-01-20,271.3,36.0969,-79.9432,53,59,6,250,"09:57:00",2010,"Guilford"
"21",2010-01-21,271.3,36.0969,-79.9432,35,93,18,60,"09:57:00",2010,"Guilford"
"22",2010-01-22,271.3,36.0969,-79.9432,37,96,7,40,"09:57:00",2010,"Guilford"
"23",2010-01-23,271.3,36.0969,-79.9432,39.6666666666667,68.6666666666667,8.66666666666667,80,"09:57:00",2010,"Guilford"
"24",2010-01-24,271.3,36.0969,-79.9432,39,90,7,65,"09:57:00",2010,"Guilford"
"25",2010-01-25,271.3,36.0969,-79.9432,53,77,19.5,240,"09:57:00",2010,"Guilford"
"26",2010-01-26,271.3,36.0969,-79.9432,40,53,16,250,"09:57:00",2010,"Guilford"
"27",2010-01-27,271.3,36.0969,-79.9432,36,57,8,280,"09:57:00",2010,"Guilford"
"28",2010-01-28,271.3,36.0969,-79.9432,41,57,11,230,"09:57:00",2010,"Guilford"
"29",2010-01-29,271.3,36.0969,-79.9432,36,34,15,60,"09:57:00",2010,"Guilford"
"30",2010-01-30,271.3,36.0969,-79.9432,21,83.3333333333333,14,43.3333333333333,"09:57:00",2010,"Guilford"
"31",2010-01-31,271.3,36.0969,-79.9432,21,85,0,0,"09:57:00",2010,"Guilford"
