"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,60.4,35.37861,-78.73361,42,84,5,322.5,"09:30:00",2010,"Harnett"
"2",2010-01-02,60.4,35.37861,-78.73361,28,43,11.25,312.5,"09:30:00",2010,"Harnett"
"3",2010-01-03,60.4,35.37861,-78.73361,24,31.5,13.75,230,"09:30:00",2010,"Harnett"
"4",2010-01-04,60.4,35.37861,-78.73361,25,46.5,5.5,232.5,"09:30:00",2010,"Harnett"
"5",2010-01-05,60.4,35.37861,-78.73361,27.5,50.5,2.25,147.5,"09:30:00",2010,"Harnett"
"6",2010-01-06,60.4,35.37861,-78.73361,29,49,6.5,305,"09:30:00",2010,"Harnett"
"7",2010-01-07,60.4,35.37861,-78.73361,27.5,56.5,0,0,"09:30:00",2010,"Harnett"
"8",2010-01-08,60.4,35.37861,-78.73361,36,50,11.6666666666667,303.333333333333,"09:30:00",2010,"Harnett"
"9",2010-01-09,60.4,35.37861,-78.73361,23,50,6.33333333333333,240,"09:30:00",2010,"Harnett"
"10",2010-01-10,60.4,35.37861,-78.73361,26,54,7,303.333333333333,"09:30:00",2010,"Harnett"
"11",2010-01-11,60.4,35.37861,-78.73361,21,80,1,56.6666666666667,"09:30:00",2010,"Harnett"
"12",2010-01-12,60.4,35.37861,-78.73361,34,56,4.66666666666667,320,"09:30:00",2010,"Harnett"
"13",2010-01-13,60.4,35.37861,-78.73361,26,66.5,2.66666666666667,196.666666666667,"09:30:00",2010,"Harnett"
"14",2010-01-14,60.4,35.37861,-78.73361,28,74,1,60,"09:30:00",2010,"Harnett"
"15",2010-01-15,60.4,35.37861,-78.73361,31,83,0,0,"09:30:00",2010,"Harnett"
"16",2010-01-16,60.4,35.37861,-78.73361,34,77.5,0,0,"09:30:00",2010,"Harnett"
"17",2010-01-17,60.4,35.37861,-78.73361,62,85.5,9.33333333333333,190,"09:30:00",2010,"Harnett"
"18",2010-01-18,60.4,35.37861,-78.73361,47,84.5,5,316.666666666667,"09:30:00",2010,"Harnett"
"19",2010-01-19,60.4,35.37861,-78.73361,40,87,0,0,"09:30:00",2010,"Harnett"
"20",2010-01-20,60.4,35.37861,-78.73361,42,84,0,0,"09:30:00",2010,"Harnett"
"21",2010-01-21,60.4,35.37861,-78.73361,39,81,11,53.3333333333333,"09:30:00",2010,"Harnett"
"22",2010-01-22,60.4,35.37861,-78.73361,39,87,6.66666666666667,333.333333333333,"09:30:00",2010,"Harnett"
"23",2010-01-23,60.4,35.37861,-78.73361,36.5,84,5.33333333333333,353.333333333333,"09:30:00",2010,"Harnett"
"24",2010-01-24,60.4,35.37861,-78.73361,44,81,3,63.3333333333333,"09:30:00",2010,"Harnett"
"25",2010-01-25,60.4,35.37861,-78.73361,53,82.5,12,206.666666666667,"09:30:00",2010,"Harnett"
"26",2010-01-26,60.4,35.37861,-78.73361,40,54.5,9,233.333333333333,"09:30:00",2010,"Harnett"
"27",2010-01-27,60.4,35.37861,-78.73361,36.5,60.5,6,310,"09:30:00",2010,"Harnett"
"28",2010-01-28,60.4,35.37861,-78.73361,36,81,2,123.333333333333,"09:30:00",2010,"Harnett"
"29",2010-01-29,60.4,35.37861,-78.73361,36,44,13.3333333333333,66.6666666666667,"09:30:00",2010,"Harnett"
"30",2010-01-30,60.4,35.37861,-78.73361,25,80,8.33333333333333,240,"09:30:00",2010,"Harnett"
"31",2010-01-31,60.4,35.37861,-78.73361,21,49.5,6.33333333333333,236.666666666667,"09:30:00",2010,"Harnett"
"32",2010-02-01,60.4,35.37861,-78.73361,28.5,80,2,230,"09:30:00",2010,"Harnett"
"33",2010-02-02,60.4,35.37861,-78.73361,36,78,2,26.6666666666667,"09:30:00",2010,"Harnett"
"34",2010-02-03,60.4,35.37861,-78.73361,35,87,4.33333333333333,310,"09:30:00",2010,"Harnett"
"35",2010-02-04,60.4,35.37861,-78.73361,36,75,1.66666666666667,16.6666666666667,"09:30:00",2010,"Harnett"
"36",2010-02-05,60.4,35.37861,-78.73361,33,84,12,50,"09:30:00",2010,"Harnett"
"37",2010-02-06,60.4,35.37861,-78.73361,36,84,5.33333333333333,296.666666666667,"09:30:00",2010,"Harnett"
"38",2010-02-07,60.4,35.37861,-78.73361,30,69.5,5.33333333333333,130,"09:30:00",2010,"Harnett"
"39",2010-02-08,60.4,35.37861,-78.73361,30,69,1,120,"09:30:00",2010,"Harnett"
"40",2010-02-09,60.4,35.37861,-78.73361,39,70,6,96.6666666666667,"09:30:00",2010,"Harnett"
"41",2010-02-10,60.4,35.37861,-78.73361,30,35.5,10.6666666666667,286.666666666667,"09:30:00",2010,"Harnett"
"42",2010-02-11,60.4,35.37861,-78.73361,34,48,12.3333333333333,316.666666666667,"09:30:00",2010,"Harnett"
"43",2010-02-12,60.4,35.37861,-78.73361,30,57,1,120,"09:30:00",2010,"Harnett"
"44",2010-02-13,60.4,35.37861,-78.73361,30,86,6.66666666666667,316.666666666667,"09:30:00",2010,"Harnett"
"45",2010-02-14,60.4,35.37861,-78.73361,30,51,7.33333333333333,306.666666666667,"09:30:00",2010,"Harnett"
"46",2010-02-15,60.4,35.37861,-78.73361,40,72.5,8,183.333333333333,"09:30:00",2010,"Harnett"
"47",2010-02-16,60.4,35.37861,-78.73361,32,34,10.3333333333333,293.333333333333,"09:30:00",2010,"Harnett"
"48",2010-02-17,60.4,35.37861,-78.73361,34,42.5,9,296.666666666667,"09:30:00",2010,"Harnett"
"49",2010-02-18,60.4,35.37861,-78.73361,36,46,10,290,"09:30:00",2010,"Harnett"
"50",2010-02-19,60.4,35.37861,-78.73361,37.5,56.5,7,310,"09:30:00",2010,"Harnett"
"51",2010-02-20,60.4,35.37861,-78.73361,35.5,63.5,0,0,"09:30:00",2010,"Harnett"
"52",2010-02-21,60.4,35.37861,-78.73361,41,51.5,0,0,"09:30:00",2010,"Harnett"
"53",2010-02-22,60.4,35.37861,-78.73361,46.5,81.5,0,0,"09:30:00",2010,"Harnett"
"54",2010-02-23,60.4,35.37861,-78.73361,43,84,2,196.666666666667,"09:30:00",2010,"Harnett"
"55",2010-02-24,60.4,35.37861,-78.73361,41,76,7,90,"09:30:00",2010,"Harnett"
"56",2010-02-25,60.4,35.37861,-78.73361,31,86.5,10.6666666666667,306.666666666667,"09:30:00",2010,"Harnett"
"57",2010-02-26,60.4,35.37861,-78.73361,34,38,8.33333333333333,266.666666666667,"09:30:00",2010,"Harnett"
"58",2010-02-27,60.4,35.37861,-78.73361,40,39,8.66666666666667,306.666666666667,"09:30:00",2010,"Harnett"
"59",2010-02-28,60.4,35.37861,-78.73361,38,50,8.66666666666667,303.333333333333,"09:30:00",2010,"Harnett"
"60",2010-03-01,60.4,35.37861,-78.73361,40,50.5,8.33333333333333,320,"09:30:00",2010,"Harnett"
"61",2010-03-02,60.4,35.37861,-78.73361,39,56,9.66666666666667,53.3333333333333,"09:30:00",2010,"Harnett"
"62",2010-03-03,60.4,35.37861,-78.73361,35,87,5.66666666666667,300,"09:30:00",2010,"Harnett"
"63",2010-03-04,60.4,35.37861,-78.73361,39,65,6.66666666666667,323.333333333333,"09:30:00",2010,"Harnett"
"64",2010-03-05,60.4,35.37861,-78.73361,38,43.5,8,330,"09:30:00",2010,"Harnett"
"65",2010-03-06,60.4,35.37861,-78.73361,42,36.5,7.66666666666667,243.333333333333,"09:30:00",2010,"Harnett"
"66",2010-03-07,60.4,35.37861,-78.73361,39,61,0,0,"09:30:00",2010,"Harnett"
"67",2010-03-08,60.4,35.37861,-78.73361,44.5,NA,1,106.666666666667,"09:30:00",2010,"Harnett"
"68",2010-03-09,60.4,35.37861,-78.73361,50,60,0,0,"09:30:00",2010,"Harnett"
"69",2010-03-10,60.4,35.37861,-78.73361,55,51,5,183.333333333333,"09:30:00",2010,"Harnett"
"70",2010-03-11,60.4,35.37861,-78.73361,55,88,1.66666666666667,30,"09:30:00",2010,"Harnett"
"71",2010-03-12,60.4,35.37861,-78.73361,61,77.5,8.33333333333333,56.6666666666667,"09:30:00",2010,"Harnett"
"72",2010-03-13,60.4,35.37861,-78.73361,55,77,3,220,"09:30:00",2010,"Harnett"
"73",2010-03-14,60.4,35.37861,-78.73361,55,55,10,313.333333333333,"09:30:00",2010,"Harnett"
"74",2010-03-15,60.4,35.37861,-78.73361,57,51,7.66666666666667,316.666666666667,"09:30:00",2010,"Harnett"
"75",2010-03-16,60.4,35.37861,-78.73361,54,54,10.6666666666667,236.666666666667,"09:30:00",2010,"Harnett"
"76",2010-03-17,60.4,35.37861,-78.73361,54.5,65,0,0,"09:30:00",2010,"Harnett"
"77",2010-03-18,60.4,35.37861,-78.73361,54.5,50.5,2.66666666666667,123.333333333333,"09:30:00",2010,"Harnett"
"78",2010-03-19,60.4,35.37861,-78.73361,62,38,3.66666666666667,233.333333333333,"09:30:00",2010,"Harnett"
"79",2010-03-20,60.4,35.37861,-78.73361,59,51.5,1,63.3333333333333,"09:30:00",2010,"Harnett"
"80",2010-03-21,60.4,35.37861,-78.73361,63.5,52,5.33333333333333,176.666666666667,"09:30:00",2010,"Harnett"
"81",2010-03-22,60.4,35.37861,-78.73361,59,46.5,8.66666666666667,226.666666666667,"09:30:00",2010,"Harnett"
"82",2010-03-23,60.4,35.37861,-78.73361,52,48.5,8.66666666666667,256.666666666667,"09:30:00",2010,"Harnett"
