,DATE,ELEVATION,LATITUDE,LONGITUDE,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,time,year,county
1,1/1/2010,294.1,35.765,-80.95667,33.5,100,0,0,9:30:00,2010,Iredell
2,1/2/2010,294.1,35.765,-80.95667,26.5,45.75,6.5,310,9:30:00,2010,Iredell
3,1/3/2010,294.1,35.765,-80.95667,21.75,43.25,4,227.5,9:30:00,2010,Iredell
4,1/4/2010,294.1,35.765,-80.95667,24.5,52.25,8,280,9:30:00,2010,Iredell
5,1/5/2010,294.1,35.765,-80.95667,25,61.25,2.75,182.5,9:30:00,2010,Iredell
6,1/6/2010,294.1,35.765,-80.95667,28,53,8.5,295,9:30:00,2010,Iredell
7,1/7/2010,294.1,35.765,-80.95667,30.75,51,3,170,9:30:00,2010,Iredell
8,1/8/2010,294.1,35.765,-80.95667,21.4,49.4,8.8,284,9:30:00,2010,Iredell
9,1/9/2010,294.1,35.765,-80.95667,24.5,57.25,6,315,9:30:00,2010,Iredell
10,1/10/2010,294.1,35.765,-80.95667,22.75,63.25,1.5,157.5,9:30:00,2010,Iredell
11,1/11/2010,294.1,35.765,-80.95667,23.75,56.25,0,0,9:30:00,2010,Iredell
12,1/12/2010,294.1,35.765,-80.95667,33,66.25,2,175,9:30:00,2010,Iredell
13,1/13/2010,294.1,35.765,-80.95667,26.25,71,0.75,50,9:30:00,2010,Iredell
14,1/14/2010,294.1,35.765,-80.95667,27.75,77.75,1.5,52.5,9:30:00,2010,Iredell
15,1/15/2010,294.1,35.765,-80.95667,32.75,74.75,0,0,9:30:00,2010,Iredell
16,1/16/2010,294.1,35.765,-80.95667,35.25,66,0,0,9:30:00,2010,Iredell
17,1/17/2010,294.1,35.765,-80.95667,44.75,100,7.25,27.5,9:30:00,2010,Iredell
18,1/18/2010,294.1,35.765,-80.95667,47,84.5,1.5,127.5,9:30:00,2010,Iredell
19,1/19/2010,294.1,35.765,-80.95667,45,72.25,0,0,9:30:00,2010,Iredell
20,1/20/2010,294.1,35.765,-80.95667,45,78.25,0,0,9:30:00,2010,Iredell
21,1/21/2010,294.1,35.765,-80.95667,35,99.25,13.75,45,9:30:00,2010,Iredell
22,1/22/2010,294.1,35.765,-80.95667,36.25,98.5,6.25,22.5,9:30:00,2010,Iredell
23,1/23/2010,294.1,35.765,-80.95667,38.25,95.25,6.25,75,9:30:00,2010,Iredell
24,1/24/2010,294.1,35.765,-80.95667,37,100,5.5,25,9:30:00,2010,Iredell
25,1/25/2010,294.1,35.765,-80.95667,51.75,83.75,11.75,216.6666667,9:30:00,2010,Iredell
26,1/26/2010,294.1,35.765,-80.95667,35.5,62.25,6.75,232.5,9:30:00,2010,Iredell
27,1/27/2010,294.1,35.765,-80.95667,31,73.5,5.25,247.5,9:30:00,2010,Iredell
28,1/28/2010,294.1,35.765,-80.95667,37.25,63.75,6,217.5,9:30:00,2010,Iredell
29,1/29/2010,294.1,35.765,-80.95667,35,42.75,10.25,55,9:30:00,2010,Iredell
30,1/30/2010,294.1,35.765,-80.95667,24,95.5,13.5,27.5,9:30:00,2010,Iredell
31,1/31/2010,294.1,35.765,-80.95667,19,96.5,0,0,9:30:00,2010,Iredell
32,2/1/2010,294.1,35.765,-80.95667,25.25,78.75,0,0,9:30:00,2010,Iredell
33,2/2/2010,294.1,35.765,-80.95667,32,99.5,3,17.5,9:30:00,2010,Iredell
34,2/3/2010,294.1,35.765,-80.95667,29.5,NA,0,0,9:30:00,2010,Iredell
35,2/4/2010,294.1,35.765,-80.95667,33,71.75,4.25,30,9:30:00,2010,Iredell
36,2/5/2010,294.1,35.765,-80.95667,32,100,10,30,9:30:00,2010,Iredell
37,2/6/2010,294.1,35.765,-80.95667,33.5,95,5.25,42.5,9:30:00,2010,Iredell
38,2/7/2010,294.1,35.765,-80.95667,34,84.25,0,0,9:30:00,2010,Iredell
39,2/8/2010,294.1,35.765,-80.95667,32.25,63,4.75,32.5,9:30:00,2010,Iredell
40,2/9/2010,294.1,35.765,-80.95667,34,75,2.5,15,9:30:00,2010,Iredell
41,2/10/2010,294.1,35.765,-80.95667,29,48.75,15.25,272.5,9:30:00,2010,Iredell
42,2/11/2010,294.1,35.765,-80.95667,31,50.75,2,150,9:30:00,2010,Iredell
43,2/12/2010,294.1,35.765,-80.95667,28.25,62.5,4.5,25,9:30:00,2010,Iredell
44,2/13/2010,294.1,35.765,-80.95667,26.75,69.75,5.25,195,9:30:00,2010,Iredell
45,2/14/2010,294.1,35.765,-80.95667,28.75,55,5.75,252.5,9:30:00,2010,Iredell
46,2/15/2010,294.1,35.765,-80.95667,36,96.5,6.5,187.5,9:30:00,2010,Iredell
47,2/16/2010,294.1,35.765,-80.95667,27.75,50.5,7.75,277.5,9:30:00,2010,Iredell
48,2/17/2010,294.1,35.765,-80.95667,31.25,57.75,8.75,275,9:30:00,2010,Iredell
49,2/18/2010,294.1,35.765,-80.95667,33.5,53.75,5.75,252.5,9:30:00,2010,Iredell
50,2/19/2010,294.1,35.765,-80.95667,39.5,53.75,7.75,270,9:30:00,2010,Iredell
51,2/20/2010,294.1,35.765,-80.95667,39.25,50,0,0,9:30:00,2010,Iredell
52,2/21/2010,294.1,35.765,-80.95667,41.5,57.5,0,0,9:30:00,2010,Iredell
53,2/22/2010,294.1,35.765,-80.95667,43.5,98,9.5,202.5,9:30:00,2010,Iredell
54,2/23/2010,294.1,35.765,-80.95667,44,NA,0.75,5,9:30:00,2010,Iredell
55,2/24/2010,294.1,35.765,-80.95667,37,85.25,7.25,107.5,9:30:00,2010,Iredell
56,2/25/2010,294.1,35.765,-80.95667,29,52,13,293.3333333,9:30:00,2010,Iredell
57,2/26/2010,294.1,35.765,-80.95667,33.5,40.75,15.25,265,9:30:00,2010,Iredell
58,2/27/2010,294.1,35.765,-80.95667,38.25,49,6,307.5,9:30:00,2010,Iredell
59,2/28/2010,294.1,35.765,-80.95667,38,58.5,7.75,277.5,9:30:00,2010,Iredell
60,3/1/2010,294.1,35.765,-80.95667,36.75,63.75,0,0,9:30:00,2010,Iredell
61,3/2/2010,294.1,35.765,-80.95667,36,65.25,10.5,40,9:30:00,2010,Iredell
62,3/3/2010,294.1,35.765,-80.95667,37.75,59,11.5,326.6666667,9:30:00,2010,Iredell
63,3/4/2010,294.1,35.765,-80.95667,39.5,48.5,12.5,326.6666667,9:30:00,2010,Iredell
64,3/5/2010,294.1,35.765,-80.95667,38.5,34.5,8,333.3333333,9:30:00,2010,Iredell
65,3/6/2010,294.1,35.765,-80.95667,40.75,35.75,3.75,262.5,9:30:00,2010,Iredell
66,3/7/2010,294.1,35.765,-80.95667,44.5,34.25,0.75,65,9:30:00,2010,Iredell
67,3/8/2010,294.1,35.765,-80.95667,51.25,44.25,3.75,215,9:30:00,2010,Iredell
68,3/9/2010,294.1,35.765,-80.95667,53.25,50.75,0,0,9:30:00,2010,Iredell
69,3/10/2010,294.1,35.765,-80.95667,58.75,51.5,8.25,195,9:30:00,2010,Iredell
70,3/11/2010,294.1,35.765,-80.95667,49,NA,4,20,9:30:00,2010,Iredell
71,3/12/2010,294.1,35.765,-80.95667,56,NA,6.25,42.5,9:30:00,2010,Iredell
72,3/13/2010,294.1,35.765,-80.95667,52.5,87.5,4,225,9:30:00,2010,Iredell
73,3/14/2010,294.1,35.765,-80.95667,49,57.25,7.25,265,9:30:00,2010,Iredell
74,3/15/2010,294.1,35.765,-80.95667,53.25,55.5,11,290,9:30:00,2010,Iredell
75,3/16/2010,294.1,35.765,-80.95667,49.75,56.75,8,126.6666667,9:30:00,2010,Iredell
76,3/17/2010,294.1,35.765,-80.95667,50.75,62.5,1.5,15,9:30:00,2010,Iredell
77,3/18/2010,294.1,35.765,-80.95667,54.75,44,4.5,95,9:30:00,2010,Iredell
78,3/19/2010,294.1,35.765,-80.95667,59.25,29.75,4.25,270,9:30:00,2010,Iredell
79,3/20/2010,294.1,35.765,-80.95667,57.25,46.75,2.75,135,9:30:00,2010,Iredell
80,3/21/2010,294.1,35.765,-80.95667,56.75,67.75,4.5,180,9:30:00,2010,Iredell
81,3/22/2010,294.1,35.765,-80.95667,47.5,60.75,9.5,215,9:30:00,2010,Iredell
82,3/23/2010,294.1,35.765,-80.95667,47.75,57.5,13,252.5,9:30:00,2010,Iredell
83,3/24/2010,294.1,35.765,-80.95667,58,50.75,8,260,9:30:00,2010,Iredell
84,3/25/2010,294.1,35.765,-80.95667,55.75,60,4.5,190,9:30:00,2010,Iredell
85,3/26/2010,294.1,35.765,-80.95667,58.25,60.5,9.5,262.5,9:30:00,2010,Iredell
86,3/27/2010,294.1,35.765,-80.95667,43.25,43.5,8.25,45,9:30:00,2010,Iredell
87,3/28/2010,294.1,35.765,-80.95667,45.25,85.75,3.25,20,9:30:00,2010,Iredell
88,3/29/2010,294.1,35.765,-80.95667,50,NA,4.5,37.5,9:30:00,2010,Iredell
89,3/30/2010,294.1,35.765,-80.95667,55.25,59.5,10,286.6666667,9:30:00,2010,Iredell
90,3/31/2010,294.1,35.765,-80.95667,58.5,41.75,6.25,257.5,9:30:00,2010,Iredell
91,4/1/2010,294.1,35.765,-80.95667,66.75,35,6.5,42.5,9:30:00,2010,Iredell
92,4/2/2010,294.1,35.765,-80.95667,67.5,42.5,0,0,9:30:00,2010,Iredell
93,4/3/2010,294.1,35.765,-80.95667,63.75,53.5,4,192.5,9:30:00,2010,Iredell
