"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,75.3,35.58222,-79.10111,43,100,1.5,152.5,"09:30:30",2010,"Lee"
"2",2010-01-02,75.3,35.58222,-79.10111,30,47,11.25,292.5,"09:30:30",2010,"Lee"
"3",2010-01-03,75.3,35.58222,-79.10111,27,37.5,13,295,"09:30:30",2010,"Lee"
"4",2010-01-04,75.3,35.58222,-79.10111,27.5,50.5,7.75,270,"09:30:30",2010,"Lee"
"5",2010-01-05,75.3,35.58222,-79.10111,31.3333333333333,55,6,260,"09:30:30",2010,"Lee"
"6",2010-01-06,75.3,35.58222,-79.10111,34,51,6.5,262.5,"09:30:30",2010,"Lee"
"7",2010-01-07,75.3,35.58222,-79.10111,36,52,1.66666666666667,90,"09:30:30",2010,"Lee"
"8",2010-01-08,75.3,35.58222,-79.10111,34,51,12.5,295,"09:30:30",2010,"Lee"
"9",2010-01-09,75.3,35.58222,-79.10111,25,54,4.33333333333333,316.666666666667,"09:30:30",2010,"Lee"
"10",2010-01-10,75.3,35.58222,-79.10111,31,49,7.66666666666667,346.666666666667,"09:30:30",2010,"Lee"
"11",2010-01-11,75.3,35.58222,-79.10111,31,55,2,136.666666666667,"09:30:30",2010,"Lee"
"12",2010-01-12,75.3,35.58222,-79.10111,36.5,58,4.66666666666667,326.666666666667,"09:30:30",2010,"Lee"
"13",2010-01-13,75.3,35.58222,-79.10111,34,60,1,93.3333333333333,"09:30:30",2010,"Lee"
"14",2010-01-14,75.3,35.58222,-79.10111,37.5,72.5,0,0,"09:30:30",2010,"Lee"
"15",2010-01-15,75.3,35.58222,-79.10111,35.5,78,0,0,"09:30:30",2010,"Lee"
"16",2010-01-16,75.3,35.58222,-79.10111,36.5,75,0,0,"09:30:30",2010,"Lee"
"17",2010-01-17,75.3,35.58222,-79.10111,62,100,6.66666666666667,196.666666666667,"09:30:30",2010,"Lee"
"18",2010-01-18,75.3,35.58222,-79.10111,48,94,6.33333333333333,303.333333333333,"09:30:30",2010,"Lee"
"19",2010-01-19,75.3,35.58222,-79.10111,40,96.5,0,0,"09:30:30",2010,"Lee"
"20",2010-01-20,75.3,35.58222,-79.10111,45.5,90,2.66666666666667,150,"09:30:30",2010,"Lee"
"21",2010-01-21,75.3,35.58222,-79.10111,39,87,7,40,"09:30:30",2010,"Lee"
"22",2010-01-22,75.3,35.58222,-79.10111,39,93,8,356.666666666667,"09:30:30",2010,"Lee"
"23",2010-01-23,75.3,35.58222,-79.10111,38,96.5,4.33333333333333,10,"09:30:30",2010,"Lee"
"24",2010-01-24,75.3,35.58222,-79.10111,45,87,0,0,"09:30:30",2010,"Lee"
"25",2010-01-25,75.3,35.58222,-79.10111,57,77,13.6666666666667,216.666666666667,"09:30:30",2010,"Lee"
