"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,615.7,35.2225,-83.41917,36,72.75,6.25,157.5,"09:30:00",2010,"Macon"
"2",2010-01-02,615.7,35.2225,-83.41917,19.75,67.5,4.75,233.333333333333,"09:30:00",2010,"Macon"
"3",2010-01-03,615.7,35.2225,-83.41917,21,25.5,5.75,265,"09:30:00",2010,"Macon"
"4",2010-01-04,615.7,35.2225,-83.41917,19,59,5.75,290,"09:30:00",2010,"Macon"
"5",2010-01-05,615.7,35.2225,-83.41917,20.75,57.5,9.75,346.666666666667,"09:30:00",2010,"Macon"
"6",2010-01-06,615.7,35.2225,-83.41917,20.5,68.75,2.75,135,"09:30:00",2010,"Macon"
"7",2010-01-07,615.7,35.2225,-83.41917,20.5,75.25,0,0,"09:30:00",2010,"Macon"
"8",2010-01-08,615.7,35.2225,-83.41917,13.25,58,8.25,320,"09:30:00",2010,"Macon"
"9",2010-01-09,615.7,35.2225,-83.41917,10.5,79,0,0,"09:30:00",2010,"Macon"
"10",2010-01-10,615.7,35.2225,-83.41917,13.75,77.5,0,0,"09:30:00",2010,"Macon"
"11",2010-01-11,615.7,35.2225,-83.41917,14,82.75,0,0,"09:30:00",2010,"Macon"
"12",2010-01-12,615.7,35.2225,-83.41917,29.5,71.25,6.75,313.333333333333,"09:30:00",2010,"Macon"
"13",2010-01-13,615.7,35.2225,-83.41917,17.6666666666667,82.3333333333333,0,0,"09:30:00",2010,"Macon"
"14",2010-01-14,615.7,35.2225,-83.41917,22,83.25,0,0,"09:30:00",2010,"Macon"
"15",2010-01-15,615.7,35.2225,-83.41917,28.75,73.25,0,0,"09:30:00",2010,"Macon"
"16",2010-01-16,615.7,35.2225,-83.41917,32.5,65.5,0,0,"09:30:00",2010,"Macon"
"17",2010-01-17,615.7,35.2225,-83.41917,45.5,93.75,0,0,"09:30:00",2010,"Macon"
