"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,221.9,35.2236,-80.9552,39.6666666666667,98,5.33333333333333,326.666666666667,"09:46:40",2010,"Mecklenburg"
"2",2010-01-02,221.9,35.2236,-80.9552,30,43,14,320,"09:46:40",2010,"Mecklenburg"
"3",2010-01-03,221.9,35.2236,-80.9552,27,39,9,360,"09:46:40",2010,"Mecklenburg"
"4",2010-01-04,221.9,35.2236,-80.9552,27,45,6,330,"09:46:40",2010,"Mecklenburg"
"5",2010-01-05,221.9,35.2236,-80.9552,29,51,7,270,"09:46:40",2010,"Mecklenburg"
"6",2010-01-06,221.9,35.2236,-80.9552,30,49,8,320,"09:46:40",2010,"Mecklenburg"
"7",2010-01-07,221.9,35.2236,-80.9552,33,58,5,200,"09:46:40",2010,"Mecklenburg"
"8",2010-01-08,221.9,35.2236,-80.9552,27,41,9,340,"09:46:40",2010,"Mecklenburg"
"9",2010-01-09,221.9,35.2236,-80.9552,26,51,10,340,"09:46:40",2010,"Mecklenburg"
"10",2010-01-10,221.9,35.2236,-80.9552,27,53,5,NA,"09:46:40",2010,"Mecklenburg"
"11",2010-01-11,221.9,35.2236,-80.9552,28,66,5,200,"09:46:40",2010,"Mecklenburg"
"12",2010-01-12,221.9,35.2236,-80.9552,37,52,0,0,"09:46:40",2010,"Mecklenburg"
"13",2010-01-13,221.9,35.2236,-80.9552,31,61,0,0,"09:46:40",2010,"Mecklenburg"
"14",2010-01-14,221.9,35.2236,-80.9552,35,76,0,0,"09:46:40",2010,"Mecklenburg"
"15",2010-01-15,221.9,35.2236,-80.9552,39,65,3,230,"09:46:40",2010,"Mecklenburg"
"16",2010-01-16,221.9,35.2236,-80.9552,42,65,0,0,"09:46:40",2010,"Mecklenburg"
"17",2010-01-17,221.9,35.2236,-80.9552,48,96,3,350,"09:46:40",2010,"Mecklenburg"
"18",2010-01-18,221.9,35.2236,-80.9552,51,77,3,230,"09:46:40",2010,"Mecklenburg"
"19",2010-01-19,221.9,35.2236,-80.9552,53,55,3,340,"09:46:40",2010,"Mecklenburg"
"20",2010-01-20,221.9,35.2236,-80.9552,48,80,3,180,"09:46:40",2010,"Mecklenburg"
"21",2010-01-21,221.9,35.2236,-80.9552,39.5,91,14.5,72.5,"09:46:40",2010,"Mecklenburg"
"22",2010-01-22,221.9,35.2236,-80.9552,37.3333333333333,93,7.5,136.666666666667,"09:46:40",2010,"Mecklenburg"
"23",2010-01-23,221.9,35.2236,-80.9552,42,80.25,8,55,"09:46:40",2010,"Mecklenburg"
"24",2010-01-24,221.9,35.2236,-80.9552,45,93,3.5,102.5,"09:46:40",2010,"Mecklenburg"
"25",2010-01-25,221.9,35.2236,-80.9552,54,75,18,240,"09:46:40",2010,"Mecklenburg"
"26",2010-01-26,221.9,35.2236,-80.9552,41,53,11,260,"09:46:40",2010,"Mecklenburg"
"27",2010-01-27,221.9,35.2236,-80.9552,37,59,3,280,"09:46:40",2010,"Mecklenburg"
"28",2010-01-28,221.9,35.2236,-80.9552,40,68,0,0,"09:46:40",2010,"Mecklenburg"
"29",2010-01-29,221.9,35.2236,-80.9552,40,36,10,90,"09:46:40",2010,"Mecklenburg"
"30",2010-01-30,221.9,35.2236,-80.9552,27,89,13,20,"09:46:40",2010,"Mecklenburg"
"31",2010-01-31,221.9,35.2236,-80.9552,27,81,0,0,"09:46:40",2010,"Mecklenburg"
"32",2010-02-01,221.9,35.2236,-80.9552,32,92,0,0,"09:46:40",2010,"Mecklenburg"
"33",2010-02-02,221.9,35.2236,-80.9552,34,90.3333333333333,11.3333333333333,236.666666666667,"09:46:40",2010,"Mecklenburg"
"34",2010-02-03,221.9,35.2236,-80.9552,35.3333333333333,100,1,100,"09:46:40",2010,"Mecklenburg"
"35",2010-02-04,221.9,35.2236,-80.9552,38,60,11,60,"09:46:40",2010,"Mecklenburg"
"36",2010-02-05,221.9,35.2236,-80.9552,35,93,9,40,"09:46:40",2010,"Mecklenburg"
"37",2010-02-06,221.9,35.2236,-80.9552,37,86,6,40,"09:46:40",2010,"Mecklenburg"
"38",2010-02-07,221.9,35.2236,-80.9552,35,72,0,0,"09:46:40",2010,"Mecklenburg"
"39",2010-02-08,221.9,35.2236,-80.9552,37,57,5,50,"09:46:40",2010,"Mecklenburg"
"40",2010-02-09,221.9,35.2236,-80.9552,37,88.3333333333333,7.33333333333333,236.666666666667,"09:46:40",2010,"Mecklenburg"
"41",2010-02-10,221.9,35.2236,-80.9552,32,43,16,280,"09:46:40",2010,"Mecklenburg"
"42",2010-02-11,221.9,35.2236,-80.9552,35,44,5,330,"09:46:40",2010,"Mecklenburg"
"43",2010-02-12,221.9,35.2236,-80.9552,33,49,3,70,"09:46:40",2010,"Mecklenburg"
"44",2010-02-13,221.9,35.2236,-80.9552,31,64,8,310,"09:46:40",2010,"Mecklenburg"
"45",2010-02-14,221.9,35.2236,-80.9552,35,50,6,300,"09:46:40",2010,"Mecklenburg"
"46",2010-02-15,221.9,35.2236,-80.9552,41,90.3333333333333,12.3333333333333,190,"09:46:40",2010,"Mecklenburg"
"47",2010-02-16,221.9,35.2236,-80.9552,33,45,7,280,"09:46:40",2010,"Mecklenburg"
"48",2010-02-17,221.9,35.2236,-80.9552,34,50,9,280,"09:46:40",2010,"Mecklenburg"
"49",2010-02-18,221.9,35.2236,-80.9552,38,44,8,280,"09:46:40",2010,"Mecklenburg"
"50",2010-02-19,221.9,35.2236,-80.9552,45,46,7,320,"09:46:40",2010,"Mecklenburg"
"51",2010-02-20,221.9,35.2236,-80.9552,46,42,3,300,"09:46:40",2010,"Mecklenburg"
"52",2010-02-21,221.9,35.2236,-80.9552,51,35,0,0,"09:46:40",2010,"Mecklenburg"
"53",2010-02-22,221.9,35.2236,-80.9552,46,93,14.3333333333333,130,"09:46:40",2010,"Mecklenburg"
"54",2010-02-23,221.9,35.2236,-80.9552,49.3333333333333,95.3333333333333,0,0,"09:46:40",2010,"Mecklenburg"
"55",2010-02-24,221.9,35.2236,-80.9552,39,86.5,8.75,17.5,"09:46:40",2010,"Mecklenburg"
"56",2010-02-25,221.9,35.2236,-80.9552,32,43,15,310,"09:46:40",2010,"Mecklenburg"
"57",2010-02-26,221.9,35.2236,-80.9552,36,37,16,290,"09:46:40",2010,"Mecklenburg"
"58",2010-02-27,221.9,35.2236,-80.9552,43,34,3,340,"09:46:40",2010,"Mecklenburg"
"59",2010-02-28,221.9,35.2236,-80.9552,46,44,9,340,"09:46:40",2010,"Mecklenburg"
"60",2010-03-01,221.9,35.2236,-80.9552,40,55,0,0,"09:46:40",2010,"Mecklenburg"
"61",2010-03-02,221.9,35.2236,-80.9552,39,60,11,50,"09:46:40",2010,"Mecklenburg"
"62",2010-03-03,221.9,35.2236,-80.9552,40,63,13,320,"09:46:40",2010,"Mecklenburg"
"63",2010-03-04,221.9,35.2236,-80.9552,43,47,10,340,"09:46:40",2010,"Mecklenburg"
"64",2010-03-05,221.9,35.2236,-80.9552,42,32,17,10,"09:46:40",2010,"Mecklenburg"
"65",2010-03-06,221.9,35.2236,-80.9552,46,31,7,10,"09:46:40",2010,"Mecklenburg"
"66",2010-03-07,221.9,35.2236,-80.9552,49,33,5,10,"09:46:40",2010,"Mecklenburg"
"67",2010-03-08,221.9,35.2236,-80.9552,56,32,0,0,"09:46:40",2010,"Mecklenburg"
"68",2010-03-09,221.9,35.2236,-80.9552,59,44,3,310,"09:46:40",2010,"Mecklenburg"
"69",2010-03-10,221.9,35.2236,-80.9552,57,62,10,220,"09:46:40",2010,"Mecklenburg"
"70",2010-03-11,221.9,35.2236,-80.9552,52.6666666666667,88.6666666666667,4.33333333333333,16.6666666666667,"09:46:40",2010,"Mecklenburg"
"71",2010-03-12,221.9,35.2236,-80.9552,60.3333333333333,91.3333333333333,8.33333333333333,70,"09:46:40",2010,"Mecklenburg"
"72",2010-03-13,221.9,35.2236,-80.9552,56,77,5,240,"09:46:40",2010,"Mecklenburg"
"73",2010-03-14,221.9,35.2236,-80.9552,51,64,6,260,"09:46:40",2010,"Mecklenburg"
"74",2010-03-15,221.9,35.2236,-80.9552,57,51,9,320,"09:46:40",2010,"Mecklenburg"
"75",2010-03-16,221.9,35.2236,-80.9552,54,51,13,20,"09:46:40",2010,"Mecklenburg"
"76",2010-03-17,221.9,35.2236,-80.9552,53,57,0,0,"09:46:40",2010,"Mecklenburg"
"77",2010-03-18,221.9,35.2236,-80.9552,58,42,5,20,"09:46:40",2010,"Mecklenburg"
"78",2010-03-19,221.9,35.2236,-80.9552,65,26,10,360,"09:46:40",2010,"Mecklenburg"
"79",2010-03-20,221.9,35.2236,-80.9552,65,40,3,190,"09:46:40",2010,"Mecklenburg"
"80",2010-03-21,221.9,35.2236,-80.9552,60,67,9,160,"09:46:40",2010,"Mecklenburg"
"81",2010-03-22,221.9,35.2236,-80.9552,48.5,68.75,9.75,215,"09:46:40",2010,"Mecklenburg"
"82",2010-03-23,221.9,35.2236,-80.9552,50,54,7,280,"09:46:40",2010,"Mecklenburg"
"83",2010-03-24,221.9,35.2236,-80.9552,62,43,5,NA,"09:46:40",2010,"Mecklenburg"
"84",2010-03-25,221.9,35.2236,-80.9552,61,56,8,210,"09:46:40",2010,"Mecklenburg"
"85",2010-03-26,221.9,35.2236,-80.9552,63,54,8,280,"09:46:40",2010,"Mecklenburg"
"86",2010-03-27,221.9,35.2236,-80.9552,49,36,8,70,"09:46:40",2010,"Mecklenburg"
"87",2010-03-28,221.9,35.2236,-80.9552,54,77,15.6666666666667,150,"09:46:40",2010,"Mecklenburg"
"88",2010-03-29,221.9,35.2236,-80.9552,56.3333333333333,84.6666666666667,6.33333333333333,43.3333333333333,"09:46:40",2010,"Mecklenburg"
"89",2010-03-30,221.9,35.2236,-80.9552,59,49,10,310,"09:46:40",2010,"Mecklenburg"
"90",2010-03-31,221.9,35.2236,-80.9552,63,33,8,330,"09:46:40",2010,"Mecklenburg"
"91",2010-04-01,221.9,35.2236,-80.9552,72,31,0,0,"09:46:40",2010,"Mecklenburg"
"92",2010-04-02,221.9,35.2236,-80.9552,75,36,0,0,"09:46:40",2010,"Mecklenburg"
"93",2010-04-03,221.9,35.2236,-80.9552,66,68,6,210,"09:46:40",2010,"Mecklenburg"
"94",2010-04-04,221.9,35.2236,-80.9552,74,45,6,30,"09:46:40",2010,"Mecklenburg"
"95",2010-04-05,221.9,35.2236,-80.9552,75,55,5,210,"09:46:40",2010,"Mecklenburg"
"96",2010-04-06,221.9,35.2236,-80.9552,78,43,7,220,"09:46:40",2010,"Mecklenburg"
"97",2010-04-07,221.9,35.2236,-80.9552,77,47,15,240,"09:46:40",2010,"Mecklenburg"
"98",2010-04-08,221.9,35.2236,-80.9552,72,64.3333333333333,20,223.333333333333,"09:46:40",2010,"Mecklenburg"
"99",2010-04-09,221.9,35.2236,-80.9552,57,49,11,360,"09:46:40",2010,"Mecklenburg"
"100",2010-04-10,221.9,35.2236,-80.9552,62,28,8,40,"09:46:40",2010,"Mecklenburg"
"101",2010-04-11,221.9,35.2236,-80.9552,64,52,3,NA,"09:46:40",2010,"Mecklenburg"
"102",2010-04-12,221.9,35.2236,-80.9552,71,32,14,40,"09:46:40",2010,"Mecklenburg"
"103",2010-04-13,221.9,35.2236,-80.9552,70,44,9,240,"09:46:40",2010,"Mecklenburg"
"104",2010-04-14,221.9,35.2236,-80.9552,53,74,11,50,"09:46:40",2010,"Mecklenburg"
"105",2010-04-15,221.9,35.2236,-80.9552,59,64,5,170,"09:46:40",2010,"Mecklenburg"
"106",2010-04-16,221.9,35.2236,-80.9552,73,55,5,250,"09:46:40",2010,"Mecklenburg"
"107",2010-04-17,221.9,35.2236,-80.9552,71,53,3,NA,"09:46:40",2010,"Mecklenburg"
"108",2010-04-18,221.9,35.2236,-80.9552,60,31,8,340,"09:46:40",2010,"Mecklenburg"
"109",2010-04-19,221.9,35.2236,-80.9552,62,37,7,30,"09:46:40",2010,"Mecklenburg"
"110",2010-04-20,221.9,35.2236,-80.9552,67,39,7,NA,"09:46:40",2010,"Mecklenburg"
"111",2010-04-21,221.9,35.2236,-80.9552,61,72.3333333333333,8.33333333333333,323.333333333333,"09:46:40",2010,"Mecklenburg"
"112",2010-04-22,221.9,35.2236,-80.9552,69,38,7,290,"09:46:40",2010,"Mecklenburg"
"113",2010-04-23,221.9,35.2236,-80.9552,71,53,0,0,"09:46:40",2010,"Mecklenburg"
