"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,140.5,35.23722,-79.39111,43,90,3,346.666666666667,"09:35:00",2010,"Moore"
"2",2010-01-02,140.5,35.23722,-79.39111,28,47,10.3333333333333,320,"09:35:00",2010,"Moore"
"3",2010-01-03,140.5,35.23722,-79.39111,25,39,13,320,"09:35:00",2010,"Moore"
"4",2010-01-04,140.5,35.23722,-79.39111,26,50,8,310,"09:35:00",2010,"Moore"
"5",2010-01-05,140.5,35.23722,-79.39111,28,55,4.66666666666667,313.333333333333,"09:35:00",2010,"Moore"
"6",2010-01-06,140.5,35.23722,-79.39111,29,55,7.66666666666667,315,"09:35:00",2010,"Moore"
"7",2010-01-07,140.5,35.23722,-79.39111,30,59,3.66666666666667,290,"09:35:00",2010,"Moore"
"8",2010-01-08,140.5,35.23722,-79.39111,32,49,8.33333333333333,NA,"09:35:00",2010,"Moore"
"9",2010-01-09,140.5,35.23722,-79.39111,23,58,4.66666666666667,350,"09:35:00",2010,"Moore"
"10",2010-01-10,140.5,35.23722,-79.39111,26,58.5,6.33333333333333,240,"09:35:00",2010,"Moore"
"11",2010-01-11,140.5,35.23722,-79.39111,29,55.5,3.33333333333333,156.666666666667,"09:35:00",2010,"Moore"
"12",2010-01-12,140.5,35.23722,-79.39111,35,56,5,240,"09:35:00",2010,"Moore"
"13",2010-01-13,140.5,35.23722,-79.39111,28,66.5,3.33333333333333,216.666666666667,"09:35:00",2010,"Moore"
"14",2010-01-14,140.5,35.23722,-79.39111,34,70,2.66666666666667,163.333333333333,"09:35:00",2010,"Moore"
"15",2010-01-15,140.5,35.23722,-79.39111,34.5,80.5,2,86.6666666666667,"09:35:00",2010,"Moore"
"16",2010-01-16,140.5,35.23722,-79.39111,40,68,0,0,"09:35:00",2010,"Moore"
"17",2010-01-17,140.5,35.23722,-79.39111,64,88,12.3333333333333,226.666666666667,"09:35:00",2010,"Moore"
"18",2010-01-18,140.5,35.23722,-79.39111,52,77,6.33333333333333,350,"09:35:00",2010,"Moore"
"19",2010-01-19,140.5,35.23722,-79.39111,47.5,84.5,1.66666666666667,106.666666666667,"09:35:00",2010,"Moore"
"20",2010-01-20,140.5,35.23722,-79.39111,48,79,3,173.333333333333,"09:35:00",2010,"Moore"
"21",2010-01-21,140.5,35.23722,-79.39111,39,87,11.6666666666667,73.3333333333333,"09:35:00",2010,"Moore"
"22",2010-01-22,140.5,35.23722,-79.39111,37,93,4.33333333333333,13.3333333333333,"09:35:00",2010,"Moore"
"23",2010-01-23,140.5,35.23722,-79.39111,40,78.5,7.66666666666667,63.3333333333333,"09:35:00",2010,"Moore"
"24",2010-01-24,140.5,35.23722,-79.39111,45.5,84.5,4.33333333333333,120,"09:35:00",2010,"Moore"
"25",2010-01-25,140.5,35.23722,-79.39111,55,77,19.3333333333333,243.333333333333,"09:35:00",2010,"Moore"
"26",2010-01-26,140.5,35.23722,-79.39111,42,55,11.3333333333333,256.666666666667,"09:35:00",2010,"Moore"
"27",2010-01-27,140.5,35.23722,-79.39111,37.5,60.5,6,283.333333333333,"09:35:00",2010,"Moore"
"28",2010-01-28,140.5,35.23722,-79.39111,45.5,53,9.66666666666667,246.666666666667,"09:35:00",2010,"Moore"
"29",2010-01-29,140.5,35.23722,-79.39111,39,40.5,12.3333333333333,70,"09:35:00",2010,"Moore"
"30",2010-01-30,140.5,35.23722,-79.39111,27,89.5,10.3333333333333,50,"09:35:00",2010,"Moore"
"31",2010-01-31,140.5,35.23722,-79.39111,24,77,6.33333333333333,43.3333333333333,"09:35:00",2010,"Moore"
