"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,211.2,36.43722,-79.85111,38.5,93,0.75,5,"09:30:00",2010,"Rockingham"
"2",2010-01-02,211.2,36.43722,-79.85111,27.5,36,8.5,320,"09:30:00",2010,"Rockingham"
"3",2010-01-03,211.2,36.43722,-79.85111,24,35.5,8.75,303.333333333333,"09:30:00",2010,"Rockingham"
"4",2010-01-04,211.2,36.43722,-79.85111,26.5,43.5,5.75,255,"09:30:00",2010,"Rockingham"
"5",2010-01-05,211.2,36.43722,-79.85111,31,44.25,6.75,285,"09:30:00",2010,"Rockingham"
"6",2010-01-06,211.2,36.43722,-79.85111,30.25,54.75,3.75,170,"09:30:00",2010,"Rockingham"
"7",2010-01-07,211.2,36.43722,-79.85111,29,61,2.75,180,"09:30:00",2010,"Rockingham"
"8",2010-01-08,211.2,36.43722,-79.85111,26.75,32.25,9,286.666666666667,"09:30:00",2010,"Rockingham"
"9",2010-01-09,211.2,36.43722,-79.85111,26.25,52,5,266.666666666667,"09:30:00",2010,"Rockingham"
"10",2010-01-10,211.2,36.43722,-79.85111,28.6666666666667,39.3333333333333,6.33333333333333,346.666666666667,"09:30:00",2010,"Rockingham"
"11",2010-01-11,211.2,36.43722,-79.85111,24.75,51.75,4.75,235,"09:30:00",2010,"Rockingham"
"12",2010-01-12,211.2,36.43722,-79.85111,34.75,66.75,1.5,7.5,"09:30:00",2010,"Rockingham"
"13",2010-01-13,211.2,36.43722,-79.85111,29.5,57.75,2.75,190,"09:30:00",2010,"Rockingham"
"14",2010-01-14,211.2,36.43722,-79.85111,33.5,57.75,0,0,"09:30:00",2010,"Rockingham"
"15",2010-01-15,211.2,36.43722,-79.85111,36.5,57.25,1.25,50,"09:30:00",2010,"Rockingham"
"16",2010-01-16,211.2,36.43722,-79.85111,35.25,69.5,0,0,"09:30:00",2010,"Rockingham"
"17",2010-01-17,211.2,36.43722,-79.85111,45,90,6,272.5,"09:30:00",2010,"Rockingham"
"18",2010-01-18,211.2,36.43722,-79.85111,49.25,81.75,1.5,45,"09:30:00",2010,"Rockingham"
"19",2010-01-19,211.2,36.43722,-79.85111,44.25,69.25,6,225,"09:30:00",2010,"Rockingham"
"20",2010-01-20,211.2,36.43722,-79.85111,45.6666666666667,73,2.66666666666667,153.333333333333,"09:30:00",2010,"Rockingham"
"21",2010-01-21,211.2,36.43722,-79.85111,36.25,85.25,7,40,"09:30:00",2010,"Rockingham"
"22",2010-01-22,211.2,36.43722,-79.85111,39,88.75,4.25,15,"09:30:00",2010,"Rockingham"
"23",2010-01-23,211.2,36.43722,-79.85111,41.5,73.5,5.25,45,"09:30:00",2010,"Rockingham"
"24",2010-01-24,211.2,36.43722,-79.85111,39,92.25,3.5,25,"09:30:00",2010,"Rockingham"
"25",2010-01-25,211.2,36.43722,-79.85111,55.75,74.75,10.75,230,"09:30:00",2010,"Rockingham"
"26",2010-01-26,211.2,36.43722,-79.85111,40.75,50.75,5.5,245,"09:30:00",2010,"Rockingham"
"27",2010-01-27,211.2,36.43722,-79.85111,38.5,54.25,7.5,265,"09:30:00",2010,"Rockingham"
"28",2010-01-28,211.2,36.43722,-79.85111,39.25,57.75,5.25,237.5,"09:30:00",2010,"Rockingham"
"29",2010-01-29,211.2,36.43722,-79.85111,37,28.75,6.25,56.6666666666667,"09:30:00",2010,"Rockingham"
"30",2010-01-30,211.2,36.43722,-79.85111,23,80,8.25,32.5,"09:30:00",2010,"Rockingham"
"31",2010-01-31,211.2,36.43722,-79.85111,19.5,82.25,1.25,40,"09:30:00",2010,"Rockingham"
"32",2010-02-01,211.2,36.43722,-79.85111,27.75,55.25,0,0,"09:30:00",2010,"Rockingham"
"33",2010-02-02,211.2,36.43722,-79.85111,33,84,0,0,"09:30:00",2010,"Rockingham"
"34",2010-02-03,211.2,36.43722,-79.85111,36.5,90.5,0.75,52.5,"09:30:00",2010,"Rockingham"
"35",2010-02-04,211.2,36.43722,-79.85111,32.75,76.25,0,0,"09:30:00",2010,"Rockingham"
"36",2010-02-05,211.2,36.43722,-79.85111,35,90,6,33.3333333333333,"09:30:00",2010,"Rockingham"
"37",2010-02-06,211.2,36.43722,-79.85111,35.75,80.5,4.25,35,"09:30:00",2010,"Rockingham"
"38",2010-02-07,211.2,36.43722,-79.85111,35.25,57.5,4.5,265,"09:30:00",2010,"Rockingham"
"39",2010-02-08,211.2,36.43722,-79.85111,32.5,47.5,3.5,42.5,"09:30:00",2010,"Rockingham"
"40",2010-02-09,211.2,36.43722,-79.85111,36.3333333333333,62,1,20,"09:30:00",2010,"Rockingham"
"41",2010-02-10,211.2,36.43722,-79.85111,29.5,40,15.75,283.333333333333,"09:30:00",2010,"Rockingham"
"42",2010-02-11,211.2,36.43722,-79.85111,35.75,44,13.75,320,"09:30:00",2010,"Rockingham"
"43",2010-02-12,211.2,36.43722,-79.85111,30.5,53,2.75,240,"09:30:00",2010,"Rockingham"
"44",2010-02-13,211.2,36.43722,-79.85111,33.5,44.25,7.75,326.666666666667,"09:30:00",2010,"Rockingham"
"45",2010-02-14,211.2,36.43722,-79.85111,32.5,45.5,5.75,275,"09:30:00",2010,"Rockingham"
"46",2010-02-15,211.2,36.43722,-79.85111,33.75,70.75,0,0,"09:30:00",2010,"Rockingham"
"47",2010-02-16,211.2,36.43722,-79.85111,31.5,40,13.75,280,"09:30:00",2010,"Rockingham"
"48",2010-02-17,211.2,36.43722,-79.85111,33.75,52.25,8.25,242.5,"09:30:00",2010,"Rockingham"
"49",2010-02-18,211.2,36.43722,-79.85111,38.5,46.5,6.75,302.5,"09:30:00",2010,"Rockingham"
"50",2010-02-19,211.2,36.43722,-79.85111,41,47.25,8,282.5,"09:30:00",2010,"Rockingham"
"51",2010-02-20,211.2,36.43722,-79.85111,42.5,40.25,0.75,72.5,"09:30:00",2010,"Rockingham"
"52",2010-02-21,211.2,36.43722,-79.85111,43.75,51.5,3.5,217.5,"09:30:00",2010,"Rockingham"
"53",2010-02-22,211.2,36.43722,-79.85111,41.5,82.25,3.5,80,"09:30:00",2010,"Rockingham"
"54",2010-02-23,211.2,36.43722,-79.85111,44.75,92.25,0,0,"09:30:00",2010,"Rockingham"
"55",2010-02-24,211.2,36.43722,-79.85111,39.3333333333333,74.3333333333333,4.66666666666667,133.333333333333,"09:30:00",2010,"Rockingham"
"56",2010-02-25,211.2,36.43722,-79.85111,33.25,40,9,317.5,"09:30:00",2010,"Rockingham"
"57",2010-02-26,211.2,36.43722,-79.85111,37.25,38,14.5,265,"09:30:00",2010,"Rockingham"
"58",2010-02-27,211.2,36.43722,-79.85111,38.5,42,7,300,"09:30:00",2010,"Rockingham"
"59",2010-02-28,211.2,36.43722,-79.85111,43.5,41.5,9.5,320,"09:30:00",2010,"Rockingham"
"60",2010-03-01,211.2,36.43722,-79.85111,40.5,55,2.75,147.5,"09:30:00",2010,"Rockingham"
"61",2010-03-02,211.2,36.43722,-79.85111,39.75,58.25,3.75,40,"09:30:00",2010,"Rockingham"
"62",2010-03-03,211.2,36.43722,-79.85111,38.25,67.5,6.5,317.5,"09:30:00",2010,"Rockingham"
"63",2010-03-04,211.2,36.43722,-79.85111,42.25,45.25,9.25,306.666666666667,"09:30:00",2010,"Rockingham"
"64",2010-03-05,211.2,36.43722,-79.85111,40.75,26.5,8.75,340,"09:30:00",2010,"Rockingham"
"65",2010-03-06,211.2,36.43722,-79.85111,44.75,30.5,6.75,185,"09:30:00",2010,"Rockingham"
