"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,185.6,35.41667,-80.15056,41,100,4.33333333333333,343.333333333333,"09:21:00",2010,"Stanly"
"2",2010-01-02,185.6,35.41667,-80.15056,28,55,7,313.333333333333,"09:21:00",2010,"Stanly"
"3",2010-01-03,185.6,35.41667,-80.15056,26,44.5,8.33333333333333,316.666666666667,"09:21:00",2010,"Stanly"
"4",2010-01-04,185.6,35.41667,-80.15056,25,61,4.5,265,"09:21:00",2010,"Stanly"
"5",2010-01-05,185.6,35.41667,-80.15056,27,71.5,2,173.333333333333,"09:21:00",2010,"Stanly"
"6",2010-01-06,185.6,35.41667,-80.15056,NA,NA,6,290,"09:21:00",2010,"Stanly"
"7",2010-01-07,185.6,35.41667,-80.15056,27.5,93,0,0,"09:21:00",2010,"Stanly"
"8",2010-01-08,185.6,35.41667,-80.15056,28,55,13.6666666666667,326.666666666667,"09:21:00",2010,"Stanly"
"9",2010-01-09,185.6,35.41667,-80.15056,22,71,4.33333333333333,216.666666666667,"09:21:00",2010,"Stanly"
"10",2010-01-10,185.6,35.41667,-80.15056,26,66.5,6,336.666666666667,"09:21:00",2010,"Stanly"
"11",2010-01-11,185.6,35.41667,-80.15056,24,83.5,1.66666666666667,66.6666666666667,"09:21:00",2010,"Stanly"
"12",2010-01-12,185.6,35.41667,-80.15056,36,70,4.66666666666667,230,"09:21:00",2010,"Stanly"
"13",2010-01-13,185.6,35.41667,-80.15056,29,80,1,116.666666666667,"09:21:00",2010,"Stanly"
"14",2010-01-14,185.6,35.41667,-80.15056,31,90.5,4.33333333333333,210,"09:21:00",2010,"Stanly"
"15",2010-01-15,185.6,35.41667,-80.15056,31,93.5,0,0,"09:21:00",2010,"Stanly"
"16",2010-01-16,185.6,35.41667,-80.15056,37.5,93.5,0,0,"09:21:00",2010,"Stanly"
"17",2010-01-17,185.6,35.41667,-80.15056,58,100,4,190,"09:21:00",2010,"Stanly"
"18",2010-01-18,185.6,35.41667,-80.15056,50,91,4.66666666666667,216.666666666667,"09:21:00",2010,"Stanly"
"19",2010-01-19,185.6,35.41667,-80.15056,42,100,0,0,"09:21:00",2010,"Stanly"
"20",2010-01-20,185.6,35.41667,-80.15056,43.5,100,1,63.3333333333333,"09:21:00",2010,"Stanly"
"21",2010-01-21,185.6,35.41667,-80.15056,39,93,13.6666666666667,50,"09:21:00",2010,"Stanly"
"22",2010-01-22,185.6,35.41667,-80.15056,37,100,5.33333333333333,240,"09:21:00",2010,"Stanly"
"23",2010-01-23,185.6,35.41667,-80.15056,39,90,8.33333333333333,36.6666666666667,"09:21:00",2010,"Stanly"
"24",2010-01-24,185.6,35.41667,-80.15056,44,100,3.33333333333333,40,"09:21:00",2010,"Stanly"
"25",2010-01-25,185.6,35.41667,-80.15056,54,94,15,225,"09:21:00",2010,"Stanly"
"26",2010-01-26,185.6,35.41667,-80.15056,39,67.5,9,240,"09:21:00",2010,"Stanly"
"27",2010-01-27,185.6,35.41667,-80.15056,35,75,5,163.333333333333,"09:21:00",2010,"Stanly"
"28",2010-01-28,185.6,35.41667,-80.15056,39,87,4.33333333333333,133.333333333333,"09:21:00",2010,"Stanly"
"29",2010-01-29,185.6,35.41667,-80.15056,39,43.5,10,50,"09:21:00",2010,"Stanly"
"30",2010-01-30,185.6,35.41667,-80.15056,28,96.5,12.3333333333333,23.3333333333333,"09:21:00",2010,"Stanly"
"31",2010-01-31,185.6,35.41667,-80.15056,24,89.5,0,0,"09:21:00",2010,"Stanly"
"32",2010-02-01,185.6,35.41667,-80.15056,28.5,100,0,0,"09:21:00",2010,"Stanly"
"33",2010-02-02,185.6,35.41667,-80.15056,36,100,5.5,270,"09:21:00",2010,"Stanly"
"34",2010-02-03,185.6,35.41667,-80.15056,35,100,3,200,"09:21:00",2010,"Stanly"
"35",2010-02-04,185.6,35.41667,-80.15056,38.3333333333333,71.6666666666667,7.75,37.5,"09:21:00",2010,"Stanly"
"36",2010-02-05,185.6,35.41667,-80.15056,36,100,13.6666666666667,46.6666666666667,"09:21:00",2010,"Stanly"
"37",2010-02-06,185.6,35.41667,-80.15056,36,100,4.75,270,"09:21:00",2010,"Stanly"
"38",2010-02-07,185.6,35.41667,-80.15056,36,78,0,0,"09:21:00",2010,"Stanly"
"39",2010-02-08,185.6,35.41667,-80.15056,36,68.3333333333333,3.5,27.5,"09:21:00",2010,"Stanly"
"40",2010-02-09,185.6,35.41667,-80.15056,39,87,5,33.3333333333333,"09:21:00",2010,"Stanly"
"41",2010-02-10,185.6,35.41667,-80.15056,31.3333333333333,52.6666666666667,12,257.5,"09:21:00",2010,"Stanly"
"42",2010-02-11,185.6,35.41667,-80.15056,34,60,8.75,297.5,"09:21:00",2010,"Stanly"
"43",2010-02-12,185.6,35.41667,-80.15056,30,69,2,43.3333333333333,"09:21:00",2010,"Stanly"
"44",2010-02-13,185.6,35.41667,-80.15056,31,74.5,9,320,"09:21:00",2010,"Stanly"
"45",2010-02-14,185.6,35.41667,-80.15056,34,60,6.5,275,"09:21:00",2010,"Stanly"
"46",2010-02-15,185.6,35.41667,-80.15056,39,91,5.5,182.5,"09:21:00",2010,"Stanly"
"47",2010-02-16,185.6,35.41667,-80.15056,34,51,7,276.666666666667,"09:21:00",2010,"Stanly"
"48",2010-02-17,185.6,35.41667,-80.15056,32,70,4.66666666666667,260,"09:21:00",2010,"Stanly"
"49",2010-02-18,185.6,35.41667,-80.15056,36.5,60,8.25,297.5,"09:21:00",2010,"Stanly"
"50",2010-02-19,185.6,35.41667,-80.15056,41,66,5,152.5,"09:21:00",2010,"Stanly"
"51",2010-02-20,185.6,35.41667,-80.15056,44.5,49,1.5,12.5,"09:21:00",2010,"Stanly"
"52",2010-02-21,185.6,35.41667,-80.15056,46.5,58,0,0,"09:21:00",2010,"Stanly"
"53",2010-02-22,185.6,35.41667,-80.15056,45,100,7.75,170,"09:21:00",2010,"Stanly"
"54",2010-02-23,185.6,35.41667,-80.15056,46,100,0,0,"09:21:00",2010,"Stanly"
