"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,207,35.01694,-80.62056,42.75,88.25,4.75,262.5,"09:33:30",2010,"Union"
"2",2010-01-02,207,35.01694,-80.62056,30,45,14,320,"09:33:30",2010,"Union"
"3",2010-01-03,207,35.01694,-80.62056,25,46,8,320,"09:33:30",2010,"Union"
"4",2010-01-04,207,35.01694,-80.62056,27,45,8,290,"09:33:30",2010,"Union"
"5",2010-01-05,207,35.01694,-80.62056,28,51,8,290,"09:33:30",2010,"Union"
"6",2010-01-06,207,35.01694,-80.62056,29,51,8,290,"09:33:30",2010,"Union"
"7",2010-01-07,207,35.01694,-80.62056,31,61,6,230,"09:33:30",2010,"Union"
"8",2010-01-08,207,35.01694,-80.62056,28,43,14,340,"09:33:30",2010,"Union"
"9",2010-01-09,207,35.01694,-80.62056,24,55,7,330,"09:33:30",2010,"Union"
"10",2010-01-10,207,35.01694,-80.62056,28,47,10,20,"09:33:30",2010,"Union"
"11",2010-01-11,207,35.01694,-80.62056,28,60,6,240,"09:33:30",2010,"Union"
"12",2010-01-12,207,35.01694,-80.62056,35,54,0,0,"09:33:30",2010,"Union"
"13",2010-01-13,207,35.01694,-80.62056,32,52,6,20,"09:33:30",2010,"Union"
"14",2010-01-14,207,35.01694,-80.62056,36,64,6,240,"09:33:30",2010,"Union"
"15",2010-01-15,207,35.01694,-80.62056,42,58,3,220,"09:33:30",2010,"Union"
"16",2010-01-16,207,35.01694,-80.62056,44,51,0,0,"09:33:30",2010,"Union"
"17",2010-01-17,207,35.01694,-80.62056,57,93.6666666666667,2.66666666666667,166.666666666667,"09:33:30",2010,"Union"
"18",2010-01-18,207,35.01694,-80.62056,51,77,6,270,"09:33:30",2010,"Union"
"19",2010-01-19,207,35.01694,-80.62056,52,66,0,0,"09:33:30",2010,"Union"
"20",2010-01-20,207,35.01694,-80.62056,49,80,7,250,"09:33:30",2010,"Union"
"21",2010-01-21,207,35.01694,-80.62056,40,83,13,60,"09:33:30",2010,"Union"
"22",2010-01-22,207,35.01694,-80.62056,37,93,6.75,350,"09:33:30",2010,"Union"
"23",2010-01-23,207,35.01694,-80.62056,39.3333333333333,88.6666666666667,9.66666666666667,56.6666666666667,"09:33:30",2010,"Union"
"24",2010-01-24,207,35.01694,-80.62056,44,96,5,NA,"09:33:30",2010,"Union"
"25",2010-01-25,207,35.01694,-80.62056,52.5,81,16,230,"09:33:30",2010,"Union"
"26",2010-01-26,207,35.01694,-80.62056,40,58,16,250,"09:33:30",2010,"Union"
"27",2010-01-27,207,35.01694,-80.62056,37,57,8,250,"09:33:30",2010,"Union"
"28",2010-01-28,207,35.01694,-80.62056,43,58,8,230,"09:33:30",2010,"Union"
"29",2010-01-29,207,35.01694,-80.62056,41,32,13,70,"09:33:30",2010,"Union"
"30",2010-01-30,207,35.01694,-80.62056,28,89.2857142857143,16,34.2857142857143,"09:33:30",2010,"Union"
"31",2010-01-31,207,35.01694,-80.62056,27,75,0,0,"09:33:30",2010,"Union"
"32",2010-02-01,207,35.01694,-80.62056,34,82,0,0,"09:33:30",2010,"Union"
"33",2010-02-02,207,35.01694,-80.62056,35.8,91.8,8.4,20,"09:33:30",2010,"Union"
"34",2010-02-03,207,35.01694,-80.62056,36,98,0.6,52,"09:33:30",2010,"Union"
"35",2010-02-04,207,35.01694,-80.62056,36,67,8,50,"09:33:30",2010,"Union"
"36",2010-02-05,207,35.01694,-80.62056,35.75,93,10.5,57.5,"09:33:30",2010,"Union"
"37",2010-02-06,207,35.01694,-80.62056,37,86,8,40,"09:33:30",2010,"Union"
"38",2010-02-07,207,35.01694,-80.62056,35,70,0,0,"09:33:30",2010,"Union"
"39",2010-02-08,207,35.01694,-80.62056,36,62,3,90,"09:33:30",2010,"Union"
"40",2010-02-09,207,35.01694,-80.62056,39,73,3,50,"09:33:30",2010,"Union"
"41",2010-02-10,207,35.01694,-80.62056,31,42,21,270,"09:33:30",2010,"Union"
"42",2010-02-11,207,35.01694,-80.62056,35,44,10,360,"09:33:30",2010,"Union"
"43",2010-02-12,207,35.01694,-80.62056,32,56,3,110,"09:33:30",2010,"Union"
"44",2010-02-13,207,35.01694,-80.62056,31,69,10,300,"09:33:30",2010,"Union"
"45",2010-02-14,207,35.01694,-80.62056,33,58,6,210,"09:33:30",2010,"Union"
"46",2010-02-15,207,35.01694,-80.62056,43,82,9,200,"09:33:30",2010,"Union"
"47",2010-02-16,207,35.01694,-80.62056,31,47,9,270,"09:33:30",2010,"Union"
"48",2010-02-17,207,35.01694,-80.62056,34,52,9,250,"09:33:30",2010,"Union"
"49",2010-02-18,207,35.01694,-80.62056,37,46,9,300,"09:33:30",2010,"Union"
"50",2010-02-19,207,35.01694,-80.62056,43,49,8,300,"09:33:30",2010,"Union"
"51",2010-02-20,207,35.01694,-80.62056,47,33,0,0,"09:33:30",2010,"Union"
"52",2010-02-21,207,35.01694,-80.62056,53,37,0,0,"09:33:30",2010,"Union"
"53",2010-02-22,207,35.01694,-80.62056,44.75,93.75,6,65,"09:33:30",2010,"Union"
"54",2010-02-23,207,35.01694,-80.62056,48.25,93.75,0.75,20,"09:33:30",2010,"Union"
"55",2010-02-24,207,35.01694,-80.62056,39.6,91,10.8,38,"09:33:30",2010,"Union"
"56",2010-02-25,207,35.01694,-80.62056,32,45,13,340,"09:33:30",2010,"Union"
"57",2010-02-26,207,35.01694,-80.62056,37,37,11,NA,"09:33:30",2010,"Union"
"58",2010-02-27,207,35.01694,-80.62056,42,38,5,320,"09:33:30",2010,"Union"
"59",2010-02-28,207,35.01694,-80.62056,43,45,11,310,"09:33:30",2010,"Union"
"60",2010-03-01,207,35.01694,-80.62056,40,53,5,30,"09:33:30",2010,"Union"
"61",2010-03-02,207,35.01694,-80.62056,39,61.3333333333333,15.6666666666667,36.6666666666667,"09:33:30",2010,"Union"
"62",2010-03-03,207,35.01694,-80.62056,38,65,9,330,"09:33:30",2010,"Union"
"63",2010-03-04,207,35.01694,-80.62056,42,49,9,NA,"09:33:30",2010,"Union"
"64",2010-03-05,207,35.01694,-80.62056,41,36,15,10,"09:33:30",2010,"Union"
"65",2010-03-06,207,35.01694,-80.62056,45,31,8,30,"09:33:30",2010,"Union"
"66",2010-03-07,207,35.01694,-80.62056,49,29,3,60,"09:33:30",2010,"Union"
"67",2010-03-08,207,35.01694,-80.62056,55,28,5,10,"09:33:30",2010,"Union"
"68",2010-03-09,207,35.01694,-80.62056,59,46,0,0,"09:33:30",2010,"Union"
"69",2010-03-10,207,35.01694,-80.62056,57,55,8,220,"09:33:30",2010,"Union"
"70",2010-03-11,207,35.01694,-80.62056,54,87,0,0,"09:33:30",2010,"Union"
"71",2010-03-12,207,35.01694,-80.62056,59,93.75,4.75,70,"09:33:30",2010,"Union"
"72",2010-03-13,207,35.01694,-80.62056,53.5,82.5,8.5,230,"09:33:30",2010,"Union"
"73",2010-03-14,207,35.01694,-80.62056,49,71,8,240,"09:33:30",2010,"Union"
"74",2010-03-15,207,35.01694,-80.62056,56,51,10,320,"09:33:30",2010,"Union"
"75",2010-03-16,207,35.01694,-80.62056,53,52,11,30,"09:33:30",2010,"Union"
"76",2010-03-17,207,35.01694,-80.62056,55,45,3,20,"09:33:30",2010,"Union"
