"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,910.4,36.2,-81.65,34,81,16,297.5,"09:30:30",2010,"Watauga"
"2",2010-01-02,910.4,36.2,-81.65,14,73,30,295,"09:30:30",2010,"Watauga"
"3",2010-01-03,910.4,36.2,-81.65,9,66,13.25,290,"09:30:30",2010,"Watauga"
"4",2010-01-04,910.4,36.2,-81.65,12,79,24.3333333333333,280,"09:30:30",2010,"Watauga"
"5",2010-01-05,910.4,36.2,-81.65,12.6666666666667,77,22,280,"09:30:30",2010,"Watauga"
"6",2010-01-06,910.4,36.2,-81.65,16,76,19.5,287.5,"09:30:30",2010,"Watauga"
"7",2010-01-07,910.4,36.2,-81.65,25,37.5,3,176.666666666667,"09:30:30",2010,"Watauga"
"8",2010-01-08,910.4,36.2,-81.65,7,66,14,310,"09:30:30",2010,"Watauga"
"9",2010-01-09,910.4,36.2,-81.65,10,72,17,273.333333333333,"09:30:30",2010,"Watauga"
"10",2010-01-10,910.4,36.2,-81.65,14,73,16.5,280,"09:30:30",2010,"Watauga"
"11",2010-01-11,910.4,36.2,-81.65,21,40,8.33333333333333,273.333333333333,"09:30:30",2010,"Watauga"
"12",2010-01-12,910.4,36.2,-81.65,25,80,10.25,300,"09:30:30",2010,"Watauga"
"13",2010-01-13,910.4,36.2,-81.65,21.6666666666667,72,0,0,"09:30:30",2010,"Watauga"
"14",2010-01-14,910.4,36.2,-81.65,30,45,0,0,"09:30:30",2010,"Watauga"
"15",2010-01-15,910.4,36.2,-81.65,38.6666666666667,26.3333333333333,7,263.333333333333,"09:30:30",2010,"Watauga"
"16",2010-01-16,910.4,36.2,-81.65,34,84,0,0,"09:30:30",2010,"Watauga"
"17",2010-01-17,910.4,36.2,-81.65,42,93,0.75,27.5,"09:30:30",2010,"Watauga"
"18",2010-01-18,910.4,36.2,-81.65,41,85,16.75,295,"09:30:30",2010,"Watauga"
"19",2010-01-19,910.4,36.2,-81.65,45,66,16.3333333333333,270,"09:30:30",2010,"Watauga"
"20",2010-01-20,910.4,36.2,-81.65,41,93,0,0,"09:30:30",2010,"Watauga"
"21",2010-01-21,910.4,36.2,-81.65,34,93,0,0,"09:30:30",2010,"Watauga"
"22",2010-01-22,910.4,36.2,-81.65,35.3333333333333,95.3333333333333,0,0,"09:30:30",2010,"Watauga"
"23",2010-01-23,910.4,36.2,-81.65,36,100,2.75,77.5,"09:30:30",2010,"Watauga"
"24",2010-01-24,910.4,36.2,-81.65,39.6666666666667,93,3.5,65,"09:30:30",2010,"Watauga"
"25",2010-01-25,910.4,36.2,-81.65,45,76,8,270,"09:30:30",2010,"Watauga"
"26",2010-01-26,910.4,36.2,-81.65,27.5,66.5,18,275,"09:30:30",2010,"Watauga"
"27",2010-01-27,910.4,36.2,-81.65,25,80,19.75,290,"09:30:30",2010,"Watauga"
"28",2010-01-28,910.4,36.2,-81.65,41,45,22.5,280,"09:30:30",2010,"Watauga"
"29",2010-01-29,910.4,36.2,-81.65,34.6666666666667,31.3333333333333,3,202.5,"09:30:30",2010,"Watauga"
"30",2010-01-30,910.4,36.2,-81.65,21,86,6.5,90,"09:30:30",2010,"Watauga"
"31",2010-01-31,910.4,36.2,-81.65,18.5,76,11,275,"09:30:30",2010,"Watauga"
"32",2010-02-01,910.4,36.2,-81.65,23,58.5,0,0,"09:30:30",2010,"Watauga"
"33",2010-02-02,910.4,36.2,-81.65,34,93,0,0,"09:30:30",2010,"Watauga"
"34",2010-02-03,910.4,36.2,-81.65,34,81,16.5,290,"09:30:30",2010,"Watauga"
"35",2010-02-04,910.4,36.2,-81.65,26,86,0,0,"09:30:30",2010,"Watauga"
"36",2010-02-05,910.4,36.2,-81.65,28,93,7,100,"09:30:30",2010,"Watauga"
"37",2010-02-06,910.4,36.2,-81.65,34,93,0,0,"09:30:30",2010,"Watauga"
"38",2010-02-07,910.4,36.2,-81.65,28,86,0,0,"09:30:30",2010,"Watauga"
"39",2010-02-08,910.4,36.2,-81.65,25,80,0,0,"09:30:30",2010,"Watauga"
"40",2010-02-09,910.4,36.2,-81.65,38,75,6,186.666666666667,"09:30:30",2010,"Watauga"
"41",2010-02-10,910.4,36.2,-81.65,16,79,23.3333333333333,290,"09:30:30",2010,"Watauga"
"42",2010-02-11,910.4,36.2,-81.65,20,76.5,14,260,"09:30:30",2010,"Watauga"
