"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2013-01-01,91.1,35.017,-80.083,54,88,4.75,205,"15:27:30",2013,"Anson"
"2",2013-01-02,91.1,35.017,-80.083,50,67,2.25,102.5,"15:27:30",2013,"Anson"
"3",2013-01-03,91.1,35.017,-80.083,45,74.75,0,0,"15:27:30",2013,"Anson"
"4",2013-01-04,91.1,35.017,-80.083,52,35.75,4.25,230,"15:27:30",2013,"Anson"
"5",2013-01-05,91.1,35.017,-80.083,52.5,26,0,0,"15:27:30",2013,"Anson"
"6",2013-01-06,91.1,35.017,-80.083,50.5,69,0,0,"15:27:30",2013,"Anson"
"7",2013-01-07,91.1,35.017,-80.083,54.5,36.25,1.25,20,"15:27:30",2013,"Anson"
"8",2013-01-08,91.1,35.017,-80.083,57,54,0,0,"15:27:30",2013,"Anson"
"9",2013-01-09,91.1,35.017,-80.083,70,45.25,0.75,50,"15:27:30",2013,"Anson"
"10",2013-01-10,91.1,35.017,-80.083,69.5,35.5,5,55,"15:27:30",2013,"Anson"
"11",2013-01-11,91.1,35.017,-80.083,53.5,98.5,2,165,"15:27:30",2013,"Anson"
"12",2013-01-12,91.1,35.017,-80.083,77,56.25,3.5,152.5,"15:27:30",2013,"Anson"
"13",2013-01-13,91.1,35.017,-80.083,75,56.25,5,190,"15:27:30",2013,"Anson"
"14",2013-01-14,91.1,35.017,-80.083,77.5,54.75,7.75,192.5,"15:27:30",2013,"Anson"
"15",2013-01-15,91.1,35.017,-80.083,53.5,89.5,5,25,"15:27:30",2013,"Anson"
"16",2013-01-16,91.1,35.017,-80.083,49.5,98.5,1.5,45,"15:27:30",2013,"Anson"
"17",2013-01-17,91.1,35.017,-80.083,52,94,9.25,22.5,"15:27:30",2013,"Anson"
"18",2013-01-18,91.1,35.017,-80.083,49,31.25,5,257.5,"15:27:30",2013,"Anson"
"19",2013-01-19,91.1,35.017,-80.083,55.5,26.75,3.25,132.5,"15:27:30",2013,"Anson"
"20",2013-01-20,91.1,35.017,-80.083,65.5,25.5,5,247.5,"15:27:30",2013,"Anson"
"21",2013-01-21,91.1,35.017,-80.083,61.5,25.75,5.75,240,"15:27:30",2013,"Anson"
"22",2013-01-22,91.1,35.017,-80.083,45,14,6.75,292.5,"15:27:30",2013,"Anson"
"23",2013-01-23,91.1,35.017,-80.083,45.5,23.5,4.5,222.5,"15:27:30",2013,"Anson"
"24",2013-01-24,91.1,35.017,-80.083,43,20.75,14.25,270,"15:27:30",2013,"Anson"
"25",2013-01-25,91.1,35.017,-80.083,27,74.25,0.75,45,"15:27:30",2013,"Anson"
"26",2013-01-26,91.1,35.017,-80.083,39,78.25,0,0,"15:27:30",2013,"Anson"
"27",2013-01-27,91.1,35.017,-80.083,45,45,0,0,"15:27:30",2013,"Anson"
"28",2013-01-28,91.1,35.017,-80.083,48,71.25,1.25,55,"15:27:30",2013,"Anson"
"29",2013-01-29,91.1,35.017,-80.083,76,46.25,7.5,212.5,"15:27:30",2013,"Anson"
"30",2013-01-30,91.1,35.017,-80.083,77.5,50.25,18.5,177.5,"15:27:30",2013,"Anson"
"31",2013-01-31,91.1,35.017,-80.083,52,26,9,267.5,"15:27:30",2013,"Anson"
"32",2013-02-01,91.1,35.017,-80.083,43,15.5,7.5,310,"15:27:30",2013,"Anson"
"33",2013-02-02,91.1,35.017,-80.083,49.5,16.75,6.5,205,"15:27:30",2013,"Anson"
"34",2013-02-03,91.1,35.017,-80.083,54,30.75,7.25,287.5,"15:27:30",2013,"Anson"
"35",2013-02-04,91.1,35.017,-80.083,50,33.5,5.25,167.5,"15:27:30",2013,"Anson"
"36",2013-02-05,91.1,35.017,-80.083,65.5,34.5,7.5,225,"15:27:30",2013,"Anson"
"37",2013-02-06,91.1,35.017,-80.083,64,21,3.25,190,"15:27:30",2013,"Anson"
"38",2013-02-07,91.1,35.017,-80.083,50,67,7.75,17.5,"15:27:30",2013,"Anson"
"39",2013-02-08,91.1,35.017,-80.083,61,54.5,6.5,272.5,"15:27:30",2013,"Anson"
"40",2013-02-09,91.1,35.017,-80.083,57.5,14.75,7.5,242.5,"15:27:30",2013,"Anson"
"41",2013-02-10,91.1,35.017,-80.083,59,29.25,8.25,142.5,"15:27:30",2013,"Anson"
"42",2013-02-11,91.1,35.017,-80.083,64,83,6.75,152.5,"15:27:30",2013,"Anson"
"43",2013-02-12,91.1,35.017,-80.083,61,30,0.75,52.5,"15:27:30",2013,"Anson"
"44",2013-02-13,91.1,35.017,-80.083,50.5,94,6,212.5,"15:27:30",2013,"Anson"
"45",2013-02-14,91.1,35.017,-80.083,52,44,0.75,52.5,"15:27:30",2013,"Anson"
"46",2013-02-15,91.1,35.017,-80.083,63,24.5,3.25,175,"15:27:30",2013,"Anson"
"47",2013-02-16,91.1,35.017,-80.083,37,90,4.25,347.5,"15:27:30",2013,"Anson"
"48",2013-02-17,91.1,35.017,-80.083,42.5,26,7.75,262.5,"15:27:30",2013,"Anson"
"49",2013-02-18,91.1,35.017,-80.083,55,23.5,8,162.5,"15:27:30",2013,"Anson"
"50",2013-02-19,91.1,35.017,-80.083,51,91,8.75,212.5,"15:27:30",2013,"Anson"
"51",2013-02-20,91.1,35.017,-80.083,54.25,22,5.75,235,"15:27:30",2013,"Anson"
"52",2013-02-21,91.1,35.017,-80.083,56.5,19.25,1.25,50,"15:27:30",2013,"Anson"
"53",2013-02-22,91.1,35.017,-80.083,37,98.25,4.5,20,"15:27:30",2013,"Anson"
"54",2013-02-23,91.1,35.017,-80.083,44,94.75,3.75,250,"15:27:30",2013,"Anson"
"55",2013-02-24,91.1,35.017,-80.083,64,26.5,7.5,277.5,"15:27:30",2013,"Anson"
"56",2013-02-25,91.1,35.017,-80.083,43,49,7.25,42.5,"15:27:30",2013,"Anson"
"57",2013-02-26,91.1,35.017,-80.083,59,94,8.25,145,"15:27:30",2013,"Anson"
"58",2013-02-27,91.1,35.017,-80.083,57.5,46.25,9,210,"15:27:30",2013,"Anson"
"59",2013-02-28,91.1,35.017,-80.083,51,34.5,5.5,287.5,"15:27:30",2013,"Anson"
"60",2013-03-01,91.1,35.017,-80.083,49,40.75,7,300,"15:27:30",2013,"Anson"
"61",2013-03-02,91.1,35.017,-80.083,43.5,76.25,5.75,215,"15:27:30",2013,"Anson"
"62",2013-03-03,91.1,35.017,-80.083,46,29,6,275,"15:27:30",2013,"Anson"
"63",2013-03-04,91.1,35.017,-80.083,53.5,15.75,6,277.5,"15:27:30",2013,"Anson"
"64",2013-03-05,91.1,35.017,-80.083,54.25,72,0,0,"15:27:30",2013,"Anson"
"65",2013-03-06,91.1,35.017,-80.083,51,32.5,19.25,305,"15:27:30",2013,"Anson"
"66",2013-03-07,91.1,35.017,-80.083,55,31,10,305,"15:27:30",2013,"Anson"
"67",2013-03-08,91.1,35.017,-80.083,57,22.5,13,312.5,"15:27:30",2013,"Anson"
"68",2013-03-09,91.1,35.017,-80.083,62.5,25.5,1.5,127.5,"15:27:30",2013,"Anson"
"69",2013-03-10,91.1,35.017,-80.083,68.5,22.25,6.25,140,"15:27:30",2013,"Anson"
"70",2013-03-11,91.1,35.017,-80.083,68.6666666666667,53,13,146.666666666667,"15:27:30",2013,"Anson"
"71",2013-03-12,91.1,35.017,-80.083,72.5,36.5,6.5,275,"15:27:30",2013,"Anson"
"72",2013-03-13,91.1,35.017,-80.083,58.5,21.75,8,285,"15:27:30",2013,"Anson"
"73",2013-03-14,91.1,35.017,-80.083,53.5,20.25,5.25,270,"15:27:30",2013,"Anson"
"74",2013-03-15,91.1,35.017,-80.083,65,25,9.25,210,"15:27:30",2013,"Anson"
"75",2013-03-16,91.1,35.017,-80.083,79,23.5,13.5,222.5,"15:27:30",2013,"Anson"
"76",2013-03-17,91.1,35.017,-80.083,69,53.75,10,40,"15:27:30",2013,"Anson"
"77",2013-03-18,91.1,35.017,-80.083,50.5,75.5,2.75,40,"15:27:30",2013,"Anson"
"78",2013-03-19,91.1,35.017,-80.083,69.5,9.75,11,290,"15:27:30",2013,"Anson"
"79",2013-03-20,91.1,35.017,-80.083,55.5,15.5,3,175,"15:27:30",2013,"Anson"
"80",2013-03-21,91.1,35.017,-80.083,50,13.75,13,295,"15:27:30",2013,"Anson"
"81",2013-03-22,91.1,35.017,-80.083,50.5,23.25,5.75,227.5,"15:27:30",2013,"Anson"
"82",2013-03-23,91.1,35.017,-80.083,47.5,67.25,0,0,"15:27:30",2013,"Anson"
"83",2013-03-24,91.1,35.017,-80.083,43,93,9,355,"15:27:30",2013,"Anson"
"84",2013-03-25,91.1,35.017,-80.083,50,30,11,260,"15:27:30",2013,"Anson"
"85",2013-03-26,91.1,35.017,-80.083,49.5,35.5,9.5,295,"15:27:30",2013,"Anson"
"86",2013-03-27,91.1,35.017,-80.083,54,25.5,10.75,315,"15:27:30",2013,"Anson"
"87",2013-03-28,91.1,35.017,-80.083,56.5,21.25,7.75,285,"15:27:30",2013,"Anson"
"88",2013-03-29,91.1,35.017,-80.083,62.5,18.75,4.75,235,"15:27:30",2013,"Anson"
"89",2013-03-30,91.1,35.017,-80.083,65,42.25,3.5,205,"15:27:30",2013,"Anson"
"90",2013-03-31,91.1,35.017,-80.083,72.75,43.25,8.25,232.5,"15:27:30",2013,"Anson"
"91",2013-04-01,91.1,35.017,-80.083,74,19.5,8.75,270,"15:27:30",2013,"Anson"
"92",2013-04-02,91.1,35.017,-80.083,63.25,30,5.25,317.5,"15:27:30",2013,"Anson"
"93",2013-04-03,91.1,35.017,-80.083,63,19.5,6.5,262.5,"15:27:30",2013,"Anson"
"94",2013-04-04,91.1,35.017,-80.083,41.5,98.25,11.25,22.5,"15:27:30",2013,"Anson"
"95",2013-04-05,91.1,35.017,-80.083,61.5,50.25,1.5,67.5,"15:27:30",2013,"Anson"
"96",2013-04-06,91.1,35.017,-80.083,70,22,4.75,90,"15:27:30",2013,"Anson"
"97",2013-04-07,91.1,35.017,-80.083,73.5,28,7.25,212.5,"15:27:30",2013,"Anson"
"98",2013-04-08,91.1,35.017,-80.083,78,36,7.5,185,"15:27:30",2013,"Anson"
"99",2013-04-09,91.1,35.017,-80.083,82,35.5,6,195,"15:27:30",2013,"Anson"
"100",2013-04-10,91.1,35.017,-80.083,86,34.5,6.75,185,"15:27:30",2013,"Anson"
"101",2013-04-11,91.1,35.017,-80.083,81.75,43.5,8.25,177.5,"15:27:30",2013,"Anson"
"102",2013-04-12,91.1,35.017,-80.083,81.25,42.25,10,230,"15:27:30",2013,"Anson"
"103",2013-04-13,91.1,35.017,-80.083,74.5,22.75,4.25,180,"15:27:30",2013,"Anson"
"104",2013-04-14,91.1,35.017,-80.083,74.5,30,8.25,155,"15:27:30",2013,"Anson"
"105",2013-04-15,91.1,35.017,-80.083,72.5,59,3.75,110,"15:27:30",2013,"Anson"
"106",2013-04-16,91.1,35.017,-80.083,79,45,2.25,75,"15:27:30",2013,"Anson"
"107",2013-04-17,91.1,35.017,-80.083,83,44.5,2.75,115,"15:27:30",2013,"Anson"
"108",2013-04-18,91.1,35.017,-80.083,79.5,49.5,7,155,"15:27:30",2013,"Anson"
"109",2013-04-19,91.1,35.017,-80.083,80,58.5,7.75,190,"15:27:30",2013,"Anson"
"110",2013-04-20,91.1,35.017,-80.083,63.75,26.25,6.25,245,"15:27:30",2013,"Anson"
"111",2013-04-21,91.1,35.017,-80.083,65,34.5,8.5,55,"15:27:30",2013,"Anson"
"112",2013-04-22,91.1,35.017,-80.083,64.5,27.5,7.75,110,"15:27:30",2013,"Anson"
