"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,969.3,36.43222,-81.41944,32,64,14.3333333333333,306.666666666667,"15:21:20",2010,"Ashe"
"2",2010-01-02,969.3,36.43222,-81.41944,17,53,21.6666666666667,303.333333333333,"15:21:20",2010,"Ashe"
"3",2010-01-03,969.3,36.43222,-81.41944,19,32,14.3333333333333,320,"15:21:20",2010,"Ashe"
"4",2010-01-04,969.3,36.43222,-81.41944,19,58,12.3333333333333,310,"15:21:20",2010,"Ashe"
"5",2010-01-05,969.3,36.43222,-81.41944,19,63,22.6666666666667,313.333333333333,"15:21:20",2010,"Ashe"
"6",2010-01-06,969.3,36.43222,-81.41944,25,59,9,300,"15:21:20",2010,"Ashe"
"7",2010-01-07,969.3,36.43222,-81.41944,36,24,2.66666666666667,103.333333333333,"15:21:20",2010,"Ashe"
"8",2010-01-08,969.3,36.43222,-81.41944,13,54.5,21.3333333333333,310,"15:21:20",2010,"Ashe"
"9",2010-01-09,969.3,36.43222,-81.41944,21,49,11,316.666666666667,"15:21:20",2010,"Ashe"
"10",2010-01-10,969.3,36.43222,-81.41944,27,29.5,6.66666666666667,330,"15:21:20",2010,"Ashe"
"11",2010-01-11,969.3,36.43222,-81.41944,34,9.5,7,263.333333333333,"15:21:20",2010,"Ashe"
"12",2010-01-12,969.3,36.43222,-81.41944,25,59,12.6666666666667,323.333333333333,"15:21:20",2010,"Ashe"
"13",2010-01-13,969.3,36.43222,-81.41944,45,14,5.33333333333333,263.333333333333,"15:21:20",2010,"Ashe"
"14",2010-01-14,969.3,36.43222,-81.41944,49,10,5.66666666666667,140,"15:21:20",2010,"Ashe"
"15",2010-01-15,969.3,36.43222,-81.41944,52,19.5,5.66666666666667,250,"15:21:20",2010,"Ashe"
"16",2010-01-16,969.3,36.43222,-81.41944,50,16.5,2,76.6666666666667,"15:21:20",2010,"Ashe"
"17",2010-01-17,969.3,36.43222,-81.41944,45,87,0,0,"15:21:20",2010,"Ashe"
"18",2010-01-18,969.3,36.43222,-81.41944,52,35,7.66666666666667,266.666666666667,"15:21:20",2010,"Ashe"
"19",2010-01-19,969.3,36.43222,-81.41944,53,54.5,11,283.333333333333,"15:21:20",2010,"Ashe"
"20",2010-01-20,969.3,36.43222,-81.41944,50,94,0,0,"15:21:20",2010,"Ashe"
"21",2010-01-21,969.3,36.43222,-81.41944,34,100,0,0,"15:21:20",2010,"Ashe"
"22",2010-01-22,969.3,36.43222,-81.41944,46,87,5.66666666666667,220,"15:21:20",2010,"Ashe"
"23",2010-01-23,969.3,36.43222,-81.41944,36.5,100,5,146.666666666667,"15:21:20",2010,"Ashe"
"24",2010-01-24,969.3,36.43222,-81.41944,41,100,2.66666666666667,93.3333333333333,"15:21:20",2010,"Ashe"
"25",2010-01-25,969.3,36.43222,-81.41944,42,68,25.3333333333333,276.666666666667,"15:21:20",2010,"Ashe"
"26",2010-01-26,969.3,36.43222,-81.41944,29,80,7,293.333333333333,"15:21:20",2010,"Ashe"
"27",2010-01-27,969.3,36.43222,-81.41944,34,60,4,176.666666666667,"15:21:20",2010,"Ashe"
"28",2010-01-28,969.3,36.43222,-81.41944,45,46,21.6666666666667,293.333333333333,"15:21:20",2010,"Ashe"
"29",2010-01-29,969.3,36.43222,-81.41944,36,48,3.66666666666667,146.666666666667,"15:21:20",2010,"Ashe"
"30",2010-01-30,969.3,36.43222,-81.41944,23,86,3.66666666666667,33.3333333333333,"15:21:20",2010,"Ashe"
"31",2010-01-31,969.3,36.43222,-81.41944,36.5,29,10.6666666666667,290,"15:21:20",2010,"Ashe"
"32",2010-02-01,969.3,36.43222,-81.41944,43,29,5,143.333333333333,"15:21:20",2010,"Ashe"
"33",2010-02-02,969.3,36.43222,-81.41944,37,100,0,0,"15:21:20",2010,"Ashe"
"34",2010-02-03,969.3,36.43222,-81.41944,36.5,72.5,10.3333333333333,270,"15:21:20",2010,"Ashe"
"35",2010-02-04,969.3,36.43222,-81.41944,34,75,4.66666666666667,140,"15:21:20",2010,"Ashe"
"36",2010-02-05,969.3,36.43222,-81.41944,34,100,3.66666666666667,166.666666666667,"15:21:20",2010,"Ashe"
"37",2010-02-06,969.3,36.43222,-81.41944,35,90,11.3333333333333,286.666666666667,"15:21:20",2010,"Ashe"
"38",2010-02-07,969.3,36.43222,-81.41944,32,75,11,283.333333333333,"15:21:20",2010,"Ashe"
"39",2010-02-08,969.3,36.43222,-81.41944,34,87,4,130,"15:21:20",2010,"Ashe"
"40",2010-02-09,969.3,36.43222,-81.41944,34,100,2,100,"15:21:20",2010,"Ashe"
"41",2010-02-10,969.3,36.43222,-81.41944,21,86,22.3333333333333,290,"15:21:20",2010,"Ashe"
"42",2010-02-11,969.3,36.43222,-81.41944,27,74,10,312.5,"15:21:20",2010,"Ashe"
"43",2010-02-12,969.3,36.43222,-81.41944,32,60,2.25,95,"15:21:20",2010,"Ashe"
"44",2010-02-13,969.3,36.43222,-81.41944,27,69,13,303.333333333333,"15:21:20",2010,"Ashe"
"45",2010-02-14,969.3,36.43222,-81.41944,36.5,32.5,8.5,265,"15:21:20",2010,"Ashe"
"46",2010-02-15,969.3,36.43222,-81.41944,28,53,12.3333333333333,256.666666666667,"15:21:20",2010,"Ashe"
"47",2010-02-16,969.3,36.43222,-81.41944,21,80,11.5,275,"15:21:20",2010,"Ashe"
"48",2010-02-17,969.3,36.43222,-81.41944,25.5,78.5,11.75,272.5,"15:21:20",2010,"Ashe"
"49",2010-02-18,969.3,36.43222,-81.41944,31,72,15.25,290,"15:21:20",2010,"Ashe"
"50",2010-02-19,969.3,36.43222,-81.41944,43,31,7.75,332.5,"15:21:20",2010,"Ashe"
"51",2010-02-20,969.3,36.43222,-81.41944,48,33,8,310,"15:21:20",2010,"Ashe"
"52",2010-02-21,969.3,36.43222,-81.41944,54,33,5.25,130,"15:21:20",2010,"Ashe"
"53",2010-02-22,969.3,36.43222,-81.41944,50,71,6.66666666666667,276.666666666667,"15:21:20",2010,"Ashe"
"54",2010-02-23,969.3,36.43222,-81.41944,43,78.5,11.6666666666667,306.666666666667,"15:21:20",2010,"Ashe"
"55",2010-02-24,969.3,36.43222,-81.41944,32,87,3.33333333333333,206.666666666667,"15:21:20",2010,"Ashe"
"56",2010-02-25,969.3,36.43222,-81.41944,23,65.5,17.3333333333333,310,"15:21:20",2010,"Ashe"
"57",2010-02-26,969.3,36.43222,-81.41944,32,51,22,280,"15:21:20",2010,"Ashe"
"58",2010-02-27,969.3,36.43222,-81.41944,32,64,12.6666666666667,270,"15:21:20",2010,"Ashe"
"59",2010-02-28,969.3,36.43222,-81.41944,30,80,10.6666666666667,306.666666666667,"15:21:20",2010,"Ashe"
"60",2010-03-01,969.3,36.43222,-81.41944,35,72.5,6.66666666666667,330,"15:21:20",2010,"Ashe"
"61",2010-03-02,969.3,36.43222,-81.41944,30,96.5,6.66666666666667,43.3333333333333,"15:21:20",2010,"Ashe"
"62",2010-03-03,969.3,36.43222,-81.41944,33,72.5,18.3333333333333,320,"15:21:20",2010,"Ashe"
"63",2010-03-04,969.3,36.43222,-81.41944,37,45,16.3333333333333,306.666666666667,"15:21:20",2010,"Ashe"
"64",2010-03-05,969.3,36.43222,-81.41944,39,33,14.6666666666667,316.666666666667,"15:21:20",2010,"Ashe"
"65",2010-03-06,969.3,36.43222,-81.41944,47,15,7.33333333333333,116.666666666667,"15:21:20",2010,"Ashe"
"66",2010-03-07,969.3,36.43222,-81.41944,55,10.5,9.66666666666667,276.666666666667,"15:21:20",2010,"Ashe"
"67",2010-03-08,969.3,36.43222,-81.41944,57,39,14,276.666666666667,"15:21:20",2010,"Ashe"
"68",2010-03-09,969.3,36.43222,-81.41944,63,32,3.33333333333333,146.666666666667,"15:21:20",2010,"Ashe"
"69",2010-03-10,969.3,36.43222,-81.41944,55,59,4.33333333333333,150,"15:21:20",2010,"Ashe"
"70",2010-03-11,969.3,36.43222,-81.41944,50,94,0,0,"15:21:20",2010,"Ashe"
"71",2010-03-12,969.3,36.43222,-81.41944,54,100,7.33333333333333,136.666666666667,"15:21:20",2010,"Ashe"
"72",2010-03-13,969.3,36.43222,-81.41944,48,62,11.3333333333333,266.666666666667,"15:21:20",2010,"Ashe"
"73",2010-03-14,969.3,36.43222,-81.41944,46,59.5,8.66666666666667,300,"15:21:20",2010,"Ashe"
"74",2010-03-15,969.3,36.43222,-81.41944,42,81.5,19.6666666666667,316.666666666667,"15:21:20",2010,"Ashe"
"75",2010-03-16,969.3,36.43222,-81.41944,43,76,7.66666666666667,300,"15:21:20",2010,"Ashe"
"76",2010-03-17,969.3,36.43222,-81.41944,54,39.5,2.66666666666667,110,"15:21:20",2010,"Ashe"
"77",2010-03-18,969.3,36.43222,-81.41944,57,40,7,330,"15:21:20",2010,"Ashe"
"78",2010-03-19,969.3,36.43222,-81.41944,64,18.5,5,273.333333333333,"15:21:20",2010,"Ashe"
"79",2010-03-20,969.3,36.43222,-81.41944,68,26,6.66666666666667,153.333333333333,"15:21:20",2010,"Ashe"
"80",2010-03-21,969.3,36.43222,-81.41944,52,94,9,136.666666666667,"15:21:20",2010,"Ashe"
"81",2010-03-22,969.3,36.43222,-81.41944,39,87,4.33333333333333,110,"15:21:20",2010,"Ashe"
"82",2010-03-23,969.3,36.43222,-81.41944,43,81,26.6666666666667,303.333333333333,"15:21:20",2010,"Ashe"
"83",2010-03-24,969.3,36.43222,-81.41944,66,28,7.66666666666667,293.333333333333,"15:21:20",2010,"Ashe"
"84",2010-03-25,969.3,36.43222,-81.41944,55,65,6.66666666666667,160,"15:21:20",2010,"Ashe"
"85",2010-03-26,969.3,36.43222,-81.41944,41,81,13.3333333333333,326.666666666667,"15:21:20",2010,"Ashe"
"86",2010-03-27,969.3,36.43222,-81.41944,49,44.5,8.33333333333333,136.666666666667,"15:21:20",2010,"Ashe"
"87",2010-03-28,969.3,36.43222,-81.41944,44,96.5,2,93.3333333333333,"15:21:20",2010,"Ashe"
"88",2010-03-29,969.3,36.43222,-81.41944,53,62.5,9,346.666666666667,"15:21:20",2010,"Ashe"
"89",2010-03-30,969.3,36.43222,-81.41944,55,34.5,15.3333333333333,320,"15:21:20",2010,"Ashe"
"90",2010-03-31,969.3,36.43222,-81.41944,70,15,5.33333333333333,313.333333333333,"15:21:20",2010,"Ashe"
"91",2010-04-01,969.3,36.43222,-81.41944,80,13,5.66666666666667,153.333333333333,"15:21:20",2010,"Ashe"
"92",2010-04-02,969.3,36.43222,-81.41944,81.5,17,7,153.333333333333,"15:21:20",2010,"Ashe"
"93",2010-04-03,969.3,36.43222,-81.41944,72,38,4.66666666666667,160,"15:21:20",2010,"Ashe"
"94",2010-04-04,969.3,36.43222,-81.41944,75,21,3.66666666666667,216.666666666667,"15:21:20",2010,"Ashe"
"95",2010-04-12,969.3,36.43222,-81.41944,69,29.5,6,120,"15:21:20",2010,"Ashe"
"96",2010-04-13,969.3,36.43222,-81.41944,74,20.5,7.66666666666667,273.333333333333,"15:21:20",2010,"Ashe"
"97",2010-04-14,969.3,36.43222,-81.41944,61,61,7,146.666666666667,"15:21:20",2010,"Ashe"
"98",2010-04-15,969.3,36.43222,-81.41944,72.5,39.5,5.66666666666667,136.666666666667,"15:21:20",2010,"Ashe"
"99",2010-04-16,969.3,36.43222,-81.41944,75,24.5,15.25,267.5,"15:21:20",2010,"Ashe"
"100",2010-04-17,969.3,36.43222,-81.41944,64,24,17.25,282.5,"15:21:20",2010,"Ashe"
"101",2010-04-18,969.3,36.43222,-81.41944,59,27,10.3333333333333,313.333333333333,"15:21:20",2010,"Ashe"
"102",2010-04-19,969.3,36.43222,-81.41944,63.5,26.5,8.75,330,"15:21:20",2010,"Ashe"
"103",2010-04-20,969.3,36.43222,-81.41944,54,77,4,240,"15:21:20",2010,"Ashe"
"104",2010-04-21,969.3,36.43222,-81.41944,56,55,13,316.666666666667,"15:21:20",2010,"Ashe"
"105",2010-04-22,969.3,36.43222,-81.41944,66,30,11.6666666666667,300,"15:21:20",2010,"Ashe"
"106",2010-04-23,969.3,36.43222,-81.41944,72,47,9,247.5,"15:21:20",2010,"Ashe"
"107",2010-04-24,969.3,36.43222,-81.41944,61,83,7,146.666666666667,"15:21:20",2010,"Ashe"
"108",2010-04-25,969.3,36.43222,-81.41944,72,57,7.66666666666667,163.333333333333,"15:21:20",2010,"Ashe"
"109",2010-04-26,969.3,36.43222,-81.41944,56,72,12,273.333333333333,"15:21:20",2010,"Ashe"
"110",2010-04-27,969.3,36.43222,-81.41944,45.5,84.5,5.66666666666667,346.666666666667,"15:21:20",2010,"Ashe"
"111",2010-04-28,969.3,36.43222,-81.41944,56,33.5,11,293.333333333333,"15:21:20",2010,"Ashe"
"112",2010-04-29,969.3,36.43222,-81.41944,66,37,7.33333333333333,116.666666666667,"15:21:20",2010,"Ashe"
"113",2010-04-30,969.3,36.43222,-81.41944,77,36,5.66666666666667,140,"15:21:20",2010,"Ashe"
"114",2010-05-01,969.3,36.43222,-81.41944,77,65,6.66666666666667,146.666666666667,"15:21:20",2010,"Ashe"
