"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,11.6,35.57028,-77.04972,43,87,6.5,335,"15:13:00",2010,"Beaufort"
"2",2010-01-02,11.6,35.57028,-77.04972,31,21.5,15.6666666666667,306.666666666667,"15:13:00",2010,"Beaufort"
"3",2010-01-03,11.6,35.57028,-77.04972,30,20,11,283.333333333333,"15:13:00",2010,"Beaufort"
"4",2010-01-04,11.6,35.57028,-77.04972,36,32,6.33333333333333,260,"15:13:00",2010,"Beaufort"
"5",2010-01-05,11.6,35.57028,-77.04972,36,38,7,290,"15:13:00",2010,"Beaufort"
"6",2010-01-06,11.6,35.57028,-77.04972,39,33,8.66666666666667,270,"15:13:00",2010,"Beaufort"
"7",2010-01-07,11.6,35.57028,-77.04972,41,36,7.66666666666667,250,"15:13:00",2010,"Beaufort"
"8",2010-01-08,11.6,35.57028,-77.04972,34,25,11,290,"15:13:00",2010,"Beaufort"
"9",2010-01-09,11.6,35.57028,-77.04972,36,35,6.66666666666667,320,"15:13:00",2010,"Beaufort"
"10",2010-01-10,11.6,35.57028,-77.04972,36,15.5,12.6666666666667,346.666666666667,"15:13:00",2010,"Beaufort"
"11",2010-01-11,11.6,35.57028,-77.04972,43,5,8,223.333333333333,"15:13:00",2010,"Beaufort"
"12",2010-01-12,11.6,35.57028,-77.04972,37,45,8.66666666666667,340,"15:13:00",2010,"Beaufort"
"13",2010-01-13,11.6,35.57028,-77.04972,41,19,0,0,"15:13:00",2010,"Beaufort"
"14",2010-01-14,11.6,35.57028,-77.04972,52,19.5,7.33333333333333,213.333333333333,"15:13:00",2010,"Beaufort"
"15",2010-01-15,11.6,35.57028,-77.04972,57,15,7,240,"15:13:00",2010,"Beaufort"
"16",2010-01-16,11.6,35.57028,-77.04972,57,41,3,180,"15:13:00",2010,"Beaufort"
"17",2010-01-17,11.6,35.57028,-77.04972,72,73.5,10,160,"15:13:00",2010,"Beaufort"
"18",2010-01-18,11.6,35.57028,-77.04972,56,57,7.33333333333333,333.333333333333,"15:13:00",2010,"Beaufort"
"19",2010-01-19,11.6,35.57028,-77.04972,63,52,8.66666666666667,243.333333333333,"15:13:00",2010,"Beaufort"
"20",2010-01-20,11.6,35.57028,-77.04972,66,32,2.5,125,"15:13:00",2010,"Beaufort"
"21",2010-01-21,11.6,35.57028,-77.04972,42,84,8.33333333333333,53.3333333333333,"15:13:00",2010,"Beaufort"
"22",2010-01-22,11.6,35.57028,-77.04972,43,87,6.66666666666667,336.666666666667,"15:13:00",2010,"Beaufort"
"23",2010-01-23,11.6,35.57028,-77.04972,45,71,8.33333333333333,60,"15:13:00",2010,"Beaufort"
"24",2010-01-24,11.6,35.57028,-77.04972,64,73,9,153.333333333333,"15:13:00",2010,"Beaufort"
"25",2010-01-25,11.6,35.57028,-77.04972,61,57,19,233.333333333333,"15:13:00",2010,"Beaufort"
"26",2010-01-26,11.6,35.57028,-77.04972,52,33.5,13.3333333333333,243.333333333333,"15:13:00",2010,"Beaufort"
"27",2010-01-27,11.6,35.57028,-77.04972,48,35.5,7,280,"15:13:00",2010,"Beaufort"
"28",2010-01-28,11.6,35.57028,-77.04972,57,25,12,233.333333333333,"15:13:00",2010,"Beaufort"
"29",2010-01-29,11.6,35.57028,-77.04972,37,41,5.66666666666667,23.3333333333333,"15:13:00",2010,"Beaufort"
"30",2010-01-30,11.6,35.57028,-77.04972,30,93,7.66666666666667,233.333333333333,"15:13:00",2010,"Beaufort"
"31",2010-01-31,11.6,35.57028,-77.04972,30,77.5,0,0,"15:13:00",2010,"Beaufort"
"32",2010-02-01,11.6,35.57028,-77.04972,42,49.5,0,0,"15:13:00",2010,"Beaufort"
"33",2010-02-02,11.6,35.57028,-77.04972,41,87,7.66666666666667,73.3333333333333,"15:13:00",2010,"Beaufort"
"34",2010-02-03,11.6,35.57028,-77.04972,45,71,8,320,"15:13:00",2010,"Beaufort"
"35",2010-02-04,11.6,35.57028,-77.04972,43,49,7,360,"15:13:00",2010,"Beaufort"
"36",2010-02-05,11.6,35.57028,-77.04972,41,87,15,70,"15:13:00",2010,"Beaufort"
"37",2010-02-06,11.6,35.57028,-77.04972,36,87,12.6666666666667,320,"15:13:00",2010,"Beaufort"
"38",2010-02-07,11.6,35.57028,-77.04972,39,36,7.33333333333333,343.333333333333,"15:13:00",2010,"Beaufort"
"39",2010-02-08,11.6,35.57028,-77.04972,41,42,3,145,"15:13:00",2010,"Beaufort"
"40",2010-02-09,11.6,35.57028,-77.04972,45,49.5,8,73.3333333333333,"15:13:00",2010,"Beaufort"
"41",2010-02-10,11.6,35.57028,-77.04972,36.5,27.5,17,290,"15:13:00",2010,"Beaufort"
"42",2010-02-11,11.6,35.57028,-77.04972,46,32,7,290,"15:13:00",2010,"Beaufort"
"43",2010-02-12,11.6,35.57028,-77.04972,39,42,0,0,"15:13:00",2010,"Beaufort"
"44",2010-02-13,11.6,35.57028,-77.04972,32,80,7.5,285,"15:13:00",2010,"Beaufort"
"45",2010-02-14,11.6,35.57028,-77.04972,37,45,10.5,240,"15:13:00",2010,"Beaufort"
"46",2010-02-15,11.6,35.57028,-77.04972,55,34.5,13,210,"15:13:00",2010,"Beaufort"
"47",2010-02-16,11.6,35.57028,-77.04972,41,26,14,275,"15:13:00",2010,"Beaufort"
"48",2010-02-17,11.6,35.57028,-77.04972,42,27,11.3333333333333,293.333333333333,"15:13:00",2010,"Beaufort"
"49",2010-02-18,11.6,35.57028,-77.04972,52,30,8,295,"15:13:00",2010,"Beaufort"
"50",2010-02-19,11.6,35.57028,-77.04972,54,15.5,8.66666666666667,283.333333333333,"15:13:00",2010,"Beaufort"
"51",2010-02-20,11.6,35.57028,-77.04972,55,10,7.33333333333333,253.333333333333,"15:13:00",2010,"Beaufort"
"52",2010-02-21,11.6,35.57028,-77.04972,61,15,3.5,125,"15:13:00",2010,"Beaufort"
"53",2010-02-22,11.6,35.57028,-77.04972,55,88,3,96.6666666666667,"15:13:00",2010,"Beaufort"
"54",2010-02-23,11.6,35.57028,-77.04972,50,79.5,6,296.666666666667,"15:13:00",2010,"Beaufort"
