"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,7.6,33.92917,-78.07472,43,71,10,342.5,"15:30:00",2010,"Brunswick"
"2",2010-01-02,7.6,33.92917,-78.07472,32,25,16.25,310,"15:30:00",2010,"Brunswick"
"3",2010-01-03,7.6,33.92917,-78.07472,32,15,13,305,"15:30:00",2010,"Brunswick"
"4",2010-01-04,7.6,33.92917,-78.07472,34,27,10.25,285,"15:30:00",2010,"Brunswick"
"5",2010-01-05,7.6,33.92917,-78.07472,34,29,15.5,295,"15:30:00",2010,"Brunswick"
"6",2010-01-06,7.6,33.92917,-78.07472,37,30,13,280,"15:30:00",2010,"Brunswick"
"7",2010-01-07,7.6,33.92917,-78.07472,37,48,9.75,237.5,"15:30:00",2010,"Brunswick"
"8",2010-01-08,7.6,33.92917,-78.07472,36.5,27.5,12.5,313.333333333333,"15:30:00",2010,"Brunswick"
"9",2010-01-09,7.6,33.92917,-78.07472,32,32,7.25,350,"15:30:00",2010,"Brunswick"
"10",2010-01-10,7.6,33.92917,-78.07472,35,17.5,10.5,332.5,"15:30:00",2010,"Brunswick"
"11",2010-01-11,7.6,33.92917,-78.07472,37,35,9,225,"15:30:00",2010,"Brunswick"
"12",2010-01-12,7.6,33.92917,-78.07472,41,33,9.25,332.5,"15:30:00",2010,"Brunswick"
"13",2010-01-13,7.6,33.92917,-78.07472,37,38,4.5,207.5,"15:30:00",2010,"Brunswick"
"14",2010-01-14,7.6,33.92917,-78.07472,44,40.5,2.75,180,"15:30:00",2010,"Brunswick"
"15",2010-01-15,7.6,33.92917,-78.07472,54,45.5,5.25,207.5,"15:30:00",2010,"Brunswick"
"16",2010-01-16,7.6,33.92917,-78.07472,57,34.5,3.5,55,"15:30:00",2010,"Brunswick"
"17",2010-01-17,7.6,33.92917,-78.07472,57,82,11,200,"15:30:00",2010,"Brunswick"
"18",2010-01-18,7.6,33.92917,-78.07472,61,48,6.5,262.5,"15:30:00",2010,"Brunswick"
"19",2010-01-19,7.6,33.92917,-78.07472,57,61,6.5,217.5,"15:30:00",2010,"Brunswick"
"20",2010-01-20,7.6,33.92917,-78.07472,56,69.5,6.25,227.5,"15:30:00",2010,"Brunswick"
"21",2010-01-21,7.6,33.92917,-78.07472,45,93,9.5,42.5,"15:30:00",2010,"Brunswick"
"22",2010-01-22,7.6,33.92917,-78.07472,45,90,9.5,347.5,"15:30:00",2010,"Brunswick"
"23",2010-01-23,7.6,33.92917,-78.07472,46,66,8.5,60,"15:30:00",2010,"Brunswick"
