"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,645.3,35.4319,-82.5375,37,54,15,340,"15:54:00",2010,"Buncombe"
"2",2010-01-02,645.3,35.4319,-82.5375,22,46,18,360,"15:54:00",2010,"Buncombe"
"3",2010-01-03,645.3,35.4319,-82.5375,22,40,14,350,"15:54:00",2010,"Buncombe"
"4",2010-01-04,645.3,35.4319,-82.5375,21,54,15,360,"15:54:00",2010,"Buncombe"
"5",2010-01-05,645.3,35.4319,-82.5375,23,60,17,340,"15:54:00",2010,"Buncombe"
"6",2010-01-06,645.3,35.4319,-82.5375,30,49,14,350,"15:54:00",2010,"Buncombe"
"7",2010-01-07,645.3,35.4319,-82.5375,39,43,10,200,"15:54:00",2010,"Buncombe"
"8",2010-01-08,645.3,35.4319,-82.5375,16,54,16,350,"15:54:00",2010,"Buncombe"
"9",2010-01-09,645.3,35.4319,-82.5375,24,48,22,330,"15:54:00",2010,"Buncombe"
"10",2010-01-10,645.3,35.4319,-82.5375,28,39,14,340,"15:54:00",2010,"Buncombe"
"11",2010-01-11,645.3,35.4319,-82.5375,35,32,5,350,"15:54:00",2010,"Buncombe"
"12",2010-01-12,645.3,35.4319,-82.5375,29,57.5,14.5,355,"15:54:00",2010,"Buncombe"
"13",2010-01-13,645.3,35.4319,-82.5375,48,22,5,310,"15:54:00",2010,"Buncombe"
"14",2010-01-14,645.3,35.4319,-82.5375,53,18,0,0,"15:54:00",2010,"Buncombe"
"15",2010-01-15,645.3,35.4319,-82.5375,58,12,3,150,"15:54:00",2010,"Buncombe"
"16",2010-01-16,645.3,35.4319,-82.5375,49,39,5,150,"15:54:00",2010,"Buncombe"
"17",2010-01-17,645.3,35.4319,-82.5375,50,93.6666666666667,7.33333333333333,173.333333333333,"15:54:00",2010,"Buncombe"
"18",2010-01-18,645.3,35.4319,-82.5375,56,33,7,360,"15:54:00",2010,"Buncombe"
"19",2010-01-19,645.3,35.4319,-82.5375,58,44,6,340,"15:54:00",2010,"Buncombe"
"20",2010-01-20,645.3,35.4319,-82.5375,55,72,3,280,"15:54:00",2010,"Buncombe"
"21",2010-01-21,645.3,35.4319,-82.5375,34,98.5,12,170,"15:54:00",2010,"Buncombe"
"22",2010-01-22,645.3,35.4319,-82.5375,50,74,14,340,"15:54:00",2010,"Buncombe"
"23",2010-01-23,645.3,35.4319,-82.5375,37.5,98.5,8.5,160,"15:54:00",2010,"Buncombe"
"24",2010-01-24,645.3,35.4319,-82.5375,42.6,98.6,7.2,147.5,"15:54:00",2010,"Buncombe"
"25",2010-01-25,645.3,35.4319,-82.5375,47,36,13,NA,"15:54:00",2010,"Buncombe"
"26",2010-01-26,645.3,35.4319,-82.5375,34,56,13,350,"15:54:00",2010,"Buncombe"
"27",2010-01-27,645.3,35.4319,-82.5375,42,41,17,330,"15:54:00",2010,"Buncombe"
"28",2010-01-28,645.3,35.4319,-82.5375,53,35,18,350,"15:54:00",2010,"Buncombe"
"29",2010-01-29,645.3,35.4319,-82.5375,31.25,95.5,1.5,82.5,"15:54:00",2010,"Buncombe"
"30",2010-01-30,645.3,35.4319,-82.5375,28,81,0,0,"15:54:00",2010,"Buncombe"
"31",2010-01-31,645.3,35.4319,-82.5375,40,29,6,350,"15:54:00",2010,"Buncombe"
"32",2010-02-01,645.3,35.4319,-82.5375,44,27,8,130,"15:54:00",2010,"Buncombe"
"33",2010-02-02,645.3,35.4319,-82.5375,39,93,6,330,"15:54:00",2010,"Buncombe"
"34",2010-02-03,645.3,35.4319,-82.5375,42,60,16,340,"15:54:00",2010,"Buncombe"
"35",2010-02-04,645.3,35.4319,-82.5375,35,64,8,150,"15:54:00",2010,"Buncombe"
"36",2010-02-05,645.3,35.4319,-82.5375,34,99.4,6,198,"15:54:00",2010,"Buncombe"
"37",2010-02-06,645.3,35.4319,-82.5375,33.5,76.5,12,360,"15:54:00",2010,"Buncombe"
"38",2010-02-07,645.3,35.4319,-82.5375,35.5,70,11,350,"15:54:00",2010,"Buncombe"
"39",2010-02-08,645.3,35.4319,-82.5375,44,51,6,120,"15:54:00",2010,"Buncombe"
"40",2010-02-09,645.3,35.4319,-82.5375,39,93,6,150,"15:54:00",2010,"Buncombe"
"41",2010-02-10,645.3,35.4319,-82.5375,30,47,28,340,"15:54:00",2010,"Buncombe"
"42",2010-02-11,645.3,35.4319,-82.5375,34,50,21,330,"15:54:00",2010,"Buncombe"
"43",2010-02-12,645.3,35.4319,-82.5375,28,90,1,32,"15:54:00",2010,"Buncombe"
"44",2010-02-13,645.3,35.4319,-82.5375,30,58,14,350,"15:54:00",2010,"Buncombe"
"45",2010-02-14,645.3,35.4319,-82.5375,37,57,4.33333333333333,226.666666666667,"15:54:00",2010,"Buncombe"
"46",2010-02-15,645.3,35.4319,-82.5375,35,52,14,340,"15:54:00",2010,"Buncombe"
"47",2010-02-16,645.3,35.4319,-82.5375,28,49,16,340,"15:54:00",2010,"Buncombe"
"48",2010-02-17,645.3,35.4319,-82.5375,30,58,13,350,"15:54:00",2010,"Buncombe"
"49",2010-02-18,645.3,35.4319,-82.5375,37,54,17,350,"15:54:00",2010,"Buncombe"
"50",2010-02-19,645.3,35.4319,-82.5375,49,28,11,20,"15:54:00",2010,"Buncombe"
"51",2010-02-20,645.3,35.4319,-82.5375,55,20,3,300,"15:54:00",2010,"Buncombe"
"52",2010-02-21,645.3,35.4319,-82.5375,59,27,8,160,"15:54:00",2010,"Buncombe"
"53",2010-02-22,645.3,35.4319,-82.5375,58,51,0,0,"15:54:00",2010,"Buncombe"
"54",2010-02-23,645.3,35.4319,-82.5375,42,76,20,340,"15:54:00",2010,"Buncombe"
"55",2010-02-24,645.3,35.4319,-82.5375,35,72,13,350,"15:54:00",2010,"Buncombe"
"56",2010-02-25,645.3,35.4319,-82.5375,28,47,23,330,"15:54:00",2010,"Buncombe"
"57",2010-02-26,645.3,35.4319,-82.5375,39,33,20,330,"15:54:00",2010,"Buncombe"
"58",2010-02-27,645.3,35.4319,-82.5375,36,57,20,350,"15:54:00",2010,"Buncombe"
"59",2010-02-28,645.3,35.4319,-82.5375,35,61,10,360,"15:54:00",2010,"Buncombe"
"60",2010-03-01,645.3,35.4319,-82.5375,43,51,11,340,"15:54:00",2010,"Buncombe"
"61",2010-03-02,645.3,35.4319,-82.5375,32,92.6666666666667,7,353.333333333333,"15:54:00",2010,"Buncombe"
"62",2010-03-03,645.3,35.4319,-82.5375,33,61,18,350,"15:54:00",2010,"Buncombe"
"63",2010-03-04,645.3,35.4319,-82.5375,39,48,25,310,"15:54:00",2010,"Buncombe"
"64",2010-03-05,645.3,35.4319,-82.5375,42,32,21,330,"15:54:00",2010,"Buncombe"
"65",2010-03-06,645.3,35.4319,-82.5375,51,18,11,350,"15:54:00",2010,"Buncombe"
"66",2010-03-07,645.3,35.4319,-82.5375,56,14,0,0,"15:54:00",2010,"Buncombe"
"67",2010-03-08,645.3,35.4319,-82.5375,63,37,13,350,"15:54:00",2010,"Buncombe"
