"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,387.1,35.82139,-81.61056,45,40.5,13.3333333333333,333.333333333333,"15:22:00",2010,"Caldwel"
"2",2010-01-02,387.1,35.82139,-81.61056,28,37,12.3333333333333,290,"15:22:00",2010,"Caldwel"
"3",2010-01-03,387.1,35.82139,-81.61056,27,32,6,223.333333333333,"15:22:00",2010,"Caldwel"
"4",2010-01-04,387.1,35.82139,-81.61056,31,38.5,13.3333333333333,306.666666666667,"15:22:00",2010,"Caldwel"
"5",2010-01-05,387.1,35.82139,-81.61056,30,43,13.6666666666667,300,"15:22:00",2010,"Caldwel"
"6",2010-01-06,387.1,35.82139,-81.61056,37,36.5,7.33333333333333,126.666666666667,"15:22:00",2010,"Caldwel"
"7",2010-01-07,387.1,35.82139,-81.61056,45,24,1.66666666666667,66.6666666666667,"15:22:00",2010,"Caldwel"
"8",2010-01-08,387.1,35.82139,-81.61056,27,33,8.66666666666667,310,"15:22:00",2010,"Caldwel"
"9",2010-01-09,387.1,35.82139,-81.61056,32,34,9.66666666666667,343.333333333333,"15:22:00",2010,"Caldwel"
"10",2010-01-10,387.1,35.82139,-81.61056,36,25,7.66666666666667,320,"15:22:00",2010,"Caldwel"
"11",2010-01-11,387.1,35.82139,-81.61056,43,18,6,183.333333333333,"15:22:00",2010,"Caldwel"
"12",2010-01-12,387.1,35.82139,-81.61056,37,41,4.66666666666667,210,"15:22:00",2010,"Caldwel"
"13",2010-01-13,387.1,35.82139,-81.61056,45.5,30,1.66666666666667,83.3333333333333,"15:22:00",2010,"Caldwel"
"14",2010-01-14,387.1,35.82139,-81.61056,56,18,4,136.666666666667,"15:22:00",2010,"Caldwel"
"15",2010-01-15,387.1,35.82139,-81.61056,NA,11,2,56.6666666666667,"15:22:00",2010,"Caldwel"
"16",2010-01-16,387.1,35.82139,-81.61056,54,26,0,0,"15:22:00",2010,"Caldwel"
"17",2010-01-17,387.1,35.82139,-81.61056,48,100,0,0,"15:22:00",2010,"Caldwel"
"18",2010-01-18,387.1,35.82139,-81.61056,62,29,2.66666666666667,123.333333333333,"15:22:00",2010,"Caldwel"
"19",2010-01-19,387.1,35.82139,-81.61056,64,32,3.66666666666667,156.666666666667,"15:22:00",2010,"Caldwel"
"20",2010-01-20,387.1,35.82139,-81.61056,63,56,3.66666666666667,233.333333333333,"15:22:00",2010,"Caldwel"
"21",2010-01-21,387.1,35.82139,-81.61056,34,100,6.33333333333333,16.6666666666667,"15:22:00",2010,"Caldwel"
"22",2010-01-22,387.1,35.82139,-81.61056,47,73.5,2,100,"15:22:00",2010,"Caldwel"
"23",2010-01-23,387.1,35.82139,-81.61056,43,81,3.66666666666667,50,"15:22:00",2010,"Caldwel"
"24",2010-01-24,387.1,35.82139,-81.61056,39,100,7.66666666666667,240,"15:22:00",2010,"Caldwel"
"25",2010-01-25,387.1,35.82139,-81.61056,56,44,14.3333333333333,203.333333333333,"15:22:00",2010,"Caldwel"
"26",2010-01-26,387.1,35.82139,-81.61056,40,43.5,12.6666666666667,290,"15:22:00",2010,"Caldwel"
"27",2010-01-27,387.1,35.82139,-81.61056,46,33,5,120,"15:22:00",2010,"Caldwel"
"28",2010-01-28,387.1,35.82139,-81.61056,57,29,15.6666666666667,263.333333333333,"15:22:00",2010,"Caldwel"
"29",2010-01-29,387.1,35.82139,-81.61056,37,41,3,103.333333333333,"15:22:00",2010,"Caldwel"
"30",2010-01-30,387.1,35.82139,-81.61056,27,74,7,46.6666666666667,"15:22:00",2010,"Caldwel"
"31",2010-01-31,387.1,35.82139,-81.61056,41,31,5.66666666666667,150,"15:22:00",2010,"Caldwel"
"32",2010-02-01,387.1,35.82139,-81.61056,46,37,6.33333333333333,73.3333333333333,"15:22:00",2010,"Caldwel"
"33",2010-02-02,387.1,35.82139,-81.61056,37,100,6,126.666666666667,"15:22:00",2010,"Caldwel"
"34",2010-02-03,387.1,35.82139,-81.61056,49,41.5,4.33333333333333,296.666666666667,"15:22:00",2010,"Caldwel"
"35",2010-02-04,387.1,35.82139,-81.61056,39,56,0,0,"15:22:00",2010,"Caldwel"
"36",2010-02-05,387.1,35.82139,-81.61056,34,100,5.66666666666667,133.333333333333,"15:22:00",2010,"Caldwel"
"37",2010-02-06,387.1,35.82139,-81.61056,39,81,0,0,"15:22:00",2010,"Caldwel"
"38",2010-02-07,387.1,35.82139,-81.61056,45,46,0,0,"15:22:00",2010,"Caldwel"
"39",2010-02-08,387.1,35.82139,-81.61056,42,55,1,10,"15:22:00",2010,"Caldwel"
"40",2010-02-09,387.1,35.82139,-81.61056,37,87,1.66666666666667,20,"15:22:00",2010,"Caldwel"
"41",2010-02-10,387.1,35.82139,-81.61056,34,44,19,280,"15:22:00",2010,"Caldwel"
"42",2010-02-11,387.1,35.82139,-81.61056,41,39,7,150,"15:22:00",2010,"Caldwel"
"43",2010-02-12,387.1,35.82139,-81.61056,36,52,0,0,"15:22:00",2010,"Caldwel"
"44",2010-02-13,387.1,35.82139,-81.61056,37,43,7,310,"15:22:00",2010,"Caldwel"
"45",2010-02-14,387.1,35.82139,-81.61056,43,34,7.66666666666667,186.666666666667,"15:22:00",2010,"Caldwel"
"46",2010-02-15,387.1,35.82139,-81.61056,45.5,38,13.3333333333333,283.333333333333,"15:22:00",2010,"Caldwel"
"47",2010-02-16,387.1,35.82139,-81.61056,34,41,12.3333333333333,273.333333333333,"15:22:00",2010,"Caldwel"
"48",2010-02-17,387.1,35.82139,-81.61056,36,42.5,13,333.333333333333,"15:22:00",2010,"Caldwel"
"49",2010-02-18,387.1,35.82139,-81.61056,46,40,4.33333333333333,156.666666666667,"15:22:00",2010,"Caldwel"
"50",2010-02-19,387.1,35.82139,-81.61056,54.5,17,11,320,"15:22:00",2010,"Caldwel"
"51",2010-02-20,387.1,35.82139,-81.61056,57,16,2,73.3333333333333,"15:22:00",2010,"Caldwel"
"52",2010-02-21,387.1,35.82139,-81.61056,63,21,7.66666666666667,203.333333333333,"15:22:00",2010,"Caldwel"
"53",2010-02-22,387.1,35.82139,-81.61056,54.5,74.5,3.66666666666667,136.666666666667,"15:22:00",2010,"Caldwel"
"54",2010-02-23,387.1,35.82139,-81.61056,54,74.5,2.66666666666667,136.666666666667,"15:22:00",2010,"Caldwel"
"55",2010-02-24,387.1,35.82139,-81.61056,39,93,0,0,"15:22:00",2010,"Caldwel"
"56",2010-02-25,387.1,35.82139,-81.61056,31,38.5,14.3333333333333,310,"15:22:00",2010,"Caldwel"
"57",2010-02-26,387.1,35.82139,-81.61056,43,30,13.6666666666667,266.666666666667,"15:22:00",2010,"Caldwel"
"58",2010-02-27,387.1,35.82139,-81.61056,43,39,7.66666666666667,143.333333333333,"15:22:00",2010,"Caldwel"
"59",2010-02-28,387.1,35.82139,-81.61056,43,47.5,7.66666666666667,290,"15:22:00",2010,"Caldwel"
"60",2010-03-01,387.1,35.82139,-81.61056,46,46,2,123.333333333333,"15:22:00",2010,"Caldwel"
"61",2010-03-02,387.1,35.82139,-81.61056,34,100,5.66666666666667,130,"15:22:00",2010,"Caldwel"
"62",2010-03-03,387.1,35.82139,-81.61056,44,42,15.6666666666667,350,"15:22:00",2010,"Caldwel"
"63",2010-03-04,387.1,35.82139,-81.61056,46,34,15,303.333333333333,"15:22:00",2010,"Caldwel"
"64",2010-03-05,387.1,35.82139,-81.61056,48,21,12.3333333333333,336.666666666667,"15:22:00",2010,"Caldwel"
"65",2010-03-06,387.1,35.82139,-81.61056,57,13.5,5.33333333333333,306.666666666667,"15:22:00",2010,"Caldwel"
"66",2010-03-07,387.1,35.82139,-81.61056,62,5.5,4.33333333333333,180,"15:22:00",2010,"Caldwel"
"67",2010-03-08,387.1,35.82139,-81.61056,69,24.5,11,296.666666666667,"15:22:00",2010,"Caldwel"
"68",2010-03-09,387.1,35.82139,-81.61056,71,24,4.66666666666667,156.666666666667,"15:22:00",2010,"Caldwel"
"69",2010-03-10,387.1,35.82139,-81.61056,62,53.5,9.66666666666667,223.333333333333,"15:22:00",2010,"Caldwel"
"70",2010-03-11,387.1,35.82139,-81.61056,54,100,1,20,"15:22:00",2010,"Caldwel"
"71",2010-03-12,387.1,35.82139,-81.61056,62,91,5.66666666666667,93.3333333333333,"15:22:00",2010,"Caldwel"
"72",2010-03-13,387.1,35.82139,-81.61056,54.5,65,5.33333333333333,176.666666666667,"15:22:00",2010,"Caldwel"
"73",2010-03-14,387.1,35.82139,-81.61056,55,44,1.66666666666667,80,"15:22:00",2010,"Caldwel"
"74",2010-03-15,387.1,35.82139,-81.61056,55,47,14.3333333333333,303.333333333333,"15:22:00",2010,"Caldwel"
"75",2010-03-16,387.1,35.82139,-81.61056,57,48,7,93.3333333333333,"15:22:00",2010,"Caldwel"
"76",2010-03-17,387.1,35.82139,-81.61056,57,41,1,76.6666666666667,"15:22:00",2010,"Caldwel"
"77",2010-03-18,387.1,35.82139,-81.61056,68,22,4,106.666666666667,"15:22:00",2010,"Caldwel"
"78",2010-03-19,387.1,35.82139,-81.61056,72,13,6.33333333333333,173.333333333333,"15:22:00",2010,"Caldwel"
"79",2010-03-20,387.1,35.82139,-81.61056,73,20,8.33333333333333,190,"15:22:00",2010,"Caldwel"
"80",2010-03-21,387.1,35.82139,-81.61056,55,100,6.33333333333333,86.6666666666667,"15:22:00",2010,"Caldwel"
"81",2010-03-22,387.1,35.82139,-81.61056,42,78.5,2,113.333333333333,"15:22:00",2010,"Caldwel"
"82",2010-03-23,387.1,35.82139,-81.61056,57,53,6.66666666666667,193.333333333333,"15:22:00",2010,"Caldwel"
"83",2010-03-24,387.1,35.82139,-81.61056,72.5,21,2,83.3333333333333,"15:22:00",2010,"Caldwel"
"84",2010-03-25,387.1,35.82139,-81.61056,64,50.5,9.66666666666667,190,"15:22:00",2010,"Caldwel"
"85",2010-03-26,387.1,35.82139,-81.61056,55,55,13.6666666666667,330,"15:22:00",2010,"Caldwel"
"86",2010-03-27,387.1,35.82139,-81.61056,55,31,7.66666666666667,103.333333333333,"15:22:00",2010,"Caldwel"
"87",2010-03-28,387.1,35.82139,-81.61056,45.5,100,5,230,"15:22:00",2010,"Caldwel"
"88",2010-03-29,387.1,35.82139,-81.61056,61,59,6.33333333333333,76.6666666666667,"15:22:00",2010,"Caldwel"
"89",2010-03-30,387.1,35.82139,-81.61056,66,29,10,286.666666666667,"15:22:00",2010,"Caldwel"
"90",2010-03-31,387.1,35.82139,-81.61056,79,12,5,180,"15:22:00",2010,"Caldwel"
"91",2010-04-01,387.1,35.82139,-81.61056,83,11.5,2,76.6666666666667,"15:22:00",2010,"Caldwel"
"92",2010-04-02,387.1,35.82139,-81.61056,88,14,8.66666666666667,146.666666666667,"15:22:00",2010,"Caldwel"
"93",2010-04-03,387.1,35.82139,-81.61056,79,30,7.33333333333333,200,"15:22:00",2010,"Caldwel"
"94",2010-04-04,387.1,35.82139,-81.61056,82,20,6.66666666666667,190,"15:22:00",2010,"Caldwel"
"95",2010-04-05,387.1,35.82139,-81.61056,88,26,6,223.333333333333,"15:22:00",2010,"Caldwel"
"96",2010-04-06,387.1,35.82139,-81.61056,91,13,8.33333333333333,176.666666666667,"15:22:00",2010,"Caldwel"
"97",2010-04-07,387.1,35.82139,-81.61056,84,20,11.3333333333333,176.666666666667,"15:22:00",2010,"Caldwel"
"98",2010-04-08,387.1,35.82139,-81.61056,64,88,7.66666666666667,193.333333333333,"15:22:00",2010,"Caldwel"
"99",2010-04-09,387.1,35.82139,-81.61056,63.5,24.5,13.6666666666667,273.333333333333,"15:22:00",2010,"Caldwel"
"100",2010-04-10,387.1,35.82139,-81.61056,71,13,5.66666666666667,143.333333333333,"15:22:00",2010,"Caldwel"
"101",2010-04-11,387.1,35.82139,-81.61056,75,18.5,5,126.666666666667,"15:22:00",2010,"Caldwel"
"102",2010-04-12,387.1,35.82139,-81.61056,77,21,7.66666666666667,130,"15:22:00",2010,"Caldwel"
"103",2010-04-13,387.1,35.82139,-81.61056,81,20.5,5.66666666666667,100,"15:22:00",2010,"Caldwel"
"104",2010-04-14,387.1,35.82139,-81.61056,61,59,9.33333333333333,103.333333333333,"15:22:00",2010,"Caldwel"
"105",2010-04-15,387.1,35.82139,-81.61056,79,30,6.33333333333333,126.666666666667,"15:22:00",2010,"Caldwel"
"106",2010-04-16,387.1,35.82139,-81.61056,86,12,13.6666666666667,283.333333333333,"15:22:00",2010,"Caldwel"
"107",2010-04-17,387.1,35.82139,-81.61056,75,21.5,12.6666666666667,256.666666666667,"15:22:00",2010,"Caldwel"
"108",2010-04-18,387.1,35.82139,-81.61056,70,15,7.66666666666667,326.666666666667,"15:22:00",2010,"Caldwel"
"109",2010-04-19,387.1,35.82139,-81.61056,70,23,4.33333333333333,196.666666666667,"15:22:00",2010,"Caldwel"
"110",2010-04-20,387.1,35.82139,-81.61056,57,79.5,5,143.333333333333,"15:22:00",2010,"Caldwel"
"111",2010-04-21,387.1,35.82139,-81.61056,65,38.5,7.33333333333333,330,"15:22:00",2010,"Caldwel"
"112",2010-04-22,387.1,35.82139,-81.61056,75,19,10,266.666666666667,"15:22:00",2010,"Caldwel"
"113",2010-04-23,387.1,35.82139,-81.61056,80,33,3.66666666666667,116.666666666667,"15:22:00",2010,"Caldwel"
"114",2010-04-24,387.1,35.82139,-81.61056,65,78,7.33333333333333,186.666666666667,"15:22:00",2010,"Caldwel"
"115",2010-04-25,387.1,35.82139,-81.61056,79,34,17,196.666666666667,"15:22:00",2010,"Caldwel"
"116",2010-04-26,387.1,35.82139,-81.61056,70,40.5,15.3333333333333,260,"15:22:00",2010,"Caldwel"
"117",2010-04-27,387.1,35.82139,-81.61056,62,48.5,6,286.666666666667,"15:22:00",2010,"Caldwel"
"118",2010-04-28,387.1,35.82139,-81.61056,66,21.5,6.66666666666667,263.333333333333,"15:22:00",2010,"Caldwel"
"119",2010-04-29,387.1,35.82139,-81.61056,72,28,8.33333333333333,200,"15:22:00",2010,"Caldwel"
"120",2010-04-30,387.1,35.82139,-81.61056,82,26,9.66666666666667,196.666666666667,"15:22:00",2010,"Caldwel"
"121",2010-05-01,387.1,35.82139,-81.61056,78,65,9.66666666666667,210,"15:22:00",2010,"Caldwel"
"122",2010-05-02,387.1,35.82139,-81.61056,85,53.5,11.3333333333333,193.333333333333,"15:22:00",2010,"Caldwel"
"123",2010-05-03,387.1,35.82139,-81.61056,73,83,7,215,"15:22:00",2010,"Caldwel"
"124",2010-05-04,387.1,35.82139,-81.61056,82,26,3,100,"15:22:00",2010,"Caldwel"
"125",2010-05-05,387.1,35.82139,-81.61056,84,29,4.66666666666667,183.333333333333,"15:22:00",2010,"Caldwel"
"126",2010-05-06,387.1,35.82139,-81.61056,88,31,8,213.333333333333,"15:22:00",2010,"Caldwel"
"127",2010-05-07,387.1,35.82139,-81.61056,84,38.5,10,200,"15:22:00",2010,"Caldwel"
"128",2010-05-08,387.1,35.82139,-81.61056,74,12.5,15.3333333333333,270,"15:22:00",2010,"Caldwel"
"129",2010-05-09,387.1,35.82139,-81.61056,69,21,4.33333333333333,210,"15:22:00",2010,"Caldwel"
"130",2010-05-10,387.1,35.82139,-81.61056,63,37,4.66666666666667,156.666666666667,"15:22:00",2010,"Caldwel"
"131",2010-05-11,387.1,35.82139,-81.61056,57,94,0,0,"15:22:00",2010,"Caldwel"
"132",2010-05-12,387.1,35.82139,-81.61056,81.5,56.5,9.33333333333333,203.333333333333,"15:22:00",2010,"Caldwel"
"133",2010-05-13,387.1,35.82139,-81.61056,84,41.5,4,130,"15:22:00",2010,"Caldwel"
