"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,348.4,35.7425,-81.3819,44,40,13,310,"15:53:00",2010,"Catawba"
"2",2010-01-02,348.4,35.7425,-81.3819,29,30,10,330,"15:53:00",2010,"Catawba"
"3",2010-01-03,348.4,35.7425,-81.3819,27,29,11,310,"15:53:00",2010,"Catawba"
"4",2010-01-04,348.4,35.7425,-81.3819,32,36,11,330,"15:53:00",2010,"Catawba"
"5",2010-01-05,348.4,35.7425,-81.3819,32,38,8,350,"15:53:00",2010,"Catawba"
"6",2010-01-06,348.4,35.7425,-81.3819,37,37,10,330,"15:53:00",2010,"Catawba"
"7",2010-01-07,348.4,35.7425,-81.3819,42,30,8,190,"15:53:00",2010,"Catawba"
"8",2010-01-08,348.4,35.7425,-81.3819,25,33,10,340,"15:53:00",2010,"Catawba"
"9",2010-01-09,348.4,35.7425,-81.3819,33,32,7,350,"15:53:00",2010,"Catawba"
"10",2010-01-10,348.4,35.7425,-81.3819,38,21,3,310,"15:53:00",2010,"Catawba"
"11",2010-01-11,348.4,35.7425,-81.3819,42,22,7,180,"15:53:00",2010,"Catawba"
"12",2010-01-12,348.4,35.7425,-81.3819,37,41,10,350,"15:53:00",2010,"Catawba"
"13",2010-01-13,348.4,35.7425,-81.3819,45,31,5,NA,"15:53:00",2010,"Catawba"
"14",2010-01-14,348.4,35.7425,-81.3819,51,32,5,160,"15:53:00",2010,"Catawba"
"15",2010-01-15,348.4,35.7425,-81.3819,61,9,3,NA,"15:53:00",2010,"Catawba"
"16",2010-01-16,348.4,35.7425,-81.3819,54,26,0,0,"15:53:00",2010,"Catawba"
"17",2010-01-17,348.4,35.7425,-81.3819,48.3333333333333,92.6666666666667,0,0,"15:53:00",2010,"Catawba"
"18",2010-01-18,348.4,35.7425,-81.3819,62,32,3,NA,"15:53:00",2010,"Catawba"
"19",2010-01-19,348.4,35.7425,-81.3819,64,34,0,0,"15:53:00",2010,"Catawba"
"20",2010-01-20,348.4,35.7425,-81.3819,64,48,6,210,"15:53:00",2010,"Catawba"
"21",2010-01-21,348.4,35.7425,-81.3819,34,92.75,8.25,32.5,"15:53:00",2010,"Catawba"
"22",2010-01-22,348.4,35.7425,-81.3819,46,77,5,220,"15:53:00",2010,"Catawba"
"23",2010-01-23,348.4,35.7425,-81.3819,43,76,5,50,"15:53:00",2010,"Catawba"
"24",2010-01-24,348.4,35.7425,-81.3819,40.6666666666667,94.3333333333333,3,170,"15:53:00",2010,"Catawba"
