"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2015-01-01,187.1,35.704,-79.504,50.3333333333333,46.6666666666667,6.66666666666667,213.333333333333,"15:35:00",2015,"Chatham"
"2",2015-01-02,187.1,35.704,-79.504,52.3333333333333,60,0,0,"15:35:00",2015,"Chatham"
"3",2015-01-03,187.1,35.704,-79.504,50,98.3333333333333,4,90,"15:35:00",2015,"Chatham"
"4",2015-01-04,187.1,35.704,-79.504,64.6666666666667,84.3333333333333,9,213.333333333333,"15:35:00",2015,"Chatham"
"5",2015-01-05,187.1,35.704,-79.504,49.6666666666667,29.6666666666667,7,293.333333333333,"15:35:00",2015,"Chatham"
"6",2015-01-06,187.1,35.704,-79.504,51,34.3333333333333,3.66666666666667,296.666666666667,"15:35:00",2015,"Chatham"
"7",2015-01-07,187.1,35.704,-79.504,34.3333333333333,41.6666666666667,7.66666666666667,335,"15:35:00",2015,"Chatham"
"8",2015-01-08,187.1,35.704,-79.504,26,25.6666666666667,6,183.333333333333,"15:35:00",2015,"Chatham"
"9",2015-01-09,187.1,35.704,-79.504,43,23.3333333333333,7.33333333333333,270,"15:35:00",2015,"Chatham"
"10",2015-01-10,187.1,35.704,-79.504,38,19.6666666666667,1.66666666666667,20,"15:35:00",2015,"Chatham"
"11",2015-01-11,187.1,35.704,-79.504,46.6666666666667,22.3333333333333,2,116.666666666667,"15:35:00",2015,"Chatham"
"12",2015-01-12,187.1,35.704,-79.504,41.6666666666667,100,0,0,"15:35:00",2015,"Chatham"
"13",2015-01-13,187.1,35.704,-79.504,36.3333333333333,84,13,23.3333333333333,"15:35:00",2015,"Chatham"
"14",2015-01-14,187.1,35.704,-79.504,32,96,5.66666666666667,230,"15:35:00",2015,"Chatham"
"15",2015-01-15,187.1,35.704,-79.504,38,83.3333333333333,1,76.6666666666667,"15:35:00",2015,"Chatham"
"16",2015-01-16,187.1,35.704,-79.504,51.3333333333333,40.6666666666667,5,310,"15:35:00",2015,"Chatham"
"17",2015-01-17,187.1,35.704,-79.504,51.6666666666667,44.3333333333333,7,153.333333333333,"15:35:00",2015,"Chatham"
"18",2015-01-18,187.1,35.704,-79.504,57,31.6666666666667,11,280,"15:35:00",2015,"Chatham"
"19",2015-01-19,187.1,35.704,-79.504,62,23.6666666666667,6.66666666666667,243.333333333333,"15:35:00",2015,"Chatham"
"20",2015-01-20,187.1,35.704,-79.504,65.3333333333333,27,8.66666666666667,213.333333333333,"15:35:00",2015,"Chatham"
"21",2015-01-21,187.1,35.704,-79.504,56.6666666666667,46,3.66666666666667,126.666666666667,"15:35:00",2015,"Chatham"
"22",2015-01-22,187.1,35.704,-79.504,55,36.5,0,0,"15:35:00",2015,"Chatham"
