"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,6.1,36.0275,-76.56694,45,81,7.25,352.5,"15:30:30",2010,"Chowan"
"2",2010-01-02,6.1,36.0275,-76.56694,34,35,16.75,320,"15:30:30",2010,"Chowan"
"3",2010-01-03,6.1,36.0275,-76.56694,34,32,19.3333333333333,286.666666666667,"15:30:30",2010,"Chowan"
"4",2010-01-04,6.1,36.0275,-76.56694,37,39.5,9.66666666666667,273.333333333333,"15:30:30",2010,"Chowan"
"5",2010-01-05,6.1,36.0275,-76.56694,37,38,11,316.666666666667,"15:30:30",2010,"Chowan"
"6",2010-01-06,6.1,36.0275,-76.56694,43,37.5,11.75,295,"15:30:30",2010,"Chowan"
"7",2010-01-07,6.1,36.0275,-76.56694,43,44,7.25,252.5,"15:30:30",2010,"Chowan"
"8",2010-01-08,6.1,36.0275,-76.56694,36,35,16,310,"15:30:30",2010,"Chowan"
"9",2010-01-09,6.1,36.0275,-76.56694,36,44,9.66666666666667,326.666666666667,"15:30:30",2010,"Chowan"
"10",2010-01-10,6.1,36.0275,-76.56694,36,31,11,236.666666666667,"15:30:30",2010,"Chowan"
"11",2010-01-11,6.1,36.0275,-76.56694,43,24,7.66666666666667,220,"15:30:30",2010,"Chowan"
"12",2010-01-12,6.1,36.0275,-76.56694,39,48,9.66666666666667,346.666666666667,"15:30:30",2010,"Chowan"
"13",2010-01-13,6.1,36.0275,-76.56694,45,34,2,183.333333333333,"15:30:30",2010,"Chowan"
"14",2010-01-14,6.1,36.0275,-76.56694,52,35,0,0,"15:30:30",2010,"Chowan"
"15",2010-01-15,6.1,36.0275,-76.56694,57,30,5.66666666666667,233.333333333333,"15:30:30",2010,"Chowan"
"16",2010-01-16,6.1,36.0275,-76.56694,57,48,0,0,"15:30:30",2010,"Chowan"
"17",2010-01-17,6.1,36.0275,-76.56694,67,85.5,11.3333333333333,156.666666666667,"15:30:30",2010,"Chowan"
"18",2010-01-18,6.1,36.0275,-76.56694,57,59,10,340,"15:30:30",2010,"Chowan"
"19",2010-01-19,6.1,36.0275,-76.56694,63.5,52,8,260,"15:30:30",2010,"Chowan"
"20",2010-01-20,6.1,36.0275,-76.56694,52,65,8,96.6666666666667,"15:30:30",2010,"Chowan"
"21",2010-01-21,6.1,36.0275,-76.56694,45.5,84.5,9.66666666666667,53.3333333333333,"15:30:30",2010,"Chowan"
"22",2010-01-22,6.1,36.0275,-76.56694,45,93,11,20,"15:30:30",2010,"Chowan"
"23",2010-01-23,6.1,36.0275,-76.56694,46,71,6.66666666666667,83.3333333333333,"15:30:30",2010,"Chowan"
"24",2010-01-24,6.1,36.0275,-76.56694,63,77,13,166.666666666667,"15:30:30",2010,"Chowan"
"25",2010-01-25,6.1,36.0275,-76.56694,62,63.5,13.6666666666667,230,"15:30:30",2010,"Chowan"
"26",2010-01-26,6.1,36.0275,-76.56694,52,42.5,12.3333333333333,263.333333333333,"15:30:30",2010,"Chowan"
"27",2010-01-27,6.1,36.0275,-76.56694,48,44.5,5.66666666666667,246.666666666667,"15:30:30",2010,"Chowan"
"28",2010-01-28,6.1,36.0275,-76.56694,58,36.5,10.3333333333333,243.333333333333,"15:30:30",2010,"Chowan"
"29",2010-01-29,6.1,36.0275,-76.56694,36.5,46.5,7.66666666666667,33.3333333333333,"15:30:30",2010,"Chowan"
"30",2010-01-30,6.1,36.0275,-76.56694,31,93,16,116.666666666667,"15:30:30",2010,"Chowan"
"31",2010-01-31,6.1,36.0275,-76.56694,34,38,6.33333333333333,326.666666666667,"15:30:30",2010,"Chowan"
"32",2010-02-01,6.1,36.0275,-76.56694,41,40.5,4.33333333333333,173.333333333333,"15:30:30",2010,"Chowan"
"33",2010-02-02,6.1,36.0275,-76.56694,43,96.5,10.6666666666667,86.6666666666667,"15:30:30",2010,"Chowan"
"34",2010-02-03,6.1,36.0275,-76.56694,45,71,8.33333333333333,326.666666666667,"15:30:30",2010,"Chowan"
"35",2010-02-04,6.1,36.0275,-76.56694,45,49,3.66666666666667,53.3333333333333,"15:30:30",2010,"Chowan"
"36",2010-02-05,6.1,36.0275,-76.56694,41,93,16,80,"15:30:30",2010,"Chowan"
"37",2010-02-06,6.1,36.0275,-76.56694,36,87,17.3333333333333,340,"15:30:30",2010,"Chowan"
"38",2010-02-07,6.1,36.0275,-76.56694,39,52,7.33333333333333,230,"15:30:30",2010,"Chowan"
"39",2010-02-08,6.1,36.0275,-76.56694,43,39,7.66666666666667,316.666666666667,"15:30:30",2010,"Chowan"
"40",2010-02-09,6.1,36.0275,-76.56694,43,66,11.6666666666667,93.3333333333333,"15:30:30",2010,"Chowan"
"41",2010-02-10,6.1,36.0275,-76.56694,37,36.5,23,293.333333333333,"15:30:30",2010,"Chowan"
"42",2010-02-11,6.1,36.0275,-76.56694,48,40,12,310,"15:30:30",2010,"Chowan"
"43",2010-02-12,6.1,36.0275,-76.56694,37,60,3,120,"15:30:30",2010,"Chowan"
"44",2010-02-13,6.1,36.0275,-76.56694,34,75,9.33333333333333,316.666666666667,"15:30:30",2010,"Chowan"
"45",2010-02-14,6.1,36.0275,-76.56694,41,49,9,266.666666666667,"15:30:30",2010,"Chowan"
"46",2010-02-15,6.1,36.0275,-76.56694,55,49,14.6666666666667,223.333333333333,"15:30:30",2010,"Chowan"
"47",2010-02-16,6.1,36.0275,-76.56694,43,37.5,15.3333333333333,283.333333333333,"15:30:30",2010,"Chowan"
"48",2010-02-17,6.1,36.0275,-76.56694,44,38,10,310,"15:30:30",2010,"Chowan"
"49",2010-02-18,6.1,36.0275,-76.56694,52,38,10,286.666666666667,"15:30:30",2010,"Chowan"
"50",2010-02-19,6.1,36.0275,-76.56694,54,33,9.66666666666667,313.333333333333,"15:30:30",2010,"Chowan"
