"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,258.2,35.25556,-81.60111,44.75,54.5,7.25,345,"15:30:00",2010,"Cleveland"
"2",2010-01-02,258.2,35.25556,-81.60111,30,37,14.25,337.5,"15:30:00",2010,"Cleveland"
"3",2010-01-03,258.2,35.25556,-81.60111,28.75,31.5,8.25,330,"15:30:00",2010,"Cleveland"
"4",2010-01-04,258.2,35.25556,-81.60111,35,38,12.75,337.5,"15:30:00",2010,"Cleveland"
"5",2010-01-05,258.2,35.25556,-81.60111,34,43.75,9.75,347.5,"15:30:00",2010,"Cleveland"
"6",2010-01-06,258.2,35.25556,-81.60111,39,38.25,5.25,280,"15:30:00",2010,"Cleveland"
"7",2010-01-07,258.2,35.25556,-81.60111,43,33.25,6,200,"15:30:00",2010,"Cleveland"
"8",2010-01-08,258.2,35.25556,-81.60111,27.5,37,13.5,325,"15:30:00",2010,"Cleveland"
"9",2010-01-09,258.2,35.25556,-81.60111,34.25,35.25,7.25,350,"15:30:00",2010,"Cleveland"
"10",2010-01-10,258.2,35.25556,-81.60111,36.25,32.5,4.25,322.5,"15:30:00",2010,"Cleveland"
"11",2010-01-11,258.2,35.25556,-81.60111,43,32,8.25,220,"15:30:00",2010,"Cleveland"
"12",2010-01-12,258.2,35.25556,-81.60111,40,45,8,337.5,"15:30:00",2010,"Cleveland"
"13",2010-01-13,258.2,35.25556,-81.60111,44,42.75,6.5,230,"15:30:00",2010,"Cleveland"
"14",2010-01-14,258.2,35.25556,-81.60111,50.75,33.75,3.25,140,"15:30:00",2010,"Cleveland"
"15",2010-01-15,258.2,35.25556,-81.60111,57.75,24.75,1.5,92.5,"15:30:00",2010,"Cleveland"
"16",2010-01-16,258.2,35.25556,-81.60111,53,40,0,0,"15:30:00",2010,"Cleveland"
"17",2010-01-17,258.2,35.25556,-81.60111,49,NA,4,292.5,"15:30:00",2010,"Cleveland"
"18",2010-01-18,258.2,35.25556,-81.60111,61,46,6.25,215,"15:30:00",2010,"Cleveland"
"19",2010-01-19,258.2,35.25556,-81.60111,62.25,38.25,8.5,227.5,"15:30:00",2010,"Cleveland"
"20",2010-01-20,258.2,35.25556,-81.60111,67.75,45.25,11.5,217.5,"15:30:00",2010,"Cleveland"
"21",2010-01-21,258.2,35.25556,-81.60111,34,NA,10.5,35,"15:30:00",2010,"Cleveland"
"22",2010-01-22,258.2,35.25556,-81.60111,44.5,84,0,0,"15:30:00",2010,"Cleveland"
"23",2010-01-23,258.2,35.25556,-81.60111,43,85.25,3,72.5,"15:30:00",2010,"Cleveland"
"24",2010-01-24,258.2,35.25556,-81.60111,40,NA,3.5,175,"15:30:00",2010,"Cleveland"
"25",2010-01-25,258.2,35.25556,-81.60111,51.75,44.75,25.75,225,"15:30:00",2010,"Cleveland"
"26",2010-01-26,258.2,35.25556,-81.60111,43.75,46.5,6.5,290,"15:30:00",2010,"Cleveland"
"27",2010-01-27,258.2,35.25556,-81.60111,46.25,43.75,2.75,217.5,"15:30:00",2010,"Cleveland"
"28",2010-01-28,258.2,35.25556,-81.60111,60,37.5,8.5,262.5,"15:30:00",2010,"Cleveland"
"29",2010-01-29,258.2,35.25556,-81.60111,34.3333333333333,81,5.75,30,"15:30:00",2010,"Cleveland"
"30",2010-01-30,258.2,35.25556,-81.60111,24.25,96.5,9,40,"15:30:00",2010,"Cleveland"
"31",2010-01-31,258.2,35.25556,-81.60111,37.25,56.75,0,0,"15:30:00",2010,"Cleveland"
"32",2010-02-01,258.2,35.25556,-81.60111,41.75,59.75,0,0,"15:30:00",2010,"Cleveland"
"33",2010-02-02,258.2,35.25556,-81.60111,NA,NA,4.5,195,"15:30:00",2010,"Cleveland"
"34",2010-02-03,258.2,35.25556,-81.60111,48.75,57,0,0,"15:30:00",2010,"Cleveland"
"35",2010-02-04,258.2,35.25556,-81.60111,38,69.5,5.25,110,"15:30:00",2010,"Cleveland"
"36",2010-02-05,258.2,35.25556,-81.60111,33,100,10.75,20,"15:30:00",2010,"Cleveland"
"37",2010-02-06,258.2,35.25556,-81.60111,39.25,85,2,12.5,"15:30:00",2010,"Cleveland"
"38",2010-02-07,258.2,35.25556,-81.60111,43.5,63.25,0.75,60,"15:30:00",2010,"Cleveland"
"39",2010-02-08,258.2,35.25556,-81.60111,47.25,54.75,3,207.5,"15:30:00",2010,"Cleveland"
"40",2010-02-09,258.2,35.25556,-81.60111,37.6666666666667,99,4.25,102.5,"15:30:00",2010,"Cleveland"
"41",2010-02-10,258.2,35.25556,-81.60111,35.25,45,21.75,290,"15:30:00",2010,"Cleveland"
"42",2010-02-11,258.2,35.25556,-81.60111,43.5,38.5,7.25,220,"15:30:00",2010,"Cleveland"
"43",2010-02-12,258.2,35.25556,-81.60111,33.75,58.25,2.25,105,"15:30:00",2010,"Cleveland"
"44",2010-02-13,258.2,35.25556,-81.60111,38,51.75,10,280,"15:30:00",2010,"Cleveland"
"45",2010-02-14,258.2,35.25556,-81.60111,40.5,48.5,11,220,"15:30:00",2010,"Cleveland"
"46",2010-02-15,258.2,35.25556,-81.60111,46.25,46,17.75,227.5,"15:30:00",2010,"Cleveland"
"47",2010-02-16,258.2,35.25556,-81.60111,36.5,42.25,15.5,300,"15:30:00",2010,"Cleveland"
"48",2010-02-17,258.2,35.25556,-81.60111,40.5,43.25,12.25,285,"15:30:00",2010,"Cleveland"
"49",2010-02-18,258.2,35.25556,-81.60111,48,37.75,5.5,282.5,"15:30:00",2010,"Cleveland"
"50",2010-02-19,258.2,35.25556,-81.60111,53.25,31.75,1.25,37.5,"15:30:00",2010,"Cleveland"
"51",2010-02-20,258.2,35.25556,-81.60111,56.5,27.75,2,125,"15:30:00",2010,"Cleveland"
"52",2010-02-21,258.2,35.25556,-81.60111,62.5,29,5.75,205,"15:30:00",2010,"Cleveland"
"53",2010-02-22,258.2,35.25556,-81.60111,50.25,93.25,5,180,"15:30:00",2010,"Cleveland"
"54",2010-02-23,258.2,35.25556,-81.60111,56.5,68.25,0,0,"15:30:00",2010,"Cleveland"
"55",2010-02-24,258.2,35.25556,-81.60111,38.5,95.5,0.75,17.5,"15:30:00",2010,"Cleveland"
"56",2010-02-25,258.2,35.25556,-81.60111,34.5,41.75,16,312.5,"15:30:00",2010,"Cleveland"
"57",2010-02-26,258.2,35.25556,-81.60111,43,34.75,17.25,287.5,"15:30:00",2010,"Cleveland"
"58",2010-02-27,258.2,35.25556,-81.60111,48.25,40.25,5.25,220,"15:30:00",2010,"Cleveland"
"59",2010-02-28,258.2,35.25556,-81.60111,47.25,45,8.5,327.5,"15:30:00",2010,"Cleveland"
"60",2010-03-01,258.2,35.25556,-81.60111,46.75,52.5,2,117.5,"15:30:00",2010,"Cleveland"
"61",2010-03-02,258.2,35.25556,-81.60111,33.25,98.75,12,30,"15:30:00",2010,"Cleveland"
"62",2010-03-03,258.2,35.25556,-81.60111,44,48.5,7.5,307.5,"15:30:00",2010,"Cleveland"
"63",2010-03-04,258.2,35.25556,-81.60111,48.25,35.75,12,340,"15:30:00",2010,"Cleveland"
"64",2010-03-05,258.2,35.25556,-81.60111,50,23.5,12.25,320,"15:30:00",2010,"Cleveland"
"65",2010-03-06,258.2,35.25556,-81.60111,56,18,3,160,"15:30:00",2010,"Cleveland"
"66",2010-03-07,258.2,35.25556,-81.60111,58.75,21,6.25,212.5,"15:30:00",2010,"Cleveland"
"67",2010-03-08,258.2,35.25556,-81.60111,66.5,32.25,2.25,0,"15:30:00",2010,"Cleveland"
"68",2010-03-09,258.2,35.25556,-81.60111,70.25,31.5,8.75,227.5,"15:30:00",2010,"Cleveland"
"69",2010-03-10,258.2,35.25556,-81.60111,53.5,78,9.25,197.5,"15:30:00",2010,"Cleveland"
"70",2010-03-11,258.2,35.25556,-81.60111,52.5,100,3.5,60,"15:30:00",2010,"Cleveland"
"71",2010-03-12,258.2,35.25556,-81.60111,62.2,84.2,6.4,64,"15:30:00",2010,"Cleveland"
"72",2010-03-13,258.2,35.25556,-81.60111,52.75,67.5,8,210,"15:30:00",2010,"Cleveland"
"73",2010-03-14,258.2,35.25556,-81.60111,54.75,51.5,6.75,265,"15:30:00",2010,"Cleveland"
"74",2010-03-15,258.2,35.25556,-81.60111,57.75,46.25,14.75,336.666666666667,"15:30:00",2010,"Cleveland"
"75",2010-03-16,258.2,35.25556,-81.60111,57.25,50.5,7.25,90,"15:30:00",2010,"Cleveland"
"76",2010-03-17,258.2,35.25556,-81.60111,55,46,0.75,37.5,"15:30:00",2010,"Cleveland"
"77",2010-03-18,258.2,35.25556,-81.60111,64.75,30.75,6,100,"15:30:00",2010,"Cleveland"
"78",2010-03-19,258.2,35.25556,-81.60111,69.5,25.25,5.25,180,"15:30:00",2010,"Cleveland"
"79",2010-03-20,258.2,35.25556,-81.60111,71.75,31,10.25,212.5,"15:30:00",2010,"Cleveland"
"80",2010-03-21,258.2,35.25556,-81.60111,54,100,9.25,120,"15:30:00",2010,"Cleveland"
"81",2010-03-22,258.2,35.25556,-81.60111,44.25,59.75,13,215,"15:30:00",2010,"Cleveland"
"82",2010-03-23,258.2,35.25556,-81.60111,61.75,47.5,11.5,285,"15:30:00",2010,"Cleveland"
"83",2010-03-24,258.2,35.25556,-81.60111,73,29.5,6.75,213.333333333333,"15:30:00",2010,"Cleveland"
"84",2010-03-25,258.2,35.25556,-81.60111,64.75,53.25,9.5,210,"15:30:00",2010,"Cleveland"
"85",2010-03-26,258.2,35.25556,-81.60111,60.5,53,14.75,337.5,"15:30:00",2010,"Cleveland"
"86",2010-03-27,258.2,35.25556,-81.60111,56.5,37.25,6.75,80,"15:30:00",2010,"Cleveland"
"87",2010-03-28,258.2,35.25556,-81.60111,54,99.5,0.75,87.5,"15:30:00",2010,"Cleveland"
"88",2010-03-29,258.2,35.25556,-81.60111,60.25,58.75,10.25,105,"15:30:00",2010,"Cleveland"
"89",2010-03-30,258.2,35.25556,-81.60111,68.25,28.25,10,323.333333333333,"15:30:00",2010,"Cleveland"
"90",2010-03-31,258.2,35.25556,-81.60111,74.5,22.5,1.25,57.5,"15:30:00",2010,"Cleveland"
"91",2010-04-01,258.2,35.25556,-81.60111,82.5,20.75,3.25,112.5,"15:30:00",2010,"Cleveland"
"92",2010-04-02,258.2,35.25556,-81.60111,84,25.75,7,190,"15:30:00",2010,"Cleveland"
"93",2010-04-03,258.2,35.25556,-81.60111,76.25,40.75,9.25,193.333333333333,"15:30:00",2010,"Cleveland"
"94",2010-04-04,258.2,35.25556,-81.60111,79.75,34,4.75,157.5,"15:30:00",2010,"Cleveland"
"95",2010-04-05,258.2,35.25556,-81.60111,85.75,35.5,4.25,160,"15:30:00",2010,"Cleveland"
"96",2010-04-06,258.2,35.25556,-81.60111,87,22.75,14,207.5,"15:30:00",2010,"Cleveland"
"97",2010-04-07,258.2,35.25556,-81.60111,80.25,34.5,13.25,205,"15:30:00",2010,"Cleveland"
"98",2010-04-08,258.2,35.25556,-81.60111,65.25,90.25,7.5,192.5,"15:30:00",2010,"Cleveland"
"99",2010-04-09,258.2,35.25556,-81.60111,63.75,31.5,12.25,262.5,"15:30:00",2010,"Cleveland"
"100",2010-04-10,258.2,35.25556,-81.60111,69.25,24.5,2.75,55,"15:30:00",2010,"Cleveland"
"101",2010-04-11,258.2,35.25556,-81.60111,72.25,28,2.25,167.5,"15:30:00",2010,"Cleveland"
"102",2010-04-12,258.2,35.25556,-81.60111,76,30.5,2.75,52.5,"15:30:00",2010,"Cleveland"
"103",2010-04-13,258.2,35.25556,-81.60111,77.5,32.25,7.25,190,"15:30:00",2010,"Cleveland"
"104",2010-04-14,258.2,35.25556,-81.60111,57,72.25,9,90,"15:30:00",2010,"Cleveland"
