,DATE,ELEVATION,LATITUDE,LONGITUDE,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,time,year,county
1,1/1/2010,29.9,34.27278,-78.71472,47,86.5,2.75,250,15:30:00,2010,Columbus
2,1/2/2010,29.9,34.27278,-78.71472,36,29.25,7.25,300,15:30:00,2010,Columbus
3,1/3/2010,29.9,34.27278,-78.71472,35.75,20.75,8.25,280,15:30:00,2010,Columbus
4,1/7/2010,29.9,34.27278,-78.71472,47.75,24.25,5.75,235,15:30:00,2010,Columbus
5,1/8/2010,29.9,34.27278,-78.71472,37.5,27.5,6.75,303.3333333,15:30:00,2010,Columbus
6,1/9/2010,29.9,34.27278,-78.71472,35.75,33.25,2.75,242.5,15:30:00,2010,Columbus
7,1/10/2010,29.9,34.27278,-78.71472,38.25,27.5,5.75,332.5,15:30:00,2010,Columbus
8,1/11/2010,29.9,34.27278,-78.71472,46,19,8.75,205,15:30:00,2010,Columbus
9,1/12/2010,29.9,34.27278,-78.71472,43.75,40.75,5.5,332.5,15:30:00,2010,Columbus
10,1/13/2010,29.9,34.27278,-78.71472,45,30.5,1.25,65,15:30:00,2010,Columbus
11,1/14/2010,29.9,34.27278,-78.71472,52.75,33,2.75,92.5,15:30:00,2010,Columbus
12,1/15/2010,29.9,34.27278,-78.71472,62.75,26.75,2.25,192.5,15:30:00,2010,Columbus
13,1/16/2010,29.9,34.27278,-78.71472,62.75,38.5,1.5,25,15:30:00,2010,Columbus
14,1/17/2010,29.9,34.27278,-78.71472,70.5,60,8.25,210,15:30:00,2010,Columbus
15,1/18/2010,29.9,34.27278,-78.71472,63,45.25,2.75,240,15:30:00,2010,Columbus
16,1/19/2010,29.9,34.27278,-78.71472,67.75,32,3.25,157.5,15:30:00,2010,Columbus
17,1/20/2010,29.9,34.27278,-78.71472,69.25,45.5,5.75,222.5,15:30:00,2010,Columbus
18,1/21/2010,29.9,34.27278,-78.71472,45,99,10.25,55,15:30:00,2010,Columbus
19,1/22/2010,29.9,34.27278,-78.71472,43.75,96.25,4.25,252.5,15:30:00,2010,Columbus
20,1/23/2010,29.9,34.27278,-78.71472,54,42.5,9,62.5,15:30:00,2010,Columbus
21,1/24/2010,29.9,34.27278,-78.71472,64,89,11,145,15:30:00,2010,Columbus
22,1/25/2010,29.9,34.27278,-78.71472,64.25,43.25,13.25,226.6666667,15:30:00,2010,Columbus
23,1/26/2010,29.9,34.27278,-78.71472,53,29.5,11,NA,15:30:00,2010,Columbus
24,1/27/2010,29.9,34.27278,-78.71472,50.75,34.75,4.5,195,15:30:00,2010,Columbus
25,1/28/2010,29.9,34.27278,-78.71472,62.25,26.5,7,227.5,15:30:00,2010,Columbus
26,1/29/2010,29.9,34.27278,-78.71472,48.5,40.25,6.25,105,15:30:00,2010,Columbus
27,1/30/2010,29.9,34.27278,-78.71472,31,96.75,6.5,360,15:30:00,2010,Columbus
28,1/31/2010,29.9,34.27278,-78.71472,36,59.5,4.25,277.5,15:30:00,2010,Columbus
29,2/1/2010,29.9,34.27278,-78.71472,51,23.75,3,65,15:30:00,2010,Columbus
30,2/2/2010,29.9,34.27278,-78.71472,51,98.75,9,77.5,15:30:00,2010,Columbus
31,2/3/2010,29.9,34.27278,-78.71472,54,47.5,3.25,252.5,15:30:00,2010,Columbus
32,2/4/2010,29.9,34.27278,-78.71472,45,57.75,1.5,15,15:30:00,2010,Columbus
