"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,5.8,35.0677,-77.048,45,91.5,5.5,335,"15:44:00",2010,"Craven"
"2",2010-01-02,5.8,35.0677,-77.048,34,35,18,300,"15:44:00",2010,"Craven"
"3",2010-01-03,5.8,35.0677,-77.048,33,30,13,300,"15:44:00",2010,"Craven"
"4",2010-01-04,5.8,35.0677,-77.048,36,39,10,280,"15:44:00",2010,"Craven"
"5",2010-01-05,5.8,35.0677,-77.048,35,42,13,310,"15:44:00",2010,"Craven"
"6",2010-01-06,5.8,35.0677,-77.048,40,41,9,300,"15:44:00",2010,"Craven"
"7",2010-01-07,5.8,35.0677,-77.048,45,33,7,250,"15:44:00",2010,"Craven"
"8",2010-01-08,5.8,35.0677,-77.048,35,35,13,300,"15:44:00",2010,"Craven"
"9",2010-01-09,5.8,35.0677,-77.048,34,44,8,340,"15:44:00",2010,"Craven"
"10",2010-01-10,5.8,35.0677,-77.048,35,31,14,340,"15:44:00",2010,"Craven"
"11",2010-01-11,5.8,35.0677,-77.048,45,17,6,220,"15:44:00",2010,"Craven"
"12",2010-01-12,5.8,35.0677,-77.048,41,47,13,340,"15:44:00",2010,"Craven"
"13",2010-01-13,5.8,35.0677,-77.048,43,32,5,10,"15:44:00",2010,"Craven"
"14",2010-01-14,5.8,35.0677,-77.048,51,33,3,260,"15:44:00",2010,"Craven"
"15",2010-01-15,5.8,35.0677,-77.048,60,25,6,270,"15:44:00",2010,"Craven"
"16",2010-01-16,5.8,35.0677,-77.048,61,25,0,0,"15:44:00",2010,"Craven"
"17",2010-01-17,5.8,35.0677,-77.048,65,81,13,190,"15:44:00",2010,"Craven"
"18",2010-01-18,5.8,35.0677,-77.048,58,53,6,340,"15:44:00",2010,"Craven"
"19",2010-01-19,5.8,35.0677,-77.048,65,51,6,230,"15:44:00",2010,"Craven"
"20",2010-01-20,5.8,35.0677,-77.048,69,36,3,230,"15:44:00",2010,"Craven"
"21",2010-01-21,5.8,35.0677,-77.048,44.6666666666667,94,8.66666666666667,43.3333333333333,"15:44:00",2010,"Craven"
"22",2010-01-22,5.8,35.0677,-77.048,44,96,9,350,"15:44:00",2010,"Craven"
"23",2010-01-23,5.8,35.0677,-77.048,48,66,10,40,"15:44:00",2010,"Craven"
"24",2010-01-24,5.8,35.0677,-77.048,66,68,13,170,"15:44:00",2010,"Craven"
"25",2010-01-25,5.8,35.0677,-77.048,63,56,13,230,"15:44:00",2010,"Craven"
"26",2010-01-26,5.8,35.0677,-77.048,51,36,14,250,"15:44:00",2010,"Craven"
"27",2010-01-27,5.8,35.0677,-77.048,48,42,5,280,"15:44:00",2010,"Craven"
"28",2010-01-28,5.8,35.0677,-77.048,60,32,8,250,"15:44:00",2010,"Craven"
"29",2010-01-29,5.8,35.0677,-77.048,40,49,13,30,"15:44:00",2010,"Craven"
"30",2010-01-30,5.8,35.0677,-77.048,34,97,11,340,"15:44:00",2010,"Craven"
"31",2010-01-31,5.8,35.0677,-77.048,34,56,8,360,"15:44:00",2010,"Craven"
"32",2010-02-01,5.8,35.0677,-77.048,47,36,3,20,"15:44:00",2010,"Craven"
"33",2010-02-02,5.8,35.0677,-77.048,45,96.6666666666667,7,63.3333333333333,"15:44:00",2010,"Craven"
"34",2010-02-03,5.8,35.0677,-77.048,49,56,9,350,"15:44:00",2010,"Craven"
"35",2010-02-04,5.8,35.0677,-77.048,44,49,7,20,"15:44:00",2010,"Craven"
"36",2010-02-05,5.8,35.0677,-77.048,46,96,13,100,"15:44:00",2010,"Craven"
"37",2010-02-06,5.8,35.0677,-77.048,38,79,16,320,"15:44:00",2010,"Craven"
"38",2010-02-07,5.8,35.0677,-77.048,42,35,9,340,"15:44:00",2010,"Craven"
"39",2010-02-08,5.8,35.0677,-77.048,46,40,6,360,"15:44:00",2010,"Craven"
"40",2010-02-09,5.8,35.0677,-77.048,45,74,9,100,"15:44:00",2010,"Craven"
"41",2010-02-11,5.8,35.0677,-77.048,47,39,8,320,"15:44:00",2010,"Craven"
"42",2010-02-12,5.8,35.0677,-77.048,40,53,5,110,"15:44:00",2010,"Craven"
"43",2010-02-13,5.8,35.0677,-77.048,34,74.3333333333333,9.66666666666667,300,"15:44:00",2010,"Craven"
"44",2010-02-14,5.8,35.0677,-77.048,41,41,8,270,"15:44:00",2010,"Craven"
"45",2010-02-15,5.8,35.0677,-77.048,56,47,9,210,"15:44:00",2010,"Craven"
"46",2010-02-16,5.8,35.0677,-77.048,44,35,17,270,"15:44:00",2010,"Craven"
"47",2010-02-17,5.8,35.0677,-77.048,43,37,15,300,"15:44:00",2010,"Craven"
