"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,56.7,34.99139,-78.88028,50,54,10,320,"15:53:00",2010,"Cumberland"
"2",2010-01-02,56.7,34.99139,-78.88028,35,27,18,290,"15:53:00",2010,"Cumberland"
"3",2010-01-03,56.7,34.99139,-78.88028,35,23,14,290,"15:53:00",2010,"Cumberland"
"4",2010-01-04,56.7,34.99139,-78.88028,38,31,9,320,"15:53:00",2010,"Cumberland"
"5",2010-01-05,56.7,34.99139,-78.88028,38,34,15,280,"15:53:00",2010,"Cumberland"
"6",2010-01-06,56.7,34.99139,-78.88028,42,33,10,300,"15:53:00",2010,"Cumberland"
"7",2010-01-07,56.7,34.99139,-78.88028,47,26,5,230,"15:53:00",2010,"Cumberland"
"8",2010-01-08,56.7,34.99139,-78.88028,34,29,14,320,"15:53:00",2010,"Cumberland"
"9",2010-01-09,56.7,34.99139,-78.88028,38,30,8,320,"15:53:00",2010,"Cumberland"
"10",2010-01-10,56.7,34.99139,-78.88028,39,28,11,310,"15:53:00",2010,"Cumberland"
"11",2010-01-11,56.7,34.99139,-78.88028,46,23,10,220,"15:53:00",2010,"Cumberland"
"12",2010-01-12,56.7,34.99139,-78.88028,41,43,10,320,"15:53:00",2010,"Cumberland"
"13",2010-01-13,56.7,34.99139,-78.88028,46,30,7,190,"15:53:00",2010,"Cumberland"
"14",2010-01-14,56.7,34.99139,-78.88028,51,36,6,180,"15:53:00",2010,"Cumberland"
"15",2010-01-15,56.7,34.99139,-78.88028,62,22,7,220,"15:53:00",2010,"Cumberland"
"16",2010-01-16,56.7,34.99139,-78.88028,62,31,0,0,"15:53:00",2010,"Cumberland"
"17",2010-01-17,56.7,34.99139,-78.88028,67,66,9,230,"15:53:00",2010,"Cumberland"
"18",2010-01-18,56.7,34.99139,-78.88028,64,41,0,0,"15:53:00",2010,"Cumberland"
"19",2010-01-19,56.7,34.99139,-78.88028,66,37,8,230,"15:53:00",2010,"Cumberland"
"20",2010-01-20,56.7,34.99139,-78.88028,68,45,9,220,"15:53:00",2010,"Cumberland"
"21",2010-01-21,56.7,34.99139,-78.88028,42.5,88,9.5,45,"15:53:00",2010,"Cumberland"
"22",2010-01-22,56.7,34.99139,-78.88028,43,82,9,10,"15:53:00",2010,"Cumberland"
"23",2010-01-23,56.7,34.99139,-78.88028,52,47,7,70,"15:53:00",2010,"Cumberland"
"24",2010-01-24,56.7,34.99139,-78.88028,64,84,15,170,"15:53:00",2010,"Cumberland"
