"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,4.9,36.39889,-76.01639,43,80.5,6.5,337.5,"15:30:00",2010,"Currituck"
"2",2010-01-02,4.9,36.39889,-76.01639,32,34.5,15.75,300,"15:30:00",2010,"Currituck"
"3",2010-01-03,4.9,36.39889,-76.01639,33,30.25,15.75,267.5,"15:30:00",2010,"Currituck"
"4",2010-01-04,4.9,36.39889,-76.01639,37.25,36.75,9.25,273.333333333333,"15:30:00",2010,"Currituck"
"5",2010-01-05,4.9,36.39889,-76.01639,35.75,39.5,9,280,"15:30:00",2010,"Currituck"
"6",2010-01-06,4.9,36.39889,-76.01639,41.25,37.25,9.75,285,"15:30:00",2010,"Currituck"
"7",2010-01-07,4.9,36.39889,-76.01639,40.25,49,6.5,215,"15:30:00",2010,"Currituck"
"8",2010-01-08,4.9,36.39889,-76.01639,36,34.75,10.5,295,"15:30:00",2010,"Currituck"
"9",2010-01-09,4.9,36.39889,-76.01639,34.75,49.75,8,337.5,"15:30:00",2010,"Currituck"
"10",2010-01-10,4.9,36.39889,-76.01639,32.5,31.75,12.25,345,"15:30:00",2010,"Currituck"
"11",2010-01-11,4.9,36.39889,-76.01639,40.75,27.25,7,207.5,"15:30:00",2010,"Currituck"
"12",2010-01-12,4.9,36.39889,-76.01639,37.25,45.75,8,327.5,"15:30:00",2010,"Currituck"
"13",2010-01-13,4.9,36.39889,-76.01639,44.25,33,5,237.5,"15:30:00",2010,"Currituck"
"14",2010-01-14,4.9,36.39889,-76.01639,51.25,31.75,5.25,215,"15:30:00",2010,"Currituck"
"15",2010-01-15,4.9,36.39889,-76.01639,58.5,26,6.75,237.5,"15:30:00",2010,"Currituck"
"16",2010-01-16,4.9,36.39889,-76.01639,51,60.25,0.75,25,"15:30:00",2010,"Currituck"
"17",2010-01-17,4.9,36.39889,-76.01639,66.5,84.25,6.25,152.5,"15:30:00",2010,"Currituck"
"18",2010-01-18,4.9,36.39889,-76.01639,55,56.5,7.75,342.5,"15:30:00",2010,"Currituck"
"19",2010-01-19,4.9,36.39889,-76.01639,63.75,42.75,12,237.5,"15:30:00",2010,"Currituck"
"20",2010-01-20,4.9,36.39889,-76.01639,43.75,63,8,37.5,"15:30:00",2010,"Currituck"
"21",2010-01-21,4.9,36.39889,-76.01639,45,80.5,9.75,47.5,"15:30:00",2010,"Currituck"
"22",2010-01-22,4.9,36.39889,-76.01639,44,83.25,18.5,10,"15:30:00",2010,"Currituck"
"23",2010-01-23,4.9,36.39889,-76.01639,43,74.25,9.75,20,"15:30:00",2010,"Currituck"
"24",2010-01-24,4.9,36.39889,-76.01639,62.75,70.5,7.5,156.666666666667,"15:30:00",2010,"Currituck"
"25",2010-01-25,4.9,36.39889,-76.01639,63,57.75,12,215,"15:30:00",2010,"Currituck"
"26",2010-01-26,4.9,36.39889,-76.01639,51.75,36.75,12.25,240,"15:30:00",2010,"Currituck"
"27",2010-01-27,4.9,36.39889,-76.01639,47,41.5,7.25,252.5,"15:30:00",2010,"Currituck"
"28",2010-01-28,4.9,36.39889,-76.01639,59,34.5,13.5,235,"15:30:00",2010,"Currituck"
"29",2010-01-29,4.9,36.39889,-76.01639,32,48,8.5,20,"15:30:00",2010,"Currituck"
"30",2010-01-30,4.9,36.39889,-76.01639,33.75,97,20.5,100,"15:30:00",2010,"Currituck"
"31",2010-01-31,4.9,36.39889,-76.01639,32,43.5,6.75,265,"15:30:00",2010,"Currituck"
"32",2010-02-01,4.9,36.39889,-76.01639,40.5,49.25,4,55,"15:30:00",2010,"Currituck"
"33",2010-02-02,4.9,36.39889,-76.01639,42.25,94.75,4,87.5,"15:30:00",2010,"Currituck"
"34",2010-02-03,4.9,36.39889,-76.01639,44.25,67.25,6.25,340,"15:30:00",2010,"Currituck"
"35",2010-02-04,4.9,36.39889,-76.01639,39.25,56.25,7.75,112.5,"15:30:00",2010,"Currituck"
"36",2010-02-05,4.9,36.39889,-76.01639,40,90.5,10.75,70,"15:30:00",2010,"Currituck"
"37",2010-02-06,4.9,36.39889,-76.01639,33,93.25,17.25,325,"15:30:00",2010,"Currituck"
"38",2010-02-07,4.9,36.39889,-76.01639,37.5,56.75,6.25,330,"15:30:00",2010,"Currituck"
"39",2010-02-08,4.9,36.39889,-76.01639,39.75,35.5,6,272.5,"15:30:00",2010,"Currituck"
"40",2010-02-09,4.9,36.39889,-76.01639,40,67.75,7,92.5,"15:30:00",2010,"Currituck"
"41",2010-02-10,4.9,36.39889,-76.01639,34.5,40.5,20.25,273.333333333333,"15:30:00",2010,"Currituck"
"42",2010-02-11,4.9,36.39889,-76.01639,48,34.5,10.75,295,"15:30:00",2010,"Currituck"
"43",2010-02-12,4.9,36.39889,-76.01639,36,64.25,6.25,60,"15:30:00",2010,"Currituck"
"44",2010-02-13,4.9,36.39889,-76.01639,33,75.5,8.5,290,"15:30:00",2010,"Currituck"
"45",2010-02-14,4.9,36.39889,-76.01639,42,42.75,10.75,242.5,"15:30:00",2010,"Currituck"
"46",2010-02-15,4.9,36.39889,-76.01639,56.25,48,7,195,"15:30:00",2010,"Currituck"
"47",2010-02-16,4.9,36.39889,-76.01639,42,31.5,17.25,260,"15:30:00",2010,"Currituck"
"48",2010-02-17,4.9,36.39889,-76.01639,41.75,36.5,9.25,272.5,"15:30:00",2010,"Currituck"
"49",2010-02-18,4.9,36.39889,-76.01639,51,33,10.75,280,"15:30:00",2010,"Currituck"
"50",2010-02-19,4.9,36.39889,-76.01639,53.25,29.25,10,296.666666666667,"15:30:00",2010,"Currituck"
"51",2010-02-20,4.9,36.39889,-76.01639,50.5,32.5,5.25,112.5,"15:30:00",2010,"Currituck"
"52",2010-02-21,4.9,36.39889,-76.01639,58.25,30.75,6,177.5,"15:30:00",2010,"Currituck"
"53",2010-02-22,4.9,36.39889,-76.01639,53,89,0,0,"15:30:00",2010,"Currituck"
"54",2010-02-23,4.9,36.39889,-76.01639,48,78.75,9.25,296.666666666667,"15:30:00",2010,"Currituck"
"55",2010-02-24,4.9,36.39889,-76.01639,41,87.75,4.5,55,"15:30:00",2010,"Currituck"
"56",2010-02-25,4.9,36.39889,-76.01639,43.75,46.5,12.5,272.5,"15:30:00",2010,"Currituck"
"57",2010-02-26,4.9,36.39889,-76.01639,48,33,19,247.5,"15:30:00",2010,"Currituck"
"58",2010-02-27,4.9,36.39889,-76.01639,47,39.25,8.25,255,"15:30:00",2010,"Currituck"
"59",2010-02-28,4.9,36.39889,-76.01639,49.25,33.25,12,286.666666666667,"15:30:00",2010,"Currituck"
"60",2010-03-01,4.9,36.39889,-76.01639,54.75,32.5,10.5,273.333333333333,"15:30:00",2010,"Currituck"
