"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,4,35.9173,-75.7,43,87,9.66666666666667,343.333333333333,"15:37:00",2010,"Dare"
"2",2010-01-02,4,35.9173,-75.7,34,35,17,306.666666666667,"15:37:00",2010,"Dare"
"3",2010-01-03,4,35.9173,-75.7,33,36,16.6666666666667,280,"15:37:00",2010,"Dare"
"4",2010-01-04,4,35.9173,-75.7,36,39.5,7.66666666666667,286.666666666667,"15:37:00",2010,"Dare"
"5",2010-01-05,4,35.9173,-75.7,36,42.5,9.66666666666667,290,"15:37:00",2010,"Dare"
"6",2010-01-06,4,35.9173,-75.7,39,43.5,8,286.666666666667,"15:37:00",2010,"Dare"
"7",2010-01-07,4,35.9173,-75.7,37,60,7,146.666666666667,"15:37:00",2010,"Dare"
"8",2010-01-08,4,35.9173,-75.7,36,44,11,296.666666666667,"15:37:00",2010,"Dare"
"9",2010-01-09,4,35.9173,-75.7,33,58,9.33333333333333,350,"15:37:00",2010,"Dare"
"10",2010-01-10,4,35.9173,-75.7,31,59.5,14.6666666666667,340,"15:37:00",2010,"Dare"
"11",2010-01-11,4,35.9173,-75.7,37,60,8.66666666666667,156.666666666667,"15:37:00",2010,"Dare"
"12",2010-01-12,4,35.9173,-75.7,36.5,54,8,340,"15:37:00",2010,"Dare"
"13",2010-01-13,4,35.9173,-75.7,39,45,1,100,"15:37:00",2010,"Dare"
"14",2010-01-14,4,35.9173,-75.7,46,46,8,156.666666666667,"15:37:00",2010,"Dare"
"15",2010-01-15,4,35.9173,-75.7,55,33,4.33333333333333,170,"15:37:00",2010,"Dare"
"16",2010-01-16,4,35.9173,-75.7,50,54,1.66666666666667,66.6666666666667,"15:37:00",2010,"Dare"
"17",2010-01-17,4,35.9173,-75.7,54.5,94,9,183.333333333333,"15:37:00",2010,"Dare"
"18",2010-01-18,4,35.9173,-75.7,52,62,6.33333333333333,333.333333333333,"15:37:00",2010,"Dare"
"19",2010-01-19,4,35.9173,-75.7,59,59,8,223.333333333333,"15:37:00",2010,"Dare"
"20",2010-01-20,4,35.9173,-75.7,45,76,11.6666666666667,16.6666666666667,"15:37:00",2010,"Dare"
"21",2010-01-21,4,35.9173,-75.7,46,87,14.6666666666667,50,"15:37:00",2010,"Dare"
"22",2010-01-22,4,35.9173,-75.7,43,87,17,360,"15:37:00",2010,"Dare"
"23",2010-01-23,4,35.9173,-75.7,45,76,11.3333333333333,243.333333333333,"15:37:00",2010,"Dare"
"24",2010-01-24,4,35.9173,-75.7,59,77,14.6666666666667,163.333333333333,"15:37:00",2010,"Dare"
"25",2010-01-25,4,35.9173,-75.7,57,72,14.6666666666667,200,"15:37:00",2010,"Dare"
"26",2010-01-26,4,35.9173,-75.7,52,44,8,270,"15:37:00",2010,"Dare"
"27",2010-01-27,4,35.9173,-75.7,45.5,44.5,6,310,"15:37:00",2010,"Dare"
"28",2010-01-28,4,35.9173,-75.7,55,44,12,206.666666666667,"15:37:00",2010,"Dare"
"29",2010-01-29,4,35.9173,-75.7,32,60,14,13.3333333333333,"15:37:00",2010,"Dare"
"30",2010-01-30,4,35.9173,-75.7,39,100,22.6666666666667,23.3333333333333,"15:37:00",2010,"Dare"
