"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2013-01-01,16.2,35.937,-77.547,49,84.5,1.25,85,"15:27:30",2013,"Edgecombe"
"2",2013-01-02,16.2,35.937,-77.547,43,82.5,1.5,162.5,"15:27:30",2013,"Edgecombe"
"3",2013-01-03,16.2,35.937,-77.547,43,57,3.5,337.5,"15:27:30",2013,"Edgecombe"
"4",2013-01-04,16.2,35.937,-77.547,50,35,10,275,"15:27:30",2013,"Edgecombe"
"5",2013-01-05,16.2,35.937,-77.547,50,35,2,52.5,"15:27:30",2013,"Edgecombe"
"6",2013-01-06,16.2,35.937,-77.547,47.5,68.5,6.5,210,"15:27:30",2013,"Edgecombe"
"7",2013-01-07,16.2,35.937,-77.547,52,44,2,97.5,"15:27:30",2013,"Edgecombe"
"8",2013-01-08,16.2,35.937,-77.547,54.5,61,2.25,235,"15:27:30",2013,"Edgecombe"
"9",2013-01-09,16.2,35.937,-77.547,68.5,49.25,4,175,"15:27:30",2013,"Edgecombe"
"10",2013-01-10,16.2,35.937,-77.547,64,26,6.25,52.5,"15:27:30",2013,"Edgecombe"
"11",2013-01-11,16.2,35.937,-77.547,55,94,0,0,"15:27:30",2013,"Edgecombe"
"12",2013-01-12,16.2,35.937,-77.547,61,88,0,0,"15:27:30",2013,"Edgecombe"
"13",2013-01-13,16.2,35.937,-77.547,73,65,5,155,"15:27:30",2013,"Edgecombe"
"14",2013-01-14,16.2,35.937,-77.547,76,55.5,5,197.5,"15:27:30",2013,"Edgecombe"
"15",2013-01-15,16.2,35.937,-77.547,47,90,7,42.5,"15:27:30",2013,"Edgecombe"
"16",2013-01-16,16.2,35.937,-77.547,46.5,91.5,0,0,"15:27:30",2013,"Edgecombe"
"17",2013-01-17,16.2,35.937,-77.547,47,91.75,12.25,52.5,"15:27:30",2013,"Edgecombe"
"18",2013-01-18,16.2,35.937,-77.547,47.5,40.75,7.5,107.5,"15:27:30",2013,"Edgecombe"
"19",2013-01-19,16.2,35.937,-77.547,55,30.25,6.75,220,"15:27:30",2013,"Edgecombe"
"20",2013-01-20,16.2,35.937,-77.547,65,27,12,265,"15:27:30",2013,"Edgecombe"
"21",2013-01-21,16.2,35.937,-77.547,61,28,9.5,225,"15:27:30",2013,"Edgecombe"
"22",2013-01-22,16.2,35.937,-77.547,37.5,14.75,14.25,292.5,"15:27:30",2013,"Edgecombe"
"23",2013-01-23,16.2,35.937,-77.547,37,27,7.75,250,"15:27:30",2013,"Edgecombe"
"24",2013-01-24,16.2,35.937,-77.547,33,29,13.5,267.5,"15:27:30",2013,"Edgecombe"
"25",2013-01-25,16.2,35.937,-77.547,27,86,1.5,62.5,"15:27:30",2013,"Edgecombe"
"26",2013-01-26,16.2,35.937,-77.547,32,93,0,0,"15:27:30",2013,"Edgecombe"
"27",2013-01-27,16.2,35.937,-77.547,39,56,0.75,10,"15:27:30",2013,"Edgecombe"
"28",2013-01-28,16.2,35.937,-77.547,51.5,64.5,6.25,215,"15:27:30",2013,"Edgecombe"
"29",2013-01-29,16.2,35.937,-77.547,73,50.75,7.75,215,"15:27:30",2013,"Edgecombe"
"30",2013-01-30,16.2,35.937,-77.547,74,63,15.5,177.5,"15:27:30",2013,"Edgecombe"
"31",2013-01-31,16.2,35.937,-77.547,53,28.5,15.25,265,"15:27:30",2013,"Edgecombe"
"32",2013-02-01,16.2,35.937,-77.547,39,22.5,17,297.5,"15:27:30",2013,"Edgecombe"
"33",2013-02-02,16.2,35.937,-77.547,44,22,7.5,195,"15:27:30",2013,"Edgecombe"
"34",2013-02-03,16.2,35.937,-77.547,49,36,11.5,275,"15:27:30",2013,"Edgecombe"
"35",2013-02-04,16.2,35.937,-77.547,46,37,6.25,225,"15:27:30",2013,"Edgecombe"
"36",2013-02-05,16.2,35.937,-77.547,61,31.75,10.5,227.5,"15:27:30",2013,"Edgecombe"
"37",2013-02-06,16.2,35.937,-77.547,63,24.5,8,322.5,"15:27:30",2013,"Edgecombe"
