"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,112.5,36.02333,-78.33028,47,65.5,0.75,77.5,"15:30:00",2010,"Franklin"
"2",2010-01-02,112.5,36.02333,-78.33028,32,29.6666666666667,12.3333333333333,320,"15:30:00",2010,"Franklin"
"3",2010-01-03,112.5,36.02333,-78.33028,33.3333333333333,28.3333333333333,10.6666666666667,280,"15:30:00",2010,"Franklin"
"4",2010-01-04,112.5,36.02333,-78.33028,36,36,4.75,217.5,"15:30:00",2010,"Franklin"
"5",2010-01-05,112.5,36.02333,-78.33028,35.75,37.75,7.25,296.666666666667,"15:30:00",2010,"Franklin"
"6",2010-01-06,112.5,36.02333,-78.33028,41.5,37.25,6.25,300,"15:30:00",2010,"Franklin"
"7",2010-01-07,112.5,36.02333,-78.33028,45,32.5,4.25,242.5,"15:30:00",2010,"Franklin"
"8",2010-01-08,112.5,36.02333,-78.33028,31,33.75,10.25,NA,"15:30:00",2010,"Franklin"
"9",2010-01-09,112.5,36.02333,-78.33028,38,34.75,4.5,320,"15:30:00",2010,"Franklin"
"10",2010-01-10,112.5,36.02333,-78.33028,36,29,5,335,"15:30:00",2010,"Franklin"
"11",2010-01-11,112.5,36.02333,-78.33028,44.25,23.5,6.5,217.5,"15:30:00",2010,"Franklin"
"12",2010-01-12,112.5,36.02333,-78.33028,38,51,4.5,320,"15:30:00",2010,"Franklin"
"13",2010-01-13,112.5,36.02333,-78.33028,46.75,30.25,2.5,90,"15:30:00",2010,"Franklin"
"14",2010-01-14,112.5,36.02333,-78.33028,54.5,30.5,6.5,192.5,"15:30:00",2010,"Franklin"
"15",2010-01-15,112.5,36.02333,-78.33028,62,27.25,3.75,192.5,"15:30:00",2010,"Franklin"
"16",2010-01-16,112.5,36.02333,-78.33028,60.25,31,3.5,170,"15:30:00",2010,"Franklin"
"17",2010-01-17,112.5,36.02333,-78.33028,59.5,92.5,4.25,270,"15:30:00",2010,"Franklin"
"18",2010-01-18,112.5,36.02333,-78.33028,61,47,3.25,235,"15:30:00",2010,"Franklin"
"19",2010-01-19,112.5,36.02333,-78.33028,65.75,37.5,3.5,182.5,"15:30:00",2010,"Franklin"
"20",2010-01-20,112.5,36.02333,-78.33028,62.25,53.5,6.5,52.5,"15:30:00",2010,"Franklin"
"21",2010-01-21,112.5,36.02333,-78.33028,38.25,92.75,5.75,22.5,"15:30:00",2010,"Franklin"
"22",2010-01-22,112.5,36.02333,-78.33028,39.6666666666667,95,8.33333333333333,185,"15:30:00",2010,"Franklin"
"23",2010-01-23,112.5,36.02333,-78.33028,51,49.5,5.75,80,"15:30:00",2010,"Franklin"
"24",2010-01-24,112.5,36.02333,-78.33028,65,69.5,12,160,"15:30:00",2010,"Franklin"
"25",2010-01-25,112.5,36.02333,-78.33028,64.75,39,10.25,230,"15:30:00",2010,"Franklin"
"26",2010-01-26,112.5,36.02333,-78.33028,50.25,33.75,5.75,190,"15:30:00",2010,"Franklin"
"27",2010-01-27,112.5,36.02333,-78.33028,49.25,36,5,192.5,"15:30:00",2010,"Franklin"
"28",2010-01-28,112.5,36.02333,-78.33028,61.5,31.5,8.5,260,"15:30:00",2010,"Franklin"
"29",2010-01-29,112.5,36.02333,-78.33028,37.25,38,6,22.5,"15:30:00",2010,"Franklin"
"30",2010-01-30,112.5,36.02333,-78.33028,22.75,88,13,185,"15:30:00",2010,"Franklin"
"31",2010-01-31,112.5,36.02333,-78.33028,35.75,36.25,2.75,242.5,"15:30:00",2010,"Franklin"
"32",2010-02-01,112.5,36.02333,-78.33028,46.5,27.5,0.75,32.5,"15:30:00",2010,"Franklin"
"33",2010-02-02,112.5,36.02333,-78.33028,37.25,89.5,6.75,52.5,"15:30:00",2010,"Franklin"
"34",2010-02-03,112.5,36.02333,-78.33028,50.75,48.25,4.25,310,"15:30:00",2010,"Franklin"
"35",2010-02-04,112.5,36.02333,-78.33028,44,51.25,0,0,"15:30:00",2010,"Franklin"
"36",2010-02-05,112.5,36.02333,-78.33028,37.75,96.25,11,70,"15:30:00",2010,"Franklin"
"37",2010-02-06,112.5,36.02333,-78.33028,35,81.25,4.75,230,"15:30:00",2010,"Franklin"
"38",2010-02-07,112.5,36.02333,-78.33028,41,32.25,4,177.5,"15:30:00",2010,"Franklin"
"39",2010-02-08,112.5,36.02333,-78.33028,44.75,41.75,1.5,152.5,"15:30:00",2010,"Franklin"
"40",2010-02-09,112.5,36.02333,-78.33028,38.6666666666667,87.6666666666667,4,143.333333333333,"15:30:00",2010,"Franklin"
"41",2010-02-10,112.5,36.02333,-78.33028,38.25,32,16,NA,"15:30:00",2010,"Franklin"
