"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,242.9,35.19667,-81.15583,49,36,8,330,"15:54:00",2010,"Gaston"
"2",2010-01-02,242.9,35.19667,-81.15583,32,29,8,NA,"15:54:00",2010,"Gaston"
"3",2010-01-03,242.9,35.19667,-81.15583,32,26,5,NA,"15:54:00",2010,"Gaston"
"4",2010-01-04,242.9,35.19667,-81.15583,37,30,7,NA,"15:54:00",2010,"Gaston"
"5",2010-01-05,242.9,35.19667,-81.15583,37,34,7,NA,"15:54:00",2010,"Gaston"
"6",2010-01-06,242.9,35.19667,-81.15583,41,33,8,NA,"15:54:00",2010,"Gaston"
"7",2010-01-07,242.9,35.19667,-81.15583,45,25,3,NA,"15:54:00",2010,"Gaston"
"8",2010-01-08,242.9,35.19667,-81.15583,29,33,7,NA,"15:54:00",2010,"Gaston"
"9",2010-01-09,242.9,35.19667,-81.15583,36,28,0,0,"15:54:00",2010,"Gaston"
"10",2010-01-10,242.9,35.19667,-81.15583,38,26,6,NA,"15:54:00",2010,"Gaston"
"11",2010-01-11,242.9,35.19667,-81.15583,43,27,6,NA,"15:54:00",2010,"Gaston"
"12",2010-01-12,242.9,35.19667,-81.15583,42,38,7,10,"15:54:00",2010,"Gaston"
"13",2010-01-13,242.9,35.19667,-81.15583,46,34,0,0,"15:54:00",2010,"Gaston"
"14",2010-01-14,242.9,35.19667,-81.15583,52,28,0,0,"15:54:00",2010,"Gaston"
"15",2010-01-15,242.9,35.19667,-81.15583,60,19,3,170,"15:54:00",2010,"Gaston"
"16",2010-01-16,242.9,35.19667,-81.15583,55,34,0,0,"15:54:00",2010,"Gaston"
"17",2010-01-17,242.9,35.19667,-81.15583,55.5,86,4.5,240,"15:54:00",2010,"Gaston"
"18",2010-01-18,242.9,35.19667,-81.15583,NA,NA,NA,NA,"15:54:00",2010,"Gaston"
"19",2010-01-19,242.9,35.19667,-81.15583,64,33,6,240,"15:54:00",2010,"Gaston"
"20",2010-01-20,242.9,35.19667,-81.15583,69,41,9,NA,"15:54:00",2010,"Gaston"
"21",2010-01-22,242.9,35.19667,-81.15583,44,79,3,280,"15:54:00",2010,"Gaston"
"22",2010-01-23,242.9,35.19667,-81.15583,46.5,64.5,4,60,"15:54:00",2010,"Gaston"
"23",2010-01-24,242.9,35.19667,-81.15583,56,97.4,6.4,130,"15:54:00",2010,"Gaston"
"24",2010-01-25,242.9,35.19667,-81.15583,54,34,18,240,"15:54:00",2010,"Gaston"
"25",2010-01-26,242.9,35.19667,-81.15583,46,37,8,260,"15:54:00",2010,"Gaston"
"26",2010-01-27,242.9,35.19667,-81.15583,48,36,5,NA,"15:54:00",2010,"Gaston"
"27",2010-01-28,242.9,35.19667,-81.15583,62,30,6,NA,"15:54:00",2010,"Gaston"
"28",2010-01-29,242.9,35.19667,-81.15583,36.3333333333333,65.6666666666667,8.66666666666667,20,"15:54:00",2010,"Gaston"
"29",2010-01-30,242.9,35.19667,-81.15583,25,80.5,16,40,"15:54:00",2010,"Gaston"
"30",2010-01-31,242.9,35.19667,-81.15583,42,30,0,0,"15:54:00",2010,"Gaston"
"31",2010-02-01,242.9,35.19667,-81.15583,48,34,3,130,"15:54:00",2010,"Gaston"
"32",2010-02-02,242.9,35.19667,-81.15583,37,93,8,353.333333333333,"15:54:00",2010,"Gaston"
"33",2010-02-03,242.9,35.19667,-81.15583,50,54,0,0,"15:54:00",2010,"Gaston"
