"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,160.6,36.36139,-78.52889,45,57,7,296.666666666667,"15:21:00",2010,"Granville"
"2",2010-01-02,160.6,36.36139,-78.52889,28,31,10.5,295,"15:21:00",2010,"Granville"
"3",2010-01-03,160.6,36.36139,-78.52889,30,29,12.6666666666667,283.333333333333,"15:21:00",2010,"Granville"
"4",2010-01-04,160.6,36.36139,-78.52889,35,36.5,7.33333333333333,296.666666666667,"15:21:00",2010,"Granville"
"5",2010-01-05,160.6,36.36139,-78.52889,34,38,8,295,"15:21:00",2010,"Granville"
"6",2010-01-06,160.6,36.36139,-78.52889,39,39,10,320,"15:21:00",2010,"Granville"
"7",2010-01-07,160.6,36.36139,-78.52889,43,34,6,250,"15:21:00",2010,"Granville"
"8",2010-01-08,160.6,36.36139,-78.52889,28,34,13.5,290,"15:21:00",2010,"Granville"
"9",2010-01-09,160.6,36.36139,-78.52889,36,35,4.33333333333333,320,"15:21:00",2010,"Granville"
"10",2010-01-10,160.6,36.36139,-78.52889,36,26,6,233.333333333333,"15:21:00",2010,"Granville"
"11",2010-01-11,160.6,36.36139,-78.52889,42,21.5,8.66666666666667,203.333333333333,"15:21:00",2010,"Granville"
"12",2010-01-12,160.6,36.36139,-78.52889,36.5,44.5,8.33333333333333,326.666666666667,"15:21:00",2010,"Granville"
"13",2010-01-13,160.6,36.36139,-78.52889,45,30,4.66666666666667,250,"15:21:00",2010,"Granville"
"14",2010-01-14,160.6,36.36139,-78.52889,55,21,6,200,"15:21:00",2010,"Granville"
"15",2010-01-15,160.6,36.36139,-78.52889,61,25,3.33333333333333,143.333333333333,"15:21:00",2010,"Granville"
"16",2010-01-16,160.6,36.36139,-78.52889,59,31,4.75,195,"15:21:00",2010,"Granville"
"17",2010-01-17,160.6,36.36139,-78.52889,51.25,98.5,5,255,"15:21:00",2010,"Granville"
"18",2010-01-18,160.6,36.36139,-78.52889,59.5,48,5.5,272.5,"15:21:00",2010,"Granville"
"19",2010-01-19,160.6,36.36139,-78.52889,63.5,38.75,7.75,245,"15:21:00",2010,"Granville"
"20",2010-01-20,160.6,36.36139,-78.52889,52,76,7.25,40,"15:21:00",2010,"Granville"
"21",2010-01-21,160.6,36.36139,-78.52889,35.5,96.75,7.5,42.5,"15:21:00",2010,"Granville"
"22",2010-01-22,160.6,36.36139,-78.52889,37,97.5,7.75,270,"15:21:00",2010,"Granville"
"23",2010-01-23,160.6,36.36139,-78.52889,46.75,56,4.5,47.5,"15:21:00",2010,"Granville"
"24",2010-01-24,160.6,36.36139,-78.52889,60.25,79.5,8,140,"15:21:00",2010,"Granville"
