"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,271.3,36.0969,-79.9432,46,40,13,320,"15:57:00",2010,"Guilford"
"2",2010-01-02,271.3,36.0969,-79.9432,29,31,15,320,"15:57:00",2010,"Guilford"
"3",2010-01-03,271.3,36.0969,-79.9432,31,28,17,320,"15:57:00",2010,"Guilford"
"4",2010-01-04,271.3,36.0969,-79.9432,33,36,17,320,"15:57:00",2010,"Guilford"
"5",2010-01-05,271.3,36.0969,-79.9432,33,38,16,300,"15:57:00",2010,"Guilford"
"6",2010-01-06,271.3,36.0969,-79.9432,36,40,17,300,"15:57:00",2010,"Guilford"
"7",2010-01-07,271.3,36.0969,-79.9432,43,22,6,210,"15:57:00",2010,"Guilford"
"8",2010-01-08,271.3,36.0969,-79.9432,27,34,15,310,"15:57:00",2010,"Guilford"
"9",2010-01-09,271.3,36.0969,-79.9432,35,34,6,10,"15:57:00",2010,"Guilford"
"10",2010-01-10,271.3,36.0969,-79.9432,37,22,5,10,"15:57:00",2010,"Guilford"
"11",2010-01-11,271.3,36.0969,-79.9432,43,26,9,240,"15:57:00",2010,"Guilford"
"12",2010-01-12,271.3,36.0969,-79.9432,37,37,8,330,"15:57:00",2010,"Guilford"
"13",2010-01-13,271.3,36.0969,-79.9432,45,27,5,240,"15:57:00",2010,"Guilford"
"14",2010-01-14,271.3,36.0969,-79.9432,54,17,8,210,"15:57:00",2010,"Guilford"
"15",2010-01-15,271.3,36.0969,-79.9432,61,20,7,260,"15:57:00",2010,"Guilford"
"16",2010-01-16,271.3,36.0969,-79.9432,57,26,3,230,"15:57:00",2010,"Guilford"
"17",2010-01-17,271.3,36.0969,-79.9432,44,100,5,340,"15:57:00",2010,"Guilford"
"18",2010-01-18,271.3,36.0969,-79.9432,60,39,6,240,"15:57:00",2010,"Guilford"
"19",2010-01-19,271.3,36.0969,-79.9432,62,38,9,240,"15:57:00",2010,"Guilford"
"20",2010-01-20,271.3,36.0969,-79.9432,55,77,6,30,"15:57:00",2010,"Guilford"
"21",2010-01-21,271.3,36.0969,-79.9432,34,97,16,60,"15:57:00",2010,"Guilford"
"22",2010-01-22,271.3,36.0969,-79.9432,41,86,9,50,"15:57:00",2010,"Guilford"
"23",2010-01-23,271.3,36.0969,-79.9432,48,41,6,90,"15:57:00",2010,"Guilford"
"24",2010-01-24,271.3,36.0969,-79.9432,53,89,5,NA,"15:57:00",2010,"Guilford"
"25",2010-01-25,271.3,36.0969,-79.9432,59,35,22,230,"15:57:00",2010,"Guilford"
"26",2010-01-26,271.3,36.0969,-79.9432,45,39,15,280,"15:57:00",2010,"Guilford"
"27",2010-01-27,271.3,36.0969,-79.9432,46,38,10,290,"15:57:00",2010,"Guilford"
"28",2010-01-28,271.3,36.0969,-79.9432,59,27,19.5,290,"15:57:00",2010,"Guilford"
"29",2010-01-29,271.3,36.0969,-79.9432,37,34,6,80,"15:57:00",2010,"Guilford"
"30",2010-01-30,271.3,36.0969,-79.9432,19.6666666666667,82.6666666666667,14,26.6666666666667,"15:57:00",2010,"Guilford"
"31",2010-01-31,271.3,36.0969,-79.9432,37,34,0,0,"15:57:00",2010,"Guilford"
"32",2010-02-01,271.3,36.0969,-79.9432,44,30,7,170,"15:57:00",2010,"Guilford"
"33",2010-02-02,271.3,36.0969,-79.9432,34,94.8,8.2,30,"15:57:00",2010,"Guilford"
"34",2010-02-03,271.3,36.0969,-79.9432,46,50,0,0,"15:57:00",2010,"Guilford"
"35",2010-02-04,271.3,36.0969,-79.9432,41,53,3,170,"15:57:00",2010,"Guilford"
"36",2010-02-05,271.3,36.0969,-79.9432,33.3333333333333,95,11.6666666666667,46.6666666666667,"15:57:00",2010,"Guilford"
"37",2010-02-06,271.3,36.0969,-79.9432,36,70,11,30,"15:57:00",2010,"Guilford"
"38",2010-02-07,271.3,36.0969,-79.9432,42,43,0,0,"15:57:00",2010,"Guilford"
"39",2010-02-08,271.3,36.0969,-79.9432,43,49,5,NA,"15:57:00",2010,"Guilford"
"40",2010-02-09,271.3,36.0969,-79.9432,37.5,91,9,120,"15:57:00",2010,"Guilford"
"41",2010-02-10,271.3,36.0969,-79.9432,34,40,25,300,"15:57:00",2010,"Guilford"
"42",2010-02-11,271.3,36.0969,-79.9432,41,39,18,310,"15:57:00",2010,"Guilford"
"43",2010-02-12,271.3,36.0969,-79.9432,35,42,0,0,"15:57:00",2010,"Guilford"
"44",2010-02-13,271.3,36.0969,-79.9432,39,39,18,300,"15:57:00",2010,"Guilford"
"45",2010-02-14,271.3,36.0969,-79.9432,42,33,9,230,"15:57:00",2010,"Guilford"
"46",2010-02-15,271.3,36.0969,-79.9432,46,71,11,220,"15:57:00",2010,"Guilford"
"47",2010-02-16,271.3,36.0969,-79.9432,36,37,21,290,"15:57:00",2010,"Guilford"
"48",2010-02-17,271.3,36.0969,-79.9432,37,41,17,310,"15:57:00",2010,"Guilford"
"49",2010-02-18,271.3,36.0969,-79.9432,46,37,13,290,"15:57:00",2010,"Guilford"
"50",2010-02-19,271.3,36.0969,-79.9432,52,21,8,320,"15:57:00",2010,"Guilford"
"51",2010-02-20,271.3,36.0969,-79.9432,58,17,6,290,"15:57:00",2010,"Guilford"
"52",2010-02-21,271.3,36.0969,-79.9432,62,24,10,220,"15:57:00",2010,"Guilford"
"53",2010-02-22,271.3,36.0969,-79.9432,51,83,0,0,"15:57:00",2010,"Guilford"
"54",2010-02-23,271.3,36.0969,-79.9432,56,53,7,240,"15:57:00",2010,"Guilford"
"55",2010-02-24,271.3,36.0969,-79.9432,36,87.8,5.6,24,"15:57:00",2010,"Guilford"
"56",2010-02-25,271.3,36.0969,-79.9432,36,37,21,300,"15:57:00",2010,"Guilford"
"57",2010-02-26,271.3,36.0969,-79.9432,46,31,21,290,"15:57:00",2010,"Guilford"
"58",2010-02-27,271.3,36.0969,-79.9432,45,35,13,300,"15:57:00",2010,"Guilford"
"59",2010-02-28,271.3,36.0969,-79.9432,47,41,18,310,"15:57:00",2010,"Guilford"
