"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2014-08-01,44.2,36.33,-77.635,65.3333333333333,94,7,30,"15:35:00",2014,"Halifax"
"2",2014-08-02,44.2,36.33,-77.635,70,97,1.5,175,"15:35:00",2014,"Halifax"
"3",2014-08-03,44.2,36.33,-77.635,75,83,5,150,"15:35:00",2014,"Halifax"
"4",2014-08-04,44.2,36.33,-77.635,82,60,5.5,55,"15:35:00",2014,"Halifax"
"5",2014-08-05,44.2,36.33,-77.635,85,57.75,2.5,30,"15:35:00",2014,"Halifax"
"6",2014-08-06,44.2,36.33,-77.635,88,46,8.33333333333333,280,"15:35:00",2014,"Halifax"
"7",2014-08-07,44.2,36.33,-77.635,82.6666666666667,60.6666666666667,1.66666666666667,3.33333333333333,"15:35:00",2014,"Halifax"
"8",2014-08-08,44.2,36.33,-77.635,80.3333333333333,60.3333333333333,1,26.6666666666667,"15:35:00",2014,"Halifax"
"9",2014-08-09,44.2,36.33,-77.635,68,88,2,63.3333333333333,"15:35:00",2014,"Halifax"
"10",2014-08-10,44.2,36.33,-77.635,81.6666666666667,53.3333333333333,4.66666666666667,70,"15:35:00",2014,"Halifax"
"11",2014-08-11,44.2,36.33,-77.635,81.3333333333333,66,6,113.333333333333,"15:35:00",2014,"Halifax"
"12",2014-08-12,44.2,36.33,-77.635,88,62,7.66666666666667,223.333333333333,"15:35:00",2014,"Halifax"
"13",2014-08-13,44.2,36.33,-77.635,79,55.3333333333333,8,290,"15:35:00",2014,"Halifax"
"14",2014-08-14,44.2,36.33,-77.635,81,47,8.33333333333333,223.333333333333,"15:35:00",2014,"Halifax"
"15",2014-08-15,44.2,36.33,-77.635,82,51,2.66666666666667,130,"15:35:00",2014,"Halifax"
"16",2014-08-16,44.2,36.33,-77.635,86,56.3333333333333,4.33333333333333,266.666666666667,"15:35:00",2014,"Halifax"
"17",2014-08-17,44.2,36.33,-77.635,81.3333333333333,64.6666666666667,4.33333333333333,276.666666666667,"15:35:00",2014,"Halifax"
"18",2014-08-18,44.2,36.33,-77.635,76.3333333333333,85,4.33333333333333,20,"15:35:00",2014,"Halifax"
"19",2014-08-20,44.2,36.33,-77.635,86,62,5.33333333333333,226.666666666667,"15:35:00",2014,"Halifax"
"20",2014-08-21,44.2,36.33,-77.635,88,56.3333333333333,3.33333333333333,190,"15:35:00",2014,"Halifax"
"21",2014-08-22,44.2,36.33,-77.635,82.3333333333333,70,8.33333333333333,263.333333333333,"15:35:00",2014,"Halifax"
"22",2014-08-23,44.2,36.33,-77.635,77,87,0,0,"15:35:00",2014,"Halifax"
"23",2014-08-24,44.2,36.33,-77.635,76.3333333333333,58.6666666666667,10.6666666666667,30,"15:35:00",2014,"Halifax"
"24",2014-08-25,44.2,36.33,-77.635,77,63.6666666666667,9,35,"15:35:00",2014,"Halifax"
"25",2014-08-26,44.2,36.33,-77.635,81.3333333333333,52,7.33333333333333,220,"15:35:00",2014,"Halifax"
"26",2014-08-27,44.2,36.33,-77.635,82.6666666666667,47,6,123.333333333333,"15:35:00",2014,"Halifax"
"27",2014-08-28,44.2,36.33,-77.635,87.3333333333333,57.6666666666667,5.66666666666667,276.666666666667,"15:35:00",2014,"Halifax"
"28",2014-08-29,44.2,36.33,-77.635,79,74,2.66666666666667,56.6666666666667,"15:35:00",2014,"Halifax"
"29",2014-08-30,44.2,36.33,-77.635,86.6666666666667,57.6666666666667,6.33333333333333,203.333333333333,"15:35:00",2014,"Halifax"
"30",2014-08-31,44.2,36.33,-77.635,88,55,9.66666666666667,203.333333333333,"15:35:00",2014,"Halifax"
"31",2014-09-01,44.2,36.33,-77.635,90.3333333333333,44.3333333333333,8,270,"15:35:00",2014,"Halifax"
"32",2014-09-02,44.2,36.33,-77.635,91.6666666666667,45.3333333333333,9.33333333333333,205,"15:35:00",2014,"Halifax"
"33",2014-09-03,44.2,36.33,-77.635,88.6666666666667,51,2,186.666666666667,"15:35:00",2014,"Halifax"
"34",2014-09-04,44.2,36.33,-77.635,87.3333333333333,60,5.66666666666667,216.666666666667,"15:35:00",2014,"Halifax"
"35",2014-09-05,44.2,36.33,-77.635,86.6666666666667,62.6666666666667,5.66666666666667,146.666666666667,"15:35:00",2014,"Halifax"
"36",2014-09-06,44.2,36.33,-77.635,88,55,7,200,"15:35:00",2014,"Halifax"
"37",2014-09-07,44.2,36.33,-77.635,72.3333333333333,81.3333333333333,7.66666666666667,40,"15:35:00",2014,"Halifax"
"38",2014-09-08,44.2,36.33,-77.635,72,98,4.33333333333333,20,"15:35:00",2014,"Halifax"
"39",2014-09-09,44.2,36.33,-77.635,72.6666666666667,90.6666666666667,4.33333333333333,236.666666666667,"15:35:00",2014,"Halifax"
"40",2014-09-10,44.2,36.33,-77.635,79,62.3333333333333,3.33333333333333,213.333333333333,"15:35:00",2014,"Halifax"
