"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,60.4,35.37861,-78.73361,46,55,8.25,330,"15:30:00",2010,"Harnett"
"2",2010-01-02,60.4,35.37861,-78.73361,30,22,11.5,315,"15:30:00",2010,"Harnett"
"3",2010-01-03,60.4,35.37861,-78.73361,32,15.5,10.5,295,"15:30:00",2010,"Harnett"
"4",2010-01-04,60.4,35.37861,-78.73361,36,26,7.75,302.5,"15:30:00",2010,"Harnett"
"5",2010-01-05,60.4,35.37861,-78.73361,36,31,8,300,"15:30:00",2010,"Harnett"
"6",2010-01-06,60.4,35.37861,-78.73361,39,28,8.5,285,"15:30:00",2010,"Harnett"
"7",2010-01-07,60.4,35.37861,-78.73361,45,13.5,7.33333333333333,213.333333333333,"15:30:00",2010,"Harnett"
"8",2010-01-08,60.4,35.37861,-78.73361,34,23,9,310,"15:30:00",2010,"Harnett"
"9",2010-01-09,60.4,35.37861,-78.73361,36,25,5.66666666666667,306.666666666667,"15:30:00",2010,"Harnett"
"10",2010-01-10,60.4,35.37861,-78.73361,36,15,7.33333333333333,323.333333333333,"15:30:00",2010,"Harnett"
"11",2010-01-11,60.4,35.37861,-78.73361,44,13,8.66666666666667,206.666666666667,"15:30:00",2010,"Harnett"
"12",2010-01-12,60.4,35.37861,-78.73361,37,45,6.33333333333333,326.666666666667,"15:30:00",2010,"Harnett"
"13",2010-01-13,60.4,35.37861,-78.73361,45,19,2,140,"15:30:00",2010,"Harnett"
"14",2010-01-14,60.4,35.37861,-78.73361,52,23,6.66666666666667,186.666666666667,"15:30:00",2010,"Harnett"
"15",2010-01-15,60.4,35.37861,-78.73361,59,10.5,2.66666666666667,146.666666666667,"15:30:00",2010,"Harnett"
"16",2010-01-16,60.4,35.37861,-78.73361,59,20,2.66666666666667,130,"15:30:00",2010,"Harnett"
"17",2010-01-17,60.4,35.37861,-78.73361,62,80,5,220,"15:30:00",2010,"Harnett"
"18",2010-01-18,60.4,35.37861,-78.73361,59,42,2,220,"15:30:00",2010,"Harnett"
"19",2010-01-19,60.4,35.37861,-78.73361,64,31,2.66666666666667,143.333333333333,"15:30:00",2010,"Harnett"
"20",2010-01-20,60.4,35.37861,-78.73361,66,43,7.33333333333333,190,"15:30:00",2010,"Harnett"
"21",2010-01-21,60.4,35.37861,-78.73361,39,87,5.66666666666667,26.6666666666667,"15:30:00",2010,"Harnett"
"22",2010-01-22,60.4,35.37861,-78.73361,41,84,7.66666666666667,126.666666666667,"15:30:00",2010,"Harnett"
"23",2010-01-23,60.4,35.37861,-78.73361,52,41,8,66.6666666666667,"15:30:00",2010,"Harnett"
"24",2010-01-24,60.4,35.37861,-78.73361,63.5,75,13.6666666666667,153.333333333333,"15:30:00",2010,"Harnett"
"25",2010-01-25,60.4,35.37861,-78.73361,63,31,13.3333333333333,223.333333333333,"15:30:00",2010,"Harnett"
"26",2010-01-26,60.4,35.37861,-78.73361,52,26,8,256.666666666667,"15:30:00",2010,"Harnett"
"27",2010-01-27,60.4,35.37861,-78.73361,48,29,4.66666666666667,253.333333333333,"15:30:00",2010,"Harnett"
"28",2010-01-28,60.4,35.37861,-78.73361,61,19.5,8,246.666666666667,"15:30:00",2010,"Harnett"
"29",2010-01-29,60.4,35.37861,-78.73361,39,30,6,250,"15:30:00",2010,"Harnett"
"30",2010-01-30,60.4,35.37861,-78.73361,22,86,10.6666666666667,250,"15:30:00",2010,"Harnett"
"31",2010-01-31,60.4,35.37861,-78.73361,36,22,2.66666666666667,226.666666666667,"15:30:00",2010,"Harnett"
