"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-03,20.7,36.2975,-77.17083,36,20,6,290,"15:06:00",2010,"Hertford"
"2",2010-01-04,20.7,36.2975,-77.17083,37,30,2.5,155,"15:06:00",2010,"Hertford"
"3",2010-01-14,20.7,36.2975,-77.17083,54.5,22.5,5,185,"15:06:00",2010,"Hertford"
"4",2010-01-15,20.7,36.2975,-77.17083,63,16,0,0,"15:06:00",2010,"Hertford"
"5",2010-01-16,20.7,36.2975,-77.17083,NA,42,0,0,"15:06:00",2010,"Hertford"
"6",2010-01-19,20.7,36.2975,-77.17083,68,38,0,0,"15:06:00",2010,"Hertford"
"7",2010-01-20,20.7,36.2975,-77.17083,54,58,6.5,15,"15:06:00",2010,"Hertford"
"8",2010-01-21,20.7,36.2975,-77.17083,45,76,5.33333333333333,36.6666666666667,"15:06:00",2010,"Hertford"
"9",2010-01-25,20.7,36.2975,-77.17083,64,52,3,95,"15:06:00",2010,"Hertford"
"10",2010-01-26,20.7,36.2975,-77.17083,54,26,3,183.333333333333,"15:06:00",2010,"Hertford"
"11",2010-01-27,20.7,36.2975,-77.17083,52,32,1.5,100,"15:06:00",2010,"Hertford"
"12",2010-01-28,20.7,36.2975,-77.17083,61,29,4,210,"15:06:00",2010,"Hertford"
"13",2010-01-29,20.7,36.2975,-77.17083,37,29,6,180,"15:06:00",2010,"Hertford"
"14",2010-01-30,20.7,36.2975,-77.17083,28,78,16.6666666666667,356.666666666667,"15:06:00",2010,"Hertford"
"15",2010-01-31,20.7,36.2975,-77.17083,36,16.6666666666667,0,0,"15:06:00",2010,"Hertford"
"16",2010-02-01,20.7,36.2975,-77.17083,45.3333333333333,17.3333333333333,0,0,"15:06:00",2010,"Hertford"
"17",2010-02-02,20.7,36.2975,-77.17083,39,87,3.5,22.5,"15:06:00",2010,"Hertford"
"18",2010-02-03,20.7,36.2975,-77.17083,48,62,4,330,"15:06:00",2010,"Hertford"
"19",2010-02-04,20.7,36.2975,-77.17083,45,39,3.75,185,"15:06:00",2010,"Hertford"
"20",2010-02-05,20.7,36.2975,-77.17083,39,87,9.66666666666667,56.6666666666667,"15:06:00",2010,"Hertford"
"21",2010-02-06,20.7,36.2975,-77.17083,36,77,9,342.5,"15:06:00",2010,"Hertford"
"22",2010-02-07,20.7,36.2975,-77.17083,39,41,5.75,337.5,"15:06:00",2010,"Hertford"
"23",2010-02-08,20.7,36.2975,-77.17083,41,29.5,2,223.333333333333,"15:06:00",2010,"Hertford"
"24",2010-02-09,20.7,36.2975,-77.17083,42,55,4,115,"15:06:00",2010,"Hertford"
"25",2010-02-10,20.7,36.2975,-77.17083,37,28,10.3333333333333,303.333333333333,"15:06:00",2010,"Hertford"
"26",2010-02-11,20.7,36.2975,-77.17083,48,27,5.75,295,"15:06:00",2010,"Hertford"
"27",2010-02-12,20.7,36.2975,-77.17083,39,39,0,0,"15:06:00",2010,"Hertford"
"28",2010-02-13,20.7,36.2975,-77.17083,36,67.5,1.5,152.5,"15:06:00",2010,"Hertford"
"29",2010-02-14,20.7,36.2975,-77.17083,45,34,1,86.6666666666667,"15:06:00",2010,"Hertford"
"30",2010-02-15,20.7,36.2975,-77.17083,55,41,14.25,187.5,"15:06:00",2010,"Hertford"
"31",2010-02-16,20.7,36.2975,-77.17083,42,27,8.33333333333333,293.333333333333,"15:06:00",2010,"Hertford"
"32",2010-02-17,20.7,36.2975,-77.17083,41,31,5.5,277.5,"15:06:00",2010,"Hertford"
"33",2010-02-18,20.7,36.2975,-77.17083,54,25,6.33333333333333,310,"15:06:00",2010,"Hertford"
"34",2010-02-19,20.7,36.2975,-77.17083,54,18,7.5,305,"15:06:00",2010,"Hertford"
"35",2010-02-20,20.7,36.2975,-77.17083,57,10,3,166.666666666667,"15:06:00",2010,"Hertford"
"36",2010-02-21,20.7,36.2975,-77.17083,63,18,2,143.333333333333,"15:06:00",2010,"Hertford"
"37",2010-02-22,20.7,36.2975,-77.17083,57,88,4,86.6666666666667,"15:06:00",2010,"Hertford"
"38",2010-02-23,20.7,36.2975,-77.17083,54,72,4.33333333333333,336.666666666667,"15:06:00",2010,"Hertford"
"39",2010-02-24,20.7,36.2975,-77.17083,39.6666666666667,85,3,95,"15:06:00",2010,"Hertford"
"40",2010-02-25,20.7,36.2975,-77.17083,44.3333333333333,40,5.5,305,"15:06:00",2010,"Hertford"
"41",2010-02-26,20.7,36.2975,-77.17083,50,24.5,6,280,"15:06:00",2010,"Hertford"
"42",2010-02-27,20.7,36.2975,-77.17083,48,28,2.66666666666667,196.666666666667,"15:06:00",2010,"Hertford"
"43",2010-02-28,20.7,36.2975,-77.17083,54,26,4.66666666666667,306.666666666667,"15:06:00",2010,"Hertford"
"44",2010-03-01,20.7,36.2975,-77.17083,55,24,6,296.666666666667,"15:06:00",2010,"Hertford"
"45",2010-03-02,20.7,36.2975,-77.17083,41,76,10.6666666666667,130,"15:06:00",2010,"Hertford"
"46",2010-03-03,20.7,36.2975,-77.17083,39,87,3,220,"15:06:00",2010,"Hertford"
"47",2010-03-04,20.7,36.2975,-77.17083,54,23,6.66666666666667,316.666666666667,"15:06:00",2010,"Hertford"
"48",2010-03-05,20.7,36.2975,-77.17083,51,29,7,320,"15:06:00",2010,"Hertford"
"49",2010-03-06,20.7,36.2975,-77.17083,55,12,7.66666666666667,226.666666666667,"15:06:00",2010,"Hertford"
"50",2010-03-07,20.7,36.2975,-77.17083,61,6,1.66666666666667,80,"15:06:00",2010,"Hertford"
"51",2010-03-08,20.7,36.2975,-77.17083,63,NA,2.66666666666667,226.666666666667,"15:06:00",2010,"Hertford"
"52",2010-03-09,20.7,36.2975,-77.17083,73,19,3,113.333333333333,"15:06:00",2010,"Hertford"
"53",2010-03-10,20.7,36.2975,-77.17083,71.5,34,7,186.666666666667,"15:06:00",2010,"Hertford"
"54",2010-03-11,20.7,36.2975,-77.17083,68,73,6,133.333333333333,"15:06:00",2010,"Hertford"
"55",2010-03-12,20.7,36.2975,-77.17083,63,83,7.33333333333333,83.3333333333333,"15:06:00",2010,"Hertford"
"56",2010-03-13,20.7,36.2975,-77.17083,69,49.5,5.33333333333333,200,"15:06:00",2010,"Hertford"
"57",2010-03-14,20.7,36.2975,-77.17083,55,72,1.25,72.5,"15:06:00",2010,"Hertford"
"58",2010-03-15,20.7,36.2975,-77.17083,54.5,65,7,332.5,"15:06:00",2010,"Hertford"
"59",2010-03-16,20.7,36.2975,-77.17083,55,55,9,95,"15:06:00",2010,"Hertford"
"60",2010-03-17,20.7,36.2975,-77.17083,66,18,3.25,77.5,"15:06:00",2010,"Hertford"
"61",2010-03-18,20.7,36.2975,-77.17083,68,10.6666666666667,7,22.5,"15:06:00",2010,"Hertford"
"62",2010-03-19,20.7,36.2975,-77.17083,73,7,4,322.5,"15:06:00",2010,"Hertford"
"63",2010-03-20,20.7,36.2975,-77.17083,79,6,5.33333333333333,126.666666666667,"15:06:00",2010,"Hertford"
"64",2010-03-21,20.7,36.2975,-77.17083,73,41,7,173.333333333333,"15:06:00",2010,"Hertford"
"65",2010-03-22,20.7,36.2975,-77.17083,63.6666666666667,46.6666666666667,8.66666666666667,190,"15:06:00",2010,"Hertford"
"66",2010-03-23,20.7,36.2975,-77.17083,61,39,6,257.5,"15:06:00",2010,"Hertford"
"67",2010-03-24,20.7,36.2975,-77.17083,73,16.5,3.5,232.5,"15:06:00",2010,"Hertford"
"68",2010-03-25,20.7,36.2975,-77.17083,75,25.6666666666667,13,190,"15:06:00",2010,"Hertford"
"69",2010-03-26,20.7,36.2975,-77.17083,48,87,14.3333333333333,356.666666666667,"15:06:00",2010,"Hertford"
"70",2010-03-27,20.7,36.2975,-77.17083,56,36,6.75,60,"15:06:00",2010,"Hertford"
"71",2010-03-28,20.7,36.2975,-77.17083,72.5,41,18.3333333333333,146.666666666667,"15:06:00",2010,"Hertford"
"72",2010-03-29,20.7,36.2975,-77.17083,61,77,5.75,335,"15:06:00",2010,"Hertford"
"73",2010-03-30,20.7,36.2975,-77.17083,68,15,8.66666666666667,290,"15:06:00",2010,"Hertford"
"74",2010-03-31,20.7,36.2975,-77.17083,74,13,7,320,"15:06:00",2010,"Hertford"
"75",2010-04-01,20.7,36.2975,-77.17083,81,9,3.33333333333333,86.6666666666667,"15:06:00",2010,"Hertford"
"76",2010-04-02,20.7,36.2975,-77.17083,82,35,7.33333333333333,93.3333333333333,"15:06:00",2010,"Hertford"
"77",2010-04-03,20.7,36.2975,-77.17083,81,33,8.33333333333333,176.666666666667,"15:06:00",2010,"Hertford"
"78",2010-04-04,20.7,36.2975,-77.17083,82,38.5,1,63.3333333333333,"15:06:00",2010,"Hertford"
"79",2010-04-05,20.7,36.2975,-77.17083,88,24.5,7,183.333333333333,"15:06:00",2010,"Hertford"
"80",2010-04-06,20.7,36.2975,-77.17083,93,31,7,190,"15:06:00",2010,"Hertford"
"81",2010-04-07,20.7,36.2975,-77.17083,88,28,8.66666666666667,176.666666666667,"15:06:00",2010,"Hertford"
"82",2010-04-08,20.7,36.2975,-77.17083,84,31,10,186.666666666667,"15:06:00",2010,"Hertford"
"83",2010-04-09,20.7,36.2975,-77.17083,65,34.5,4.66666666666667,210,"15:06:00",2010,"Hertford"
"84",2010-04-10,20.7,36.2975,-77.17083,68,16.5,2,170,"15:06:00",2010,"Hertford"
"85",2010-04-11,20.7,36.2975,-77.17083,75,18,6.66666666666667,170,"15:06:00",2010,"Hertford"
"86",2010-04-12,20.7,36.2975,-77.17083,79,23,7.66666666666667,33.3333333333333,"15:06:00",2010,"Hertford"
"87",2010-04-13,20.7,36.2975,-77.17083,77.6666666666667,34,1.5,120,"15:06:00",2010,"Hertford"
"88",2010-04-14,20.7,36.2975,-77.17083,61,42,4.66666666666667,10,"15:06:00",2010,"Hertford"
"89",2010-04-15,20.7,36.2975,-77.17083,73,29.6666666666667,1,100,"15:06:00",2010,"Hertford"
"90",2010-04-16,20.7,36.2975,-77.17083,88,17.5,4.33333333333333,210,"15:06:00",2010,"Hertford"
"91",2010-04-17,20.7,36.2975,-77.17083,77,24,7.66666666666667,316.666666666667,"15:06:00",2010,"Hertford"
"92",2010-04-18,20.7,36.2975,-77.17083,66.6666666666667,23.6666666666667,4.5,252.5,"15:06:00",2010,"Hertford"
"93",2010-04-19,20.7,36.2975,-77.17083,68,25,5.33333333333333,233.333333333333,"15:06:00",2010,"Hertford"
"94",2010-04-20,20.7,36.2975,-77.17083,73,24.5,0,0,"15:06:00",2010,"Hertford"
"95",2010-04-21,20.7,36.2975,-77.17083,58,82,1,36.6666666666667,"15:06:00",2010,"Hertford"
"96",2010-04-22,20.7,36.2975,-77.17083,74,20.5,4,340,"15:06:00",2010,"Hertford"
"97",2010-04-23,20.7,36.2975,-77.17083,75,37.5,0,0,"15:06:00",2010,"Hertford"
"98",2010-04-24,20.7,36.2975,-77.17083,70,55,7.5,105,"15:06:00",2010,"Hertford"
"99",2010-04-25,20.7,36.2975,-77.17083,80,68,7.66666666666667,180,"15:06:00",2010,"Hertford"
"100",2010-04-26,20.7,36.2975,-77.17083,79,40,4.25,187.5,"15:06:00",2010,"Hertford"
"101",2010-04-27,20.7,36.2975,-77.17083,59,82.5,0,0,"15:06:00",2010,"Hertford"
"102",2010-04-28,20.7,36.2975,-77.17083,67.3333333333333,17,6.33333333333333,320,"15:06:00",2010,"Hertford"
"103",2010-04-29,20.7,36.2975,-77.17083,75,18.5,3.66666666666667,213.333333333333,"15:06:00",2010,"Hertford"
"104",2010-04-30,20.7,36.2975,-77.17083,84,27,4,166.666666666667,"15:06:00",2010,"Hertford"
"105",2010-05-01,20.7,36.2975,-77.17083,88,47.5,5.66666666666667,176.666666666667,"15:06:00",2010,"Hertford"
"106",2010-05-02,20.7,36.2975,-77.17083,93,45.5,8.5,180,"15:06:00",2010,"Hertford"
"107",2010-05-03,20.7,36.2975,-77.17083,81.6666666666667,56,6.33333333333333,176.666666666667,"15:06:00",2010,"Hertford"
"108",2010-05-04,20.7,36.2975,-77.17083,79,59.5,0,0,"15:06:00",2010,"Hertford"
"109",2010-05-05,20.7,36.2975,-77.17083,88,33,9,180,"15:06:00",2010,"Hertford"
"110",2010-05-06,20.7,36.2975,-77.17083,93,26,2,133.333333333333,"15:06:00",2010,"Hertford"
"111",2010-05-07,20.7,36.2975,-77.17083,88,24.5,8.66666666666667,160,"15:06:00",2010,"Hertford"
"112",2010-05-08,20.7,36.2975,-77.17083,88,17,8.33333333333333,316.666666666667,"15:06:00",2010,"Hertford"
"113",2010-05-09,20.7,36.2975,-77.17083,68,20,4,285,"15:06:00",2010,"Hertford"
"114",2010-05-10,20.7,36.2975,-77.17083,68,15.5,0,0,"15:06:00",2010,"Hertford"
"115",2010-05-11,20.7,36.2975,-77.17083,68,36.6666666666667,5.75,137.5,"15:06:00",2010,"Hertford"
"116",2010-05-12,20.7,36.2975,-77.17083,88,48,5.33333333333333,173.333333333333,"15:06:00",2010,"Hertford"
"117",2010-05-13,20.7,36.2975,-77.17083,68,78,4.33333333333333,113.333333333333,"15:06:00",2010,"Hertford"
"118",2010-05-14,20.7,36.2975,-77.17083,92.3333333333333,46.6666666666667,4.66666666666667,203.333333333333,"15:06:00",2010,"Hertford"
"119",2010-05-15,20.7,36.2975,-77.17083,93,39,1.66666666666667,100,"15:06:00",2010,"Hertford"
"120",2010-05-16,20.7,36.2975,-77.17083,79,59.5,4.33333333333333,63.3333333333333,"15:06:00",2010,"Hertford"
"121",2010-05-17,20.7,36.2975,-77.17083,66,88,7,35,"15:06:00",2010,"Hertford"
"122",2010-05-18,20.7,36.2975,-77.17083,63,77,1,113.333333333333,"15:06:00",2010,"Hertford"
"123",2010-05-19,20.7,36.2975,-77.17083,70,69,0,0,"15:06:00",2010,"Hertford"
"124",2010-05-20,20.7,36.2975,-77.17083,79,35.5,3,126.666666666667,"15:06:00",2010,"Hertford"
"125",2010-05-21,20.7,36.2975,-77.17083,82,36,6.33333333333333,110,"15:06:00",2010,"Hertford"
"126",2010-05-22,20.7,36.2975,-77.17083,81,48,3,73.3333333333333,"15:06:00",2010,"Hertford"
"127",2010-05-23,20.7,36.2975,-77.17083,68,83,2.66666666666667,20,"15:06:00",2010,"Hertford"
"128",2010-05-24,20.7,36.2975,-77.17083,73,86,7,240,"15:06:00",2010,"Hertford"
"129",2010-05-25,20.7,36.2975,-77.17083,79,56,11,25,"15:06:00",2010,"Hertford"
"130",2010-05-26,20.7,36.2975,-77.17083,82,37.5,7,123.333333333333,"15:06:00",2010,"Hertford"
"131",2010-05-27,20.7,36.2975,-77.17083,93,41,1.25,12.5,"15:06:00",2010,"Hertford"
"132",2010-05-28,20.7,36.2975,-77.17083,82,51,4.33333333333333,103.333333333333,"15:06:00",2010,"Hertford"
"133",2010-05-29,20.7,36.2975,-77.17083,81.5,60,4.33333333333333,176.666666666667,"15:06:00",2010,"Hertford"
"134",2010-05-30,20.7,36.2975,-77.17083,88,55,3,170,"15:06:00",2010,"Hertford"
"135",2010-05-31,20.7,36.2975,-77.17083,88,46,6.33333333333333,186.666666666667,"15:06:00",2010,"Hertford"
"136",2010-06-01,20.7,36.2975,-77.17083,83,66,7.66666666666667,176.666666666667,"15:06:00",2010,"Hertford"
"137",2010-06-02,20.7,36.2975,-77.17083,88,59,8,166.666666666667,"15:06:00",2010,"Hertford"
"138",2010-06-03,20.7,36.2975,-77.17083,88,62,5.25,130,"15:06:00",2010,"Hertford"
"139",2010-06-04,20.7,36.2975,-77.17083,92,56,0,0,"15:06:00",2010,"Hertford"
"140",2010-06-05,20.7,36.2975,-77.17083,93,50.5,0,0,"15:06:00",2010,"Hertford"
"141",2010-06-06,20.7,36.2975,-77.17083,93,48,3.66666666666667,280,"15:06:00",2010,"Hertford"
"142",2010-06-07,20.7,36.2975,-77.17083,81,45,5.5,345,"15:06:00",2010,"Hertford"
"143",2010-06-08,20.7,36.2975,-77.17083,81,38,6,343.333333333333,"15:06:00",2010,"Hertford"
"144",2010-06-09,20.7,36.2975,-77.17083,88,59,5.66666666666667,176.666666666667,"15:06:00",2010,"Hertford"
"145",2010-06-10,20.7,36.2975,-77.17083,91.5,42.5,2,100,"15:06:00",2010,"Hertford"
"146",2010-06-11,20.7,36.2975,-77.17083,89,40.5,2,136.666666666667,"15:06:00",2010,"Hertford"
"147",2010-06-12,20.7,36.2975,-77.17083,93,44,3,120,"15:06:00",2010,"Hertford"
"148",2010-06-13,20.7,36.2975,-77.17083,93,51,3.33333333333333,196.666666666667,"15:06:00",2010,"Hertford"
"149",2010-06-14,20.7,36.2975,-77.17083,93,49,0,0,"15:06:00",2010,"Hertford"
"150",2010-06-15,20.7,36.2975,-77.17083,93,56,3.33333333333333,46.6666666666667,"15:06:00",2010,"Hertford"
"151",2010-06-16,20.7,36.2975,-77.17083,88,72.5,11,290,"15:06:00",2010,"Hertford"
"152",2010-06-17,20.7,36.2975,-77.17083,NA,NA,0.75,67.5,"15:06:00",2010,"Hertford"
"153",2010-06-18,20.7,36.2975,-77.17083,86,55.5,1,6.66666666666667,"15:06:00",2010,"Hertford"
"154",2010-06-19,20.7,36.2975,-77.17083,93,53,5.33333333333333,190,"15:06:00",2010,"Hertford"
"155",2010-06-20,20.7,36.2975,-77.17083,93,53,0,0,"15:06:00",2010,"Hertford"
"156",2010-06-21,20.7,36.2975,-77.17083,93,37.5,0,0,"15:06:00",2010,"Hertford"
"157",2010-06-22,20.7,36.2975,-77.17083,94,48,0,0,"15:06:00",2010,"Hertford"
"158",2010-06-23,20.7,36.2975,-77.17083,94,48.5,1.66666666666667,60,"15:06:00",2010,"Hertford"
"159",2010-06-24,20.7,36.2975,-77.17083,99,44.5,2.33333333333333,60,"15:06:00",2010,"Hertford"
"160",2010-06-25,20.7,36.2975,-77.17083,93,41,2.66666666666667,223.333333333333,"15:06:00",2010,"Hertford"
"161",2010-06-26,20.7,36.2975,-77.17083,88,77,2.33333333333333,63.3333333333333,"15:06:00",2010,"Hertford"
"162",2010-06-27,20.7,36.2975,-77.17083,99,43,2,120,"15:06:00",2010,"Hertford"
"163",2010-06-28,20.7,36.2975,-77.17083,99,39,5.66666666666667,186.666666666667,"15:06:00",2010,"Hertford"
"164",2010-06-29,20.7,36.2975,-77.17083,94,45.5,1.66666666666667,110,"15:06:00",2010,"Hertford"
"165",2010-06-30,20.7,36.2975,-77.17083,79,61,5.33333333333333,23.3333333333333,"15:06:00",2010,"Hertford"
"166",2010-07-01,20.7,36.2975,-77.17083,81,42,3.66666666666667,170,"15:06:00",2010,"Hertford"
"167",2010-07-02,20.7,36.2975,-77.17083,82,25.5,7.66666666666667,136.666666666667,"15:06:00",2010,"Hertford"
"168",2010-07-03,20.7,36.2975,-77.17083,83,26.5,2.66666666666667,106.666666666667,"15:06:00",2010,"Hertford"
"169",2010-07-04,20.7,36.2975,-77.17083,91,29,4,196.666666666667,"15:06:00",2010,"Hertford"
"170",2010-07-05,20.7,36.2975,-77.17083,95,14.5,5.66666666666667,186.666666666667,"15:06:00",2010,"Hertford"
"171",2010-07-06,20.7,36.2975,-77.17083,99,20.5,2,130,"15:06:00",2010,"Hertford"
"172",2010-07-07,20.7,36.2975,-77.17083,101,14.5,6.66666666666667,143.333333333333,"15:06:00",2010,"Hertford"
"173",2010-07-08,20.7,36.2975,-77.17083,93,45.5,8,66.6666666666667,"15:06:00",2010,"Hertford"
"174",2010-07-09,20.7,36.2975,-77.17083,93,46.5,4.66666666666667,243.333333333333,"15:06:00",2010,"Hertford"
"175",2010-07-10,20.7,36.2975,-77.17083,82.5,76.5,5.33333333333333,333.333333333333,"15:06:00",2010,"Hertford"
"176",2010-07-11,20.7,36.2975,-77.17083,93,39,5,166.666666666667,"15:06:00",2010,"Hertford"
"177",2010-07-12,20.7,36.2975,-77.17083,88,44.5,2.66666666666667,86.6666666666667,"15:06:00",2010,"Hertford"
"178",2010-07-13,20.7,36.2975,-77.17083,93,56,2.66666666666667,113.333333333333,"15:06:00",2010,"Hertford"
"179",2010-07-14,20.7,36.2975,-77.17083,NA,NA,2,210,"15:06:00",2010,"Hertford"
"180",2010-07-15,20.7,36.2975,-77.17083,87,62.5,1,70,"15:06:00",2010,"Hertford"
"181",2010-07-16,20.7,36.2975,-77.17083,93,48,8,180,"15:06:00",2010,"Hertford"
"182",2010-07-17,20.7,36.2975,-77.17083,75,89,1.66666666666667,63.3333333333333,"15:06:00",2010,"Hertford"
"183",2010-07-18,20.7,36.2975,-77.17083,92,49.5,5,116.666666666667,"15:06:00",2010,"Hertford"
"184",2010-07-19,20.7,36.2975,-77.17083,91,49,7.66666666666667,180,"15:06:00",2010,"Hertford"
"185",2010-07-20,20.7,36.2975,-77.17083,91,47.5,4,243.333333333333,"15:06:00",2010,"Hertford"
