,DATE,ELEVATION,LATITUDE,LONGITUDE,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,time,year,county
1,1/1/2010,294.1,35.765,-80.95667,45.25,47.25,9.5,282.5,15:30:00,2010,Iredell
2,1/2/2010,294.1,35.765,-80.95667,30,33.25,8.5,286.6666667,15:30:00,2010,Iredell
3,1/3/2010,294.1,35.765,-80.95667,27.5,33.5,11.75,262.5,15:30:00,2010,Iredell
4,1/4/2010,294.1,35.765,-80.95667,35,37.5,9.5,287.5,15:30:00,2010,Iredell
5,1/5/2010,294.1,35.765,-80.95667,33.25,40.75,12.75,273.3333333,15:30:00,2010,Iredell
6,1/6/2010,294.1,35.765,-80.95667,37.25,40,8,282.5,15:30:00,2010,Iredell
7,1/7/2010,294.1,35.765,-80.95667,42,26.75,6.75,185,15:30:00,2010,Iredell
8,1/8/2010,294.1,35.765,-80.95667,27.5,34.75,8.5,297.5,15:30:00,2010,Iredell
9,1/9/2010,294.1,35.765,-80.95667,32.75,35,8.25,275,15:30:00,2010,Iredell
10,1/10/2010,294.1,35.765,-80.95667,36.5,24.25,2.25,175,15:30:00,2010,Iredell
11,1/11/2010,294.1,35.765,-80.95667,41.25,25.5,4.75,215,15:30:00,2010,Iredell
12,1/12/2010,294.1,35.765,-80.95667,37.75,39,7.75,330,15:30:00,2010,Iredell
13,1/13/2010,294.1,35.765,-80.95667,43.75,32.5,1.5,110,15:30:00,2010,Iredell
14,1/14/2010,294.1,35.765,-80.95667,49.75,34.25,5,157.5,15:30:00,2010,Iredell
15,1/15/2010,294.1,35.765,-80.95667,59.5,15.25,4.5,177.5,15:30:00,2010,Iredell
16,1/16/2010,294.1,35.765,-80.95667,54,30.75,0,0,15:30:00,2010,Iredell
17,1/17/2010,294.1,35.765,-80.95667,46,NA,0.75,87.5,15:30:00,2010,Iredell
18,1/18/2010,294.1,35.765,-80.95667,60.75,37.75,4.5,167.5,15:30:00,2010,Iredell
19,1/19/2010,294.1,35.765,-80.95667,63,32.5,6.25,210,15:30:00,2010,Iredell
20,1/20/2010,294.1,35.765,-80.95667,61.75,54.5,0,0,15:30:00,2010,Iredell
21,1/21/2010,294.1,35.765,-80.95667,33,99,9.75,30,15:30:00,2010,Iredell
22,1/22/2010,294.1,35.765,-80.95667,44.75,79.75,6.25,50,15:30:00,2010,Iredell
23,1/23/2010,294.1,35.765,-80.95667,45,67.25,4.5,77.5,15:30:00,2010,Iredell
24,1/24/2010,294.1,35.765,-80.95667,40,NA,6.25,122.5,15:30:00,2010,Iredell
25,1/25/2010,294.1,35.765,-80.95667,55.25,38.75,16.75,216.6666667,15:30:00,2010,Iredell
26,1/26/2010,294.1,35.765,-80.95667,42.25,44,10.5,277.5,15:30:00,2010,Iredell
27,1/27/2010,294.1,35.765,-80.95667,44.5,41,5,275,15:30:00,2010,Iredell
28,1/28/2010,294.1,35.765,-80.95667,60,28.25,12.75,262.5,15:30:00,2010,Iredell
29,1/29/2010,294.1,35.765,-80.95667,38,30.5,3.5,32.5,15:30:00,2010,Iredell
30,1/30/2010,294.1,35.765,-80.95667,23,89,10.25,22.5,15:30:00,2010,Iredell
31,1/31/2010,294.1,35.765,-80.95667,38.25,23,0,0,15:30:00,2010,Iredell
32,2/1/2010,294.1,35.765,-80.95667,43.75,42.25,4,92.5,15:30:00,2010,Iredell
33,2/2/2010,294.1,35.765,-80.95667,35.33333333,100,5,345,15:30:00,2010,Iredell
34,2/3/2010,294.1,35.765,-80.95667,47.5,52.25,4.25,205,15:30:00,2010,Iredell
35,2/4/2010,294.1,35.765,-80.95667,39.75,62.75,0,0,15:30:00,2010,Iredell
36,2/5/2010,294.1,35.765,-80.95667,33,100,14.75,42.5,15:30:00,2010,Iredell
37,2/6/2010,294.1,35.765,-80.95667,39,76,3.5,175,15:30:00,2010,Iredell
38,2/7/2010,294.1,35.765,-80.95667,43.25,52,2,152.5,15:30:00,2010,Iredell
39,2/8/2010,294.1,35.765,-80.95667,41.25,54.75,2,12.5,15:30:00,2010,Iredell
40,2/9/2010,294.1,35.765,-80.95667,36,98.75,2.5,92.5,15:30:00,2010,Iredell
41,2/10/2010,294.1,35.765,-80.95667,36,39.25,20.75,287.5,15:30:00,2010,Iredell
42,2/11/2010,294.1,35.765,-80.95667,42.5,36.75,3.5,227.5,15:30:00,2010,Iredell
43,2/12/2010,294.1,35.765,-80.95667,34.5,46.5,0,0,15:30:00,2010,Iredell
44,2/13/2010,294.1,35.765,-80.95667,38,44,6,215,15:30:00,2010,Iredell
45,2/14/2010,294.1,35.765,-80.95667,41.75,33.25,6.75,222.5,15:30:00,2010,Iredell
46,2/15/2010,294.1,35.765,-80.95667,42.75,68.5,8.5,210,15:30:00,2010,Iredell
47,2/16/2010,294.1,35.765,-80.95667,36.25,42,11.25,295,15:30:00,2010,Iredell
48,2/17/2010,294.1,35.765,-80.95667,38.75,41,10.5,292.5,15:30:00,2010,Iredell
49,2/18/2010,294.1,35.765,-80.95667,48,39.75,10,297.5,15:30:00,2010,Iredell
50,2/19/2010,294.1,35.765,-80.95667,53.5,23.5,7.75,265,15:30:00,2010,Iredell
51,2/20/2010,294.1,35.765,-80.95667,56.25,18.25,2.25,132.5,15:30:00,2010,Iredell
52,2/21/2010,294.1,35.765,-80.95667,61.75,24,5,187.5,15:30:00,2010,Iredell
53,2/22/2010,294.1,35.765,-80.95667,50,90.25,1.5,65,15:30:00,2010,Iredell
54,2/23/2010,294.1,35.765,-80.95667,53.25,73.25,0,0,15:30:00,2010,Iredell
55,2/24/2010,294.1,35.765,-80.95667,37,95.5,3.5,57.5,15:30:00,2010,Iredell
56,2/25/2010,294.1,35.765,-80.95667,34.25,41.25,13.75,297.5,15:30:00,2010,Iredell
57,2/26/2010,294.1,35.765,-80.95667,45.5,28.75,12.75,272.5,15:30:00,2010,Iredell
58,2/27/2010,294.1,35.765,-80.95667,44.5,39.25,9,295,15:30:00,2010,Iredell
59,2/28/2010,294.1,35.765,-80.95667,43.75,46.25,10.5,283.3333333,15:30:00,2010,Iredell
60,3/1/2010,294.1,35.765,-80.95667,45.75,44.75,3.75,182.5,15:30:00,2010,Iredell
61,3/2/2010,294.1,35.765,-80.95667,32.5,99,12.5,20,15:30:00,2010,Iredell
62,3/3/2010,294.1,35.765,-80.95667,45,42.5,9.25,320,15:30:00,2010,Iredell
