"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,615.7,35.2225,-83.41917,37.75,52.75,8.75,310,"15:30:00",2010,"Macon"
"2",2010-01-02,615.7,35.2225,-83.41917,24.75,39.75,12.75,310,"15:30:00",2010,"Macon"
"3",2010-01-03,615.7,35.2225,-83.41917,28.75,17.25,9,293.333333333333,"15:30:00",2010,"Macon"
"4",2010-01-04,615.7,35.2225,-83.41917,27.25,41.25,9.5,313.333333333333,"15:30:00",2010,"Macon"
"5",2010-01-05,615.7,35.2225,-83.41917,29.75,42.5,9,296.666666666667,"15:30:00",2010,"Macon"
"6",2010-01-06,615.7,35.2225,-83.41917,36.75,25.75,8.25,325,"15:30:00",2010,"Macon"
"7",2010-01-07,615.7,35.2225,-83.41917,33.75,56.5,3.25,40,"15:30:00",2010,"Macon"
"8",2010-01-08,615.7,35.2225,-83.41917,20,47,8.25,305,"15:30:00",2010,"Macon"
"9",2010-01-09,615.7,35.2225,-83.41917,28.5,40.5,6.5,322.5,"15:30:00",2010,"Macon"
"10",2010-01-10,615.7,35.2225,-83.41917,33,33.75,6.25,325,"15:30:00",2010,"Macon"
"11",2010-01-11,615.7,35.2225,-83.41917,39.75,19,0,0,"15:30:00",2010,"Macon"
"12",2010-01-12,615.7,35.2225,-83.41917,34.25,47,10.25,327.5,"15:30:00",2010,"Macon"
"13",2010-01-13,615.7,35.2225,-83.41917,47.75,24,0.75,10,"15:30:00",2010,"Macon"
"14",2010-01-14,615.7,35.2225,-83.41917,55,16,0,0,"15:30:00",2010,"Macon"
"15",2010-01-15,615.7,35.2225,-83.41917,61.25,4.66666666666667,0,0,"15:30:00",2010,"Macon"
"16",2010-01-16,615.7,35.2225,-83.41917,45.5,45,0,0,"15:30:00",2010,"Macon"
"17",2010-01-17,615.7,35.2225,-83.41917,52.25,87,0,0,"15:30:00",2010,"Macon"
"18",2010-01-18,615.7,35.2225,-83.41917,60,21,5.75,250,"15:30:00",2010,"Macon"
"19",2010-01-19,615.7,35.2225,-83.41917,59.75,41,2.25,130,"15:30:00",2010,"Macon"
"20",2010-01-20,615.7,35.2225,-83.41917,51.5,86.25,0.75,30,"15:30:00",2010,"Macon"
"21",2010-01-21,615.7,35.2225,-83.41917,49,80,2,90,"15:30:00",2010,"Macon"
"22",2010-01-22,615.7,35.2225,-83.41917,53,65,7.75,340,"15:30:00",2010,"Macon"
"23",2010-01-23,615.7,35.2225,-83.41917,47,66.75,7.25,200,"15:30:00",2010,"Macon"
"24",2010-01-24,615.7,35.2225,-83.41917,53.75,86.5,4.5,90,"15:30:00",2010,"Macon"
"25",2010-01-25,615.7,35.2225,-83.41917,42.75,45.5,12,277.5,"15:30:00",2010,"Macon"
"26",2010-01-26,615.7,35.2225,-83.41917,33.25,56.25,7.75,322.5,"15:30:00",2010,"Macon"
"27",2010-01-27,615.7,35.2225,-83.41917,46.25,18.5,4.75,332.5,"15:30:00",2010,"Macon"
"28",2010-01-28,615.7,35.2225,-83.41917,52.25,34,11.5,326.666666666667,"15:30:00",2010,"Macon"
"29",2010-01-29,615.7,35.2225,-83.41917,32.3333333333333,92.6666666666667,0,0,"15:30:00",2010,"Macon"
"30",2010-01-30,615.7,35.2225,-83.41917,34.5,90.5,0.75,12.5,"15:30:00",2010,"Macon"
"31",2010-01-31,615.7,35.2225,-83.41917,39.5,46.75,0,0,"15:30:00",2010,"Macon"
"32",2010-02-01,615.7,35.2225,-83.41917,47,31.25,3.25,122.5,"15:30:00",2010,"Macon"
"33",2010-02-02,615.7,35.2225,-83.41917,42.75,85.5,0,0,"15:30:00",2010,"Macon"
"34",2010-02-03,615.7,35.2225,-83.41917,51,44.25,4.5,257.5,"15:30:00",2010,"Macon"
"35",2010-02-04,615.7,35.2225,-83.41917,38.5,75.5,2.25,85,"15:30:00",2010,"Macon"
"36",2010-02-05,615.7,35.2225,-83.41917,40,93.5,0,0,"15:30:00",2010,"Macon"
"37",2010-02-06,615.7,35.2225,-83.41917,33,74,8.5,310,"15:30:00",2010,"Macon"
"38",2010-02-07,615.7,35.2225,-83.41917,42.25,58.5,5.5,247.5,"15:30:00",2010,"Macon"
"39",2010-02-08,615.7,35.2225,-83.41917,48.25,39,4,165,"15:30:00",2010,"Macon"
"40",2010-02-09,615.7,35.2225,-83.41917,43.5,85.25,1.5,75,"15:30:00",2010,"Macon"
"41",2010-02-10,615.7,35.2225,-83.41917,28,56.75,16,306.666666666667,"15:30:00",2010,"Macon"
"42",2010-02-11,615.7,35.2225,-83.41917,41.75,33.5,7.75,295,"15:30:00",2010,"Macon"
"43",2010-02-12,615.7,35.2225,-83.41917,30.75,89,0,0,"15:30:00",2010,"Macon"
"44",2010-02-13,615.7,35.2225,-83.41917,32.25,49.5,8,175,"15:30:00",2010,"Macon"
"45",2010-02-14,615.7,35.2225,-83.41917,34.25,79.5,0.75,10,"15:30:00",2010,"Macon"
"46",2010-02-15,615.7,35.2225,-83.41917,33,48.75,10.25,290,"15:30:00",2010,"Macon"
"47",2010-02-16,615.7,35.2225,-83.41917,26.25,52.5,9.25,353.333333333333,"15:30:00",2010,"Macon"
"48",2010-02-17,615.7,35.2225,-83.41917,32,50,10.25,20,"15:30:00",2010,"Macon"
"49",2010-02-18,615.7,35.2225,-83.41917,45,40.75,7.5,327.5,"15:30:00",2010,"Macon"
"50",2010-02-19,615.7,35.2225,-83.41917,52.75,18.25,8.25,280,"15:30:00",2010,"Macon"
"51",2010-02-20,615.7,35.2225,-83.41917,58.75,18,3.25,120,"15:30:00",2010,"Macon"
"52",2010-02-21,615.7,35.2225,-83.41917,62,20.5,8.25,163.333333333333,"15:30:00",2010,"Macon"
"53",2010-02-22,615.7,35.2225,-83.41917,54,64.75,0,0,"15:30:00",2010,"Macon"
"54",2010-02-23,615.7,35.2225,-83.41917,47.75,57.25,10.5,320,"15:30:00",2010,"Macon"
"55",2010-02-24,615.7,35.2225,-83.41917,38.75,57,11.5,320,"15:30:00",2010,"Macon"
"56",2010-02-25,615.7,35.2225,-83.41917,30,43.25,10.75,306.666666666667,"15:30:00",2010,"Macon"
"57",2010-02-26,615.7,35.2225,-83.41917,38,29.3333333333333,9.66666666666667,310,"15:30:00",2010,"Macon"
"58",2010-02-27,615.7,35.2225,-83.41917,43,41.25,10.75,340,"15:30:00",2010,"Macon"
"59",2010-02-28,615.7,35.2225,-83.41917,40.75,50,10,315,"15:30:00",2010,"Macon"
"60",2010-03-01,615.7,35.2225,-83.41917,50,33.75,2,80,"15:30:00",2010,"Macon"
"61",2010-03-02,615.7,35.2225,-83.41917,34.25,91,0,0,"15:30:00",2010,"Macon"
"62",2010-03-03,615.7,35.2225,-83.41917,36.5,53.5,10.75,300,"15:30:00",2010,"Macon"
"63",2010-03-04,615.7,35.2225,-83.41917,39.75,46.5,14,290,"15:30:00",2010,"Macon"
"64",2010-03-05,615.7,35.2225,-83.41917,45.75,16.25,10.5,316.666666666667,"15:30:00",2010,"Macon"
"65",2010-03-06,615.7,35.2225,-83.41917,55,12,8,286.666666666667,"15:30:00",2010,"Macon"
"66",2010-03-07,615.7,35.2225,-83.41917,58,14.25,4.75,287.5,"15:30:00",2010,"Macon"
"67",2010-03-08,615.7,35.2225,-83.41917,63.5,31.25,6.75,332.5,"15:30:00",2010,"Macon"
"68",2010-03-09,615.7,35.2225,-83.41917,65.25,25,5.75,170,"15:30:00",2010,"Macon"
"69",2010-03-10,615.7,35.2225,-83.41917,55.75,65,6,152.5,"15:30:00",2010,"Macon"
"70",2010-03-11,615.7,35.2225,-83.41917,53.25,90.25,4,52.5,"15:30:00",2010,"Macon"
"71",2010-03-12,615.7,35.2225,-83.41917,56.75,74.25,1.5,32.5,"15:30:00",2010,"Macon"
"72",2010-03-13,615.7,35.2225,-83.41917,46,68.75,8.5,317.5,"15:30:00",2010,"Macon"
"73",2010-03-14,615.7,35.2225,-83.41917,45,70.75,0,0,"15:30:00",2010,"Macon"
"74",2010-03-15,615.7,35.2225,-83.41917,46.25,59.75,9.75,300,"15:30:00",2010,"Macon"
"75",2010-03-16,615.7,35.2225,-83.41917,59,42.5,7.5,240,"15:30:00",2010,"Macon"
"76",2010-03-17,615.7,35.2225,-83.41917,49.25,59.5,0,0,"15:30:00",2010,"Macon"
"77",2010-03-18,615.7,35.2225,-83.41917,61.5,25.5,9.25,262.5,"15:30:00",2010,"Macon"
"78",2010-03-19,615.7,35.2225,-83.41917,68.25,18.5,1.5,35,"15:30:00",2010,"Macon"
"79",2010-03-20,615.7,35.2225,-83.41917,67.5,21.5,7.5,135,"15:30:00",2010,"Macon"
"80",2010-03-21,615.7,35.2225,-83.41917,51,87.25,0,0,"15:30:00",2010,"Macon"
"81",2010-03-22,615.7,35.2225,-83.41917,39.25,56.5,7.25,242.5,"15:30:00",2010,"Macon"
"82",2010-03-23,615.7,35.2225,-83.41917,59,32.25,13.25,310,"15:30:00",2010,"Macon"
"83",2010-03-24,615.7,35.2225,-83.41917,73.5,14,7.5,136.666666666667,"15:30:00",2010,"Macon"
"84",2010-03-25,615.7,35.2225,-83.41917,56,53.5,8.75,135,"15:30:00",2010,"Macon"
"85",2010-03-26,615.7,35.2225,-83.41917,49.25,60.75,10.5,307.5,"15:30:00",2010,"Macon"
"86",2010-03-27,615.7,35.2225,-83.41917,59.25,30.75,10.75,220,"15:30:00",2010,"Macon"
"87",2010-03-28,615.7,35.2225,-83.41917,54.75,78.5,5.75,143.333333333333,"15:30:00",2010,"Macon"
"88",2010-03-29,615.7,35.2225,-83.41917,49.25,66.5,11.5,315,"15:30:00",2010,"Macon"
"89",2010-03-30,615.7,35.2225,-83.41917,63.25,27.75,10,307.5,"15:30:00",2010,"Macon"
"90",2010-03-31,615.7,35.2225,-83.41917,75.75,11.75,4.75,180,"15:30:00",2010,"Macon"
"91",2010-04-01,615.7,35.2225,-83.41917,84,7.66666666666667,4.5,96.6666666666667,"15:30:00",2010,"Macon"
"92",2010-04-02,615.7,35.2225,-83.41917,83.75,12.5,8,156.666666666667,"15:30:00",2010,"Macon"
"93",2010-04-03,615.7,35.2225,-83.41917,74,18.25,9.75,240,"15:30:00",2010,"Macon"
"94",2010-04-04,615.7,35.2225,-83.41917,80,16.25,4.75,177.5,"15:30:00",2010,"Macon"
"95",2010-04-05,615.7,35.2225,-83.41917,82.75,27,4.75,337.5,"15:30:00",2010,"Macon"
"96",2010-04-06,615.7,35.2225,-83.41917,86.5,9.5,10.25,233.333333333333,"15:30:00",2010,"Macon"
"97",2010-04-07,615.7,35.2225,-83.41917,79.75,19.25,9.75,NA,"15:30:00",2010,"Macon"
"98",2010-04-08,615.7,35.2225,-83.41917,57,83,5,210,"15:30:00",2010,"Macon"
"99",2010-04-09,615.7,35.2225,-83.41917,60.25,23.75,8.25,300,"15:30:00",2010,"Macon"
"100",2010-04-10,615.7,35.2225,-83.41917,70.25,11.25,3.25,75,"15:30:00",2010,"Macon"
"101",2010-04-11,615.7,35.2225,-83.41917,73.25,12.25,0,0,"15:30:00",2010,"Macon"
"102",2010-04-12,615.7,35.2225,-83.41917,77,13,1.25,32.5,"15:30:00",2010,"Macon"
"103",2010-04-13,615.7,35.2225,-83.41917,78.5,16.25,2.25,117.5,"15:30:00",2010,"Macon"
"104",2010-04-14,615.7,35.2225,-83.41917,76.5,30.75,8,160,"15:30:00",2010,"Macon"
"105",2010-04-15,615.7,35.2225,-83.41917,74.5,30.75,5.25,95,"15:30:00",2010,"Macon"
"106",2010-04-16,615.7,35.2225,-83.41917,78,19.5,6.25,315,"15:30:00",2010,"Macon"
"107",2010-04-17,615.7,35.2225,-83.41917,69,27.75,9.75,330,"15:30:00",2010,"Macon"
"108",2010-04-18,615.7,35.2225,-83.41917,68.5,12.5,5.75,207.5,"15:30:00",2010,"Macon"
"109",2010-04-19,615.7,35.2225,-83.41917,66.75,22.25,7.25,310,"15:30:00",2010,"Macon"
"110",2010-04-20,615.7,35.2225,-83.41917,53.75,75.25,3.75,130,"15:30:00",2010,"Macon"
"111",2010-04-21,615.7,35.2225,-83.41917,64,28.5,8.5,313.333333333333,"15:30:00",2010,"Macon"
"112",2010-04-22,615.7,35.2225,-83.41917,69,27,6.5,227.5,"15:30:00",2010,"Macon"
"113",2010-04-23,615.7,35.2225,-83.41917,79,24.5,4,285,"15:30:00",2010,"Macon"
"114",2010-04-24,615.7,35.2225,-83.41917,59,88.25,2.25,77.5,"15:30:00",2010,"Macon"
"115",2010-04-25,615.7,35.2225,-83.41917,72,33.25,7,230,"15:30:00",2010,"Macon"
"116",2010-04-26,615.7,35.2225,-83.41917,57.75,65.75,8.75,287.5,"15:30:00",2010,"Macon"
"117",2010-04-27,615.7,35.2225,-83.41917,49,74.25,6.75,310,"15:30:00",2010,"Macon"
"118",2010-04-28,615.7,35.2225,-83.41917,60.75,27.25,10,347.5,"15:30:00",2010,"Macon"
"119",2010-04-29,615.7,35.2225,-83.41917,71.75,28,4.25,102.5,"15:30:00",2010,"Macon"
"120",2010-04-30,615.7,35.2225,-83.41917,79.75,21.25,8.5,135,"15:30:00",2010,"Macon"
"121",2010-05-01,615.7,35.2225,-83.41917,70.75,73.5,5.75,147.5,"15:30:00",2010,"Macon"
"122",2010-05-02,615.7,35.2225,-83.41917,79,58.25,8.25,165,"15:30:00",2010,"Macon"
"123",2010-05-03,615.7,35.2225,-83.41917,74.75,64,6,177.5,"15:30:00",2010,"Macon"
"124",2010-05-04,615.7,35.2225,-83.41917,80,20.25,7,325,"15:30:00",2010,"Macon"
"125",2010-05-05,615.7,35.2225,-83.41917,80.75,32.5,5.75,110,"15:30:00",2010,"Macon"
"126",2010-05-06,615.7,35.2225,-83.41917,82,28.5,7.25,123.333333333333,"15:30:00",2010,"Macon"
"127",2010-05-07,615.7,35.2225,-83.41917,82.25,40.5,10,155,"15:30:00",2010,"Macon"
"128",2010-05-08,615.7,35.2225,-83.41917,67.75,23.5,8.25,355,"15:30:00",2010,"Macon"
"129",2010-05-09,615.7,35.2225,-83.41917,67,17.75,8.5,350,"15:30:00",2010,"Macon"
"130",2010-05-10,615.7,35.2225,-83.41917,56.25,55.5,0.75,40,"15:30:00",2010,"Macon"
"131",2010-05-11,615.7,35.2225,-83.41917,61.25,75.25,3.75,105,"15:30:00",2010,"Macon"
"132",2010-05-12,615.7,35.2225,-83.41917,72.5,69.75,0.75,5,"15:30:00",2010,"Macon"
"133",2010-05-13,615.7,35.2225,-83.41917,81,49.5,3.25,250,"15:30:00",2010,"Macon"
"134",2010-05-14,615.7,35.2225,-83.41917,83,44.25,4.25,165,"15:30:00",2010,"Macon"
"135",2010-05-15,615.7,35.2225,-83.41917,71,70.5,1.25,72.5,"15:30:00",2010,"Macon"
"136",2010-05-16,615.7,35.2225,-83.41917,70.75,72.75,4,342.5,"15:30:00",2010,"Macon"
"137",2010-05-17,615.7,35.2225,-83.41917,76.25,54,0,0,"15:30:00",2010,"Macon"
"138",2010-05-18,615.7,35.2225,-83.41917,75.5,38.75,10.25,272.5,"15:30:00",2010,"Macon"
"139",2010-05-19,615.7,35.2225,-83.41917,70.25,43.25,8.25,340,"15:30:00",2010,"Macon"
"140",2010-05-20,615.7,35.2225,-83.41917,77.75,41.75,2,90,"15:30:00",2010,"Macon"
"141",2010-05-21,615.7,35.2225,-83.41917,69.5,69.5,1.25,42.5,"15:30:00",2010,"Macon"
"142",2010-05-22,615.7,35.2225,-83.41917,79.5,49,7,232.5,"15:30:00",2010,"Macon"
"143",2010-05-23,615.7,35.2225,-83.41917,85.25,22,6.25,262.5,"15:30:00",2010,"Macon"
