"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,221.9,35.2236,-80.9552,49,43,15,340,"15:56:00",2010,"Mecklenburg"
"2",2010-01-02,221.9,35.2236,-80.9552,33,30,13,310,"15:56:00",2010,"Mecklenburg"
"3",2010-01-03,221.9,35.2236,-80.9552,32,24,10,310,"15:56:00",2010,"Mecklenburg"
"4",2010-01-04,221.9,35.2236,-80.9552,37,28,7,320,"15:56:00",2010,"Mecklenburg"
"5",2010-01-05,221.9,35.2236,-80.9552,35,37,8,320,"15:56:00",2010,"Mecklenburg"
"6",2010-01-06,221.9,35.2236,-80.9552,40,33,8,310,"15:56:00",2010,"Mecklenburg"
"7",2010-01-07,221.9,35.2236,-80.9552,45,30,8,190,"15:56:00",2010,"Mecklenburg"
"8",2010-01-08,221.9,35.2236,-80.9552,29,31,7,330,"15:56:00",2010,"Mecklenburg"
"9",2010-01-09,221.9,35.2236,-80.9552,36,31,10,310,"15:56:00",2010,"Mecklenburg"
"10",2010-01-10,221.9,35.2236,-80.9552,38,29,6,310,"15:56:00",2010,"Mecklenburg"
"11",2010-01-11,221.9,35.2236,-80.9552,43,25,9,230,"15:56:00",2010,"Mecklenburg"
"12",2010-01-12,221.9,35.2236,-80.9552,43,37,8,350,"15:56:00",2010,"Mecklenburg"
"13",2010-01-13,221.9,35.2236,-80.9552,45,35,5,200,"15:56:00",2010,"Mecklenburg"
"14",2010-01-14,221.9,35.2236,-80.9552,52,28,6,190,"15:56:00",2010,"Mecklenburg"
"15",2010-01-15,221.9,35.2236,-80.9552,60,21,7,190,"15:56:00",2010,"Mecklenburg"
"16",2010-01-16,221.9,35.2236,-80.9552,57,33,0,0,"15:56:00",2010,"Mecklenburg"
"17",2010-01-17,221.9,35.2236,-80.9552,58,81,6,250,"15:56:00",2010,"Mecklenburg"
"18",2010-01-18,221.9,35.2236,-80.9552,62,43,3,190,"15:56:00",2010,"Mecklenburg"
"19",2010-01-19,221.9,35.2236,-80.9552,63,38,7,200,"15:56:00",2010,"Mecklenburg"
"20",2010-01-20,221.9,35.2236,-80.9552,69,44,10,220,"15:56:00",2010,"Mecklenburg"
