"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,140.5,35.23722,-79.39111,47,64,5.66666666666667,350,"15:35:00",2010,"Moore"
"2",2010-01-02,140.5,35.23722,-79.39111,33,30.5,10,NA,"15:35:00",2010,"Moore"
"3",2010-01-03,140.5,35.23722,-79.39111,34,27,9.66666666666667,310,"15:35:00",2010,"Moore"
"4",2010-01-04,140.5,35.23722,-79.39111,36,35,6.66666666666667,313.333333333333,"15:35:00",2010,"Moore"
"5",2010-01-05,140.5,35.23722,-79.39111,36,35,7.66666666666667,326.666666666667,"15:35:00",2010,"Moore"
"6",2010-01-06,140.5,35.23722,-79.39111,39,39,9,310,"15:35:00",2010,"Moore"
"7",2010-01-07,140.5,35.23722,-79.39111,47,24,9.66666666666667,226.666666666667,"15:35:00",2010,"Moore"
"8",2010-01-08,140.5,35.23722,-79.39111,30,32.5,9.33333333333333,335,"15:35:00",2010,"Moore"
"9",2010-01-09,140.5,35.23722,-79.39111,36,35,6,310,"15:35:00",2010,"Moore"
"10",2010-01-10,140.5,35.23722,-79.39111,36.5,32.5,6.66666666666667,326.666666666667,"15:35:00",2010,"Moore"
"11",2010-01-11,140.5,35.23722,-79.39111,45.5,25,11,223.333333333333,"15:35:00",2010,"Moore"
"12",2010-01-12,140.5,35.23722,-79.39111,39,45,7,336.666666666667,"15:35:00",2010,"Moore"
"13",2010-01-13,140.5,35.23722,-79.39111,46,29,1,83.3333333333333,"15:35:00",2010,"Moore"
"14",2010-01-14,140.5,35.23722,-79.39111,54,31.5,7.33333333333333,200,"15:35:00",2010,"Moore"
"15",2010-01-15,140.5,35.23722,-79.39111,61,22.5,4.66666666666667,246.666666666667,"15:35:00",2010,"Moore"
"16",2010-01-16,140.5,35.23722,-79.39111,60,32.5,2.66666666666667,36.6666666666667,"15:35:00",2010,"Moore"
"17",2010-01-17,140.5,35.23722,-79.39111,63,88,8.66666666666667,240,"15:35:00",2010,"Moore"
"18",2010-01-18,140.5,35.23722,-79.39111,63,47,3,186.666666666667,"15:35:00",2010,"Moore"
"19",2010-01-19,140.5,35.23722,-79.39111,66,35,6.33333333333333,226.666666666667,"15:35:00",2010,"Moore"
"20",2010-01-20,140.5,35.23722,-79.39111,70,43,8.66666666666667,246.666666666667,"15:35:00",2010,"Moore"
"21",2010-01-21,140.5,35.23722,-79.39111,39,93,14.3333333333333,83.3333333333333,"15:35:00",2010,"Moore"
"22",2010-01-22,140.5,35.23722,-79.39111,43,81,2.66666666666667,123.333333333333,"15:35:00",2010,"Moore"
"23",2010-01-23,140.5,35.23722,-79.39111,51,39,7.33333333333333,96.6666666666667,"15:35:00",2010,"Moore"
"24",2010-01-24,140.5,35.23722,-79.39111,63.5,80.5,12.3333333333333,180,"15:35:00",2010,"Moore"
"25",2010-01-25,140.5,35.23722,-79.39111,63,35.5,15.6666666666667,253.333333333333,"15:35:00",2010,"Moore"
"26",2010-01-26,140.5,35.23722,-79.39111,50,35,12,283.333333333333,"15:35:00",2010,"Moore"
"27",2010-01-27,140.5,35.23722,-79.39111,48,40,6.66666666666667,260,"15:35:00",2010,"Moore"
"28",2010-01-28,140.5,35.23722,-79.39111,63,33,9.33333333333333,280,"15:35:00",2010,"Moore"
"29",2010-01-29,140.5,35.23722,-79.39111,41,39,7.66666666666667,56.6666666666667,"15:35:00",2010,"Moore"
"30",2010-01-30,140.5,35.23722,-79.39111,23,89.5,13.6666666666667,33.3333333333333,"15:35:00",2010,"Moore"
"31",2010-01-31,140.5,35.23722,-79.39111,37,39.5,5,176.666666666667,"15:35:00",2010,"Moore"
"32",2010-02-01,140.5,35.23722,-79.39111,50,25,3.33333333333333,116.666666666667,"15:35:00",2010,"Moore"
"33",2010-02-02,140.5,35.23722,-79.39111,37,93,4.33333333333333,30,"15:35:00",2010,"Moore"
"34",2010-02-03,140.5,35.23722,-79.39111,52,50,5.33333333333333,240,"15:35:00",2010,"Moore"
"35",2010-02-04,140.5,35.23722,-79.39111,45,55,1.66666666666667,70,"15:35:00",2010,"Moore"
"36",2010-02-05,140.5,35.23722,-79.39111,39,93,12,90,"15:35:00",2010,"Moore"
"37",2010-02-06,140.5,35.23722,-79.39111,39,70,7.33333333333333,243.333333333333,"15:35:00",2010,"Moore"
"38",2010-02-07,140.5,35.23722,-79.39111,45,44,2.66666666666667,126.666666666667,"15:35:00",2010,"Moore"
"39",2010-02-08,140.5,35.23722,-79.39111,48,43,1.66666666666667,83.3333333333333,"15:35:00",2010,"Moore"
"40",2010-02-09,140.5,35.23722,-79.39111,39,93,4.66666666666667,53.3333333333333,"15:35:00",2010,"Moore"
"41",2010-02-10,140.5,35.23722,-79.39111,38,34,20.3333333333333,310,"15:35:00",2010,"Moore"
"42",2010-02-11,140.5,35.23722,-79.39111,46,34,8,335,"15:35:00",2010,"Moore"
"43",2010-02-12,140.5,35.23722,-79.39111,37,45,1,16.6666666666667,"15:35:00",2010,"Moore"
"44",2010-02-13,140.5,35.23722,-79.39111,42,42,9.33333333333333,315,"15:35:00",2010,"Moore"
"45",2010-02-14,140.5,35.23722,-79.39111,46,30.5,7.33333333333333,285,"15:35:00",2010,"Moore"
"46",2010-02-15,140.5,35.23722,-79.39111,45,87,14.6666666666667,223.333333333333,"15:35:00",2010,"Moore"
"47",2010-02-16,140.5,35.23722,-79.39111,43,34,9.33333333333333,280,"15:35:00",2010,"Moore"
"48",2010-02-17,140.5,35.23722,-79.39111,44,36.5,9,310,"15:35:00",2010,"Moore"
"49",2010-02-18,140.5,35.23722,-79.39111,51,35,10.3333333333333,330,"15:35:00",2010,"Moore"
"50",2010-02-19,140.5,35.23722,-79.39111,55,24,4.66666666666667,230,"15:35:00",2010,"Moore"
"51",2010-02-20,140.5,35.23722,-79.39111,61,19.5,7.33333333333333,303.333333333333,"15:35:00",2010,"Moore"
"52",2010-02-21,140.5,35.23722,-79.39111,65,25,9,196.666666666667,"15:35:00",2010,"Moore"
"53",2010-02-22,140.5,35.23722,-79.39111,54,94,4.33333333333333,270,"15:35:00",2010,"Moore"
"54",2010-02-23,140.5,35.23722,-79.39111,60,57,3.66666666666667,10,"15:35:00",2010,"Moore"
"55",2010-02-24,140.5,35.23722,-79.39111,39,90,5.33333333333333,353.333333333333,"15:35:00",2010,"Moore"
"56",2010-02-25,140.5,35.23722,-79.39111,38,33,11.3333333333333,310,"15:35:00",2010,"Moore"
"57",2010-02-26,140.5,35.23722,-79.39111,48,27,11.6666666666667,NA,"15:35:00",2010,"Moore"
"58",2010-02-27,140.5,35.23722,-79.39111,52,30,8.33333333333333,293.333333333333,"15:35:00",2010,"Moore"
"59",2010-02-28,140.5,35.23722,-79.39111,52,33.5,8.66666666666667,340,"15:35:00",2010,"Moore"
"60",2010-03-01,140.5,35.23722,-79.39111,52,36.5,7.33333333333333,286.666666666667,"15:35:00",2010,"Moore"
"61",2010-03-02,140.5,35.23722,-79.39111,34,93,9.66666666666667,23.3333333333333,"15:35:00",2010,"Moore"
"62",2010-03-03,140.5,35.23722,-79.39111,43,61,8.66666666666667,325,"15:35:00",2010,"Moore"
"63",2010-03-04,140.5,35.23722,-79.39111,51,35,8.66666666666667,310,"15:35:00",2010,"Moore"
"64",2010-03-05,140.5,35.23722,-79.39111,50,26.5,10.6666666666667,10,"15:35:00",2010,"Moore"
"65",2010-03-06,140.5,35.23722,-79.39111,55,24,6,130,"15:35:00",2010,"Moore"
"66",2010-03-07,140.5,35.23722,-79.39111,63,16,7.33333333333333,250,"15:35:00",2010,"Moore"
"67",2010-03-08,140.5,35.23722,-79.39111,66,30,8,335,"15:35:00",2010,"Moore"
"68",2010-03-09,140.5,35.23722,-79.39111,73,24,6.66666666666667,295,"15:35:00",2010,"Moore"
"69",2010-03-10,140.5,35.23722,-79.39111,61,59,3,190,"15:35:00",2010,"Moore"
"70",2010-03-11,140.5,35.23722,-79.39111,63,94,2,90,"15:35:00",2010,"Moore"
"71",2010-03-12,140.5,35.23722,-79.39111,64,91,1.66666666666667,63.3333333333333,"15:35:00",2010,"Moore"
"72",2010-03-13,140.5,35.23722,-79.39111,64,40,14,246.666666666667,"15:35:00",2010,"Moore"
"73",2010-03-14,140.5,35.23722,-79.39111,57,44,8,276.666666666667,"15:35:00",2010,"Moore"
"74",2010-03-15,140.5,35.23722,-79.39111,61,42,7,340,"15:35:00",2010,"Moore"
"75",2010-03-16,140.5,35.23722,-79.39111,54,54,4.33333333333333,30,"15:35:00",2010,"Moore"
"76",2010-03-17,140.5,35.23722,-79.39111,60,32.5,6.33333333333333,166.666666666667,"15:35:00",2010,"Moore"
"77",2010-03-18,140.5,35.23722,-79.39111,64,31,5,193.333333333333,"15:35:00",2010,"Moore"
"78",2010-03-19,140.5,35.23722,-79.39111,73,17,4.33333333333333,210,"15:35:00",2010,"Moore"
"79",2010-03-20,140.5,35.23722,-79.39111,77,23,10.3333333333333,223.333333333333,"15:35:00",2010,"Moore"
"80",2010-03-21,140.5,35.23722,-79.39111,66,60,8,163.333333333333,"15:35:00",2010,"Moore"
"81",2010-03-22,140.5,35.23722,-79.39111,57,49.5,20.6666666666667,233.333333333333,"15:35:00",2010,"Moore"
"82",2010-03-23,140.5,35.23722,-79.39111,64,40,9.66666666666667,283.333333333333,"15:35:00",2010,"Moore"
"83",2010-03-24,140.5,35.23722,-79.39111,75,24,9,300,"15:35:00",2010,"Moore"
"84",2010-03-25,140.5,35.23722,-79.39111,73,33,16.6666666666667,216.666666666667,"15:35:00",2010,"Moore"
"85",2010-03-26,140.5,35.23722,-79.39111,63.5,50.5,12,190,"15:35:00",2010,"Moore"
"86",2010-03-27,140.5,35.23722,-79.39111,57,33,7.66666666666667,110,"15:35:00",2010,"Moore"
"87",2010-03-28,140.5,35.23722,-79.39111,64.5,66.5,17.6666666666667,186.666666666667,"15:35:00",2010,"Moore"
"88",2010-03-29,140.5,35.23722,-79.39111,64,62,6,100,"15:35:00",2010,"Moore"
"89",2010-03-30,140.5,35.23722,-79.39111,70,30,10.6666666666667,310,"15:35:00",2010,"Moore"
"90",2010-03-31,140.5,35.23722,-79.39111,79,13,9.66666666666667,260,"15:35:00",2010,"Moore"
"91",2010-04-01,140.5,35.23722,-79.39111,88,18,4.33333333333333,146.666666666667,"15:35:00",2010,"Moore"
"92",2010-04-02,140.5,35.23722,-79.39111,88,24,8,190,"15:35:00",2010,"Moore"
"93",2010-04-03,140.5,35.23722,-79.39111,79,32,9,203.333333333333,"15:35:00",2010,"Moore"
"94",2010-04-04,140.5,35.23722,-79.39111,84,33,2.66666666666667,150,"15:35:00",2010,"Moore"
"95",2010-04-05,140.5,35.23722,-79.39111,90,28,12.3333333333333,226.666666666667,"15:35:00",2010,"Moore"
"96",2010-04-06,140.5,35.23722,-79.39111,91,20.5,15,215,"15:35:00",2010,"Moore"
"97",2010-04-07,140.5,35.23722,-79.39111,88,29,14.6666666666667,240,"15:35:00",2010,"Moore"
"98",2010-04-08,140.5,35.23722,-79.39111,80,42,17.6666666666667,226.666666666667,"15:35:00",2010,"Moore"
"99",2010-04-09,140.5,35.23722,-79.39111,66,26,8.66666666666667,320,"15:35:00",2010,"Moore"
"100",2010-04-10,140.5,35.23722,-79.39111,70,20,3.66666666666667,50,"15:35:00",2010,"Moore"
"101",2010-04-11,140.5,35.23722,-79.39111,74,24.5,5,223.333333333333,"15:35:00",2010,"Moore"
"102",2010-04-12,140.5,35.23722,-79.39111,79,23.5,6.66666666666667,50,"15:35:00",2010,"Moore"
"103",2010-04-13,140.5,35.23722,-79.39111,80,28,10,216.666666666667,"15:35:00",2010,"Moore"
"104",2010-04-14,140.5,35.23722,-79.39111,57,63,9,65,"15:35:00",2010,"Moore"
"105",2010-04-15,140.5,35.23722,-79.39111,76,34,2,73.3333333333333,"15:35:00",2010,"Moore"
"106",2010-04-16,140.5,35.23722,-79.39111,86,25.5,11.3333333333333,255,"15:35:00",2010,"Moore"
"107",2010-04-17,140.5,35.23722,-79.39111,81,39,9.33333333333333,290,"15:35:00",2010,"Moore"
"108",2010-04-18,140.5,35.23722,-79.39111,67,25,8,30,"15:35:00",2010,"Moore"
"109",2010-04-19,140.5,35.23722,-79.39111,68,30,4.66666666666667,326.666666666667,"15:35:00",2010,"Moore"
"110",2010-04-20,140.5,35.23722,-79.39111,72,31,7.33333333333333,210,"15:35:00",2010,"Moore"
"111",2010-04-21,140.5,35.23722,-79.39111,66,62,6.66666666666667,333.333333333333,"15:35:00",2010,"Moore"
"112",2010-04-22,140.5,35.23722,-79.39111,74,26,7,310,"15:35:00",2010,"Moore"
"113",2010-04-23,140.5,35.23722,-79.39111,79,42,0,0,"15:35:00",2010,"Moore"
