"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,48.8,35.855,-77.89306,45,77,6,360,"15:53:00",2010,"Nash"
"2",2010-01-02,48.8,35.855,-77.89306,31,30,17,290,"15:53:00",2010,"Nash"
"3",2010-01-03,48.8,35.855,-77.89306,33,28,20,290,"15:53:00",2010,"Nash"
"4",2010-01-04,48.8,35.855,-77.89306,35,37,6,300,"15:53:00",2010,"Nash"
"5",2010-01-05,48.8,35.855,-77.89306,34,40,10,290,"15:53:00",2010,"Nash"
"6",2010-01-06,48.8,35.855,-77.89306,40,38,9,290,"15:53:00",2010,"Nash"
"7",2010-01-07,48.8,35.855,-77.89306,43,37,6,240,"15:53:00",2010,"Nash"
"8",2010-01-08,48.8,35.855,-77.89306,31,31,14,320,"15:53:00",2010,"Nash"
"9",2010-01-09,48.8,35.855,-77.89306,37,36,9,330,"15:53:00",2010,"Nash"
"10",2010-01-10,48.8,35.855,-77.89306,36,25,13,340,"15:53:00",2010,"Nash"
"11",2010-01-11,48.8,35.855,-77.89306,43,22,10,210,"15:53:00",2010,"Nash"
"12",2010-01-12,48.8,35.855,-77.89306,38,44,9,330,"15:53:00",2010,"Nash"
"13",2010-01-13,48.8,35.855,-77.89306,44,30,0,0,"15:53:00",2010,"Nash"
"14",2010-01-14,48.8,35.855,-77.89306,53,31,11,190,"15:53:00",2010,"Nash"
"15",2010-01-15,48.8,35.855,-77.89306,60,23,7,200,"15:53:00",2010,"Nash"
"16",2010-01-16,48.8,35.855,-77.89306,59,33,0,0,"15:53:00",2010,"Nash"
"17",2010-01-17,48.8,35.855,-77.89306,59,88.6666666666667,9.33333333333333,243.333333333333,"15:53:00",2010,"Nash"
"18",2010-01-18,48.8,35.855,-77.89306,59,49,5,350,"15:53:00",2010,"Nash"
"19",2010-01-19,48.8,35.855,-77.89306,63,37,7,240,"15:53:00",2010,"Nash"
"20",2010-01-20,48.8,35.855,-77.89306,60,52,9,30,"15:53:00",2010,"Nash"
"21",2010-01-21,48.8,35.855,-77.89306,39.5,91,8,25,"15:53:00",2010,"Nash"
"22",2010-01-22,48.8,35.855,-77.89306,40,93,8,360,"15:53:00",2010,"Nash"
"23",2010-01-23,48.8,35.855,-77.89306,50,54,6,60,"15:53:00",2010,"Nash"
"24",2010-01-24,48.8,35.855,-77.89306,65,66,13,170,"15:53:00",2010,"Nash"
"25",2010-01-25,48.8,35.855,-77.89306,63,40,16,210,"15:53:00",2010,"Nash"
"26",2010-01-26,48.8,35.855,-77.89306,50,33,10,270,"15:53:00",2010,"Nash"
"27",2010-01-27,48.8,35.855,-77.89306,48,41,8,250,"15:53:00",2010,"Nash"
"28",2010-01-28,48.8,35.855,-77.89306,61,34,10,260,"15:53:00",2010,"Nash"
"29",2010-01-29,48.8,35.855,-77.89306,37,39,10,20,"15:53:00",2010,"Nash"
"30",2010-01-30,48.8,35.855,-77.89306,23,85.6666666666667,18,126.666666666667,"15:53:00",2010,"Nash"
"31",2010-01-31,48.8,35.855,-77.89306,34,34,6,320,"15:53:00",2010,"Nash"
"32",2010-02-01,48.8,35.855,-77.89306,44,27,0,0,"15:53:00",2010,"Nash"
"33",2010-02-02,48.8,35.855,-77.89306,36.5,96.5,7,25,"15:53:00",2010,"Nash"
"34",2010-02-03,48.8,35.855,-77.89306,49,52,7,350,"15:53:00",2010,"Nash"
"35",2010-02-04,48.8,35.855,-77.89306,44,49,3,10,"15:53:00",2010,"Nash"
"36",2010-02-05,48.8,35.855,-77.89306,39,93,9,70,"15:53:00",2010,"Nash"
"37",2010-02-06,48.8,35.855,-77.89306,34,75,17,350,"15:53:00",2010,"Nash"
"38",2010-02-07,48.8,35.855,-77.89306,41,33,7,20,"15:53:00",2010,"Nash"
"39",2010-02-08,48.8,35.855,-77.89306,43,40,0,0,"15:53:00",2010,"Nash"
"40",2010-02-09,48.8,35.855,-77.89306,37,86.5,4.5,NA,"15:53:00",2010,"Nash"
"41",2010-02-10,48.8,35.855,-77.89306,39,31,26,280,"15:53:00",2010,"Nash"
"42",2010-02-11,48.8,35.855,-77.89306,46,35,11,290,"15:53:00",2010,"Nash"
"43",2010-02-12,48.8,35.855,-77.89306,39,46,3,210,"15:53:00",2010,"Nash"
"44",2010-02-13,48.8,35.855,-77.89306,36,62,7,280,"15:53:00",2010,"Nash"
"45",2010-02-14,48.8,35.855,-77.89306,44,38,6,230,"15:53:00",2010,"Nash"
"46",2010-02-15,48.8,35.855,-77.89306,50,61,18,210,"15:53:00",2010,"Nash"
"47",2010-02-16,48.8,35.855,-77.89306,40,38,15,260,"15:53:00",2010,"Nash"
"48",2010-02-17,48.8,35.855,-77.89306,41,36,17,280,"15:53:00",2010,"Nash"
"49",2010-02-18,48.8,35.855,-77.89306,50,35,13,290,"15:53:00",2010,"Nash"
"50",2010-02-19,48.8,35.855,-77.89306,53,23,11,310,"15:53:00",2010,"Nash"
"51",2010-02-20,48.8,35.855,-77.89306,56,21,9,230,"15:53:00",2010,"Nash"
"52",2010-02-21,48.8,35.855,-77.89306,63,27,9,240,"15:53:00",2010,"Nash"
"53",2010-02-22,48.8,35.855,-77.89306,55,93,6,150,"15:53:00",2010,"Nash"
"54",2010-02-23,48.8,35.855,-77.89306,54,64,7,300,"15:53:00",2010,"Nash"
"55",2010-02-24,48.8,35.855,-77.89306,40,83,5,70,"15:53:00",2010,"Nash"
"56",2010-02-25,48.8,35.855,-77.89306,41,43,14,310,"15:53:00",2010,"Nash"
"57",2010-02-26,48.8,35.855,-77.89306,50,29,20,250,"15:53:00",2010,"Nash"
"58",2010-02-27,48.8,35.855,-77.89306,49,31,8,270,"15:53:00",2010,"Nash"
"59",2010-02-28,48.8,35.855,-77.89306,52,31,11,290,"15:53:00",2010,"Nash"
"60",2010-03-01,48.8,35.855,-77.89306,53,32,9,250,"15:53:00",2010,"Nash"
"61",2010-03-02,48.8,35.855,-77.89306,37,86.5,11.5,10,"15:53:00",2010,"Nash"
"62",2010-03-03,48.8,35.855,-77.89306,41,82,8,320,"15:53:00",2010,"Nash"
"63",2010-03-04,48.8,35.855,-77.89306,51,33,13,270,"15:53:00",2010,"Nash"
"64",2010-03-05,48.8,35.855,-77.89306,50,29,11,340,"15:53:00",2010,"Nash"
"65",2010-03-06,48.8,35.855,-77.89306,55,22,10,310,"15:53:00",2010,"Nash"
"66",2010-03-07,48.8,35.855,-77.89306,61,16,5,260,"15:53:00",2010,"Nash"
"67",2010-03-08,48.8,35.855,-77.89306,63,17,0,0,"15:53:00",2010,"Nash"
"68",2010-03-09,48.8,35.855,-77.89306,71,26,8,240,"15:53:00",2010,"Nash"
"69",2010-03-10,48.8,35.855,-77.89306,67,41,9,220,"15:53:00",2010,"Nash"
"70",2010-03-11,48.8,35.855,-77.89306,64,87.8,5.6,115,"15:53:00",2010,"Nash"
"71",2010-03-12,48.8,35.855,-77.89306,62.5,89,8,55,"15:53:00",2010,"Nash"
"72",2010-03-13,48.8,35.855,-77.89306,61.5,58.5,4.5,275,"15:53:00",2010,"Nash"
"73",2010-03-14,48.8,35.855,-77.89306,60,44,8,260,"15:53:00",2010,"Nash"
"74",2010-03-15,48.8,35.855,-77.89306,59,48,9,320,"15:53:00",2010,"Nash"
"75",2010-03-16,48.8,35.855,-77.89306,51,61,10,350,"15:53:00",2010,"Nash"
"76",2010-03-17,48.8,35.855,-77.89306,62,29,5,100,"15:53:00",2010,"Nash"
"77",2010-03-18,48.8,35.855,-77.89306,64,27,5,NA,"15:53:00",2010,"Nash"
"78",2010-03-19,48.8,35.855,-77.89306,73,16,7,310,"15:53:00",2010,"Nash"
"79",2010-03-20,48.8,35.855,-77.89306,76,20,7,180,"15:53:00",2010,"Nash"
"80",2010-03-21,48.8,35.855,-77.89306,69,47,7,160,"15:53:00",2010,"Nash"
"81",2010-03-22,48.8,35.855,-77.89306,62,43,20,200,"15:53:00",2010,"Nash"
"82",2010-03-23,48.8,35.855,-77.89306,65,39,22,280,"15:53:00",2010,"Nash"
"83",2010-03-24,48.8,35.855,-77.89306,73,23,5,NA,"15:53:00",2010,"Nash"
"84",2010-03-25,48.8,35.855,-77.89306,72,29,17,200,"15:53:00",2010,"Nash"
"85",2010-03-26,48.8,35.855,-77.89306,50,80,16,360,"15:53:00",2010,"Nash"
"86",2010-03-27,48.8,35.855,-77.89306,56,40,6,NA,"15:53:00",2010,"Nash"
"87",2010-03-28,48.8,35.855,-77.89306,66,54,16,180,"15:53:00",2010,"Nash"
"88",2010-03-29,48.8,35.855,-77.89306,62,70,7,360,"15:53:00",2010,"Nash"
"89",2010-03-30,48.8,35.855,-77.89306,68,30,15,280,"15:53:00",2010,"Nash"
"90",2010-03-31,48.8,35.855,-77.89306,75,17,9,330,"15:53:00",2010,"Nash"
"91",2010-04-01,48.8,35.855,-77.89306,83,17,0,0,"15:53:00",2010,"Nash"
"92",2010-04-02,48.8,35.855,-77.89306,86,25,6,140,"15:53:00",2010,"Nash"
"93",2010-04-03,48.8,35.855,-77.89306,79,39,8,180,"15:53:00",2010,"Nash"
"94",2010-04-04,48.8,35.855,-77.89306,83,36,3,210,"15:53:00",2010,"Nash"
"95",2010-04-05,48.8,35.855,-77.89306,87,31,13,210,"15:53:00",2010,"Nash"
"96",2010-04-06,48.8,35.855,-77.89306,89,26,15,220,"15:53:00",2010,"Nash"
"97",2010-04-07,48.8,35.855,-77.89306,85,36,14,200,"15:53:00",2010,"Nash"
"98",2010-04-08,48.8,35.855,-77.89306,81,39,13,190,"15:53:00",2010,"Nash"
"99",2010-04-09,48.8,35.855,-77.89306,65,31,16,290,"15:53:00",2010,"Nash"
"100",2010-04-10,48.8,35.855,-77.89306,68,22,0,0,"15:53:00",2010,"Nash"
"101",2010-04-11,48.8,35.855,-77.89306,74,25,3,NA,"15:53:00",2010,"Nash"
"102",2010-04-12,48.8,35.855,-77.89306,78,24,6,110,"15:53:00",2010,"Nash"
"103",2010-04-13,48.8,35.855,-77.89306,77,35,6,190,"15:53:00",2010,"Nash"
"104",2010-04-14,48.8,35.855,-77.89306,57,62,7,360,"15:53:00",2010,"Nash"
"105",2010-04-15,48.8,35.855,-77.89306,72,35,5,270,"15:53:00",2010,"Nash"
"106",2010-04-16,48.8,35.855,-77.89306,85,30,20,210,"15:53:00",2010,"Nash"
"107",2010-04-17,48.8,35.855,-77.89306,78,36,11,270,"15:53:00",2010,"Nash"
"108",2010-04-18,48.8,35.855,-77.89306,65,29,7,320,"15:53:00",2010,"Nash"
"109",2010-04-19,48.8,35.855,-77.89306,65,34,0,0,"15:53:00",2010,"Nash"
"110",2010-04-20,48.8,35.855,-77.89306,72,28,5,220,"15:53:00",2010,"Nash"
"111",2010-04-21,48.8,35.855,-77.89306,55,90.5,3,10,"15:53:00",2010,"Nash"
"112",2010-04-22,48.8,35.855,-77.89306,73,27,6,270,"15:53:00",2010,"Nash"
"113",2010-04-23,48.8,35.855,-77.89306,74,41,5,290,"15:53:00",2010,"Nash"
"114",2010-04-24,48.8,35.855,-77.89306,67.5,83.5,5.5,135,"15:53:00",2010,"Nash"
"115",2010-04-25,48.8,35.855,-77.89306,79,62,14,200,"15:53:00",2010,"Nash"
"116",2010-04-26,48.8,35.855,-77.89306,73.25,49,16.25,245,"15:53:00",2010,"Nash"
"117",2010-04-27,48.8,35.855,-77.89306,66,43,9,320,"15:53:00",2010,"Nash"
"118",2010-04-28,48.8,35.855,-77.89306,66,23,15,290,"15:53:00",2010,"Nash"
"119",2010-04-29,48.8,35.855,-77.89306,73,25,8,240,"15:53:00",2010,"Nash"
"120",2010-04-30,48.8,35.855,-77.89306,83,34,11,210,"15:53:00",2010,"Nash"
"121",2010-05-01,48.8,35.855,-77.89306,86,49,9,200,"15:53:00",2010,"Nash"
"122",2010-05-02,48.8,35.855,-77.89306,90,48,15,200,"15:53:00",2010,"Nash"
"123",2010-05-03,48.8,35.855,-77.89306,81,61,10,210,"15:53:00",2010,"Nash"
"124",2010-05-04,48.8,35.855,-77.89306,76,67,3,260,"15:53:00",2010,"Nash"
"125",2010-05-05,48.8,35.855,-77.89306,85,32,6,120,"15:53:00",2010,"Nash"
"126",2010-05-06,48.8,35.855,-77.89306,90,31,7,270,"15:53:00",2010,"Nash"
"127",2010-05-07,48.8,35.855,-77.89306,88,34,9,180,"15:53:00",2010,"Nash"
"128",2010-05-09,48.8,35.855,-77.89306,68,25,9,320,"15:53:00",2010,"Nash"
"129",2010-05-10,48.8,35.855,-77.89306,65,27,0,0,"15:53:00",2010,"Nash"
"130",2010-05-11,48.8,35.855,-77.89306,69,44,6,NA,"15:53:00",2010,"Nash"
"131",2010-05-12,48.8,35.855,-77.89306,84,49,17,250,"15:53:00",2010,"Nash"
"132",2010-05-13,48.8,35.855,-77.89306,65,81,7,60,"15:53:00",2010,"Nash"
