"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,4,36.26056,-76.175,45,68,9,340,"15:54:00",2010,"Pasquotank"
"2",2010-01-02,4,36.26056,-76.175,33,33,18,310,"15:54:00",2010,"Pasquotank"
"3",2010-01-03,4,36.26056,-76.175,34,31,18,280,"15:54:00",2010,"Pasquotank"
"4",2010-01-04,4,36.26056,-76.175,37,36,9,270,"15:54:00",2010,"Pasquotank"
"5",2010-01-05,4,36.26056,-76.175,36,35,16,290,"15:54:00",2010,"Pasquotank"
"6",2010-01-06,4,36.26056,-76.175,42,35,17,300,"15:54:00",2010,"Pasquotank"
"7",2010-01-07,4,36.26056,-76.175,41,39,10,260,"15:54:00",2010,"Pasquotank"
"8",2010-01-08,4,36.26056,-76.175,35,32,15,310,"15:54:00",2010,"Pasquotank"
"9",2010-01-09,4,36.26056,-76.175,36,42,8,340,"15:54:00",2010,"Pasquotank"
"10",2010-01-10,4,36.26056,-76.175,35,31,16,340,"15:54:00",2010,"Pasquotank"
"11",2010-01-11,4,36.26056,-76.175,40,27,10,210,"15:54:00",2010,"Pasquotank"
"12",2010-01-12,4,36.26056,-76.175,39,39,14,310,"15:54:00",2010,"Pasquotank"
"13",2010-01-13,4,36.26056,-76.175,45,30,8,290,"15:54:00",2010,"Pasquotank"
"14",2010-01-14,4,36.26056,-76.175,51,33,7,220,"15:54:00",2010,"Pasquotank"
"15",2010-01-15,4,36.26056,-76.175,60,22,7,240,"15:54:00",2010,"Pasquotank"
"16",2010-01-16,4,36.26056,-76.175,51,54,5,130,"15:54:00",2010,"Pasquotank"
"17",2010-01-17,4,36.26056,-76.175,66,75,9,160,"15:54:00",2010,"Pasquotank"
"18",2010-01-18,4,36.26056,-76.175,56,51,9,350,"15:54:00",2010,"Pasquotank"
"19",2010-01-19,4,36.26056,-76.175,64,46,7,250,"15:54:00",2010,"Pasquotank"
