"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,185.6,36.28472,-78.98417,45,57,7.33333333333333,303.333333333333,"15:21:00",2010,"Person"
"2",2010-01-02,185.6,36.28472,-78.98417,28,31,11.3333333333333,293.333333333333,"15:21:00",2010,"Person"
"3",2010-01-03,185.6,36.28472,-78.98417,30,26,11.6666666666667,296.666666666667,"15:21:00",2010,"Person"
"4",2010-01-04,185.6,36.28472,-78.98417,34,35,8,300,"15:21:00",2010,"Person"
"5",2010-01-05,185.6,36.28472,-78.98417,34,36.5,8,306.666666666667,"15:21:00",2010,"Person"
"6",2010-01-06,185.6,36.28472,-78.98417,39,36,8.66666666666667,290,"15:21:00",2010,"Person"
"7",2010-01-07,185.6,36.28472,-78.98417,44,28,3.66666666666667,176.666666666667,"15:21:00",2010,"Person"
"8",2010-01-08,185.6,36.28472,-78.98417,28,31,10.3333333333333,303.333333333333,"15:21:00",2010,"Person"
"9",2010-01-09,185.6,36.28472,-78.98417,36,35,6.66666666666667,306.666666666667,"15:21:00",2010,"Person"
"10",2010-01-10,185.6,36.28472,-78.98417,36,24,5.66666666666667,320,"15:21:00",2010,"Person"
"11",2010-01-11,185.6,36.28472,-78.98417,43,25,11,230,"15:21:00",2010,"Person"
"12",2010-01-12,185.6,36.28472,-78.98417,36,48,7,316.666666666667,"15:21:00",2010,"Person"
"13",2010-01-13,185.6,36.28472,-78.98417,45,29,2.66666666666667,173.333333333333,"15:21:00",2010,"Person"
"14",2010-01-14,185.6,36.28472,-78.98417,55,15,6.66666666666667,216.666666666667,"15:21:00",2010,"Person"
"15",2010-01-15,185.6,36.28472,-78.98417,62,21,3.66666666666667,260,"15:21:00",2010,"Person"
"16",2010-01-16,185.6,36.28472,-78.98417,59,22,1,60,"15:21:00",2010,"Person"
"17",2010-01-17,185.6,36.28472,-78.98417,46,100,4.33333333333333,220,"15:21:00",2010,"Person"
"18",2010-01-18,185.6,36.28472,-78.98417,61,43.5,6,273.333333333333,"15:21:00",2010,"Person"
"19",2010-01-19,185.6,36.28472,-78.98417,64,35.5,8,243.333333333333,"15:21:00",2010,"Person"
"20",2010-01-20,185.6,36.28472,-78.98417,55,67,4,130,"15:21:00",2010,"Person"
"21",2010-01-21,185.6,36.28472,-78.98417,36,93,9.33333333333333,43.3333333333333,"15:21:00",2010,"Person"
"22",2010-01-22,185.6,36.28472,-78.98417,37,100,7.66666666666667,133.333333333333,"15:21:00",2010,"Person"
"23",2010-01-23,185.6,36.28472,-78.98417,48,41.5,6.33333333333333,80,"15:21:00",2010,"Person"
"24",2010-01-24,185.6,36.28472,-78.98417,56,85,7,123.333333333333,"15:21:00",2010,"Person"
"25",2010-01-25,185.6,36.28472,-78.98417,63,38,15,233.333333333333,"15:21:00",2010,"Person"
"26",2010-01-26,185.6,36.28472,-78.98417,46,34,9,266.666666666667,"15:21:00",2010,"Person"
"27",2010-01-27,185.6,36.28472,-78.98417,46,37,7.66666666666667,266.666666666667,"15:21:00",2010,"Person"
"28",2010-01-28,185.6,36.28472,-78.98417,57,33,11.3333333333333,240,"15:21:00",2010,"Person"
"29",2010-01-29,185.6,36.28472,-78.98417,36,36.5,5.66666666666667,40,"15:21:00",2010,"Person"
"30",2010-01-30,185.6,36.28472,-78.98417,19,86,12,246.666666666667,"15:21:00",2010,"Person"
"31",2010-01-31,185.6,36.28472,-78.98417,35,35,2,143.333333333333,"15:21:00",2010,"Person"
"32",2010-02-01,185.6,36.28472,-78.98417,46,23,0,0,"15:21:00",2010,"Person"
