"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,7.6,35.63333,-77.38333,45,87,5.25,340,"15:30:00",2010,"Pitt"
"2",2010-01-02,7.6,35.63333,-77.38333,33,28,14.5,310,"15:30:00",2010,"Pitt"
"3",2010-01-03,7.6,35.63333,-77.38333,32,28,8.5,287.5,"15:30:00",2010,"Pitt"
"4",2010-01-04,7.6,35.63333,-77.38333,36,35,7.25,280,"15:30:00",2010,"Pitt"
"5",2010-01-05,7.6,35.63333,-77.38333,35,36.5,10.25,290,"15:30:00",2010,"Pitt"
"6",2010-01-06,7.6,35.63333,-77.38333,39,39,7.75,292.5,"15:30:00",2010,"Pitt"
"7",2010-01-07,7.6,35.63333,-77.38333,43,36,7,232.5,"15:30:00",2010,"Pitt"
"8",2010-01-08,7.6,35.63333,-77.38333,34,30.5,12.75,320,"15:30:00",2010,"Pitt"
"9",2010-01-09,7.6,35.63333,-77.38333,36,35,6.75,342.5,"15:30:00",2010,"Pitt"
"10",2010-01-10,7.6,35.63333,-77.38333,36,25,10.25,355,"15:30:00",2010,"Pitt"
"11",2010-01-11,7.6,35.63333,-77.38333,43,19,7.5,227.5,"15:30:00",2010,"Pitt"
"12",2010-01-12,7.6,35.63333,-77.38333,37,48,6.5,332.5,"15:30:00",2010,"Pitt"
"13",2010-01-13,7.6,35.63333,-77.38333,43,29,0,0,"15:30:00",2010,"Pitt"
"14",2010-01-14,7.6,35.63333,-77.38333,53,29,7.75,225,"15:30:00",2010,"Pitt"
"15",2010-01-15,7.6,35.63333,-77.38333,61,22.5,6.5,247.5,"15:30:00",2010,"Pitt"
"16",2010-01-16,7.6,35.63333,-77.38333,61,34,2.25,145,"15:30:00",2010,"Pitt"
"17",2010-01-17,7.6,35.63333,-77.38333,72,61,9.5,210,"15:30:00",2010,"Pitt"
"18",2010-01-18,7.6,35.63333,-77.38333,57,51,4.75,170,"15:30:00",2010,"Pitt"
"19",2010-01-19,7.6,35.63333,-77.38333,64,49,6.66666666666667,253.333333333333,"15:30:00",2010,"Pitt"
"20",2010-01-20,7.6,35.63333,-77.38333,64,46,4,15,"15:30:00",2010,"Pitt"
"21",2010-01-21,7.6,35.63333,-77.38333,43,96.5,6,52.5,"15:30:00",2010,"Pitt"
"22",2010-01-22,7.6,35.63333,-77.38333,40,100,8.25,357.5,"15:30:00",2010,"Pitt"
"23",2010-01-23,7.6,35.63333,-77.38333,48,58,8.75,77.5,"15:30:00",2010,"Pitt"
"24",2010-01-24,7.6,35.63333,-77.38333,66,62,14.25,167.5,"15:30:00",2010,"Pitt"
"25",2010-01-25,7.6,35.63333,-77.38333,63,50.5,16.75,235,"15:30:00",2010,"Pitt"
"26",2010-01-26,7.6,35.63333,-77.38333,51,33.5,11.6666666666667,256.666666666667,"15:30:00",2010,"Pitt"
"27",2010-01-27,7.6,35.63333,-77.38333,48,38.5,7,290,"15:30:00",2010,"Pitt"
"28",2010-01-28,7.6,35.63333,-77.38333,60,30,13.3333333333333,233.333333333333,"15:30:00",2010,"Pitt"
"29",2010-01-29,7.6,35.63333,-77.38333,37,41,6,70,"15:30:00",2010,"Pitt"
"30",2010-02-01,7.6,35.63333,-77.38333,41,39,0,0,"15:30:00",2010,"Pitt"
"31",2010-02-02,7.6,35.63333,-77.38333,37,100,6.5,75,"15:30:00",2010,"Pitt"
"32",2010-02-03,7.6,35.63333,-77.38333,46,59.5,7.66666666666667,343.333333333333,"15:30:00",2010,"Pitt"
"33",2010-02-04,7.6,35.63333,-77.38333,45,49,1.5,10,"15:30:00",2010,"Pitt"
"34",2010-02-05,7.6,35.63333,-77.38333,41,100,13.6666666666667,90,"15:30:00",2010,"Pitt"
"35",2010-02-06,7.6,35.63333,-77.38333,36,84,13.6666666666667,350,"15:30:00",2010,"Pitt"
"36",2010-02-07,7.6,35.63333,-77.38333,39,39,6,180,"15:30:00",2010,"Pitt"
"37",2010-02-08,7.6,35.63333,-77.38333,43,39,1.66666666666667,116.666666666667,"15:30:00",2010,"Pitt"
"38",2010-02-09,7.6,35.63333,-77.38333,42,73.5,5.66666666666667,166.666666666667,"15:30:00",2010,"Pitt"
"39",2010-02-10,7.6,35.63333,-77.38333,37,32,18.6666666666667,293.333333333333,"15:30:00",2010,"Pitt"
"40",2010-02-11,7.6,35.63333,-77.38333,46,35.5,9,290,"15:30:00",2010,"Pitt"
"41",2010-02-12,7.6,35.63333,-77.38333,39,45,0.75,55,"15:30:00",2010,"Pitt"
"42",2010-02-13,7.6,35.63333,-77.38333,34,70,7,302.5,"15:30:00",2010,"Pitt"
"43",2010-02-14,7.6,35.63333,-77.38333,39,42,8,250,"15:30:00",2010,"Pitt"
"44",2010-02-15,7.6,35.63333,-77.38333,54,49.6666666666667,12.6666666666667,226.666666666667,"15:30:00",2010,"Pitt"
"45",2010-02-16,7.6,35.63333,-77.38333,43,31,12.6666666666667,286.666666666667,"15:30:00",2010,"Pitt"
"46",2010-02-17,7.6,35.63333,-77.38333,42,35,11.6666666666667,320,"15:30:00",2010,"Pitt"
"47",2010-02-18,7.6,35.63333,-77.38333,49,34.5,8.5,315,"15:30:00",2010,"Pitt"
"48",2010-02-19,7.6,35.63333,-77.38333,54,26,9.33333333333333,296.666666666667,"15:30:00",2010,"Pitt"
"49",2010-02-20,7.6,35.63333,-77.38333,55,21,7,275,"15:30:00",2010,"Pitt"
"50",2010-02-21,7.6,35.63333,-77.38333,63,25,5,156.666666666667,"15:30:00",2010,"Pitt"
"51",2010-02-22,7.6,35.63333,-77.38333,55,100,5.66666666666667,140,"15:30:00",2010,"Pitt"
"52",2010-02-23,7.6,35.63333,-77.38333,51,77,6.33333333333333,310,"15:30:00",2010,"Pitt"
"53",2010-02-24,7.6,35.63333,-77.38333,43,81,5.33333333333333,13.3333333333333,"15:30:00",2010,"Pitt"
"54",2010-02-25,7.6,35.63333,-77.38333,39,56,12,305,"15:30:00",2010,"Pitt"
"55",2010-02-26,7.6,35.63333,-77.38333,49,28.5,14,276.666666666667,"15:30:00",2010,"Pitt"
"56",2010-02-27,7.6,35.63333,-77.38333,50,30,11,260,"15:30:00",2010,"Pitt"
"57",2010-02-28,7.6,35.63333,-77.38333,48,34,9.33333333333333,310,"15:30:00",2010,"Pitt"
"58",2010-03-01,7.6,35.63333,-77.38333,54,33,8.66666666666667,283.333333333333,"15:30:00",2010,"Pitt"
"59",2010-03-02,7.6,35.63333,-77.38333,39,87,9.66666666666667,240,"15:30:00",2010,"Pitt"
"60",2010-03-03,7.6,35.63333,-77.38333,39,93,6.66666666666667,320,"15:30:00",2010,"Pitt"
"61",2010-03-04,7.6,35.63333,-77.38333,51,31,10.6666666666667,320,"15:30:00",2010,"Pitt"
"62",2010-03-05,7.6,35.63333,-77.38333,48,32,11.6666666666667,340,"15:30:00",2010,"Pitt"
"63",2010-03-06,7.6,35.63333,-77.38333,NA,NA,5,350,"15:30:00",2010,"Pitt"
"64",2010-03-07,7.6,35.63333,-77.38333,61,18,4.66666666666667,166.666666666667,"15:30:00",2010,"Pitt"
"65",2010-03-08,7.6,35.63333,-77.38333,62,17,6,316.666666666667,"15:30:00",2010,"Pitt"
"66",2010-03-09,7.6,35.63333,-77.38333,72,27,6.5,210,"15:30:00",2010,"Pitt"
"67",2010-03-10,7.6,35.63333,-77.38333,67,36,5.33333333333333,273.333333333333,"15:30:00",2010,"Pitt"
"68",2010-03-11,7.6,35.63333,-77.38333,63.5,97,8,123.333333333333,"15:30:00",2010,"Pitt"
"69",2010-03-12,7.6,35.63333,-77.38333,63,100,6.5,90,"15:30:00",2010,"Pitt"
"70",2010-03-13,7.6,35.63333,-77.38333,66,50.5,10,235,"15:30:00",2010,"Pitt"
"71",2010-03-14,7.6,35.63333,-77.38333,59,48,8.66666666666667,310,"15:30:00",2010,"Pitt"
"72",2010-03-15,7.6,35.63333,-77.38333,58,49.5,8.66666666666667,356.666666666667,"15:30:00",2010,"Pitt"
"73",2010-03-16,7.6,35.63333,-77.38333,50,62,12.3333333333333,126.666666666667,"15:30:00",2010,"Pitt"
"74",2010-03-17,7.6,35.63333,-77.38333,61,22,5,93.3333333333333,"15:30:00",2010,"Pitt"
"75",2010-03-18,7.6,35.63333,-77.38333,64,22,9,25,"15:30:00",2010,"Pitt"
"76",2010-03-19,7.6,35.63333,-77.38333,72,17,6.5,340,"15:30:00",2010,"Pitt"
"77",2010-03-20,7.6,35.63333,-77.38333,76,16.5,8,216.666666666667,"15:30:00",2010,"Pitt"
"78",2010-03-21,7.6,35.63333,-77.38333,72,41,13.75,175,"15:30:00",2010,"Pitt"
"79",2010-03-22,7.6,35.63333,-77.38333,61,45,11.6666666666667,213.333333333333,"15:30:00",2010,"Pitt"
"80",2010-03-23,7.6,35.63333,-77.38333,64,37,15,275,"15:30:00",2010,"Pitt"
"81",2010-03-24,7.6,35.63333,-77.38333,72,24,9,320,"15:30:00",2010,"Pitt"
"82",2010-03-25,7.6,35.63333,-77.38333,73,33,19,195,"15:30:00",2010,"Pitt"
"83",2010-03-26,7.6,35.63333,-77.38333,54,77,20,190,"15:30:00",2010,"Pitt"
"84",2010-03-27,7.6,35.63333,-77.38333,55,38,8.5,65,"15:30:00",2010,"Pitt"
"85",2010-03-28,7.6,35.63333,-77.38333,67.3333333333333,47,21.25,165,"15:30:00",2010,"Pitt"
"86",2010-03-29,7.6,35.63333,-77.38333,63.5,70.5,8.33333333333333,340,"15:30:00",2010,"Pitt"
"87",2010-03-30,7.6,35.63333,-77.38333,66,30,12.5,292.5,"15:30:00",2010,"Pitt"
"88",2010-03-31,7.6,35.63333,-77.38333,73,20,7.33333333333333,340,"15:30:00",2010,"Pitt"
"89",2010-04-01,7.6,35.63333,-77.38333,81.6666666666667,17.3333333333333,1.25,22.5,"15:30:00",2010,"Pitt"
"90",2010-04-02,7.6,35.63333,-77.38333,84,25,2,136.666666666667,"15:30:00",2010,"Pitt"
"91",2010-04-03,7.6,35.63333,-77.38333,80,33,7.66666666666667,223.333333333333,"15:30:00",2010,"Pitt"
"92",2010-04-04,7.6,35.63333,-77.38333,82,37,6,240,"15:30:00",2010,"Pitt"
"93",2010-04-05,7.6,35.63333,-77.38333,NA,NA,10,250,"15:30:00",2010,"Pitt"
"94",2010-04-06,7.6,35.63333,-77.38333,90,26.5,13,235,"15:30:00",2010,"Pitt"
"95",2010-04-07,7.6,35.63333,-77.38333,87,31,12.5,235,"15:30:00",2010,"Pitt"
"96",2010-04-08,7.6,35.63333,-77.38333,81.5,33,16.6666666666667,220,"15:30:00",2010,"Pitt"
"97",2010-04-09,7.6,35.63333,-77.38333,63.5,34.5,11.6666666666667,290,"15:30:00",2010,"Pitt"
"98",2010-04-10,7.6,35.63333,-77.38333,66,25,3,226.666666666667,"15:30:00",2010,"Pitt"
"99",2010-04-11,7.6,35.63333,-77.38333,73,25,7,235,"15:30:00",2010,"Pitt"
"100",2010-04-12,7.6,35.63333,-77.38333,79,23,5.66666666666667,96.6666666666667,"15:30:00",2010,"Pitt"
"101",2010-04-13,7.6,35.63333,-77.38333,75,36,2.66666666666667,80,"15:30:00",2010,"Pitt"
"102",2010-04-14,7.6,35.63333,-77.38333,57,59,8.66666666666667,33.3333333333333,"15:30:00",2010,"Pitt"
"103",2010-04-15,7.6,35.63333,-77.38333,70,35,4.66666666666667,246.666666666667,"15:30:00",2010,"Pitt"
"104",2010-04-16,7.6,35.63333,-77.38333,84,30,12.3333333333333,253.333333333333,"15:30:00",2010,"Pitt"
"105",2010-04-17,7.6,35.63333,-77.38333,75,47,6.33333333333333,323.333333333333,"15:30:00",2010,"Pitt"
"106",2010-04-18,7.6,35.63333,-77.38333,66,26,8,223.333333333333,"15:30:00",2010,"Pitt"
"107",2010-04-19,7.6,35.63333,-77.38333,65,32,5,213.333333333333,"15:30:00",2010,"Pitt"
"108",2010-04-20,7.6,35.63333,-77.38333,72,27,5,190,"15:30:00",2010,"Pitt"
"109",2010-04-21,7.6,35.63333,-77.38333,57,94,3.66666666666667,63.3333333333333,"15:30:00",2010,"Pitt"
"110",2010-04-22,7.6,35.63333,-77.38333,72.5,29,6.66666666666667,286.666666666667,"15:30:00",2010,"Pitt"
"111",2010-04-23,7.6,35.63333,-77.38333,75,37.5,5.66666666666667,313.333333333333,"15:30:00",2010,"Pitt"
"112",2010-04-24,7.6,35.63333,-77.38333,68,73.5,7.66666666666667,123.333333333333,"15:30:00",2010,"Pitt"
"113",2010-04-25,7.6,35.63333,-77.38333,79,59.5,18.3333333333333,216.666666666667,"15:30:00",2010,"Pitt"
"114",2010-04-26,7.6,35.63333,-77.38333,81,33,13,253.333333333333,"15:30:00",2010,"Pitt"
"115",2010-04-27,7.6,35.63333,-77.38333,67,44.5,11.3333333333333,310,"15:30:00",2010,"Pitt"
"116",2010-04-28,7.6,35.63333,-77.38333,66,22,10,316.666666666667,"15:30:00",2010,"Pitt"
"117",2010-04-29,7.6,35.63333,-77.38333,73,23,10,250,"15:30:00",2010,"Pitt"
"118",2010-04-30,7.6,35.63333,-77.38333,82,32,8.66666666666667,226.666666666667,"15:30:00",2010,"Pitt"
