"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,205.1,35.65361,-79.895,50,32,9.66666666666667,323.333333333333,"15:22:00",2010,"Randolph"
"2",2010-01-02,205.1,35.65361,-79.895,33,18.5,10.3333333333333,296.666666666667,"15:22:00",2010,"Randolph"
"3",2010-01-03,205.1,35.65361,-79.895,33,11.5,9.33333333333333,300,"15:22:00",2010,"Randolph"
"4",2010-01-04,205.1,35.65361,-79.895,37,22,9,313.333333333333,"15:22:00",2010,"Randolph"
"5",2010-01-05,205.1,35.65361,-79.895,37,22,9.33333333333333,310,"15:22:00",2010,"Randolph"
"6",2010-01-06,205.1,35.65361,-79.895,39,26,12.3333333333333,303.333333333333,"15:22:00",2010,"Randolph"
"7",2010-01-07,205.1,35.65361,-79.895,46,14,7,196.666666666667,"15:22:00",2010,"Randolph"
"8",2010-01-08,205.1,35.65361,-79.895,30,19,9.33333333333333,320,"15:22:00",2010,"Randolph"
"9",2010-01-09,205.1,35.65361,-79.895,36.5,22.5,4,196.666666666667,"15:22:00",2010,"Randolph"
"10",2010-01-10,205.1,35.65361,-79.895,37,17,6.33333333333333,323.333333333333,"15:22:00",2010,"Randolph"
"11",2010-01-11,205.1,35.65361,-79.895,45,12,8,213.333333333333,"15:22:00",2010,"Randolph"
"12",2010-01-12,205.1,35.65361,-79.895,39,30,6.66666666666667,306.666666666667,"15:22:00",2010,"Randolph"
"13",2010-01-13,205.1,35.65361,-79.895,46,16,2.66666666666667,163.333333333333,"15:22:00",2010,"Randolph"
"14",2010-01-14,205.1,35.65361,-79.895,55,15.5,7,220,"15:22:00",2010,"Randolph"
"15",2010-01-15,205.1,35.65361,-79.895,63.5,NA,0,0,"15:22:00",2010,"Randolph"
"16",2010-01-16,205.1,35.65361,-79.895,61,15.5,0,0,"15:22:00",2010,"Randolph"
"17",2010-01-17,205.1,35.65361,-79.895,63,66,6.25,285,"15:22:00",2010,"Randolph"
"18",2010-01-18,205.1,35.65361,-79.895,63,27,1.66666666666667,103.333333333333,"15:22:00",2010,"Randolph"
"19",2010-01-19,205.1,35.65361,-79.895,66,22,4.5,157.5,"15:22:00",2010,"Randolph"
"20",2010-01-20,205.1,35.65361,-79.895,66,37,2.33333333333333,70,"15:22:00",2010,"Randolph"
"21",2010-01-21,205.1,35.65361,-79.895,39,81,7.75,47.5,"15:22:00",2010,"Randolph"
"22",2010-01-22,205.1,35.65361,-79.895,45,71,7,187.5,"15:22:00",2010,"Randolph"
"23",2010-01-23,205.1,35.65361,-79.895,52,22,1.25,15,"15:22:00",2010,"Randolph"
"24",2010-01-24,205.1,35.65361,-79.895,64,73,11.25,157.5,"15:22:00",2010,"Randolph"
"25",2010-01-25,205.1,35.65361,-79.895,63,20,18.25,222.5,"15:22:00",2010,"Randolph"
"26",2010-01-26,205.1,35.65361,-79.895,48,23,8.5,257.5,"15:22:00",2010,"Randolph"
"27",2010-01-27,205.1,35.65361,-79.895,48,27,5,245,"15:22:00",2010,"Randolph"
"28",2010-01-28,205.1,35.65361,-79.895,64,16,7.5,252.5,"15:22:00",2010,"Randolph"
"29",2010-01-29,205.1,35.65361,-79.895,43,22,3,15,"15:22:00",2010,"Randolph"
"30",2010-02-01,205.1,35.65361,-79.895,50,10,0,0,"15:22:00",2010,"Randolph"
"31",2010-02-02,205.1,35.65361,-79.895,37,87,5,10,"15:22:00",2010,"Randolph"
"32",2010-02-03,205.1,35.65361,-79.895,52,38,4.5,285,"15:22:00",2010,"Randolph"
"33",2010-02-07,205.1,35.65361,-79.895,46,23,5,320,"15:22:00",2010,"Randolph"
"34",2010-02-08,205.1,35.65361,-79.895,NA,NA,3,300,"15:22:00",2010,"Randolph"
"35",2010-02-10,205.1,35.65361,-79.895,39,22,16.5,285,"15:22:00",2010,"Randolph"
