"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,211.2,36.43722,-79.85111,46.75,38.5,6,322.5,"15:30:00",2010,"Rockingham"
"2",2010-01-02,211.2,36.43722,-79.85111,30.75,23.75,11.75,307.5,"15:30:00",2010,"Rockingham"
"3",2010-01-03,211.2,36.43722,-79.85111,32,22,6.25,317.5,"15:30:00",2010,"Rockingham"
"4",2010-01-04,211.2,36.43722,-79.85111,36,29.75,8.75,320,"15:30:00",2010,"Rockingham"
"5",2010-01-05,211.2,36.43722,-79.85111,36,30.25,7.25,332.5,"15:30:00",2010,"Rockingham"
"6",2010-01-06,211.2,36.43722,-79.85111,38,33.75,11,326.666666666667,"15:30:00",2010,"Rockingham"
"7",2010-01-07,211.2,36.43722,-79.85111,44.6666666666667,16,5,223.333333333333,"15:30:00",2010,"Rockingham"
"8",2010-01-08,211.2,36.43722,-79.85111,29.5,25.25,8,330,"15:30:00",2010,"Rockingham"
"9",2010-01-09,211.2,36.43722,-79.85111,36.5,27.75,7.5,232.5,"15:30:00",2010,"Rockingham"
"10",2010-01-10,211.2,36.43722,-79.85111,38.25,17,4.5,320,"15:30:00",2010,"Rockingham"
"11",2010-01-11,211.2,36.43722,-79.85111,43,15.3333333333333,6,233.333333333333,"15:30:00",2010,"Rockingham"
"12",2010-01-12,211.2,36.43722,-79.85111,38.25,28.75,7.25,327.5,"15:30:00",2010,"Rockingham"
"13",2010-01-13,211.2,36.43722,-79.85111,48,20,0.75,50,"15:30:00",2010,"Rockingham"
"14",2010-01-14,211.2,36.43722,-79.85111,59,6.5,2.75,167.5,"15:30:00",2010,"Rockingham"
"15",2010-01-15,211.2,36.43722,-79.85111,63,11,4,160,"15:30:00",2010,"Rockingham"
"16",2010-01-16,211.2,36.43722,-79.85111,59.25,21.5,0,0,"15:30:00",2010,"Rockingham"
"17",2010-01-17,211.2,36.43722,-79.85111,46,89,1.25,5,"15:30:00",2010,"Rockingham"
"18",2010-01-18,211.2,36.43722,-79.85111,62.5,37.25,2,100,"15:30:00",2010,"Rockingham"
"19",2010-01-19,211.2,36.43722,-79.85111,66.5,29,7.75,230,"15:30:00",2010,"Rockingham"
