"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,235.6,35.64583,-80.52028,46,53,8.33333333333333,330,"15:23:00",2010,"Rowan"
"2",2010-01-02,235.6,35.64583,-80.52028,32,29,12.6666666666667,320,"15:23:00",2010,"Rowan"
"3",2010-01-03,235.6,35.64583,-80.52028,31,24.5,9,303.333333333333,"15:23:00",2010,"Rowan"
"4",2010-01-04,235.6,35.64583,-80.52028,37,31.5,9.33333333333333,320,"15:23:00",2010,"Rowan"
"5",2010-01-05,235.6,35.64583,-80.52028,36,35,10.6666666666667,290,"15:23:00",2010,"Rowan"
"6",2010-01-06,235.6,35.64583,-80.52028,39,36,10,296.666666666667,"15:23:00",2010,"Rowan"
"7",2010-01-07,235.6,35.64583,-80.52028,45.5,23,9.66666666666667,206.666666666667,"15:23:00",2010,"Rowan"
"8",2010-01-08,235.6,35.64583,-80.52028,28,30,8.66666666666667,313.333333333333,"15:23:00",2010,"Rowan"
"9",2010-01-09,235.6,35.64583,-80.52028,36,32,8.33333333333333,346.666666666667,"15:23:00",2010,"Rowan"
"10",2010-01-10,235.6,35.64583,-80.52028,36,26,7,313.333333333333,"15:23:00",2010,"Rowan"
"11",2010-01-11,235.6,35.64583,-80.52028,44,23.5,6.66666666666667,206.666666666667,"15:23:00",2010,"Rowan"
"12",2010-01-12,235.6,35.64583,-80.52028,39,39,10,360,"15:23:00",2010,"Rowan"
"13",2010-01-13,235.6,35.64583,-80.52028,45,32.5,2,133.333333333333,"15:23:00",2010,"Rowan"
"14",2010-01-14,235.6,35.64583,-80.52028,54,28,4.66666666666667,223.333333333333,"15:23:00",2010,"Rowan"
"15",2010-01-15,235.6,35.64583,-80.52028,63,11.5,4.33333333333333,196.666666666667,"15:23:00",2010,"Rowan"
"16",2010-01-16,235.6,35.64583,-80.52028,55,31,0,0,"15:23:00",2010,"Rowan"
"17",2010-01-17,235.6,35.64583,-80.52028,54,100,5.66666666666667,296.666666666667,"15:23:00",2010,"Rowan"
"18",2010-01-18,235.6,35.64583,-80.52028,61,43.5,5,256.666666666667,"15:23:00",2010,"Rowan"
"19",2010-01-19,235.6,35.64583,-80.52028,64,32,7,246.666666666667,"15:23:00",2010,"Rowan"
"20",2010-01-20,235.6,35.64583,-80.52028,65,47.5,5.66666666666667,286.666666666667,"15:23:00",2010,"Rowan"
"21",2010-01-21,235.6,35.64583,-80.52028,37,100,10.6666666666667,56.6666666666667,"15:23:00",2010,"Rowan"
"22",2010-01-22,235.6,35.64583,-80.52028,43,87,4.33333333333333,40,"15:23:00",2010,"Rowan"
"23",2010-01-23,235.6,35.64583,-80.52028,48,50,3.66666666666667,66.6666666666667,"15:23:00",2010,"Rowan"
"24",2010-01-24,235.6,35.64583,-80.52028,57,100,17,150,"15:23:00",2010,"Rowan"
"25",2010-01-25,235.6,35.64583,-80.52028,60,30,16.3333333333333,226.666666666667,"15:23:00",2010,"Rowan"
"26",2010-01-26,235.6,35.64583,-80.52028,45.5,37,10.3333333333333,290,"15:23:00",2010,"Rowan"
"27",2010-01-27,235.6,35.64583,-80.52028,46,37,5.33333333333333,243.333333333333,"15:23:00",2010,"Rowan"
"28",2010-01-28,235.6,35.64583,-80.52028,63,30,9.33333333333333,270,"15:23:00",2010,"Rowan"
