"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,328.6,35.42806,-81.935,NA,NA,9.33333333333333,276.666666666667,"15:21:00",2010,"Rutherford"
"2",2010-01-02,328.6,35.42806,-81.935,NA,NA,8,350,"15:21:00",2010,"Rutherford"
"3",2010-01-03,328.6,35.42806,-81.935,NA,NA,1.66666666666667,113.333333333333,"15:21:00",2010,"Rutherford"
"4",2010-01-04,328.6,35.42806,-81.935,NA,NA,9,240,"15:21:00",2010,"Rutherford"
"5",2010-01-05,328.6,35.42806,-81.935,NA,NA,4,16.6666666666667,"15:21:00",2010,"Rutherford"
"6",2010-01-06,328.6,35.42806,-81.935,41,31,2,160,"15:21:00",2010,"Rutherford"
"7",2010-01-07,328.6,35.42806,-81.935,45,27,6.66666666666667,183.333333333333,"15:21:00",2010,"Rutherford"
"8",2010-01-08,328.6,35.42806,-81.935,28,34,3,223.333333333333,"15:21:00",2010,"Rutherford"
"9",2010-01-09,328.6,35.42806,-81.935,35,31,10.6666666666667,350,"15:21:00",2010,"Rutherford"
"10",2010-01-10,328.6,35.42806,-81.935,39,22,7.33333333333333,236.666666666667,"15:21:00",2010,"Rutherford"
"11",2010-01-11,328.6,35.42806,-81.935,43,24,2.66666666666667,140,"15:21:00",2010,"Rutherford"
"12",2010-01-12,328.6,35.42806,-81.935,42,42,6,126.666666666667,"15:21:00",2010,"Rutherford"
"13",2010-01-13,328.6,35.42806,-81.935,46,33,5.33333333333333,176.666666666667,"15:21:00",2010,"Rutherford"
"14",2010-01-14,328.6,35.42806,-81.935,54,23,4,160,"15:21:00",2010,"Rutherford"
"15",2010-01-15,328.6,35.42806,-81.935,63,11.5,3.66666666666667,183.333333333333,"15:21:00",2010,"Rutherford"
"16",2010-01-16,328.6,35.42806,-81.935,55,26,2.66666666666667,110,"15:21:00",2010,"Rutherford"
"17",2010-01-17,328.6,35.42806,-81.935,50,94,1,113.333333333333,"15:21:00",2010,"Rutherford"
"18",2010-01-18,328.6,35.42806,-81.935,63.5,37,3.33333333333333,106.666666666667,"15:21:00",2010,"Rutherford"
"19",2010-01-19,328.6,35.42806,-81.935,64,34,4.33333333333333,133.333333333333,"15:21:00",2010,"Rutherford"
"20",2010-01-20,328.6,35.42806,-81.935,66,49,3,136.666666666667,"15:21:00",2010,"Rutherford"
"21",2010-01-21,328.6,35.42806,-81.935,36,93,8.33333333333333,360,"15:21:00",2010,"Rutherford"
"22",2010-01-22,328.6,35.42806,-81.935,49,73.5,6.66666666666667,180,"15:21:00",2010,"Rutherford"
"23",2010-01-23,328.6,35.42806,-81.935,45,78.5,3.66666666666667,80,"15:21:00",2010,"Rutherford"
