"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,67.1,34.79167,-79.36611,48,63,7,340,"15:52:00",2010,"Scotland"
"2",2010-01-02,67.1,34.79167,-79.36611,34,29,20,310,"15:52:00",2010,"Scotland"
"3",2010-01-03,67.1,34.79167,-79.36611,34,24,13,320,"15:52:00",2010,"Scotland"
"4",2010-01-04,67.1,34.79167,-79.36611,38,33,9,330,"15:52:00",2010,"Scotland"
"5",2010-01-05,67.1,34.79167,-79.36611,38,36,9,310,"15:52:00",2010,"Scotland"
"6",2010-01-06,67.1,34.79167,-79.36611,42,35,11,330,"15:52:00",2010,"Scotland"
"7",2010-01-07,67.1,34.79167,-79.36611,46,31,9,220,"15:52:00",2010,"Scotland"
"8",2010-01-08,67.1,34.79167,-79.36611,33,30,15,330,"15:52:00",2010,"Scotland"
"9",2010-01-09,67.1,34.79167,-79.36611,37,31,7,300,"15:52:00",2010,"Scotland"
"10",2010-01-10,67.1,34.79167,-79.36611,39,29,13,350,"15:52:00",2010,"Scotland"
"11",2010-01-11,67.1,34.79167,-79.36611,46,24,9,210,"15:52:00",2010,"Scotland"
"12",2010-01-12,67.1,34.79167,-79.36611,41,47,10,350,"15:52:00",2010,"Scotland"
"13",2010-01-13,67.1,34.79167,-79.36611,45,33,0,0,"15:52:00",2010,"Scotland"
"14",2010-01-14,67.1,34.79167,-79.36611,52,37,6,220,"15:52:00",2010,"Scotland"
"15",2010-01-15,67.1,34.79167,-79.36611,61,23,9,230,"15:52:00",2010,"Scotland"
"16",2010-01-16,67.1,34.79167,-79.36611,60,41,5,110,"15:52:00",2010,"Scotland"
"17",2010-01-17,67.1,34.79167,-79.36611,62.5,83.5,16,270,"15:52:00",2010,"Scotland"
"18",2010-01-18,67.1,34.79167,-79.36611,63,45,0,0,"15:52:00",2010,"Scotland"
"19",2010-01-19,67.1,34.79167,-79.36611,65,37,6,270,"15:52:00",2010,"Scotland"
"20",2010-01-20,67.1,34.79167,-79.36611,67,51,6,270,"15:52:00",2010,"Scotland"
"21",2010-01-21,67.1,34.79167,-79.36611,41,93,15,70,"15:52:00",2010,"Scotland"
"22",2010-01-22,67.1,34.79167,-79.36611,43,86.5,7.5,175,"15:52:00",2010,"Scotland"
"23",2010-01-23,67.1,34.79167,-79.36611,51,46,11,70,"15:52:00",2010,"Scotland"
