"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,185.6,35.41667,-80.15056,49,64,6.66666666666667,330,"15:21:00",2010,"Stanly"
"2",2010-01-02,185.6,35.41667,-80.15056,34,33.5,9,323.333333333333,"15:21:00",2010,"Stanly"
"3",2010-01-03,185.6,35.41667,-80.15056,34,26,7.66666666666667,296.666666666667,"15:21:00",2010,"Stanly"
"4",2010-01-04,185.6,35.41667,-80.15056,38,34,8.33333333333333,313.333333333333,"15:21:00",2010,"Stanly"
"5",2010-01-05,185.6,35.41667,-80.15056,36.5,38,8,290,"15:21:00",2010,"Stanly"
"6",2010-01-06,185.6,35.41667,-80.15056,41,42,9.33333333333333,303.333333333333,"15:21:00",2010,"Stanly"
"7",2010-01-07,185.6,35.41667,-80.15056,46,29,7.66666666666667,186.666666666667,"15:21:00",2010,"Stanly"
"8",2010-01-08,185.6,35.41667,-80.15056,30,37,9,326.666666666667,"15:21:00",2010,"Stanly"
"9",2010-01-09,185.6,35.41667,-80.15056,36,38,7.66666666666667,326.666666666667,"15:21:00",2010,"Stanly"
"10",2010-01-10,185.6,35.41667,-80.15056,36,35,6.66666666666667,323.333333333333,"15:21:00",2010,"Stanly"
"11",2010-01-11,185.6,35.41667,-80.15056,45.5,26,8.66666666666667,213.333333333333,"15:21:00",2010,"Stanly"
"12",2010-01-12,185.6,35.41667,-80.15056,NA,NA,13,330,"15:21:00",2010,"Stanly"
"13",2010-01-13,185.6,35.41667,-80.15056,45,34,0,0,"15:21:00",2010,"Stanly"
"14",2010-01-14,185.6,35.41667,-80.15056,57,33,7,210,"15:21:00",2010,"Stanly"
"15",2010-01-15,185.6,35.41667,-80.15056,63,16,2,53.3333333333333,"15:21:00",2010,"Stanly"
"16",2010-01-16,185.6,35.41667,-80.15056,59,31,0,0,"15:21:00",2010,"Stanly"
"17",2010-01-17,185.6,35.41667,-80.15056,63,83,7.66666666666667,230,"15:21:00",2010,"Stanly"
"18",2010-01-18,185.6,35.41667,-80.15056,63,43.5,2.66666666666667,146.666666666667,"15:21:00",2010,"Stanly"
"19",2010-01-19,185.6,35.41667,-80.15056,64,37,3.66666666666667,200,"15:21:00",2010,"Stanly"
"20",2010-01-20,185.6,35.41667,-80.15056,68,58.5,7.33333333333333,213.333333333333,"15:21:00",2010,"Stanly"
"21",2010-01-21,185.6,35.41667,-80.15056,39,100,12.3333333333333,46.6666666666667,"15:21:00",2010,"Stanly"
"22",2010-01-22,185.6,35.41667,-80.15056,45,87,0,0,"15:21:00",2010,"Stanly"
"23",2010-01-23,185.6,35.41667,-80.15056,52,44,7,66.6666666666667,"15:21:00",2010,"Stanly"
"24",2010-01-24,185.6,35.41667,-80.15056,63,94,13.6666666666667,146.666666666667,"15:21:00",2010,"Stanly"
"25",2010-01-25,185.6,35.41667,-80.15056,63,40.5,17.3333333333333,223.333333333333,"15:21:00",2010,"Stanly"
"26",2010-01-26,185.6,35.41667,-80.15056,48,43,7.5,275,"15:21:00",2010,"Stanly"
"27",2010-01-27,185.6,35.41667,-80.15056,47,46,6.33333333333333,240,"15:21:00",2010,"Stanly"
"28",2010-01-28,185.6,35.41667,-80.15056,63,37,9.66666666666667,253.333333333333,"15:21:00",2010,"Stanly"
"29",2010-01-29,185.6,35.41667,-80.15056,43,40.5,9,30,"15:21:00",2010,"Stanly"
"30",2010-01-30,185.6,35.41667,-80.15056,25,86,12.3333333333333,130,"15:21:00",2010,"Stanly"
"31",2010-01-31,185.6,35.41667,-80.15056,39,43.5,0,0,"15:21:00",2010,"Stanly"
"32",2010-02-01,185.6,35.41667,-80.15056,48,29,4.33333333333333,210,"15:21:00",2010,"Stanly"
"33",2010-02-02,185.6,35.41667,-80.15056,37,100,6.66666666666667,130,"15:21:00",2010,"Stanly"
"34",2010-02-03,185.6,35.41667,-80.15056,52,62,6.25,310,"15:21:00",2010,"Stanly"
"35",2010-02-04,185.6,35.41667,-80.15056,45,71,0.75,22.5,"15:21:00",2010,"Stanly"
"36",2010-02-05,185.6,35.41667,-80.15056,39,100,10.75,70,"15:21:00",2010,"Stanly"
"37",2010-02-06,185.6,35.41667,-80.15056,41,81,7.75,182.5,"15:21:00",2010,"Stanly"
"38",2010-02-07,185.6,35.41667,-80.15056,44,55,2,162.5,"15:21:00",2010,"Stanly"
"39",2010-02-08,185.6,35.41667,-80.15056,47.3333333333333,59.3333333333333,1.5,85,"15:21:00",2010,"Stanly"
"40",2010-02-09,185.6,35.41667,-80.15056,41,100,4,55,"15:21:00",2010,"Stanly"
"41",2010-02-10,185.6,35.41667,-80.15056,39,38,19,302.5,"15:21:00",2010,"Stanly"
"42",2010-02-11,185.6,35.41667,-80.15056,45,39,7,300,"15:21:00",2010,"Stanly"
"43",2010-02-12,185.6,35.41667,-80.15056,36,52,0,0,"15:21:00",2010,"Stanly"
"44",2010-02-13,185.6,35.41667,-80.15056,41,46.3333333333333,11,285,"15:21:00",2010,"Stanly"
"45",2010-02-14,185.6,35.41667,-80.15056,45.5,31.5,7.33333333333333,250,"15:21:00",2010,"Stanly"
"46",2010-02-15,185.6,35.41667,-80.15056,46.25,84.5,15.75,202.5,"15:21:00",2010,"Stanly"
"47",2010-02-16,185.6,35.41667,-80.15056,41,40.5,11,263.333333333333,"15:21:00",2010,"Stanly"
"48",2010-02-17,185.6,35.41667,-80.15056,43,39,10.25,300,"15:21:00",2010,"Stanly"
"49",2010-02-18,185.6,35.41667,-80.15056,52,41,8.25,292.5,"15:21:00",2010,"Stanly"
"50",2010-02-19,185.6,35.41667,-80.15056,57,25,7.25,307.5,"15:21:00",2010,"Stanly"
"51",2010-02-20,185.6,35.41667,-80.15056,59,21,4.5,172.5,"15:21:00",2010,"Stanly"
"52",2010-02-21,185.6,35.41667,-80.15056,64,30,4,152.5,"15:21:00",2010,"Stanly"
"53",2010-02-22,185.6,35.41667,-80.15056,52,94,0.75,42.5,"15:21:00",2010,"Stanly"
"54",2010-02-23,185.6,35.41667,-80.15056,57,72,0,0,"15:21:00",2010,"Stanly"
"55",2010-02-24,185.6,35.41667,-80.15056,39,93,6,355,"15:21:00",2010,"Stanly"
"56",2010-02-25,185.6,35.41667,-80.15056,39,33,12.25,317.5,"15:21:00",2010,"Stanly"
"57",2010-02-26,185.6,35.41667,-80.15056,48,29,11.6666666666667,253.333333333333,"15:21:00",2010,"Stanly"
"58",2010-02-27,185.6,35.41667,-80.15056,50,39,7.33333333333333,286.666666666667,"15:21:00",2010,"Stanly"
"59",2010-02-28,185.6,35.41667,-80.15056,50,42.3333333333333,11.75,312.5,"15:21:00",2010,"Stanly"
"60",2010-03-01,185.6,35.41667,-80.15056,52,44,6.66666666666667,280,"15:21:00",2010,"Stanly"
"61",2010-03-02,185.6,35.41667,-80.15056,36,100,14,10,"15:21:00",2010,"Stanly"
"62",2010-03-03,185.6,35.41667,-80.15056,45,61,7.66666666666667,340,"15:21:00",2010,"Stanly"
"63",2010-03-04,185.6,35.41667,-80.15056,52,33,11.6666666666667,326.666666666667,"15:21:00",2010,"Stanly"
