"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,207,35.01694,-80.62056,48,58,6,310,"15:53:00",2010,"Union"
"2",2010-01-02,207,35.01694,-80.62056,33,28,15,330,"15:53:00",2010,"Union"
"3",2010-01-03,207,35.01694,-80.62056,33,22,10,290,"15:53:00",2010,"Union"
"4",2010-01-04,207,35.01694,-80.62056,36,32,8,280,"15:53:00",2010,"Union"
"5",2010-01-05,207,35.01694,-80.62056,37,34,13,320,"15:53:00",2010,"Union"
"6",2010-01-06,207,35.01694,-80.62056,40,33,6,310,"15:53:00",2010,"Union"
"7",2010-01-07,207,35.01694,-80.62056,46,27,6,200,"15:53:00",2010,"Union"
"8",2010-01-08,207,35.01694,-80.62056,29,30,14,330,"15:53:00",2010,"Union"
"9",2010-01-09,207,35.01694,-80.62056,36,31,7,340,"15:53:00",2010,"Union"
"10",2010-01-10,207,35.01694,-80.62056,37,31,10,330,"15:53:00",2010,"Union"
"11",2010-01-11,207,35.01694,-80.62056,45,23,11,230,"15:53:00",2010,"Union"
"12",2010-01-12,207,35.01694,-80.62056,40,43,9,20,"15:53:00",2010,"Union"
"13",2010-01-13,207,35.01694,-80.62056,45,33,3,260,"15:53:00",2010,"Union"
"14",2010-01-14,207,35.01694,-80.62056,53,31,3,230,"15:53:00",2010,"Union"
"15",2010-01-15,207,35.01694,-80.62056,60,19,0,0,"15:53:00",2010,"Union"
"16",2010-01-16,207,35.01694,-80.62056,56,42,3,100,"15:53:00",2010,"Union"
"17",2010-01-17,207,35.01694,-80.62056,57.5,92,7,250,"15:53:00",2010,"Union"
"18",2010-01-18,207,35.01694,-80.62056,62,41,5,220,"15:53:00",2010,"Union"
"19",2010-01-19,207,35.01694,-80.62056,65,34,3,NA,"15:53:00",2010,"Union"
"20",2010-01-20,207,35.01694,-80.62056,68,47,6,240,"15:53:00",2010,"Union"
"21",2010-01-21,207,35.01694,-80.62056,38,93,14,50,"15:53:00",2010,"Union"
"22",2010-01-22,207,35.01694,-80.62056,43,81.5,7,355,"15:53:00",2010,"Union"
"23",2010-01-23,207,35.01694,-80.62056,49,56,7,NA,"15:53:00",2010,"Union"
"24",2010-01-24,207,35.01694,-80.62056,61,93,9,NA,"15:53:00",2010,"Union"
"25",2010-01-25,207,35.01694,-80.62056,56,44,23,230,"15:53:00",2010,"Union"
"26",2010-01-26,207,35.01694,-80.62056,46,40,16,250,"15:53:00",2010,"Union"
"27",2010-01-27,207,35.01694,-80.62056,47,41,7,260,"15:53:00",2010,"Union"
"28",2010-01-28,207,35.01694,-80.62056,60,35,13,260,"15:53:00",2010,"Union"
"29",2010-01-29,207,35.01694,-80.62056,43,31,9,30,"15:53:00",2010,"Union"
"30",2010-01-30,207,35.01694,-80.62056,24,84,13,30,"15:53:00",2010,"Union"
"31",2010-01-31,207,35.01694,-80.62056,39,36,0,0,"15:53:00",2010,"Union"
"32",2010-02-01,207,35.01694,-80.62056,48,36,0,0,"15:53:00",2010,"Union"
"33",2010-02-02,207,35.01694,-80.62056,37,93,8,350,"15:53:00",2010,"Union"
"34",2010-02-03,207,35.01694,-80.62056,51,48,3,NA,"15:53:00",2010,"Union"
"35",2010-02-04,207,35.01694,-80.62056,43,65,0,0,"15:53:00",2010,"Union"
"36",2010-02-05,207,35.01694,-80.62056,38,93,18,70,"15:53:00",2010,"Union"
"37",2010-02-06,207,35.01694,-80.62056,41,73,8,360,"15:53:00",2010,"Union"
"38",2010-02-07,207,35.01694,-80.62056,42,55,3,350,"15:53:00",2010,"Union"
"39",2010-02-08,207,35.01694,-80.62056,49,48,0,0,"15:53:00",2010,"Union"
"40",2010-02-09,207,35.01694,-80.62056,41,89,0,0,"15:53:00",2010,"Union"
"41",2010-02-10,207,35.01694,-80.62056,39,33,23,310,"15:53:00",2010,"Union"
"42",2010-02-11,207,35.01694,-80.62056,44,34,6,300,"15:53:00",2010,"Union"
"43",2010-02-12,207,35.01694,-80.62056,35,48,6,50,"15:53:00",2010,"Union"
"44",2010-02-13,207,35.01694,-80.62056,41,45,13,260,"15:53:00",2010,"Union"
"45",2010-02-14,207,35.01694,-80.62056,45,39,13,240,"15:53:00",2010,"Union"
"46",2010-02-15,207,35.01694,-80.62056,46,56,15,230,"15:53:00",2010,"Union"
"47",2010-02-16,207,35.01694,-80.62056,41,36,9,290,"15:53:00",2010,"Union"
"48",2010-02-17,207,35.01694,-80.62056,43,37,11,NA,"15:53:00",2010,"Union"
"49",2010-02-18,207,35.01694,-80.62056,49,35,6,NA,"15:53:00",2010,"Union"
"50",2010-02-19,207,35.01694,-80.62056,56,26,7,240,"15:53:00",2010,"Union"
"51",2010-02-20,207,35.01694,-80.62056,60,21,6,NA,"15:53:00",2010,"Union"
"52",2010-02-21,207,35.01694,-80.62056,65,24,8,230,"15:53:00",2010,"Union"
"53",2010-02-22,207,35.01694,-80.62056,52,83,0,0,"15:53:00",2010,"Union"
"54",2010-02-23,207,35.01694,-80.62056,58,65,5,NA,"15:53:00",2010,"Union"
"55",2010-02-24,207,35.01694,-80.62056,37.2,89.8,5.6,218,"15:53:00",2010,"Union"
"56",2010-02-25,207,35.01694,-80.62056,36,34,16,290,"15:53:00",2010,"Union"
"57",2010-02-26,207,35.01694,-80.62056,47,26,9,270,"15:53:00",2010,"Union"
"58",2010-02-27,207,35.01694,-80.62056,52,31,8,330,"15:53:00",2010,"Union"
"59",2010-02-28,207,35.01694,-80.62056,50,36,15,330,"15:53:00",2010,"Union"
"60",2010-03-01,207,35.01694,-80.62056,49,41,6,300,"15:53:00",2010,"Union"
"61",2010-03-02,207,35.01694,-80.62056,34,87.6666666666667,19,20,"15:53:00",2010,"Union"
"62",2010-03-03,207,35.01694,-80.62056,46,44,8,330,"15:53:00",2010,"Union"
"63",2010-03-04,207,35.01694,-80.62056,52,28,11,310,"15:53:00",2010,"Union"
"64",2010-03-05,207,35.01694,-80.62056,51,20,10,330,"15:53:00",2010,"Union"
"65",2010-03-06,207,35.01694,-80.62056,56,17,8,NA,"15:53:00",2010,"Union"
"66",2010-03-07,207,35.01694,-80.62056,61,18,10,240,"15:53:00",2010,"Union"
"67",2010-03-08,207,35.01694,-80.62056,68,26,9,300,"15:53:00",2010,"Union"
"68",2010-03-09,207,35.01694,-80.62056,72,27,10,230,"15:53:00",2010,"Union"
"69",2010-03-10,207,35.01694,-80.62056,51,74,11,230,"15:53:00",2010,"Union"
"70",2010-03-11,207,35.01694,-80.62056,60.8333333333333,91.3333333333333,2.16666666666667,70,"15:53:00",2010,"Union"
"71",2010-03-12,207,35.01694,-80.62056,66,70,8.2,62,"15:53:00",2010,"Union"
"72",2010-03-13,207,35.01694,-80.62056,58,53,14,240,"15:53:00",2010,"Union"
"73",2010-03-14,207,35.01694,-80.62056,56,47,11,240,"15:53:00",2010,"Union"
"74",2010-03-15,207,35.01694,-80.62056,62,37,15,340,"15:53:00",2010,"Union"
"75",2010-03-16,207,35.01694,-80.62056,54,49,11,20,"15:53:00",2010,"Union"
"76",2010-03-17,207,35.01694,-80.62056,57,37,0,0,"15:53:00",2010,"Union"
"77",2010-03-18,207,35.01694,-80.62056,64,26,5,NA,"15:53:00",2010,"Union"
"78",2010-03-19,207,35.01694,-80.62056,72,15,5,NA,"15:53:00",2010,"Union"
"79",2010-03-20,207,35.01694,-80.62056,74,26,13,240,"15:53:00",2010,"Union"
"80",2010-03-21,207,35.01694,-80.62056,59,89.6,2.6,0,"15:53:00",2010,"Union"
"81",2010-03-22,207,35.01694,-80.62056,47,54,14,230,"15:53:00",2010,"Union"
"82",2010-03-23,207,35.01694,-80.62056,65,39,16,280,"15:53:00",2010,"Union"
"83",2010-03-24,207,35.01694,-80.62056,75,21,8,270,"15:53:00",2010,"Union"
"84",2010-03-25,207,35.01694,-80.62056,69,36,13,220,"15:53:00",2010,"Union"
"85",2010-03-26,207,35.01694,-80.62056,60,58,13,340,"15:53:00",2010,"Union"
"86",2010-03-27,207,35.01694,-80.62056,59,29,6,NA,"15:53:00",2010,"Union"
"87",2010-03-28,207,35.01694,-80.62056,64,84,9,NA,"15:53:00",2010,"Union"
"88",2010-03-29,207,35.01694,-80.62056,65,51,8,340,"15:53:00",2010,"Union"
"89",2010-03-30,207,35.01694,-80.62056,70,28,9,300,"15:53:00",2010,"Union"
"90",2010-03-31,207,35.01694,-80.62056,77,16,3,NA,"15:53:00",2010,"Union"
"91",2010-04-01,207,35.01694,-80.62056,86,15,8,210,"15:53:00",2010,"Union"
"92",2010-04-02,207,35.01694,-80.62056,86,20,5,NA,"15:53:00",2010,"Union"
"93",2010-04-03,207,35.01694,-80.62056,79,38,8,NA,"15:53:00",2010,"Union"
"94",2010-04-04,207,35.01694,-80.62056,83,31,0,0,"15:53:00",2010,"Union"
"95",2010-04-05,207,35.01694,-80.62056,87,30,9,240,"15:53:00",2010,"Union"
"96",2010-04-06,207,35.01694,-80.62056,89,19,14,230,"15:53:00",2010,"Union"
"97",2010-04-07,207,35.01694,-80.62056,82,37,10,NA,"15:53:00",2010,"Union"
"98",2010-04-08,207,35.01694,-80.62056,76,50,6,NA,"15:53:00",2010,"Union"
"99",2010-04-09,207,35.01694,-80.62056,66,22,13,310,"15:53:00",2010,"Union"
"100",2010-04-10,207,35.01694,-80.62056,70,17,3,NA,"15:53:00",2010,"Union"
"101",2010-04-11,207,35.01694,-80.62056,75,23,0,0,"15:53:00",2010,"Union"
"102",2010-04-12,207,35.01694,-80.62056,78,25,3,NA,"15:53:00",2010,"Union"
"103",2010-04-13,207,35.01694,-80.62056,77,29,7,220,"15:53:00",2010,"Union"
"104",2010-04-14,207,35.01694,-80.62056,57,67,11,50,"15:53:00",2010,"Union"
"105",2010-04-15,207,35.01694,-80.62056,75,36,0,0,"15:53:00",2010,"Union"
"106",2010-04-16,207,35.01694,-80.62056,82,31,11,230,"15:53:00",2010,"Union"
"107",2010-04-17,207,35.01694,-80.62056,79,36,11,270,"15:53:00",2010,"Union"
"108",2010-04-18,207,35.01694,-80.62056,68,21,0,0,"15:53:00",2010,"Union"
"109",2010-04-19,207,35.01694,-80.62056,67,31,3,210,"15:53:00",2010,"Union"
"110",2010-04-20,207,35.01694,-80.62056,65,51,9,300,"15:53:00",2010,"Union"
"111",2010-04-21,207,35.01694,-80.62056,67,45,9,310,"15:53:00",2010,"Union"
"112",2010-04-22,207,35.01694,-80.62056,74,26,10,290,"15:53:00",2010,"Union"
"113",2010-04-23,207,35.01694,-80.62056,82,33,8,240,"15:53:00",2010,"Union"
"114",2010-04-24,207,35.01694,-80.62056,67,76,10,220,"15:53:00",2010,"Union"
"115",2010-04-25,207,35.01694,-80.62056,78,54,16,220,"15:53:00",2010,"Union"
"116",2010-04-26,207,35.01694,-80.62056,70,46,13,260,"15:53:00",2010,"Union"
"117",2010-04-27,207,35.01694,-80.62056,53,79.5,5.5,197.5,"15:53:00",2010,"Union"
"118",2010-04-28,207,35.01694,-80.62056,65,25,5,290,"15:53:00",2010,"Union"
"119",2010-04-29,207,35.01694,-80.62056,72,29,6,190,"15:53:00",2010,"Union"
"120",2010-04-30,207,35.01694,-80.62056,82,35,14,240,"15:53:00",2010,"Union"
