"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,126.8,35.8923,-78.7819,47,52,7,NA,"15:51:00",2010,"Wake"
"2",2010-01-02,126.8,35.8923,-78.7819,31,30,14,NA,"15:51:00",2010,"Wake"
"3",2010-01-03,126.8,35.8923,-78.7819,32,26,10,290,"15:51:00",2010,"Wake"
"4",2010-01-04,126.8,35.8923,-78.7819,35,35,8,NA,"15:51:00",2010,"Wake"
"5",2010-01-05,126.8,35.8923,-78.7819,35,35,10,290,"15:51:00",2010,"Wake"
"6",2010-01-06,126.8,35.8923,-78.7819,40,35,9,320,"15:51:00",2010,"Wake"
"7",2010-01-07,126.8,35.8923,-78.7819,44,27,7,220,"15:51:00",2010,"Wake"
"8",2010-01-08,126.8,35.8923,-78.7819,30,31,11,NA,"15:51:00",2010,"Wake"
"9",2010-01-09,126.8,35.8923,-78.7819,36,34,3,NA,"15:51:00",2010,"Wake"
"10",2010-01-10,126.8,35.8923,-78.7819,36,25,6,NA,"15:51:00",2010,"Wake"
"11",2010-01-11,126.8,35.8923,-78.7819,43,28,9,230,"15:51:00",2010,"Wake"
"12",2010-01-12,126.8,35.8923,-78.7819,36,48,3,NA,"15:51:00",2010,"Wake"
"13",2010-01-13,126.8,35.8923,-78.7819,45,33,6,240,"15:51:00",2010,"Wake"
"14",2010-01-14,126.8,35.8923,-78.7819,56,28,7,200,"15:51:00",2010,"Wake"
"15",2010-01-15,126.8,35.8923,-78.7819,62,23,7,230,"15:51:00",2010,"Wake"
"16",2010-01-16,126.8,35.8923,-78.7819,59,27,3,200,"15:51:00",2010,"Wake"
"17",2010-01-17,126.8,35.8923,-78.7819,57,91.6666666666667,1,0,"15:51:00",2010,"Wake"
"18",2010-01-18,126.8,35.8923,-78.7819,61,46,3,NA,"15:51:00",2010,"Wake"
"19",2010-01-19,126.8,35.8923,-78.7819,64,41,7,230,"15:51:00",2010,"Wake"
"20",2010-01-20,126.8,35.8923,-78.7819,64,45,0,0,"15:51:00",2010,"Wake"
"21",2010-01-21,126.8,35.8923,-78.7819,37,93,9,50,"15:51:00",2010,"Wake"
"22",2010-01-22,126.8,35.8923,-78.7819,40,86,8,10,"15:51:00",2010,"Wake"
"23",2010-01-23,126.8,35.8923,-78.7819,49,46,8,80,"15:51:00",2010,"Wake"
"24",2010-01-24,126.8,35.8923,-78.7819,64,69,12.5,160,"15:51:00",2010,"Wake"
"25",2010-01-25,126.8,35.8923,-78.7819,62,38,28,240,"15:51:00",2010,"Wake"
"26",2010-01-26,126.8,35.8923,-78.7819,48,36,11,270,"15:51:00",2010,"Wake"
"27",2010-01-27,126.8,35.8923,-78.7819,49,35,7,250,"15:51:00",2010,"Wake"
"28",2010-01-28,126.8,35.8923,-78.7819,62,30,8,NA,"15:51:00",2010,"Wake"
"29",2010-01-29,126.8,35.8923,-78.7819,37,37,7,40,"15:51:00",2010,"Wake"
"30",2010-01-30,126.8,35.8923,-78.7819,21.3333333333333,84.6666666666667,9,30,"15:51:00",2010,"Wake"
"31",2010-01-31,126.8,35.8923,-78.7819,36,35,0,0,"15:51:00",2010,"Wake"
"32",2010-02-01,126.8,35.8923,-78.7819,47,24,0,0,"15:51:00",2010,"Wake"
"33",2010-02-02,126.8,35.8923,-78.7819,37,86,5,60,"15:51:00",2010,"Wake"
"34",2010-02-03,126.8,35.8923,-78.7819,50,46,6,300,"15:51:00",2010,"Wake"
"35",2010-02-04,126.8,35.8923,-78.7819,44,47,0,0,"15:51:00",2010,"Wake"
