"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,910.4,36.2,-81.65,32,62,17,296.666666666667,"15:20:00",2010,"Watauga"
"2",2010-01-02,910.4,36.2,-81.65,18,51.6666666666667,21,307.5,"15:20:00",2010,"Watauga"
"3",2010-01-03,910.4,36.2,-81.65,18,53,21,287.5,"15:20:00",2010,"Watauga"
"4",2010-01-04,910.4,36.2,-81.65,18,71.3333333333333,21.25,277.5,"15:20:00",2010,"Watauga"
"5",2010-01-05,910.4,36.2,-81.65,18,76,14,276.666666666667,"15:20:00",2010,"Watauga"
"6",2010-01-06,910.4,36.2,-81.65,20.3333333333333,69.6666666666667,19,285,"15:20:00",2010,"Watauga"
"7",2010-01-07,910.4,36.2,-81.65,36,32.5,7.66666666666667,196.666666666667,"15:20:00",2010,"Watauga"
"8",2010-01-08,910.4,36.2,-81.65,11,67,19.3333333333333,293.333333333333,"15:20:00",2010,"Watauga"
"9",2010-01-09,910.4,36.2,-81.65,18.5,60,17.3333333333333,316.666666666667,"15:20:00",2010,"Watauga"
"10",2010-01-10,910.4,36.2,-81.65,21,58,13,270,"15:20:00",2010,"Watauga"
"11",2010-01-11,910.4,36.2,-81.65,34,27,9.66666666666667,280,"15:20:00",2010,"Watauga"
"12",2010-01-12,910.4,36.2,-81.65,25,69,20.3333333333333,300,"15:20:00",2010,"Watauga"
"13",2010-01-13,910.4,36.2,-81.65,45,23,8.33333333333333,283.333333333333,"15:20:00",2010,"Watauga"
"14",2010-01-14,910.4,36.2,-81.65,52.6666666666667,13.3333333333333,2.66666666666667,110,"15:20:00",2010,"Watauga"
"15",2010-01-15,910.4,36.2,-81.65,54,24,9,290,"15:20:00",2010,"Watauga"
"16",2010-01-16,910.4,36.2,-81.65,48,27,2,52.5,"15:20:00",2010,"Watauga"
"17",2010-01-17,910.4,36.2,-81.65,45,93,1.75,60,"15:20:00",2010,"Watauga"
"18",2010-01-18,910.4,36.2,-81.65,52,30.6666666666667,10.6666666666667,293.333333333333,"15:20:00",2010,"Watauga"
"19",2010-01-19,910.4,36.2,-81.65,54,48.3333333333333,9.66666666666667,280,"15:20:00",2010,"Watauga"
"20",2010-01-20,910.4,36.2,-81.65,54,74.5,8,243.333333333333,"15:20:00",2010,"Watauga"
"21",2010-01-21,910.4,36.2,-81.65,32,95.3333333333333,0,0,"15:20:00",2010,"Watauga"
"22",2010-01-22,910.4,36.2,-81.65,45,93,2.33333333333333,93.3333333333333,"15:20:00",2010,"Watauga"
"23",2010-01-23,910.4,36.2,-81.65,36.6666666666667,97.6666666666667,5.75,110,"15:20:00",2010,"Watauga"
"24",2010-01-24,910.4,36.2,-81.65,41,93,1.5,57.5,"15:20:00",2010,"Watauga"
"25",2010-01-25,910.4,36.2,-81.65,39,78,23,290,"15:20:00",2010,"Watauga"
"26",2010-01-26,910.4,36.2,-81.65,27,70.6666666666667,15,273.333333333333,"15:20:00",2010,"Watauga"
"27",2010-01-27,910.4,36.2,-81.65,34,49.5,10,303.333333333333,"15:20:00",2010,"Watauga"
"28",2010-01-28,910.4,36.2,-81.65,45,47.5,27.6666666666667,283.333333333333,"15:20:00",2010,"Watauga"
"29",2010-01-29,910.4,36.2,-81.65,34.6666666666667,50,3.75,85,"15:20:00",2010,"Watauga"
"30",2010-01-30,910.4,36.2,-81.65,25,80,0,0,"15:20:00",2010,"Watauga"
"31",2010-01-31,910.4,36.2,-81.65,36,24,10,293.333333333333,"15:20:00",2010,"Watauga"
"32",2010-02-01,910.4,36.2,-81.65,44.3333333333333,27.6666666666667,5.75,157.5,"15:20:00",2010,"Watauga"
"33",2010-02-02,910.4,36.2,-81.65,39,96.5,0,0,"15:20:00",2010,"Watauga"
"34",2010-02-03,910.4,36.2,-81.65,35,67.5,15,276.666666666667,"15:20:00",2010,"Watauga"
"35",2010-02-04,910.4,36.2,-81.65,34,70,3.66666666666667,86.6666666666667,"15:20:00",2010,"Watauga"
"36",2010-02-05,910.4,36.2,-81.65,34,93,2.66666666666667,60,"15:20:00",2010,"Watauga"
"37",2010-02-06,910.4,36.2,-81.65,34,84,3,96.6666666666667,"15:20:00",2010,"Watauga"
"38",2010-02-07,910.4,36.2,-81.65,30,69,12,266.666666666667,"15:20:00",2010,"Watauga"
"39",2010-02-08,910.4,36.2,-81.65,39,65,2.66666666666667,110,"15:20:00",2010,"Watauga"
"40",2010-02-09,910.4,36.2,-81.65,38,93,4.33333333333333,126.666666666667,"15:20:00",2010,"Watauga"
"41",2010-02-10,910.4,36.2,-81.65,21,83,24.3333333333333,293.333333333333,"15:20:00",2010,"Watauga"
"42",2010-02-11,910.4,36.2,-81.65,25,74,19,286.666666666667,"15:20:00",2010,"Watauga"
"43",2010-02-12,910.4,36.2,-81.65,30,57,3,76.6666666666667,"15:20:00",2010,"Watauga"
"44",2010-02-13,910.4,36.2,-81.65,25,69,20.6666666666667,286.666666666667,"15:20:00",2010,"Watauga"
"45",2010-02-14,910.4,36.2,-81.65,37,41.5,11.3333333333333,270,"15:20:00",2010,"Watauga"
