"","DATE","ELEVATION","LATITUDE","LONGITUDE","HOURLYDRYBULBTEMPF","HOURLYRelativeHumidity","HOURLYWindSpeed","HOURLYWindDirection","time","year","county"
"1",2010-01-01,396.2,36.22278,-81.09833,44,47.5,10.5,302.5,"15:30:00",2010,"Wilkes"
"2",2010-01-02,396.2,36.22278,-81.09833,28,34,10.5,305,"15:30:00",2010,"Wilkes"
"3",2010-01-03,396.2,36.22278,-81.09833,28,31,10.75,290,"15:30:00",2010,"Wilkes"
"4",2010-01-04,396.2,36.22278,-81.09833,31,41.5,9.75,285,"15:30:00",2010,"Wilkes"
"5",2010-01-05,396.2,36.22278,-81.09833,32,40.5,15.75,315,"15:30:00",2010,"Wilkes"
"6",2010-01-06,396.2,36.22278,-81.09833,37,41,9.5,300,"15:30:00",2010,"Wilkes"
"7",2010-01-07,396.2,36.22278,-81.09833,40,27,0,0,"15:30:00",2010,"Wilkes"
"8",2010-01-08,396.2,36.22278,-81.09833,27.5,33.5,8,295,"15:30:00",2010,"Wilkes"
"9",2010-01-09,396.2,36.22278,-81.09833,32,37,10.25,332.5,"15:30:00",2010,"Wilkes"
"10",2010-01-10,396.2,36.22278,-81.09833,39,22,6.25,242.5,"15:30:00",2010,"Wilkes"
"11",2010-01-11,396.2,36.22278,-81.09833,40,27,4,157.5,"15:30:00",2010,"Wilkes"
"12",2010-01-12,396.2,36.22278,-81.09833,36,44,10,342.5,"15:30:00",2010,"Wilkes"
"13",2010-01-13,396.2,36.22278,-81.09833,48,27,2.25,110,"15:30:00",2010,"Wilkes"
"14",2010-01-14,396.2,36.22278,-81.09833,55,22,2,80,"15:30:00",2010,"Wilkes"
"15",2010-01-15,396.2,36.22278,-81.09833,64,19,0.75,32.5,"15:30:00",2010,"Wilkes"
"16",2010-01-16,396.2,36.22278,-81.09833,55,31,0.75,32.5,"15:30:00",2010,"Wilkes"
"17",2010-01-17,396.2,36.22278,-81.09833,46,100,0.75,30,"15:30:00",2010,"Wilkes"
"18",2010-01-18,396.2,36.22278,-81.09833,64,37,6.75,222.5,"15:30:00",2010,"Wilkes"
"19",2010-01-19,396.2,36.22278,-81.09833,65.3333333333333,35.3333333333333,5.25,185,"15:30:00",2010,"Wilkes"
"20",2010-01-20,396.2,36.22278,-81.09833,54,91,0,0,"15:30:00",2010,"Wilkes"
"21",2010-01-21,396.2,36.22278,-81.09833,34,87,7.33333333333333,63.3333333333333,"15:30:00",2010,"Wilkes"
"22",2010-01-22,396.2,36.22278,-81.09833,45.5,78.5,2.66666666666667,103.333333333333,"15:30:00",2010,"Wilkes"
"23",2010-01-23,396.2,36.22278,-81.09833,43,76,1,40,"15:30:00",2010,"Wilkes"
"24",2010-01-24,396.2,36.22278,-81.09833,39,100,0,0,"15:30:00",2010,"Wilkes"
"25",2010-01-25,396.2,36.22278,-81.09833,52,64.5,5.66666666666667,280,"15:30:00",2010,"Wilkes"
"26",2010-01-26,396.2,36.22278,-81.09833,38,45,12.6666666666667,263.333333333333,"15:30:00",2010,"Wilkes"
"27",2010-01-27,396.2,36.22278,-81.09833,45.5,38,2.66666666666667,193.333333333333,"15:30:00",2010,"Wilkes"
"28",2010-01-28,396.2,36.22278,-81.09833,57,36,13,240,"15:30:00",2010,"Wilkes"
"29",2010-01-29,396.2,36.22278,-81.09833,37,41,1,33.3333333333333,"15:30:00",2010,"Wilkes"
"30",2010-01-30,396.2,36.22278,-81.09833,25,80,4,73.3333333333333,"15:30:00",2010,"Wilkes"
"31",2010-01-31,396.2,36.22278,-81.09833,49,21.5,0,0,"15:30:00",2010,"Wilkes"
"32",2010-02-01,396.2,36.22278,-81.09833,47,27,3,120,"15:30:00",2010,"Wilkes"
"33",2010-02-02,396.2,36.22278,-81.09833,37,90,0,0,"15:30:00",2010,"Wilkes"
"34",2010-02-03,396.2,36.22278,-81.09833,54.5,38.5,3.66666666666667,226.666666666667,"15:30:00",2010,"Wilkes"
